DateTime,AddedIPs,RemovedIPs
1548504336,0,2
1548507953,1,3
1548511549,2,3
1548515146,3,4
1548518747,2,0
1548522339,2,2
1548525950,1,1
1548529544,2,0
1548533154,2,0
1548536738,1,1
1548540344,0,3
1548543938,2,1
1548547586,2,1
1548551148,0,1
1548554740,3,2
1548558351,0,1
1548561968,1,4
1548565544,2,0
1548569145,0,4
1548572753,3,1
1548576339,4,2
1548579944,1,0
1548583547,2,1
1548587142,1,0
1548590749,1,3
1548594349,4,2
1548597939,2,2
1548601536,1,1
1548605156,0,1
1548608745,0,1
1548612340,1,1
1548615939,1,1
1548619547,1,0
1548623146,0,1
1548626750,1,2
1548630350,2,2
1548633991,1,1
1548637568,4,1
1548641156,1,1
1548644747,1,2
1548648354,2,1
1548651943,1,0
1548655553,1,3
1548659136,2,3
1548662754,2,1
1548666345,2,1
1548669957,0,3
1548673545,3,1
1548677146,3,0
1548680749,1,1
1548684341,1,4
1548687957,1,2
1548691540,3,1
1548695154,0,2
1548698740,0,2
1548702345,3,2
1548705938,1,3
1548709557,4,2
1548713141,0,1
1548716738,2,0
1548720382,3,3
1548723960,2,0
1548727568,1,2
1548731158,1,4
1548734763,0,6
1548738360,5,3
1548741953,2,3
1548745550,3,1
1548749155,5,0
1548752762,2,1
1548756355,2,2
1548759958,2,0
1548763550,1,3
1548767166,1,1
1548774357,2,1
1548777947,1,2
1548781552,3,2
1548785147,3,3
1548788748,2,0
1548792355,0,1
1548795952,0,1
1548799556,1,1
1548803158,2,1
1548806776,2,0
1548810348,0,1
1548813950,0,4
1548817555,1,0
1548821141,1,1
1548824752,0,4
1548828355,0,1
1548831950,1,0
1548835555,1,1
1548839149,3,1
1548842759,3,2
1548846349,1,2
1548849952,2,1
1548853564,1,0
1548857154,2,1
1548860749,2,2
1548864354,2,1
1548867965,2,2
1548871561,1,5
1548875149,3,2
1548878746,2,3
1548882345,3,6
1548885952,4,0
1548889544,3,3
1548893182,3,1
1548896754,1,2
1548900348,0,2
1548903955,1,1
1548907555,1,3
1548911150,3,1
1548914762,2,2
1548918356,2,2
1548921950,0,2
1548925559,4,3
1548929144,3,1
1548932745,2,1
1548936347,0,1
1548939937,4,5
1548943549,2,3
1548947155,0,2
1548950755,4,1
1548954349,2,2
1548957943,3,1
1548961546,1,3
1548965156,3,1
1548968755,2,2
1548972362,1,1
1548975950,2,0
1548979584,1,3
1548983174,1,1
1548986755,2,2
1548990342,1,0
1548993953,0,1
1548997549,2,0
1549001151,2,2
1549004745,1,2
1549008350,0,2
1549011941,1,2
1549015548,2,1
1549019145,3,1
1549022743,3,3
1549026358,2,2
1549029955,4,1
1549033556,1,2
1549037151,1,2
1549040747,4,1
1549044340,3,0
1549047956,0,3
1549051553,0,3
1549055165,2,4
1549058760,2,3
1549062355,5,3
1549065968,1,0
1549069562,3,1
1549073157,0,1
1549076752,1,0
1549080337,1,1
1549083952,0,3
1549087545,5,1
1549101971,1,0
1549105541,0,1
1549112750,1,2
1549116353,2,2
1549119944,1,2
1549123558,2,1
1549127154,1,1
1549130743,2,2
1549134358,1,1
1549141554,2,3
1549145147,0,3
1549148749,0,1
1549152377,2,0
1549155941,2,0
1549163143,0,3
1549166755,2,1
1549170341,2,2
1549173961,2,0
1549177545,1,1
1549181141,0,2
1549184743,2,4
1549188347,1,0
1549191935,1,0
1549195536,1,2
1549199143,3,0
1549209944,2,2
1549213545,1,0
1549217133,2,1
1549220738,1,2
1549224343,0,2
1549227936,1,0
1549231546,1,3
1549235144,4,0
1549238781,1,1
1549245947,0,2
1549249563,0,2
1549253158,2,0
1549256744,2,4
1549263954,2,4
1549267546,2,1
1549271149,1,1
1549274745,3,1
1549278344,1,1
1549281946,2,2
1549285548,2,2
1549289150,1,1
1549292748,2,2
1549296342,1,1
1549299945,1,0
1549303551,1,2
1549307150,5,1
1549310732,0,2
1549314347,0,1
1549317936,0,4
1549321541,4,0
1549325154,1,3
1549328769,4,6
1549332352,0,2
1549335948,6,7
1549339545,5,1
1549343165,3,3
1549346740,4,1
1549350351,1,0
1549353953,2,2
1549357551,1,2
1549361135,1,1
1549364734,2,3
1549368347,1,4
1549371948,4,0
1549375543,2,1
1549379133,1,0
1549382749,1,0
1549389944,1,4
1549393541,2,3
