DateTime,AddedIPs,RemovedIPs
1548587472,2,1
1548591060,2,4
1548594679,8,4
1548598266,5,2
1548601873,3,1
1548605528,0,4
1548609070,2,5
1548612690,3,3
1548616278,0,2
1548619871,2,1
1548623482,3,2
1548627056,2,3
1548630673,2,3
1548634355,9,3
1548637902,15,1
1548641473,3,4
1548645063,3,12
1548648686,5,15
1548652267,4,1
1548655870,3,4
1548659466,0,5
1548663087,4,2
1548666658,2,4
1548670284,2,3
1548673867,4,1
1548677475,4,1
1548681102,3,2
1548684673,1,10
1548688282,1,4
1548691861,7,2
1548695482,2,4
1548699050,1,3
1548702682,2,2
1548706271,2,5
1548709875,3,3
1548713456,1,1
1548717099,4,0
1548720950,50,3
1548724375,4,3
1548727999,1,5
1548731497,4,26
1548735133,8,11
1548738677,6,4
1548742312,2,4
1548745876,5,7
1548749516,8,1
1548753100,3,1
1548756686,1,1
1548760267,2,1
1548763905,1,4
1548767507,2,1
1548771101,4,1
1548774713,0,2
1548778315,2,7
1548781897,3,4
1548785464,7,5
1548789083,6,1
1548793024,8,2
1548796377,3,3
1548799894,1,4
1548803515,6,1
1548807220,29,4
1548810664,3,2
1548814306,2,6
1548817870,3,19
1548821501,9,3
1548825077,2,9
1548829037,8,6
1548832349,5,2
1548835880,2,2
1548839493,4,2
1548843082,4,3
1548846683,3,5
1548850291,6,2
1548853887,4,2
1548857497,2,4
1548861088,3,4
1548864696,3,4
1548868315,5,7
1548871895,2,5
1548875473,5,8
1548879065,6,4
1548882691,4,10
1548886279,8,1
1548889867,6,4
1548893537,16,3
1548897098,11,4
1548900678,3,4
1548904274,3,8
1548907899,3,18
1548911486,6,7
1548915100,5,7
1548918702,7,3
1548922283,1,6
1548925882,8,6
1548929487,4,2
1548933095,3,9
1548936669,5,4
1548940265,14,6
1548943880,5,6
1548947466,1,4
1548951071,8,6
1548954692,4,6
1548958302,5,3
1548961874,2,6
1548965488,4,7
1548969125,5,5
1548972721,9,2
1548976306,3,1
1548980040,28,5
1548983658,8,2
1548987130,3,3
1548990683,2,38
1548994357,1,4
1548997898,6,5
1549001493,5,10
1549005072,5,7
1549008712,4,6
1549012299,2,4
1549015911,7,6
1549019519,12,3
1549023097,5,3
1549026713,4,4
1549030287,4,2
1549033935,2,7
1549037507,5,14
1549041108,14,4
1549044695,8,2
1549048311,5,7
1549051884,1,6
1549055502,4,9
1549059094,6,5
1549062711,6,4
1549066324,9,2
1549069946,29,2
1549073520,4,3
1549077107,8,7
1549080667,7,17
1549084305,9,6
1549087918,5,12
1549091542,8,4
1549095079,12,4
1549098674,1,9
1549102379,10,8
1549105891,2,3
1549109490,4,8
1549113108,4,2
1549116749,2,4
1549120286,10,8
1549123903,10,3
1549127499,6,10
1549131134,11,10
