DateTime,AddedIPs,RemovedIPs
1544933177,0,1
1544940361,0,5
1545005230,3,0
1545008797,1,0
1545012363,1,0
1545037584,2,0
1545051979,0,2
1545102373,0,7
1545105977,7,0
1545109580,1,0
1545116780,1,9
1545152789,0,1
1545156375,1,0
1545181582,8,0
1545188780,6,0
1545195974,0,2
1545203192,2,0
1545282381,0,2
1545289567,0,4
1545350828,8,0
1545361580,4,0
1545393994,0,1
1545397571,1,0
1545401190,0,2
1545404793,1,0
1545408383,0,1
1545411988,2,0
1545415586,0,1
1545419203,1,2
1545426373,2,0
1545444370,0,1
1545447984,0,6
1545591973,0,1
1545595565,1,0
1545631580,0,1
1545635187,0,4
1545696422,11,0
1545699993,1,0
1545710786,3,0
1545714380,1,0
1545717979,3,0
1545721585,1,6
1545732385,0,3
1545739582,1,0
1545771978,0,1
1545775586,1,0
1545789977,0,3
1545793591,0,4
1545879987,1,0
1545883583,1,0
1545948388,1,2
1545955615,2,1
1545959188,1,0
1545969967,3,0
1545977180,0,9
1546002376,0,1
1546005974,1,0
1546027591,0,1
1546031177,1,0
1546042014,9,0
1546135584,0,5
1546139185,0,2
1546203981,1,0
1546232795,0,3
1546236377,2,0
1546239990,1,0
1546301208,7,0
1546304803,3,0
1546337193,0,1
1546340796,1,0
1546394794,2,0
1546401988,3,0
1546405601,2,2
1546409190,1,2
1546412789,3,12
1546416359,1,0
1546419986,0,1
1546423591,0,1
1546448777,1,0
1546452379,4,4
1546455991,12,0
1546459586,3,0
1546474014,0,1
1546477580,1,2
1546481187,1,2
1546484780,0,5
1546502773,1,0
1546506374,0,1
1546535171,1,0
1546542375,0,2
1546549571,1,0
1546553163,1,0
1546567584,0,10
1546571194,9,3
1546574770,0,4
1546578381,2,0
1546585575,0,1
1546592790,1,2
1546599979,2,0
1546614369,0,1
1546621567,1,5
1546625180,5,0
1546646820,6,0
1546650368,2,0
1546657580,1,0
1546661192,1,0
1546740366,0,3
1546743980,0,10
1546754772,0,2
1546758379,2,0
1546819614,0,1
1546823167,1,0
1546880785,0,4
1546884432,0,3
1546887974,7,0
1546902402,0,4
1546906019,3,0
1546909574,4,0
1546913190,4,0
1546916807,2,0
1546923991,0,2
1546927592,0,7
1546931184,0,2
1546934775,1,0
1546938382,2,0
1546952786,0,1
1546959979,1,2
1546967176,1,0
1546970784,1,0
1546981596,0,2
1546985182,1,0
1546988779,0,1
1546992412,11,0
1546995982,1,0
1547006787,1,1
1547010378,0,5
1547013986,2,1
1547017596,0,1
1547021183,1,9
1547024861,9,0
1547028376,0,1
1547031983,5,0
1547060785,0,5
1547064375,3,5
1547067970,5,0
1547071576,1,1
1547082391,0,7
1547085974,3,7
1547089577,7,6
1547093173,1,0
1547103970,0,1
1547132781,0,2
1547136346,2,0
1547143589,2,0
1547147186,1,0
1547154370,4,0
1547179585,5,0
1547183189,1,1
1547190380,0,5
1547204781,1,0
1547247983,0,3
1547251620,3,0
1547276778,0,8
1547280391,2,0
1547338017,10,0
1547348794,0,2
1547352388,2,0
1547366775,0,1
1547370383,1,0
1547373970,0,1
1547377575,1,0
1547388390,0,1
1547391980,1,0
1547395573,0,1
1547399190,1,0
1547402783,0,1
1547406382,1,1
1547413572,1,1
1547420775,1,0
1547431583,0,1
1547435187,1,11
1547489185,1,0
1547492785,1,7
1547496372,12,0
1547525183,9,0
1547532376,0,2
1547535982,0,7
1547539584,0,2
1547543179,2,0
1547564790,0,2
1547568379,1,1
1547571976,0,2
1547575577,3,0
1547579186,1,0
1547582788,0,3
1547586382,3,0
1547604387,0,2
1547607970,0,2
1547611571,0,8
1547615182,7,0
1547622374,0,1
1547661966,0,6
1547683608,7,0
1547687182,0,1
1547690778,1,1
1547697975,1,2
1547701571,1,4
1547705176,5,0
1547708777,1,0
1547773577,0,6
1547777184,2,3
1547780790,1,5
1547870790,7,0
1547881584,0,7
1547960792,0,2
1547964396,1,1
1547967984,0,1
1547982391,0,1
1547985984,1,0
1548029207,1,0
1548032795,2,0
1548036380,1,0
1548039988,2,0
1548075979,0,1
1548086787,1,0
1548090392,2,0
1548093984,7,0
1548101211,4,1
1548104780,1,0
1548119201,0,11
1548122795,7,1
1548126388,0,4
1548129989,4,1
1548133590,1,0
1548137175,0,2
1548140785,0,1
1548223591,0,1
1548227186,1,1
1548230774,1,0
1548248780,0,1
1548252376,1,1
1548255969,1,1
1548259573,2,0
1548270365,0,1
1548277578,0,1
1548291964,1,0
1548313590,0,1
1548317171,1,1
1548320757,1,0
1548335173,0,1
1548338773,1,3
1548342369,2,1
1548345969,2,0
1548360366,0,1
1548363977,1,0
1548371175,0,1
1548374820,5,0
1548378370,3,8
1548381993,2,2
1548385583,1,3
1548389200,5,6
1548392778,2,5
1548396381,11,0
1548399987,1,0
1548403590,1,1
1548407184,1,2
1548410806,1,5
1548414384,1,1
1548417977,3,2
1548421565,4,0
1548425172,2,0
1548443189,0,1
1548446776,0,1
1548450390,2,0
1548471996,0,18
1548475578,2,0
1548482788,0,1
1548486390,2,0
1548565579,0,1
1548569178,1,2
1548572786,2,0
1548608779,0,1
1548612370,1,0
1548641189,0,1
1548644781,0,1
1548648389,1,0
1548651977,1,0
1548684374,0,2
1548687991,0,1
1548691573,3,0
1548705970,0,1
1548709590,1,0
1548713174,1,0
1548720419,8,0
1548723995,1,2
1548727602,1,0
1548731192,1,0
1548734802,7,4
1548738394,0,2
1548741991,1,1
1548745584,1,4
1548749196,1,2
1548756394,1,0
1548767204,1,0
1548770789,0,1
1548774394,0,1
1548777982,1,4
1548781586,0,2
1548785184,3,1
1548788782,2,1
1548792392,7,1
1548795986,3,0
1548799591,0,1
1548803195,2,0
1548806809,1,3
1548810381,1,1
1548813983,0,2
1548817587,0,6
1548821176,8,1
1548824786,1,4
1548828385,6,2
1548831982,1,1
1548864386,0,2
1548867998,2,1
1548875184,0,5
1548878780,3,0
1548882378,1,3
