DateTime,AddedIPs,RemovedIPs
1546924116,1,1
1546927734,0,1
1546931297,1,0
1546938494,1,1
1546942098,0,1
1546952932,1,1
1546960093,0,1
1546963699,1,1
1546970887,1,0
1546974489,1,0
1546978100,0,1
1546981710,2,2
1546985294,2,0
1546988895,2,0
1546992657,25,2
1546996092,1,1
1546999704,1,2
1547003325,1,26
1547006911,1,1
1547010532,0,1
1547014104,1,1
1547017719,1,1
1547025020,1,1
1547032103,1,1
1547035698,1,1
1547039301,1,0
1547042888,0,1
1547053705,0,1
1547057317,1,1
1547068085,1,0
1547078913,1,0
1547082511,23,1
1547086086,0,1
1547089689,0,3
1547093286,1,7
1547107705,0,1
1547125714,1,0
1547140101,1,1
1547154733,0,1
1547168911,12,0
1547179698,0,16
1547204894,1,1
1547212088,2,0
1547219303,1,0
1547226503,0,2
1547255293,18,0
1547258904,1,0
1547262504,1,0
1547266130,0,25
1547269733,1,1
1547276892,1,1
1547287722,1,0
1547294890,0,1
1547298486,1,0
1547305706,1,1
1547309303,1,0
1547312895,1,1
1547316470,0,1
1547323694,4,0
1547327287,1,1
1547330892,0,1
1547334492,0,1
1547338504,17,0
1547345304,1,1
1547348900,0,23
1547352499,0,1
1547359718,1,0
1547366891,1,2
1547370503,0,1
1547374091,1,0
1547377687,2,1
1547381307,1,0
1547384889,0,1
1547392094,1,1
1547395699,1,0
1547399324,1,1
1547402897,1,1
1547406505,1,1
1547410108,0,1
1547413694,1,1
1547417297,1,1
1547420896,1,0
1547424534,1,1
1547428077,6,1
1547431703,1,1
1547435297,0,1
1547438919,2,12
1547442498,1,0
1547446090,1,1
1547449702,0,1
1547453297,1,0
1547456906,1,1
1547460501,1,1
1547467722,0,5
1547471317,2,0
1547474897,1,1
1547478495,1,0
1547482111,1,2
1547485693,2,1
1547489359,0,1
1547492968,1,1
1547496791,1,1
1547500085,1,0
1547503689,1,1
1547510935,0,1
1547514483,15,0
1547518093,1,1
1547521703,1,2
1547525296,0,19
1547528904,1,0
1547539698,0,1
1547557684,1,1
1547561302,1,0
1547572089,0,2
1547575694,0,1
1547579299,1,0
1547593684,0,2
1547600900,17,0
1547604502,1,0
1547608082,1,0
1547611695,0,18
1547626080,0,1
1547633301,0,1
1547640505,1,0
1547647699,0,1
1547654885,0,1
1547662088,2,0
1547683974,17,1
1547687294,1,0
1547694495,1,4
1547716087,0,1
1547723295,1,2
1547726889,1,0
1547734107,1,0
1547741286,0,1
1547748494,1,1
1547762886,0,1
1547766522,1,0
1547773688,26,1
1547780902,0,1
1547784504,0,17
1547816899,2,0
1547831292,0,2
1547860095,12,0
1547870907,0,17
1547885301,9,0
1547896126,0,1
1547899693,0,4
1547903310,1,4
1547917683,0,1
1547942929,4,0
1547946491,18,0
1547950098,4,0
1547953697,4,0
1547957283,0,21
1547964490,4,4
1547978877,0,4
1547982519,4,0
1547986095,4,4
1547989699,6,0
1547996899,0,4
1548000491,4,4
1548004117,0,2
1548007697,4,4
1548022111,4,4
1548025694,4,0
1548029376,17,0
1548032912,0,8
1548036499,0,4
1548040102,0,23
1548043706,0,1
1548047288,1,0
1548050905,1,0
1548072496,0,2
1548076094,1,0
1548090630,1,1
1548112091,0,1
1548119298,9,0
1548122903,1,0
1548130112,0,11
1548144508,0,1
1548169707,1,0
1548180477,1,0
1548184087,0,1
1548205687,14,0
1548212901,0,1
1548216479,1,17
1548230878,0,1
1548245286,1,0
1548248898,2,0
1548263296,0,2
1548284883,0,1
1548292066,13,0
1548299291,0,1
1548302892,0,16
1548320867,0,1
1548328093,1,0
1548335277,2,0
1548349681,0,2
1548375066,11,0
1548378484,1,0
1548382107,1,0
1548385696,0,9
1548389324,1,1
1548392892,0,1
1548400097,0,1
1548407292,1,0
1548410936,0,1
1548418103,1,1
1548421676,1,0
1548425282,3,0
1548428902,0,1
1548436103,1,1
1548439701,0,2
1548443311,1,1
1548446886,1,0
1548450501,0,1
1548454108,1,0
1548457703,1,1
1548461333,0,1
1548464869,15,1
1548468509,2,1
1548472106,1,0
1548475695,1,14
1548479316,1,2
1548482898,2,2
1548486501,2,1
1548490081,1,0
1548493704,1,2
1548497277,1,1
1548500933,1,2
1548504479,2,1
1548508111,4,2
1548511696,1,2
1548515295,2,2
1548518880,1,1
1548522490,2,3
1548526087,0,2
1548529693,1,1
1548533307,2,2
1548536874,1,0
1548540473,1,0
1548544092,1,2
1548547741,2,1
1548551286,11,3
1548554891,3,1
1548558501,1,1
1548562120,2,15
1548565686,2,1
1548569292,1,2
1548576485,1,2
1548580093,2,2
1548583694,1,1
1548587301,1,1
1548590888,1,1
1548594500,3,2
1548598079,2,0
1548601687,2,1
1548605327,0,2
1548608893,2,2
1548612491,1,2
1548616086,0,1
1548619697,1,1
1548623301,2,1
1548626877,1,1
1548630497,0,2
1548634148,2,2
1548637717,15,0
1548641303,3,2
1548644895,1,2
1548648505,1,16
1548652092,1,1
1548655701,1,1
1548659272,0,1
1548662908,1,0
1548666486,1,2
1548670112,1,1
1548673690,1,1
1548677296,1,1
1548680898,3,1
1548684492,1,1
1548688112,0,1
1548691689,1,1
1548695304,0,3
1548698883,1,0
1548702500,1,1
1548709710,0,1
1548716894,1,0
1548720742,33,1
1548727792,0,1
1548731300,1,14
1548756519,1,0
1548760096,0,1
1548778109,1,0
1548785293,0,1
1548788913,1,0
1548806989,19,0
1548810487,1,0
1548814109,1,0
1548817691,1,9
1548821306,1,1
1548824909,1,1
1548828863,1,2
1548832156,2,2
1548835702,2,1
1548839306,1,1
1548842904,1,1
1548846506,1,1
1548850104,2,1
1548853703,4,2
1548857306,1,1
1548860908,1,2
1548864503,2,2
1548868127,1,4
1548871707,1,1
1548875302,2,0
1548878883,1,1
1548882504,1,1
1548886110,1,1
1548889684,1,1
1548893342,1,1
1548896903,12,2
1548900497,1,1
1548904098,1,2
1548907710,1,14
1548911304,1,1
1548914909,1,1
1548918513,1,1
1548922107,1,1
1548925706,1,1
1548929287,1,1
1548932913,1,1
1548936495,1,1
1548940079,3,1
1548943702,2,1
1548947305,1,1
1548950905,1,2
1548954491,1,3
1548958103,1,1
1548961698,1,1
1548965304,1,1
1548968905,1,1
1548972517,1,1
1548976100,1,1
1548979816,21,1
1548983462,2,0
1548986915,1,1
1548990496,1,34
1548994137,1,1
1548997706,1,2
1549001306,1,1
1549004901,1,1
1549008519,1,1
1549012105,1,1
1549015705,1,1
1549019317,1,1
1549022902,1,2
1549026515,2,1
1549030109,1,1
1549033735,1,1
1549037306,2,1
1549040909,1,2
1549044503,3,1
1549048138,1,1
1549051703,1,2
1549055317,1,1
1549058910,1,2
1549062535,1,1
1549066124,1,1
1549069714,26,1
1549073321,3,1
1549076929,8,1
1549080488,5,17
1549084107,8,2
1549087714,0,9
1549091330,8,4
1549094902,11,4
1549098498,1,8
1549102158,8,8
1549105692,2,1
1549109314,3,8
1549112904,1,0
1549116538,1,0
1549120098,8,4
1549123725,8,2
1549127320,4,9
1549130931,8,8
1549134516,2,3
1549138121,2,8
1549141712,8,8
1549145319,8,0
1549148903,8,4
1549152542,8,9
1549156095,16,8
1549159707,8,8
1549163305,2,8
1549166915,2,20
1549170562,8,2
1549174239,8,8
1549177947,8,2
1549181286,2,8
1549184909,8,8
1549188504,8,2
1549192096,3,8
1549195689,3,8
1549199303,10,8
1549202912,8,3
1549206507,8,3
1549210107,5,8
1549213692,8,10
1549217292,8,8
1549220899,8,5
1549224505,8,8
1549228097,3,8
1549231691,7,8
1549235295,0,3
1549238946,8,3
1549242512,21,8
1549246101,1,3
1549249717,2,8
1549253320,8,22
1549256897,8,3
1549260512,4,4
1549264110,3,8
1549267702,5,0
1549271304,1,1
1549274905,8,8
1549278504,0,7
1549282089,8,4
1549285696,3,5
1549289307,5,8
1549292903,7,7
1549296496,8,1
1549300111,8,6
1549303713,1,8
1549307305,0,1
1549310885,3,1
1549314503,3,3
1549318099,0,5
1549321700,9,2
1549325393,16,3
1549328935,0,8
1549332510,0,8
1549336102,0,27
1549339717,0,1
1549346897,2,1
1549350515,1,0
1549368514,0,1
1549372108,2,0
1549386519,0,1
1549411763,15,0
1549422493,0,10
1549458504,2,0
1549465721,1,0
1549472912,0,2
1549487315,0,1
1549494494,1,0
1549501727,12,0
1549512516,0,15
1549544908,1,0
1549559311,0,1
1549588105,21,1
1549598900,0,17
1549671357,7,0
1549674667,1,0
1549681747,0,16
1549760885,9,0
1549768110,0,2
1549771716,0,9
1549782520,0,1
1549847313,14,0
1549858121,0,21
1549886906,1,0
1549897704,0,1
1549933700,8,0
1549940929,1,0
1549944519,0,7
1549966107,0,1
1549969704,1,0
1549976882,2,0
1549991312,0,2
1550016720,22,0
1550027330,0,9
1550030913,0,2
1550034635,0,1
1550063307,2,0
1550077708,0,2
1550106493,17,0
1550117310,0,14
1550131730,1,0
1550149706,1,0
1550160515,1,0
1550164111,0,1
1550192896,15,0
1550203704,0,8
1550279314,17,0
1550290104,0,22
1550322489,1,0
1550362904,10,0
1550372895,0,18
