DateTime,AddedIPs,RemovedIPs
1549427292,220,163
1549429267,144,133
1549431148,249,77
1549433156,227,113
1549435002,223,105
1549436901,179,171
1549438823,224,129
1549440766,108,112
1549442655,108,114
1549444575,112,128
1549446513,125,124
1549448429,104,578
1549450355,104,126
1549452274,126,98
1549454193,127,607
1549456115,109,138
1549458995,179,195
1549460908,112,135
1549462835,103,134
1549464738,464,153
1549466650,133,193
1549468580,334,125
1549470515,128,114
1549472433,128,117
1549474345,143,107
1549476256,107,109
1549478101,123,122
1549480105,170,100
1549482039,478,110
1549483932,356,93
1549485873,267,132
1549487782,207,226
1549489691,204,186
1549491631,149,287
1549493796,160,720
1549495687,127,236
1549497633,128,268
1549499448,98,202
1549501452,119,290
1549503388,111,239
1549505319,272,167
1549507214,107,203
1549509131,88,254
1549511082,125,244
1549512973,404,172
1549514894,88,225
1549516846,95,267
1549518737,165,231
1549520650,102,229
1549522576,104,510
1549524509,203,410
1549526443,337,117
1549528370,249,119
1549530274,243,121
1549532413,159,150
1549534332,293,125
1549536280,96,112
1549538172,1103,135
1549540104,1592,144
1549542039,1322,136
1549543950,711,125
1549545860,112,116
1549547909,107,113
1549549943,113,108
1549551866,92,491
1549554018,135,128
1549555950,120,604
1549557880,114,1550
1549560061,249,126
1549561955,119,136
1549563869,130,136
1549565792,395,148
1549567702,1215,142
1549570578,258,208
1549572495,205,175
1549574441,197,158
1549576344,146,127
1549578463,186,127
1549580428,139,125
1549582360,121,110
1549584281,653,118
1549586171,159,97
1549588119,92,116
1549590021,110,126
1549591936,165,274
1549593852,138,119
1549595803,1278,99
1549597704,193,115
1549599614,117,82
1549601550,117,112
1549603473,96,98
1549605368,108,154
1549607400,99,120
1549609222,103,102
1549611406,86,271
1549613327,86,334
1549615236,98,289
1549617152,99,204
1549619052,161,182
1549620999,408,304
1549622907,151,105
1549624840,196,1194
1549626758,250,1610
1549628654,456,1280
1549630587,179,603
1549632621,134,126
1549635391,215,137
1549637289,110,97
1549639238,101,112
1549641148,86,132
1549643061,100,119
1549644996,95,118
1549646900,103,229
1549648838,108,124
1549650759,106,123
1549652670,105,646
1549654572,110,1011
1549656519,123,111
1549658415,120,94
1549660364,106,110
1549662273,119,85
1549664185,100,99
1549666094,111,137
1549668041,105,104
1549669949,100,151
1549671876,146,597
1549673779,120,109
1549675701,147,124
1549678577,186,246
1549680495,170,108
1549682420,105,1421
1549684353,96,102
1549686273,96,112
1549688180,117,129
1549690109,113,91
1549692028,74,97
1549694217,97,133
1549696131,99,100
1549698016,105,84
1549699931,142,92
1549701860,131,100
1549703801,109,97
1549705692,97,277
1549707620,95,400
1549709560,126,167
1549711451,107,191
1549713397,142,287
1549715312,102,517
1549718207,179,301
1549720114,126,86
1549722049,307,187
1549723928,134,109
1549725853,118,145
1549727794,121,97
1549729692,110,85
1549731621,70,87
1549733544,102,103
1549735458,91,87
1549737383,103,98
1549739295,90,90
1549741578,146,90
1549743389,125,103
1549745304,118,104
1549747232,116,89
1549749131,296,112
1549752283,1283,189
1549754219,119,120
1549756092,116,92
1549758026,179,134
1549759929,123,115
1549761885,71,167
1549763797,98,145
1549765951,123,147
1549767876,74,167
1549769791,99,108
1549771704,86,119
1549773624,124,123
1549775532,184,167
1549777461,170,233
1549779391,118,89
1549781298,94,73
1549783222,97,101
1549785170,106,129
1549787051,120,118
1549788975,114,134
1549790908,126,117
1549792821,124,118
1549794741,271,94
1549796678,111,131
1549798845,189,139
1549800770,136,113
1549802663,473,112
1549804648,168,144
1549806502,156,122
1549808435,124,288
1549810342,87,151
1549812257,108,113
1549814192,160,116
1549816105,129,94
1549818055,6287,67
1549819939,2667,93
1549821888,1209,115
1549823773,107,76
1549825707,85,98
1549827642,115,102
1549829539,85,99
1549831462,134,87
1549833408,105,116
1549835316,98,196
1549837219,108,683
1549839143,89,590
1549841081,178,113
1549842978,85,161
1549844895,113,129
1549846847,80,95
1549848751,93,71
1549850681,137,100
1549852591,111,95
1549854773,95,109
1549856664,99,93
1549858839,111,109
1549860755,84,97
1549862686,97,107
1549864571,91,168
1549866743,116,121
1549868673,86,112
1549870573,93,120
1549872502,97,103
1549874442,103,106
1549876341,77,103
1549878255,87,105
1549880202,1179,257
1549882094,3138,104
1549884209,3007,117
1549886438,1348,124
1549888339,99,520
1549890265,120,140
1549892207,125,158
1549894110,141,142
1549896088,137,181
1549897967,163,108
1549899877,123,134
1549901780,190,160
1549903712,192,4253
1549905639,173,3293
1549907541,167,2656
1549909492,200,110
1549911377,140,99
1549913556,142,161
1549915725,1011,163
1549917623,111,132
1549919554,184,126
1549921459,123,123
1549923370,138,121
1549925315,157,136
1549927282,500,223
1549929140,287,105
1549931058,93,122
1549933002,115,132
1549934893,96,108
1549936839,102,112
1549938767,99,105
1549940667,91,94
1549942824,113,196
1549944739,87,106
1549946663,98,93
1549948579,121,124
1549950758,133,103
1549952669,116,103
1549954708,189,305
1549956746,177,120
1549958686,589,99
1549960578,107,103
1549962501,89,93
1549964469,83,100
1549966342,77,115
1549968258,127,118
1549970204,110,141
1549972121,83,102
1549974044,143,115
1549975963,105,127
1549977858,110,107
1549979807,100,132
1549981716,111,122
1549983755,113,127
1549986798,1082,202
1549988903,380,193
1549990907,140,136
1549992746,121,112
1549994673,115,142
1549996593,94,170
1549998536,209,140
1550000411,184,1029
1550002341,180,133
1550004273,216,111
1550006184,157,106
1550008089,153,142
1550010010,143,134
1550011939,155,152
1550013861,138,104
1550015794,145,107
1550017691,122,94
1550019623,149,106
1550021548,201,88
1550023478,172,98
1550025379,187,96
1550027296,119,112
1550029211,154,93
1550031142,128,91
1550033052,131,115
1550034994,125,135
1550036900,132,135
1550038811,137,125
1550040753,501,135
1550042667,147,156
1550044602,138,568
1550046499,143,119
1550049380,201,164
1550051425,133,83
1550053233,127,71
1550055136,151,116
1550057081,164,122
1550058969,171,88
1550060926,142,1338
1550062827,153,2755
1550064770,145,2657
1550066660,119,1963
1550068604,130,102
1550070511,199,137
1550072412,157,138
1550074588,128,113
1550076424,124,119
1550078413,136,121
1550080348,290,119
1550082274,320,89
1550084169,127,88
1550086101,134,156
1550088045,129,134
1550089958,131,166
1550091888,117,106
1550093793,138,116
1550095720,105,107
1550098343,207,761
1550100256,118,105
1550102174,91,113
1550104093,121,105
1550106032,100,134
1550107957,108,740
1550109866,91,819
1550111781,113,201
1550113714,112,108
1550115614,290,130
1550117542,292,115
1550119464,104,111
1550121371,86,114
1550123299,91,120
1550125232,105,114
1550127134,79,626
1550129079,91,135
1550130983,109,141
1550132888,113,139
1550134843,92,150
1550136768,89,137
1550138682,125,106
1550140595,110,155
1550142510,108,119
1550144409,106,167
1550146352,112,130
1550148255,148,125
1550150440,118,152
1550152329,121,134
1550154259,123,107
1550156190,148,171
1550158089,130,161
1550160074,234,98
1550161955,163,112
1550163862,140,98
1550165780,210,112
1550167715,124,953
1550169611,135,115
1550171548,120,122
1550173474,120,89
1550175378,233,111
1550177288,207,90
1550179213,171,166
1550181145,180,182
1550183048,145,111
1550185011,134,149
1550186906,99,105
1550188849,131,101
1550190757,112,126
1550192912,145,329
1550194834,187,97
1550196765,249,125
1550198651,175,121
1550200603,161,125
1550202494,147,509
1550204411,128,116
1550206375,113,104
1550208252,120,101
1550210165,113,93
1550212118,118,102
1550214057,115,118
1550216038,108,119
1550217883,82,129
1550219794,98,111
1550221718,113,89
1550223642,106,101
1550225546,78,131
1550227456,107,104
1550229401,119,113
1550231556,129,114
1550233456,112,116
1550235379,122,131
1550237316,119,387
