DateTime,Entries,UniqueIPs
1549427796,3960,3960
1549429703,3966,3966
1549431635,3970,3970
1549433564,3971,3971
1549435456,3978,3978
1549437624,3993,3993
1549439529,3986,3986
1549441483,3981,3981
1549443370,3980,3980
1549445291,3973,3973
1549447238,3755,3755
1549449133,3685,3685
1549451081,3685,3685
1549452980,3648,3648
1549454911,3434,3434
1549456829,3431,3431
1549458736,3426,3426
1549460550,3426,3426
1549462578,3422,3422
1549464496,3583,3583
1549466453,3569,3569
1549468348,3675,3675
1549470253,3677,3677
1549472192,3674,3674
1549474346,3672,3672
1549476257,3676,3676
1549478102,3679,3679
1549480106,3681,3681
1549482039,3697,3697
1549483932,3698,3698
1549485874,3702,3702
1549487782,3707,3707
1549489692,3713,3713
1549491632,3720,3720
1549493796,3516,3516
1549495688,3512,3512
1549497641,3527,3527
1549499448,3522,3522
1549501452,3517,3517
1549503389,3521,3521
1549505320,3535,3535
1549507214,3535,3535
1549509132,3525,3525
1549511082,3508,3508
1549512973,3636,3636
1549514895,3621,3621
1549516847,3617,3617
1549518738,3624,3624
1549520650,3620,3620
1549522577,3566,3566
1549524509,3524,3524
1549526453,3539,3539
1549528371,3595,3595
1549530283,3627,3627
1549532427,3621,3621
1549534333,3626,3626
1549536281,3624,3624
1549538173,4045,4045
1549540105,4065,4065
1549542040,4089,4089
1549543951,4111,4111
1549545860,4106,4106
1549547910,4108,4108
1549549944,4102,4102
1549551868,3937,3937
1549554019,3938,3938
1549555951,3656,3656
1549557880,2709,2709
1549560062,2771,2771
1549561956,2768,2768
1549563869,2770,2770
1549565793,2939,2939
1549567702,3625,3625
1549570579,3636,3636
1549572496,3646,3646
1549574442,3646,3646
1549576345,3654,3654
1549578464,3658,3658
1549580434,3666,3666
1549582360,3667,3667
1549584283,3896,3896
1549586172,3900,3900
1549588119,3902,3902
1549590021,3896,3896
1549591936,3913,3913
1549593852,3917,3917
1549595804,3991,3991
1549597704,4013,4013
1549599614,4014,4014
1549601550,4016,4016
1549603473,4018,4018
1549605368,4017,4017
1549607401,4014,4014
1549609226,4018,4018
1549611406,3994,3994
1549613328,3981,3981
1549615236,3912,3912
1549617153,3907,3907
1549619053,3905,3905
1549621000,3921,3921
1549622907,3922,3922
1549624841,3614,3614
1549626759,3619,3619
1549628654,3694,3694
1549630588,3719,3719
1549632621,3741,3741
1549635392,3764,3764
1549637290,3767,3767
1549639239,3765,3765
1549641148,3766,3766
1549643062,3770,3770
1549644996,3764,3764
1549646901,3697,3697
1549648853,3700,3700
1549650760,3695,3695
1549652671,3374,3374
1549654572,2745,2745
1549656520,2745,2745
1549658416,2745,2745
1549660365,2745,2745
1549662274,2749,2749
1549664185,2747,2747
1549666095,2744,2744
1549668041,2743,2743
1549669950,2729,2729
1549671876,2502,2502
1549673779,2505,2505
1549675702,2505,2505
1549678577,2453,2453
1549680495,2457,2457
1549682420,2361,2361
1549684353,2362,2362
1549686274,2361,2361
1549688181,2360,2360
1549690110,2357,2357
1549692036,2358,2358
1549694218,2360,2360
1549696131,2358,2358
1549698017,2359,2359
1549699932,2361,2361
1549701861,2352,2352
1549703802,2348,2348
1549705693,2341,2341
1549707621,2306,2306
1549709560,2302,2302
1549711452,2299,2299
1549713398,2262,2262
1549715312,2123,2123
1549718207,2058,2058
1549720115,2049,2049
