DateTime,AddedIPs,RemovedIPs
1532278756,1,0
1532284572,1,1
1532286517,3,0
1532288424,1,1
1532290393,0,2
1532294209,2,0
1532296114,1,0
1532298017,1,2
1532299949,1,1
1532302119,2,2
1532304029,2,0
1532305959,1,0
1532307874,0,1
1532313633,2,1
1532323225,1,0
1532341425,0,2
1532345317,1,1
1532349141,1,0
1532351075,1,0
1532355154,0,1
1532357066,2,0
1532362849,0,1
1532364748,0,1
1532366898,2,0
1532368887,4,0
1532372657,3,3
1532374578,1,1
1532376687,1,1
1532379763,1,2
1532381772,1,1
1532383978,3,0
1532385904,1,1
1532387798,1,3
1532389712,2,2
1532391636,0,1
1532393601,1,0
1532399327,1,0
1532401265,0,2
1532405063,1,0
1532410823,0,1
1532428574,1,0
1532430517,0,1
1532432414,1,0
1532436258,0,2
1532442262,0,1
1532444172,1,1
1532446102,1,0
1532448092,1,0
1532449977,1,0
1532451866,0,1
1532453792,0,2
1532455714,1,3
1532457618,1,1
1532459667,3,2
1532461723,0,1
1532463611,0,1
1532465572,1,1
1532467457,2,0
1532469394,0,3
1532471298,1,1
1532473309,0,2
1532475150,1,0
1532477090,0,2
1532478976,0,1
1532480929,1,0
1532482833,1,0
1532486739,0,1
1532490501,1,1
1532492429,1,0
1532515724,0,1
1532519592,0,1
1532523400,1,0
1532525294,3,0
1532527289,2,0
1532529164,1,1
1532531343,3,1
1532535399,1,1
1532537314,0,1
1532539224,2,0
1532541155,1,0
1532543076,1,2
1532544983,2,0
1532547018,1,3
1532548874,1,0
1532552675,1,2
1532554642,0,1
1532558497,0,1
1532560347,1,0
1532562301,0,1
1532566144,1,0
1532568017,0,1
1532569988,3,1
1532577733,1,2
1532608648,0,1
1532610531,1,1
1532612475,1,3
1532614350,0,2
1532616579,0,1
1532618436,1,2
1532620491,0,1
1532624411,1,0
1532626364,0,2
1532628326,0,1
1532630190,1,1
1532633593,2,3
1532635472,2,1
1532637664,1,0
1532639556,1,1
1532641505,1,0
1532646402,0,1
1532652262,1,1
1532654100,1,0
1532656361,0,3
1532658272,1,0
1532662130,1,0
1532664056,0,1
1532665971,1,0
1532685880,1,0
1532691633,1,0
1532693574,1,0
1532695465,1,0
1532697388,2,1
1532699319,0,1
1532705311,0,1
1532709157,1,0
1532711333,0,1
1532715163,2,0
1532717072,4,1
1532720898,1,3
1532722829,1,2
1532726681,1,1
1532728582,0,1
1532735439,1,0
1532739296,1,1
1532741558,1,1
1532743480,2,0
1532745378,0,1
