DateTime,Entries,UniqueIPs
1549427800,3432,3432
1549429748,3428,3428
1549431638,3419,3419
1549433568,3401,3401
1549435459,3373,3373
1549437628,3387,3387
1549439533,3380,3380
1549441487,3374,3374
1549443374,3369,3369
1549445294,3355,3355
1549447276,2915,2915
1549449136,2806,2806
1549451086,2806,2806
1549452984,2808,2808
1549454914,2808,2808
1549456832,2810,2810
1549458739,2806,2806
1549460553,2805,2805
1549462583,2808,2808
1549464500,3212,3212
1549466457,3117,3117
1549468353,3117,3117
1549470257,3116,3116
1549472211,3115,3115
1549474350,3122,3122
1549476262,3120,3120
1549478106,3121,3121
1549480110,3123,3123
1549482120,3120,3120
1549483937,3119,3119
1549485919,3118,3118
1549487787,3119,3119
1549489696,3119,3119
1549491636,3131,3131
1549493800,2670,2670
1549495692,2671,2671
1549497681,2686,2686
1549499819,2689,2689
1549501712,2695,2695
1549503615,2705,2705
1549505538,2710,2710
1549507527,2711,2711
1549509379,2713,2713
1549511538,2724,2724
1549513461,2729,2729
1549515402,2728,2728
1549517298,2728,2728
1549519300,2753,2753
1549521172,2499,2499
1549523078,2112,2112
1549524979,1988,1988
1549526929,1987,1987
1549528819,2022,2022
1549530733,2024,2024
1549532683,2027,2027
1549534576,2032,2032
1549536749,2034,2034
1549538670,3533,3533
1549540600,4939,4939
1549542518,6179,6179
1549544492,6459,6459
1549548291,6458,6458
1549550197,6444,6444
1549552132,6038,6038
1549554022,6036,6036
1549555955,6039,6039
1549557885,6044,6044
1549560066,6191,6191
1549561960,6194,6194
1549563874,6193,6193
1549565797,6720,6720
1549567707,8294,8294
1549570585,8296,8296
1549572499,8301,8301
1549574445,8303,8303
1549576349,8301,8301
1549578470,8296,8296
1549580491,8299,8299
1549582364,8300,8300
1549584287,9035,9035
1549586175,9054,9054
1549588123,9048,9048
1549590024,9041,9041
1549591939,9148,9148
1549593856,9193,9193
1549595807,9187,9187
1549597707,9179,9179
1549599618,9178,9178
1549601553,9180,9180
1549603477,9179,9179
1549605371,9165,9165
1549607405,9167,9167
1549609286,9169,9169
1549611410,9168,9168
1549613332,9167,9167
1549615241,9143,9143
1549617158,9142,9142
1549619057,9139,9139
1549621003,9135,9135
1549622911,9159,9159
1549624845,8097,8097
1549626763,6818,6818
1549628658,6086,6086
1549630591,5734,5734
1549632625,5783,5783
1549635396,5873,5873
1549637293,5873,5873
1549639243,5872,5872
1549641152,5871,5871
1549643066,5868,5868
1549645000,5863,5863
1549646904,5735,5735
1549648891,5733,5733
1549650764,5731,5731
1549652675,4779,4779
1549654576,3585,3585
1549656524,3583,3583
1549658420,3582,3582
1549660368,3576,3576
1549662277,3577,3577
1549664190,3576,3576
1549666099,3575,3575
1549668045,3572,3572
1549669954,3528,3528
1549671880,2900,2900
1549673783,2896,2896
1549675706,2896,2896
1549677659,2768,2768
1549679580,2770,2770
1549681481,2772,2772
1549683378,2774,2774
