DateTime,AddedIPs,RemovedIPs
1549430195,5,5
1549432119,2,16
1549434023,2,18
1549435934,0,21
1549437878,15,8
1549439797,1,7
1549441942,2,8
1549444122,1,13
1549446033,1,11
1549447944,2,536
1549449864,4,14
1549451794,5,5
1549453707,2,5
1549455642,3,0
1549457569,5,2
1549459465,1,7
1549462583,7,4
1549464501,409,2
1549466458,4,101
1549468353,3,3
1549470258,1,2
1549472211,6,2
1549474351,7,1
1549476262,4,3
1549478107,4,2
1549480111,5,1
1549482133,4,7
1549483938,2,3
1549485920,3,2
1549487787,6,4
1549489697,3,4
1549491637,13,7
1549493801,3,464
1549495692,1,0
1549497685,22,3
1549499820,5,1
1549501713,8,1
1549503616,10,1
1549505538,7,1
1549507528,3,2
1549509379,5,3
1549511539,10,0
1549513462,6,0
1549515402,3,5
1549517298,3,3
1549519306,25,1
1549521173,4,258
1549523088,4,390
1549524979,6,129
1549526929,3,3
1549528820,37,3
1549530733,2,0
1549532683,4,2
1549534577,7,3
1549536749,5,3
1549538670,1505,5
1549540601,1408,2
1549542522,1245,0
1549544497,281,4
1549546363,0,1
1549548292,2,5
1549550198,1,18
1549552133,15,418
1549554023,2,5
1549555955,5,3
1549557885,6,7
1549560066,151,5
1549561960,8,4
1549563874,6,7
1549565798,530,2
1549567707,1575,4
1549569654,5,5
1549571565,3,3
1549573478,8,4
1549575387,3,3
1549577333,3,11
1549579246,4,1
1549581179,4,1
1549583084,8,2
1549585239,764,16
1549587144,4,9
1549589057,5,8
1549591270,114,9
1549593166,3,6
1549595135,50,5
1549596974,0,8
1549599147,7,9
1549601061,5,4
1549602988,2,2
1549604923,4,18
1549606843,8,2
1549608765,4,6
1549610929,1,4
1549612897,3,2
1549614749,0,27
1549616696,2,0
1549618582,1,5
1549620499,3,5
1549622435,17,3
1549624346,36,729
1549626256,177,1456
1549628475,442,1442
1549630359,105,575
1549632270,73,0
1549634182,93,1
1549636117,3,4
1549638077,4,5
1549639976,6,3
1549641873,3,3
1549643783,3,8
1549645718,1,55
1549647624,2,84
1549649543,3,3
1549651479,1,6
1549653390,1,1805
1549655307,2,343
1549657247,5,4
1549659145,1,5
1549661064,4,5
1549662990,3,18
1549664905,19,4
1549666846,2,6
1549668749,2,4
1549670686,3,656
1549672591,4,23
1549674502,0,4
1549676411,3,3
1549678330,5,134
1549680260,4,1
