DateTime,Entries,UniqueIPs
1549430195,3455,3455
1549432119,3441,3441
1549434023,3425,3425
1549435934,3404,3404
1549437878,3411,3411
1549439797,3405,3405
1549441942,3399,3399
1549444122,3387,3387
1549446033,3377,3377
1549447944,2843,2843
1549449864,2833,2833
1549451794,2833,2833
1549453707,2830,2830
1549455642,2833,2833
1549457569,2836,2836
1549459465,2830,2830
1549462583,2833,2833
1549464501,3240,3240
1549466458,3143,3143
1549468353,3143,3143
1549470258,3142,3142
1549472211,3146,3146
1549474351,3152,3152
1549476262,3153,3153
1549478107,3155,3155
1549480111,3159,3159
1549482133,3156,3156
1549483938,3155,3155
1549485920,3156,3156
1549487787,3158,3158
1549489697,3157,3157
1549491637,3163,3163
1549493801,2702,2702
1549495692,2703,2703
1549497685,2722,2722
1549499820,2726,2726
1549501713,2733,2733
1549503616,2742,2742
1549505538,2748,2748
1549507528,2749,2749
1549509379,2751,2751
1549511539,2761,2761
1549513462,2767,2767
1549515402,2765,2765
1549517298,2765,2765
1549519306,2789,2789
1549521173,2535,2535
1549523088,2149,2149
1549524979,2026,2026
1549526929,2026,2026
1549528820,2060,2060
1549530733,2062,2062
1549532683,2064,2064
1549534577,2068,2068
1549536749,2070,2070
1549538670,3570,3570
1549540601,4976,4976
1549542522,6221,6221
1549544497,6498,6498
1549546363,6497,6497
1549548292,6494,6494
1549550198,6477,6477
1549552133,6074,6074
1549554023,6071,6071
1549555955,6073,6073
1549557885,6072,6072
1549560066,6218,6218
1549561960,6222,6222
1549563874,6221,6221
1549565798,6749,6749
1549567707,8320,8320
1549569654,8320,8320
1549571565,8320,8320
1549573478,8324,8324
1549575387,8324,8324
1549577333,8316,8316
1549579246,8319,8319
1549581179,8322,8322
1549583084,8328,8328
1549585239,9076,9076
1549587144,9071,9071
1549589057,9068,9068
1549591270,9173,9173
1549593166,9170,9170
1549595135,9215,9215
1549596974,9207,9207
1549599147,9205,9205
1549601061,9206,9206
1549602988,9206,9206
1549604923,9192,9192
1549606843,9198,9198
1549608765,9196,9196
1549610929,9193,9193
1549612897,9194,9194
1549614749,9167,9167
1549616696,9169,9169
1549618582,9165,9165
1549620499,9163,9163
1549622435,9177,9177
1549624346,8484,8484
1549626256,7205,7205
1549628475,6205,6205
1549630359,5735,5735
1549632270,5808,5808
1549634182,5900,5900
1549636117,5899,5899
1549638077,5898,5898
1549639976,5901,5901
1549641873,5901,5901
1549643783,5896,5896
1549645718,5842,5842
1549647624,5760,5760
1549649543,5760,5760
1549651479,5755,5755
1549653390,3951,3951
1549655307,3610,3610
1549657247,3611,3611
1549659145,3607,3607
1549661064,3606,3606
1549662990,3591,3591
1549664905,3606,3606
1549666846,3602,3602
1549668749,3600,3600
1549670686,2947,2947
1549672591,2928,2928
1549674502,2924,2924
1549676411,2924,2924
1549678330,2795,2795
1549680260,2798,2798
1549682201,2798,2798
1549684093,2797,2797
1549686025,2794,2794
1549687933,2793,2793
1549689853,2796,2796
1549691777,2794,2794
1549693719,2790,2790
1549695711,2788,2788
1549697569,2788,2788
1549699481,2788,2788
1549701375,2792,2792
1549703305,2794,2794
1549705249,2794,2794
1549707158,2792,2792
1549709064,2769,2769
1549710978,2739,2739
1549712902,2527,2527
1549714849,1956,1956
1549716754,1760,1760
1549718677,1664,1664
1549720584,1665,1665
1549722774,1793,1793
1549724662,1723,1723
1549726577,1720,1720
1549728570,1719,1719
1549730423,1720,1720
1549732372,1722,1722
1549734260,1728,1728
1549736174,1728,1728
1549738114,1729,1729
1549740015,1733,1733
1549741972,1737,1737
1549743861,1749,1749
1549745803,1756,1756
1549747696,1895,1895
1549749641,1960,1960
1549752289,1959,1959
1549754225,1971,1971
1549756098,1978,1978
1549758031,1983,1983
1549759934,2032,2032
1549761890,2043,2043
1549763802,2050,2050
1549765957,2059,2059
1549767885,2074,2074
1549769796,2078,2078
1549771723,2090,2090
1549773642,2095,2095
1549775537,2103,2103
1549777466,2170,2170
1549779397,2180,2180
1549781303,2191,2191
1549783228,2200,2200
1549785175,2207,2207
1549787056,2258,2258
1549788980,2270,2270
1549790913,2281,2281
1549792890,2292,2292
1549794744,2536,2536
1549796682,2541,2541
1549798848,2543,2543
1549800774,2552,2552
1549802667,2557,2557
1549804653,2567,2567
1549806509,2571,2571
1549808439,2356,2356
1549810346,2327,2327
1549812261,2334,2334
1549814196,2346,2346
1549816110,2354,2354
1549818098,2697,2697
1549819943,2704,2704
1549821893,2713,2713
1549823777,2716,2716
1549825711,2725,2725
1549827654,2730,2730
1549829543,2716,2716
1549831466,2721,2721
1549833412,2731,2731
1549835320,2590,2590
1549837224,2598,2598
1549839147,2597,2597
1549841086,2602,2602
1549842982,2613,2613
1549844899,2613,2613
1549846905,2609,2609
1549848770,2611,2611
1549850686,2690,2690
1549852595,2707,2707
1549854778,2707,2707
1549856668,2709,2709
1549858845,2706,2706
1549860760,2709,2709
1549862690,2710,2710
1549864575,2553,2553
1549866747,2548,2548
1549868682,2528,2528
1549870577,2540,2540
1549872506,2537,2537
1549874449,2525,2525
1549876346,2523,2523
1549878260,2521,2521
1549880207,2261,2261
1549882099,2265,2265
1549884214,2271,2271
1549886501,2275,2275
1549888344,2268,2268
1549890272,2271,2271
1549892212,2275,2275
1549894115,2274,2274
1549896093,2185,2185
1549897972,2203,2203
1549899882,2202,2202
1549901785,2195,2195
1549903717,1863,1863
1549905644,1870,1870
1549907547,1883,1883
1549909497,1888,1888
1549911382,1889,1889
1549913561,1890,1890
1549915731,1900,1900
1549917629,1906,1906
1549919560,1906,1906
1549921465,1893,1893
1549923399,1894,1894
1549925322,1893,1893
1549927288,2837,2837
1549929146,3093,3093
1549931064,3093,3093
1549933008,3063,3063
1549934899,3059,3059
1549936930,3059,3059
1549938773,3064,3064
1549940693,3066,3066
1549942830,2967,2967
1549944745,2960,2960
1549946683,2959,2959
1549948585,2961,2961
1549950764,2967,2967
1549952675,2970,2970
1549954713,2714,2714
1549956752,2780,2780
1549958693,3383,3383
1549960597,3393,3393
1549962508,3399,3399
1549964476,3398,3398
1549966368,3392,3392
1549968263,3401,3401
1549970210,3374,3374
1549972126,3380,3380
1549974049,3381,3381
1549975968,3382,3382
1549977863,3383,3383
1549979812,3389,3389
1549981721,3379,3379
1549983760,3387,3387
1549986804,3381,3381
1549988908,3389,3389
1549990913,3391,3391
1549992751,3384,3384
1549994683,3382,3382
1549996599,3366,3366
1549998541,3337,3337
1550000415,3346,3346
1550002347,3350,3350
1550004278,3349,3349
1550006189,3355,3355
1550008093,3355,3355
1550010015,3359,3359
1550011944,3362,3362
1550013866,3360,3360
1550015799,3353,3353
1550017696,3359,3359
1550019702,3358,3358
1550021552,3367,3367
1550023484,3364,3364
1550025397,3357,3357
1550027300,3363,3363
1550029216,3371,3371
1550031146,3379,3379
1550033056,3379,3379
1550035003,3377,3377
1550036905,3374,3374
1550038816,3371,3371
1550040781,3767,3767
1550042672,3702,3702
1550044608,3113,3113
1550046517,3114,3114
1550049385,3121,3121
1550051434,3129,3129
1550053239,3127,3127
1550055142,3126,3126
1550057088,3125,3125
1550058975,3162,3162
1550060932,3168,3168
1550062892,3167,3167
1550064776,3161,3161
1550066669,3164,3164
1550068610,3163,3163
1550070517,3122,3122
1550072432,3163,3163
1550074594,3164,3164
1550076430,3157,3157
1550078419,3162,3162
1550080354,3173,3173
1550082280,3179,3179
1550084175,3179,3179
1550086107,3183,3183
1550088122,3190,3190
1550089964,3193,3193
1550091903,3193,3193
1550093798,3184,3184
1550095725,3196,3196
1550098350,1852,1852
1550100263,1847,1847
1550102180,1847,1847
1550104099,1848,1848
1550106114,1851,1851
1550107963,1848,1848
1550109875,1852,1852
1550111786,1856,1856
1550113733,1855,1855
1550115621,2453,2453
1550117546,2679,2679
1550119470,2686,2686
1550121377,2695,2695
1550123306,2694,2694
1550125247,2697,2697
1550127153,2181,2181
1550129097,2179,2179
1550130989,2154,2154
1550132894,2139,2139
1550134896,2129,2129
1550136773,2129,2129
1550138695,2136,2136
1550140601,2142,2142
1550142515,2147,2147
1550144415,2121,2121
1550146358,2122,2122
1550148261,2127,2127
1550150446,2127,2127
1550152349,2137,2137
1550154265,2139,2139
1550156196,2131,2131
1550158095,2143,2143
1550160101,2146,2146
1550161961,2159,2159
1550163870,2166,2166
1550165785,2165,2165
1550167720,2162,2162
1550169617,2170,2170
1550171553,2167,2167
1550173479,2160,2160
1550175383,2156,2156
1550177293,2157,2157
1550179218,2159,2159
1550181151,2144,2144
1550183054,2141,2141
1550185017,2147,2147
1550186913,2140,2140
1550188882,2140,2140
1550190762,2141,2141
1550192916,2102,2102
1550194853,2099,2099
1550196770,2100,2100
1550198656,2105,2105
1550200608,2103,2103
1550202500,1261,1261
1550204416,1264,1264
1550206380,1256,1256
1550208256,1251,1251
1550210170,1254,1254
1550212122,1254,1254
1550214109,1246,1246
1550216043,1235,1235
1550217901,1233,1233
1550219799,1227,1227
1550221722,1229,1229
1550223646,1232,1232
1550225552,1240,1240
1550227461,1227,1227
1550229406,1237,1237
1550231561,1234,1234
1550233462,1230,1230
1550235384,1223,1223
1550237321,1195,1195
1550239296,1187,1187
1550241152,1181,1181
1550243089,1174,1174
1550245000,1178,1178
1550246975,1176,1176
1550248818,1159,1159
1550250741,1143,1143
1550252703,1142,1142
1550254857,1138,1138
1550256743,1129,1129
1550258671,1142,1142
1550260582,1146,1146
1550262522,1155,1155
1550264589,1150,1150
1550266582,1122,1122
1550268518,1325,1325
1550270436,1333,1333
1550272367,1330,1330
1550274257,1520,1520
1550276193,1520,1520
1550278105,1519,1519
1550280016,1520,1520
1550281960,1515,1515
1550283890,1508,1508
1550285776,1505,1505
1550287945,1499,1499
1550289879,1499,1499
1550291805,1495,1495
1550293719,1492,1492
1550295644,1495,1495
1550297549,1486,1486
1550299478,1492,1492
1550301374,1496,1496
1550303303,1504,1504
1550305120,1508,1508
1550307132,1506,1506
1550309064,1515,1515
1550310996,1508,1508
1550312896,1499,1499
1550314939,1532,1532
1550316759,1522,1522
1550318669,1528,1528
1550320574,1526,1526
1550322769,1532,1532
1550324682,1527,1527
1550326606,1525,1525
1550328499,1513,1513
1550330418,1519,1519
1550332365,1529,1529
1550334256,1527,1527
1550336185,1541,1541
1550338893,1538,1538
1550340779,1542,1542
1550342657,1542,1542
1550344579,1534,1534
1550346499,1537,1537
1550348420,1529,1529
1550350375,1524,1524
1550352264,1528,1528
1550354174,1498,1498
1550356107,1480,1480
1550358276,1543,1543
1550360446,1482,1482
1550362369,1516,1516
1550364288,1624,1624
1550366200,1804,1804
1550368096,1816,1816
1550370046,1821,1821
1550371946,1827,1827
1550373859,1826,1826
1550375804,1827,1827
1550377716,1827,1827
1550379695,1830,1830
1550381568,1889,1889
1550383472,1888,1888
1550385406,1916,1916
1550387323,1910,1910
1550389227,1902,1902
1550391159,1903,1903
1550393061,1904,1904
1550394977,1901,1901
1550396901,1898,1898
1550398841,2166,2166
1550400740,2078,2078
1550402671,2080,2080
