DateTime,AddedIPs,RemovedIPs
1549428265,7,8
1549430196,5,1
1549432132,7,8
1549434024,7,7
1549435935,4,7
1549437879,6,6
1549439798,4,3
1549441943,5,7
1549444123,5,6
1549446033,5,6
1549447944,3,6
1549449864,10,1
1549451795,1,6
1549453707,4,8
1549455643,5,2
1549457570,1,5
1549459465,8,6
1549462584,7,11
1549464501,6,5
1549466458,5,4
1549468354,5,5
1549470258,7,5
1549472212,3,2
1549474351,13,6
1549476263,5,4
1549478108,1,6
1549480111,3,12
1549482146,2,2
1549484181,3,4
1549486097,2,7
1549488035,4,4
1549489944,5,8
1549491852,2,8
1549493801,6,5
1549495693,8,7
1549497689,2,2
1549499820,4,5
1549501713,1,10
1549503616,2,9
1549505539,6,16
1549507529,3,14
1549509380,2,12
1549511540,3,19
1549513462,3,18
1549515403,5,9
1549517299,2,6
1549519308,4,7
1549521173,4,7
1549523088,4,4
1549524980,5,5
1549526930,7,6
1549528821,6,1
1549530734,4,6
1549532684,6,7
1549534578,7,4
1549536750,4,7
1549538671,4,4
1549540602,2,1
1549542522,4,7
1549544502,4,4
1549546363,3,5
1549548292,0,3
1549550198,1,3
1549552133,2,8
1549554024,6,5
1549555956,1,5
1549557886,9,7
1549560067,1,11
1549561961,3,5
1549563875,5,1
1549565798,0,5
1549567708,2,3
1549570599,5,6
1549572500,5,2
1549574446,2,5
1549576349,2,5
1549578471,6,2
1549580494,3,7
1549582364,1,3
1549584288,5,1
1549586177,1,5
1549588123,2,1
1549590025,4,4
1549591940,1,5
1549593857,6,4
1549595808,3,2
1549597708,0,2
1549599619,1,3
1549601554,1,5
1549603477,5,1
1549605372,4,3
1549607406,2,5
1549609291,7,4
1549611411,5,6
1549613333,4,10
1549615241,9,6
1549617158,14,3
1549619058,13,5
1549621004,9,5
1549622912,13,3
1549624845,6,3
1549626763,7,1
1549628658,9,6
1549630592,7,3
1549632626,13,4
1549635396,12,2
1549637294,8,2
1549639243,9,6
1549641153,3,3
1549643067,5,2
1549645001,10,7
1549646905,4,2
1549648892,8,7
1549650764,5,3
1549652676,6,1
1549654577,0,2
1549656524,2,5
1549658421,2,3
1549660369,4,3
1549662278,3,1
1549664190,4,2
1549666099,9,3
1549668046,2,2
1549669955,2,6
1549671881,6,1
1549673797,1,1
1549675706,1,3
1549677671,2,3
1549679581,7,4
1549681483,3,4
1549683378,8,2
1549685303,5,1
1549687231,2,2
1549689137,2,4
1549691067,5,5
1549692994,1,2
1549695165,7,6
1549697053,5,7
1549699004,7,4
1549700891,13,5
1549702863,7,15
1549704748,11,8
1549706683,8,11
1549708593,11,9
1549710533,14,8
1549712415,9,5
1549714352,7,8
1549716267,8,7
1549718211,7,4
1549720119,14,10
1549722053,7,5
1549723931,2,6
1549725857,4,7
1549727798,5,2
1549729696,3,4
1549731690,6,9
1549733548,7,7
1549735462,6,6
1549737389,5,5
1549739299,4,5
1549741582,12,0
1549743393,14,4
1549745325,12,3
1549747237,5,4
1549749137,4,3
1549752289,9,12
1549754225,7,3
1549756098,7,2
1549758032,5,4
1549759935,2,2
1549761890,6,1
1549763803,3,1
1549765957,2,8
1549767886,6,2
1549769796,5,7
1549771724,4,7
