DateTime,Entries,UniqueIPs
1549430197,4687,4687
1549432133,4728,4728
1549434025,4753,4753
1549435936,4795,4795
1549437880,4827,4827
1549439799,4862,4862
1549441944,4888,4888
1549444124,4914,4914
1549446034,4929,4929
1549447946,4960,4960
1549449865,4993,4993
1549451796,5015,5015
1549453708,4926,4926
1549455644,4699,4699
1549457571,4526,4526
1549459467,4387,4387
1549461682,4229,4229
1549463563,4096,4096
1549465471,3988,3988
1549467637,3887,3887
1549469536,3840,3840
1549471712,3772,3772
1549473670,3733,3733
1549475786,3676,3676
1549478109,3637,3637
1549480113,3616,3616
1549482161,3578,3578
1549484182,3547,3547
1549486099,3575,3575
1549488036,3618,3618
1549489945,3646,3646
1549491853,3675,3675
1549493802,3699,3699
1549495694,3763,3763
1549497698,3789,3789
1549499822,3855,3855
1549501715,3897,3897
1549503617,3965,3965
1549505540,4012,4012
1549507530,4038,4038
1549509381,4080,4080
1549511541,4126,4126
1549513463,4191,4191
1549515404,4242,4242
1549517300,4300,4300
1549519313,4349,4349
1549521175,4386,4386
1549523090,4408,4408
1549524981,4457,4457
1549526931,4493,4493
1549528822,4547,4547
1549530735,4593,4593
1549532685,4640,4640
1549534579,4685,4685
1549536751,4738,4738
1549538672,4782,4782
1549540603,4815,4815
1549542524,4856,4856
1549544511,4864,4864
1549546364,4851,4851
1549548294,4860,4860
1549550200,4856,4856
1549552135,4841,4841
1549554025,4814,4814
1549555957,4775,4775
1549557887,4737,4737
1549560068,4681,4681
1549561962,4664,4664
1549563876,4625,4625
1549565799,4591,4591
1549567709,4569,4569
1549569674,4548,4548
1549571567,4496,4496
1549573479,4399,4399
1549575388,4375,4375
1549577334,4357,4357
1549579247,4357,4357
1549581181,4339,4339
1549583085,4341,4341
1549585240,4382,4382
1549587145,4364,4364
1549589058,4352,4352
1549591287,4310,4310
1549593168,4304,4304
1549595138,4318,4318
1549596976,4324,4324
1549599148,4326,4326
1549601063,4356,4356
1549602990,4337,4337
1549604924,4348,4348
1549606844,4390,4390
1549608766,4427,4427
1549610930,4447,4447
1549612907,4468,4468
1549614751,4482,4482
1549616698,4489,4489
1549618583,4515,4515
1549620500,4528,4528
1549622436,4540,4540
1549624347,4570,4570
1549626257,4592,4592
1549628476,4606,4606
1549630360,4644,4644
1549632272,4631,4631
1549634183,4649,4649
1549636118,4681,4681
1549638088,4683,4683
1549639978,4684,4684
1549641875,4692,4692
1549643784,4702,4702
1549645719,4696,4696
1549647625,4696,4696
1549649544,4685,4685
1549651480,4671,4671
1549653391,4655,4655
1549655308,4638,4638
1549657248,4643,4643
1549659146,4652,4652
1549661065,4641,4641
1549662991,4581,4581
1549664907,4496,4496
1549666859,4486,4486
1549668751,4475,4475
1549670687,4465,4465
1549672592,4505,4505
1549674503,4589,4589
1549676412,4685,4685
1549678332,4798,4798
1549680261,4960,4960
1549682202,5081,5081
1549684094,5237,5237
1549686027,5395,5395
1549687934,5612,5612
1549689854,5754,5754
1549691778,5785,5785
1549693720,5817,5817
1549695718,5840,5840
1549697571,5862,5862
1549699483,5884,5884
1549701377,5903,5903
1549703306,5922,5922
1549705251,5952,5952
1549707160,5975,5975
1549709065,5993,5993
1549710979,6007,6007
1549712907,6023,6023
1549714850,6041,6041
1549716756,6054,6054
1549718679,6068,6068
1549720585,6081,6081
1549722775,6090,6090
1549724663,6107,6107
1549726578,6122,6122
1549728571,6133,6133
1549730424,6141,6141
1549732373,6148,6148
1549734261,6159,6159
1549736175,6172,6172
1549738115,6178,6178
1549740016,6182,6182
1549741973,6190,6190
1549743862,6201,6201
1549745805,6214,6214
1549747697,5990,5990
1549749649,5781,5781
1549752290,5498,5498
1549754227,5234,5234
1549756100,4957,4957
1549758033,4661,4661
1549759936,4329,4329
1549761891,4050,4050
1549763804,3744,3744
1549765958,3502,3502
1549767887,3267,3267
1549769798,3052,3052
1549771725,2849,2849
1549773644,2627,2627
1549775538,2451,2451
1549777467,2545,2545
1549779398,2673,2673
1549781305,2720,2720
1549783229,2748,2748
1549785177,2756,2756
1549787057,2768,2768
1549788998,2793,2793
1549790918,2794,2794
1549792903,2806,2806
1549794745,2815,2815
1549796683,2838,2838
1549798850,2858,2858
1549800775,2872,2872
1549802668,2909,2909
1549804654,2922,2922
1549806511,2949,2949
1549808445,2979,2979
1549810348,3013,3013
1549812263,3037,3037
1549814198,3045,3045
1549816111,3075,3075
1549818111,3097,3097
1549819945,3112,3112
1549821894,3139,3139
1549823778,3159,3159
1549825712,3190,3190
1549827655,3224,3224
1549829545,3247,3247
1549831468,3272,3272
1549833414,3284,3284
1549835322,3269,3269
1549837225,3277,3277
1549839149,3246,3246
1549841087,3220,3220
1549842983,3188,3188
1549844900,3114,3114
1549846908,3051,3051
1549848771,2961,2961
1549850688,2889,2889
1549852596,2788,2788
1549854779,2701,2701
1549856670,2594,2594
1549858847,2472,2472
1549860761,2358,2358
1549862691,2215,2215
1549864576,2106,2106
1549866748,2004,2004
1549868683,2009,2009
1549870579,1995,1995
1549872507,2002,2002
1549874450,2008,2008
1549876347,2008,2008
1549878261,2011,2011
1549880208,2006,2006
1549882101,2008,2008
1549884215,2001,2001
1549886515,2013,2013
1549888347,1994,1994
1549890274,1978,1978
1549892213,1983,1983
1549894117,1972,1972
1549896095,1955,1955
1549897974,1959,1959
1549899883,1959,1959
1549901787,1969,1969
1549903718,1977,1977
1549905646,1978,1978
1549907548,1995,1995
1549909498,2073,2073
1549911384,2096,2096
1549913562,2102,2102
1549915733,2098,2098
1549917630,2103,2103
1549919562,2108,2108
1549921467,2134,2134
1549923401,2130,2130
1549925323,2144,2144
1549927290,2153,2153
1549929147,2156,2156
1549931065,2176,2176
1549933009,2200,2200
1549934900,2241,2241
1549936931,2252,2252
1549938774,2248,2248
1549940701,2249,2249
1549942832,2246,2246
1549944759,2236,2236
1549946684,2233,2233
1549948586,2231,2231
1549950765,2217,2217
1549952676,2213,2213
1549954715,2224,2224
1549956754,2199,2199
1549958695,2196,2196
1549960598,2193,2193
1549962509,2198,2198
1549964477,2212,2212
1549966370,2223,2223
1549968265,2217,2217
1549970212,2208,2208
1549972127,2210,2210
1549974051,2215,2215
1549975969,2226,2226
1549977865,2240,2240
1549979814,2242,2242
1549981722,2243,2243
1549983761,2259,2259
1549986806,2241,2241
1549988910,2225,2225
1549990914,2215,2215
1549992753,2207,2207
1549994684,2185,2185
1549996601,2100,2100
1549998542,2085,2085
1550000417,2081,2081
1550002348,2076,2076
1550004280,2072,2072
1550006190,2058,2058
1550008095,2055,2055
1550010017,2049,2049
1550011945,2030,2030
1550013867,2018,2018
1550015800,2002,2002
1550017698,1991,1991
1550019715,1990,1990
1550021554,1972,1972
1550023486,1980,1980
1550025399,2008,2008
1550027302,2006,2006
1550029218,1999,1999
1550031149,1997,1997
1550033058,2000,2000
1550035005,1996,1996
1550036907,2004,2004
1550038818,2008,2008
1550040783,1992,1992
1550042674,1992,1992
1550044610,1989,1989
1550046519,1990,1990
1550049386,1986,1986
1550051436,1970,1970
1550053242,1948,1948
1550055144,1955,1955
1550057090,1947,1947
1550058977,1932,1932
1550060934,1925,1925
1550062894,1915,1915
1550064777,1923,1923
1550066671,1923,1923
1550068611,1915,1915
1550070519,1908,1908
1550072433,1911,1911
1550074595,1930,1930
1550076431,1922,1922
1550078420,1942,1942
1550080356,1945,1945
1550082281,1935,1935
1550084176,1930,1930
1550086108,1939,1939
1550088124,1943,1943
1550089965,1940,1940
1550091904,1942,1942
1550093800,1918,1918
1550095727,2009,2009
1550098353,2086,2086
1550100265,2128,2128
1550102182,2147,2147
1550104101,2148,2148
1550106122,2165,2165
1550107965,2181,2181
1550109877,2162,2162
1550111788,2137,2137
1550113735,2130,2130
1550115623,2140,2140
1550117548,2146,2146
1550119471,2142,2142
1550121378,2137,2137
1550123308,2127,2127
1550125248,2141,2141
1550127155,2147,2147
1550129099,2157,2157
1550130991,2157,2157
1550132896,2149,2149
1550134898,2163,2163
1550136775,2157,2157
1550138697,2183,2183
1550140616,2163,2163
1550142517,2176,2176
1550144416,2160,2160
1550146360,2157,2157
1550148264,2166,2166
1550150447,2170,2170
1550152350,2153,2153
1550154267,2171,2171
1550156198,2158,2158
1550158097,2145,2145
1550160102,2135,2135
1550161962,2141,2141
1550163872,2151,2151
1550165787,2112,2112
1550167722,2106,2106
1550169618,2104,2104
1550171555,2106,2106
1550173481,2072,2072
1550175385,2068,2068
1550177295,2052,2052
1550179220,2038,2038
1550181152,1966,1966
1550183055,1904,1904
1550185019,1870,1870
1550186915,1823,1823
1550188884,1805,1805
1550190763,1784,1784
1550192918,1765,1765
1550194855,1783,1783
1550196772,1791,1791
1550198657,1788,1788
1550200609,1783,1783
1550202502,1792,1792
1550204418,1786,1786
1550206382,1787,1787
