DateTime,AddedIPs,RemovedIPs
1547785948,0,1
1547790059,0,1
1547795810,0,2
1547813559,2,0
1547815476,0,1
1547817391,0,1
1547821488,1,0
1547829787,1,0
1547835890,1,0
1547855806,1,1
1547857704,0,1
1547861577,0,2
1547867550,1,1
1547877378,1,0
1547889159,1,0
1547898996,0,1
1547900902,1,1
1547902888,1,0
1547906668,0,1
1547912680,1,0
1547918816,1,0
1547924676,1,0
1547928771,0,1
1547934768,1,0
1547940747,0,1
1547954192,0,1
1547963800,1,1
1547975324,0,1
1547977218,1,1
1547987069,0,1
1547988982,0,1
1547993099,1,0
1547999090,0,1
1548004853,1,1
1548010580,1,0
1548022584,0,1
1548031247,2,0
1548050756,1,1
1548056663,1,0
1548068671,1,0
1548072500,0,1
1548078527,0,1
1548086487,1,0
1548090295,1,0
1548092196,0,1
1548096307,0,1
1548098198,1,1
1548111938,1,0
1548117872,0,2
1548129696,1,0
1548137324,1,1
1548143056,1,1
1548150995,2,0
1548154922,0,1
1548168260,2,0
1548172364,0,1
1548176201,2,1
1548180085,1,0
1548183889,1,0
1548185775,0,1
1548189861,1,0
1548197604,0,1
1548215055,0,1
1548217288,1,0
1548223002,0,1
1548228994,0,1
1548230947,1,0
1548234991,1,0
1548237313,1,2
1548251549,1,0
1548253532,0,1
1548255410,0,1
1548259306,1,0
1548261404,0,1
1548263305,0,1
1548265482,1,1
1548271467,1,1
1548277511,0,1
1548295509,1,0
1548297401,1,0
1548301292,1,0
1548305336,0,1
1548311318,1,0
1548317110,0,1
1548321155,0,1
1548323087,0,1
1548325236,1,0
1548327164,1,0
1548336992,1,1
1548345172,0,1
1548351408,0,1
1548357165,1,1
1548362922,1,0
1548376618,1,0
1548378753,1,0
1548384747,1,2
1548388579,0,1
1548394580,1,0
1548396505,1,1
1548404198,1,0
1548406369,1,0
1548410215,1,0
1548412360,0,1
1548414299,0,1
1548423867,0,1
1548441860,0,1
1548443837,1,0
1548449784,0,1
1548463463,0,1
1548465651,0,1
1548467543,1,0
1548471394,0,1
1548480978,0,1
1548482934,0,1
1548490593,0,1
1548498301,0,1
1548502360,0,1
1548508110,1,0
1548510035,1,0
1548531622,0,1
1548559019,1,0
1548566711,2,0
1548568596,1,0
1548570527,1,0
1548580104,1,1
1548595986,0,2
1548597899,1,0
1548599816,1,0
1548605544,1,0
1548613226,2,0
1548642052,1,0
1548643938,0,1
1548653678,0,1
1548655484,0,1
1548657409,0,1
1548667269,1,1
1548673339,1,0
1548679221,1,0
1548685255,1,1
1548691106,2,0
1548692909,0,1
1548700597,0,1
1548702504,0,1
1548708296,0,1
1548730106,2,1
1548732035,1,0
1548733970,1,0
1548759159,1,0
1548766929,1,1
1548768774,1,0
1548770853,0,1
1548776670,0,1
1548778513,1,1
1548784606,0,1
1548799019,1,0
1548805530,0,1
1548811450,1,0
1548817462,0,3
1548823229,0,1
1548839106,0,1
1548845060,0,1
1548852994,0,1
1548855146,0,1
1548865256,2,1
1548877005,0,1
1548886834,0,1
1548897178,0,1
1548905078,1,0
1548919268,1,0
1548923055,1,0
1548925000,1,0
1548936517,1,0
1548951890,0,1
1548961949,1,0
1548975662,0,1
1548977564,1,0
1548983570,1,0
1548985461,1,0
1548991502,0,1
1549007085,0,1
1549011145,0,2
1549022683,0,1
1549032288,1,0
1549043823,1,0
1549045703,2,0
1549047721,0,1
1549053654,1,0
1549057496,1,0
1549063481,0,1
1549069501,1,1
1549071381,0,1
1549081465,1,0
1549083696,1,0
1549095178,1,0
1549097059,1,0
1549116989,0,1
1549120842,1,0
1549124664,1,0
1549128760,1,1
1549130704,1,1
1549133029,1,1
1549138817,1,0
1549140766,0,1
1549144897,0,1
1549146764,1,0
1549150847,2,0
1549152754,1,0
