DateTime,AddedIPs,RemovedIPs
1548696740,0,1
1548706347,2,0
1548716217,0,2
1548720299,1,0
1548722184,0,1
1548724370,3,1
1548732035,0,1
1548739700,0,1
1548743566,2,1
1548749556,1,0
1548757242,1,0
1548761089,0,1
1548762984,0,1
1548768773,0,1
1548782665,1,0
1548784605,1,0
1548791102,1,0
1548793233,2,2
1548795178,1,0
1548797082,1,0
1548799019,1,0
1548805530,1,0
1548807521,0,1
1548809561,0,2
1548811450,1,0
1548821313,1,0
1548829233,1,1
1548831163,1,0
1548833090,1,0
1548843136,1,0
1548847015,1,0
1548863050,0,1
1548867162,1,0
1548869080,0,1
1548870975,0,1
1548872896,0,1
1548875093,1,0
1548878933,1,0
1548880828,1,1
1548882765,0,2
1548884703,2,0
1548886834,0,1
1548890916,1,0
1548892948,1,2
1548896713,1,0
1548898822,0,2
1548906742,1,0
1548912771,0,1
1548914705,0,1
1548916585,1,1
1548918747,1,1
1548922583,0,1
1548928608,0,1
1548930497,0,1
1548932513,0,1
1548934348,1,0
1548936263,3,0
1548963865,1,0
1548965784,0,1
1548967718,0,1
1548969639,2,0
1548971551,0,2
1548975661,1,0
1548977564,0,1
1548979547,0,1
1548981385,2,0
1548983569,0,1
1548987663,1,0
1548993398,0,1
1548997246,1,0
1549001102,1,0
1549003275,0,1
1549020774,0,2
1549022683,0,2
1549024600,1,0
1549026508,2,0
1549032288,1,0
1549039987,1,0
1549047721,0,1
1549049580,1,0
1549051507,1,1
1549053654,1,0
1549055544,0,2
1549059393,1,0
1549061571,1,0
1549063481,1,0
1549065688,1,0
1549067548,1,1
1549073556,0,1
1549079569,2,0
1549083689,0,1
1549087494,1,1
1549091331,1,0
1549095177,1,0
1549105293,1,1
1549110985,1,1
1549113170,0,2
1549115060,1,1
1549120841,1,0
1549126595,1,1
1549128759,2,0
1549136892,0,1
1549138816,1,0
1549140766,1,1
1549144896,1,1
1549146764,3,1
1549148718,0,1
1549150847,0,2
1549154668,1,1
1549162376,0,1
1549164301,1,0
1549166176,1,2
1549171956,3,0
1549173901,0,1
1549175790,3,0
1549177968,0,3
1549179859,1,0
1549181804,3,0
1549183697,1,0
1549185641,1,0
1549191387,1,1
1549193568,1,1
1549197405,0,1
1549201260,0,1
1549203418,1,0
1549207465,1,1
1549209403,1,0
1549214179,0,2
1549216099,2,1
1549225706,0,1
1549227673,2,1
1549231706,1,1
1549233636,0,2
1549238188,1,0
1549240133,0,1
1549245896,0,1
1549251627,0,2
1549255476,2,0
1549257381,2,2
1549263145,1,3
1549265092,0,1
1549266977,1,2
1549270882,0,4
1549273131,0,1
1549275145,1,0
1549280908,0,1
1549284763,1,1
1549286653,2,0
1549290743,0,1
1549292678,0,1
1549294605,1,0
1549296567,0,1
1549300605,1,0
1549302503,0,2
1549310466,2,0
1549314535,3,1
1549316415,2,1
1549318376,1,0
1549320253,0,1
1549322460,1,0
1549324343,1,0
1549330122,1,0
1549332103,1,0
1549336044,1,0
1549338058,1,1
1549341853,0,1
1549343781,2,2
1549345714,2,0
1549347646,1,0
1549349539,0,1
1549353378,1,1
1549361105,0,1
1549370672,1,1
1549374496,0,2
1549377677,2,0
1549381464,1,1
1549383374,1,0
1549387481,0,1
1549389392,2,0
1549395159,1,0
1549397086,0,2
1549400958,0,3
1549402814,0,2
1549404743,1,1
1549408585,0,1
1549410749,0,1
1549412933,1,0
1549416775,1,1
1549418684,1,1
1549422513,0,2
1549424447,1,0
