DateTime,AddedIPs,RemovedIPs
1544342665,0,1
1544346750,1,0
1544364109,1,0
1544373649,0,1
1544377467,1,0
1544385399,0,1
1544396927,1,0
1544412505,1,1
1544418317,0,1
1544426192,1,0
1544428097,0,1
1544431942,0,1
1544451392,0,1
1544459781,1,0
1544463642,0,1
1544479476,1,0
1544483560,0,1
1544495314,1,0
1544497319,0,1
1544513307,0,1
1544545481,0,1
1544551458,1,0
1544555316,1,0
1544559417,1,0
1544565163,0,1
1544575226,1,0
1544581215,0,1
1544585079,1,0
1544633804,1,0
1544637879,0,1
1544641956,0,1
1544646273,0,1
1544662121,0,1
1544666214,1,0
1544670115,0,1
1544691906,1,0
1544695731,1,0
1544719500,0,1
1544752615,0,1
1544768447,1,0
1544778121,0,1
1544782148,0,1
1544796111,1,0
1544813777,1,0
1544815971,1,0
1544826281,2,0
1544836130,1,0
1544844058,1,0
1544856047,0,1
1544881709,0,1
1544899496,0,1
1544901396,0,1
1544911465,0,1
1544913381,0,1
1544923133,0,1
1544928997,0,1
1544991154,1,0
1545004848,1,0
1545010488,1,0
1545022093,1,0
1545045410,1,0
1545065573,1,0
1545077788,0,1
1545089459,0,1
1545098117,0,1
1545107809,0,1
1545113662,1,0
1545115491,1,0
1545131098,0,1
1545152936,0,1
1545180779,1,0
1545184579,1,0
1545192743,1,0
1545198750,0,1
1545202577,0,1
1545222761,1,0
1545265718,0,1
1545271707,0,1
1545277457,0,1
1545289337,1,0
1545308452,0,1
1545320198,1,0
1545324042,1,0
1545325942,1,0
1545327884,1,0
1545333865,1,0
1545376847,0,1
1545400364,1,0
1545408037,0,1
1545410206,0,1
1545412349,0,1
1545414305,0,1
1545420043,0,1
1545459854,1,0
1545475461,1,0
1545487285,0,1
1545493245,1,0
1545495180,1,0
1545497084,1,0
1545498978,1,0
1545511460,1,0
1545541001,1,0
1545546752,0,1
1545562341,0,1
1545570263,2,0
1545579885,0,1
1545581800,0,1
1545583965,0,1
1545586135,0,1
1545593822,1,0
1545597659,0,1
1545603875,1,0
1545628107,0,1
1545637970,1,0
1545639893,1,0
1545657173,0,2
1545678276,1,0
1545680439,0,1
1545690289,0,1
1545704195,1,0
1545717897,1,0
1545723646,1,0
1545725817,0,2
1545747147,1,0
1545761092,1,0
1545763004,1,0
1545764925,0,1
1545766828,1,0
1545768992,1,0
1545776683,1,0
1545790136,0,1
1545805951,0,1
1545809789,0,1
1545833065,0,1
1545845060,1,0
1545847298,1,0
1545849152,0,2
1545852985,1,1
1545854926,0,1
1545864513,0,1
1545870262,1,0
1545878208,2,0
1545921390,1,0
1545931233,0,1
1545935059,2,1
1545938895,1,1
1545940918,1,0
1545956447,0,1
1545962513,1,0
1545964373,0,2
1545984261,1,0
1546004185,1,0
1546006099,0,1
1546021995,0,2
1546023887,1,0
1546026048,0,1
1546027950,2,1
1546050270,0,1
1546054356,2,0
1546066369,1,0
1546070511,0,1
1546089876,0,1
1546111469,0,1
1546113414,1,1
1546115312,0,1
1546121073,1,0
1546123010,1,0
1546127058,2,0
1546129264,1,0
1546140983,0,2
1546153006,0,1
1546200277,0,1
1546208203,0,2
1546213953,0,2
1546221397,1,1
1546230966,1,0
1546266989,1,0
1546271078,1,0
1546278988,2,0
1546308032,0,1
1546309948,2,0
1546313776,2,0
1546317867,1,1
1546335173,1,0
1546339000,4,0
1546350763,1,0
1546352679,0,1
1546356743,0,1
1546364413,1,1
1546366334,0,1
1546370451,1,0
1546380281,1,0
1546396101,0,2
1546399948,0,2
1546405712,1,1
1546411945,1,0
1546415826,1,0
1546421563,0,1
1546425411,0,4
1546436932,0,1
1546448546,1,0
1546450598,0,1
1546456605,1,1
1546466695,0,1
1546474852,1,0
1546491131,0,1
1546499086,1,1
1546502899,0,1
1546504854,1,0
1546506735,1,0
1546536272,0,1
1546542294,0,1
1546546357,1,0
1546548269,1,0
1546561955,0,1
1546563891,2,0
1546585341,0,1
1546589094,1,0
1546591007,0,1
1546592915,0,1
1546616453,1,0
1546622689,1,0
1546632780,1,1
1546634667,0,1
1546650094,0,2
1546675738,0,1
1546679562,1,0
1546687469,1,0
1546703086,0,1
1546708837,0,1
1546712668,1,0
1546720353,0,1
1546732109,1,0
1546764024,1,0
1546765953,0,1
1546773886,0,1
1546782053,1,0
1546783948,1,0
1546787779,1,0
1546791921,1,0
1546797712,1,0
1546799551,0,1
1546818988,0,1
1546825267,1,0
1546827200,1,0
1546850425,1,1
1546866548,1,0
1546868426,0,1
1546870353,0,1
1546874185,0,1
1546876373,1,0
1546878296,0,1
1546884087,0,1
1546911387,0,1
1546913576,1,1
1546935141,0,1
1546953169,0,1
1546963001,0,1
1546998282,0,1
1547042488,1,0
1547048421,1,0
1547054659,1,0
1547058770,1,0
1547113016,2,0
1547129794,0,1
1547133670,0,1
1547135551,1,0
1547139712,0,1
1547141555,1,0
1547145174,0,1
1547163156,1,0
1547184284,1,0
1547198438,0,1
1547200365,0,1
1547218342,1,0
1547222538,0,1
1547228427,0,1
1547230368,1,0
1547249594,0,1
1547271389,0,1
1547289667,1,0
1547305518,0,1
1547313900,1,0
1547315779,1,0
1547317705,0,1
1547332415,2,0
1547334517,1,0
1547350115,1,0
1547374836,0,1
1547400302,0,1
1547402535,0,1
1547418281,0,1
1547420550,0,2
1547424332,1,0
1547426182,1,0
1547436304,0,1
1547496274,1,0
1547498207,1,0
1547500369,1,0
1547504604,1,0
1547511154,0,2
1547546697,1,0
1547576687,1,0
1547582706,0,1
1547584614,1,1
1547586527,0,1
1547592283,0,1
1547604104,4,0
1547605955,3,0
1547628810,1,0
1547630677,1,0
1547632607,1,0
1547634509,0,1
1547636569,2,0
1547638838,1,0
1547644837,1,0
1547662368,0,1
1547670768,0,1
1547672924,1,0
1547691148,0,6
1547693079,0,1
1547697182,1,0
1547715173,0,1
1547717070,0,1
1547718980,0,1
1547723114,0,2
1547725031,0,1
1547731005,0,1
1547754780,1,0
1547758610,0,1
1547766326,1,0
1547783778,0,1
1547835890,1,0
1547839949,0,1
1547841943,1,0
1547853867,0,1
1547873567,1,0
1547886976,1,0
1547900902,1,0
1547920884,1,0
1547922745,0,1
1547928772,0,1
1547959949,0,1
1547973402,0,1
1547987070,0,1
1547991170,1,0
1547999091,1,0
1548000999,1,0
1548006766,0,1
1548016831,2,0
1548033442,1,0
1548064602,1,0
1548076485,0,1
1548084302,0,1
1548086488,0,1
1548098199,1,0
1548102034,0,1
1548103978,0,1
1548117873,1,0
1548119791,0,1
1548133514,1,0
1548135377,1,0
1548150996,0,1
1548160601,1,0
1548170472,1,0
1548183889,0,1
1548203587,0,1
1548221063,0,2
1548225155,1,0
1548247470,1,1
1548257296,0,1
1548269566,1,0
1548289505,1,0
1548311318,0,1
1548332905,0,1
1548345173,1,0
1548351409,1,0
1548357165,0,1
1548374564,0,1
1548394580,1,0
1548431810,0,1
1548437781,0,1
1548473334,1,0
1548477143,1,0
1548480979,0,1
1548553019,1,0
1548559020,0,1
1548562857,0,1
1548585867,1,0
1548597900,1,0
1548639890,0,1
1548673342,0,1
1548681137,0,1
1548768775,1,0
1548774782,1,0
1548802958,1,0
1548855147,0,1
1548861185,0,1
1548872897,1,0
1548875094,1,0
1548888778,0,1
1548940353,1,0
1548960051,2,1
1548961950,0,1
1549009255,1,0
1549018968,1,0
1549026509,0,1
1549028419,4,0
1549030343,1,0
1549032289,2,0
1549036131,1,0
1549043823,1,0
1549045703,1,1
1549047722,1,1
1549049582,1,0
1549053655,2,0
1549083702,1,0
1549095178,0,1
1549105299,0,1
1549115061,0,5
1549116990,1,0
1549118930,0,2
1549120842,0,1
1549128760,1,1
1549130706,0,1
1549133029,0,1
1549136894,0,1
1549138817,0,1
1549140767,0,1
1549170125,0,1
1549181805,1,0
1549203419,0,1
1549216100,0,1
1549221874,1,0
1549268926,0,1
1549270886,1,0
1549296568,1,0
1549308555,0,1
1549341854,1,0
1549357295,0,1
1549383375,0,1
1549426368,0,1
1549428756,1,0
1549505541,1,0
1549515406,0,1
1549519324,1,0
1549593169,0,1
1549604926,0,1
1549651216,1,0
1549676191,1,0
1549701379,1,0
1549738117,0,1
1549761893,0,1
1549785179,0,1
1549798345,1,0
1549874652,1,0
1549886519,0,1
1549888349,1,0
1549960600,0,1
1549966372,1,0
1549974052,0,1
1550013869,1,0
1550053244,0,1
1550080358,1,0
1550086111,1,0
1550100267,0,1
1550104102,1,0
1550150449,1,0
1550167724,1,1
1550173483,0,1
1550190765,0,1
1550223650,1,0
1550235387,0,1
1550245003,1,0
1550248821,1,0
1550254860,0,1
1550256746,1,0
1550262525,1,0
1550272371,179,0
1550274261,1013,0
1550276196,1429,0
1550278109,2713,0
1550280019,1458,0
1550305137,1,0
1550322773,1,0
1550332369,2,0
1550336189,1,0
1550338897,1,0
1550342660,1,0
1550344583,1,0
1550348424,1,0
1550352268,1,0
1550356110,1,0
1550360450,1,1032
1550362373,0,1365
1550364292,1,2543
1550366203,0,1857
1550377721,1,0
1550385409,2,0
1550393065,0,1
