DateTime,AddedIPs,RemovedIPs
1544901396,0,1
1544927072,1,0
1544928998,1,0
1544930906,0,1
1545013956,0,1
1545028822,1,1
1545032908,1,0
1545036743,1,0
1545058919,1,0
1545064585,1,0
1545076376,1,0
1545088137,1,0
1545107809,1,0
1545109740,5,0
1545113663,1,0
1545115492,0,1
1545121259,1,0
1545123161,0,1
1545140926,1,0
1545150977,0,1
1545154828,1,0
1545162755,0,1
1545174750,0,1
1545180779,0,1
1545194707,0,1
1545196597,0,5
1545198751,0,1
1545208820,0,1
1545228738,1,1
1545240513,0,1
1545255910,1,0
1545279390,0,1
1545289337,1,0
1545316095,0,1
1545325943,1,0
1545368559,2,0
1545376847,0,1
1545378756,1,0
1545388589,1,0
1545412350,0,1
1545423887,1,0
1545456048,0,2
1545465697,0,1
1545475462,0,1
1545479299,1,0
1545485319,1,0
1545511460,0,1
1545513658,0,1
1545517483,2,0
1545539062,1,0
1545541002,8,0
1545566204,0,1
1545568367,1,0
1545572196,0,1
1545583966,1,0
1545599576,1,0
1545603875,2,2
1545624315,0,1
1545626180,0,8
1545645728,1,0
1545653315,0,1
1545657174,1,0
1545662901,1,0
1545668599,1,0
1545670576,0,1
1545672530,1,0
1545674538,3,0
1545686188,0,1
1545731797,0,1
1545743329,0,1
1545751012,0,1
1545753458,1,0
1545759170,0,3
1545761092,0,1
1545770903,1,0
1545774772,1,0
1545782548,1,0
1545784376,1,0
1545801886,0,1
1545803804,1,0
1545805952,1,0
1545809789,1,0
1545821546,1,0
1545829317,1,0
1545841006,0,1
1545847298,1,0
1545858767,0,1
1545860670,0,1
1545870262,0,2
1545880104,1,0
1545889946,1,0
1545891868,0,2
1545909648,0,1
1545915375,0,1
1545927415,1,0
1545933162,0,1
1545966330,0,1
1545970376,1,0
1545976367,0,1
1545982411,1,0
1546002308,1,1
1546013786,1,1
1546027951,1,0
1546033964,1,0
1546039986,1,0
1546056287,0,1
1546068266,0,1
1546081959,1,0
1546087954,0,1
1546101417,1,0
1546111470,1,0
1546115312,0,1
1546119144,0,1
1546125172,0,1
1546139094,0,1
1546151068,1,0
1546166692,1,0
1546168586,0,1
1546184215,1,0
1546186391,0,1
1546198348,0,1
1546200278,1,0
1546226676,1,0
1546236286,0,1
1546253783,0,1
1546255949,1,0
1546261965,1,0
1546271541,0,1
1546285493,0,1
1546291461,1,0
1546301337,1,0
1546309483,1,0
1546311703,0,1
1546343136,0,1
1546348828,0,1
1546358684,1,0
1546374280,1,0
1546378374,0,1
1546386027,1,0
1546388212,0,1
1546396102,0,1
1546399948,1,0
1546431160,1,0
1546446515,0,1
1546460893,0,1
1546472672,0,1
1546484898,1,0
1546487062,0,1
1546504854,1,0
1546516345,0,1
1546520203,1,0
1546560146,1,0
1546571559,0,1
1546573485,3,0
1546575660,1,0
1546591007,0,1
1546596793,1,0
1546606401,1,1
1546620792,1,0
1546632781,1,0
1546646211,3,0
1546648018,0,1
1546659864,0,3
1546662052,0,1
1546683490,0,1
1546693302,0,1
1546705018,1,0
1546706909,0,1
1546708838,1,0
1546718529,1,0
1546720354,0,1
1546732110,0,3
1546779900,1,0
1546782053,2,0
1546791921,0,1
1546795740,0,1
1546805334,0,1
1546821159,1,0
1546846589,1,0
1546848528,1,0
1546866549,0,1
1546868427,0,1
1546870353,4,1
1546872298,1,0
1546884088,1,0
1546893895,1,0
1546907578,0,1
1546946901,1,0
1546955068,1,0
1546957010,0,4
1546959184,1,0
1547004264,1,0
1547017952,0,2
1547023980,0,2
1547031716,0,1
1547037415,1,0
1547041486,0,1
1547045328,0,1
1547074145,0,2
1547077952,0,1
1547084447,1,0
1547090210,0,1
1547100319,2,0
1547123090,0,1
1547126898,1,0
1547128972,1,0
1547151171,1,0
1547170817,0,1
1547186556,0,2
1547212124,1,1
1547214056,1,0
1547216213,0,1
1547236573,0,1
1547239018,1,0
1547241147,1,0
1547247411,1,0
1547255554,1,0
1547261576,1,0
1547285556,1,0
1547295649,1,0
1547297579,0,1
1547301399,0,1
1547305518,1,0
1547326343,0,2
1547332416,1,0
1547334517,0,1
1547338631,1,0
1547348192,0,1
1547378694,1,0
1547380592,1,1
1547390445,0,1
1547394260,1,0
1547398343,2,0
1547402536,1,0
1547424332,0,1
1547434135,1,0
1547467238,0,2
1547480927,0,1
1547484741,0,2
1547488622,0,1
1547504605,0,2
1547506604,1,0
1547517162,1,0
1547519091,0,1
1547542914,1,0
1547560598,1,0
1547568814,1,0
1547570661,1,0
1547586528,1,0
1547592284,0,1
1547604105,0,1
1547630677,0,1
1547641000,1,0
1547644837,1,0
1547646762,0,1
1547654493,0,1
1547658535,0,1
1547671974,0,1
1547679738,1,0
1547715173,1,0
1547717071,2,0
1547727172,0,1
1547729073,1,0
1547750678,1,0
1547756682,1,0
1547766327,0,1
1547770104,1,0
1547776224,1,0
1547785948,1,1
1547790060,1,0
1547795823,4,0
1547801591,0,1
1547803822,0,2
1547815477,0,1
1547819569,1,0
1547837777,0,1
1547843809,0,1
1547851988,1,0
1547855807,0,1
1547861578,0,1
1547871654,0,1
1547877379,0,1
1547881308,0,4
1547912681,0,1
1547914667,0,1
1547922746,1,0
1547938905,0,1
1547942725,1,0
1547967675,1,0
1547997173,1,0
1548002904,1,0
1548010581,0,1
1548026693,1,0
1548054750,0,1
1548066748,1,1
1548090318,0,1
1548096308,1,0
1548106166,1,0
1548113776,0,1
1548135377,1,0
1548141165,1,0
1548147162,0,1
1548152895,0,1
1548160601,1,0
1548172365,1,0
1548183890,0,1
1548191783,0,1
1548205476,1,0
1548221063,0,1
1548228995,1,1
1548232850,1,0
1548237313,1,0
1548239673,1,0
1548247470,0,1
1548259307,0,1
1548279647,1,0
1548291389,0,1
1548315154,0,1
1548319224,0,1
1548321156,2,0
1548323088,0,1
1548325237,0,1
1548332905,1,0
1548351409,1,0
1548360987,1,0
1548362923,1,0
1548366771,0,1
1548402261,1,0
1548404212,1,0
1548406370,1,1
1548408271,0,1
1548420036,0,1
1548437782,0,1
1548447874,0,2
1548469469,1,0
1548488674,0,1
1548490594,1,1
1548492509,0,1
1548531623,1,0
1548535701,1,0
1548578197,1,1
1548582058,1,0
1548619016,0,1
1548620914,0,1
1548636067,1,0
1548639890,1,0
1548665119,0,1
1548671072,0,1
1548687168,1,0
1548694921,1,0
1548722186,0,1
1548726261,0,2
1548741717,1,0
1548745495,1,0
1548753389,2,0
1548774783,0,1
1548780769,0,1
1548782667,1,0
1548799020,1,0
1548805531,1,0
1548815290,1,0
1548827060,0,1
1548839107,0,2
1548841241,0,1
1548845061,1,0
1548869082,0,1
1548877006,1,0
1548880830,1,0
1548886835,1,0
1548897179,1,0
1548903138,0,1
1548915139,0,1
1548919269,1,0
1548923057,0,1
1548930767,0,1
1548963867,0,1
1548967719,1,1
1548983570,0,1
1548987665,0,1
1548989544,1,0
1549005182,0,1
1549013088,1,0
1549049583,1,0
1549053655,0,1
1549055545,1,0
1549061572,1,0
1549075464,1,0
1549077409,0,1
1549095179,1,0
1549099236,0,1
1549105315,1,0
1549135011,0,1
1549142661,0,1
1549146765,0,1
1549154670,1,0
1549162378,0,1
1549170128,1,0
1549181805,0,1
1549191401,0,1
1549207467,1,0
1549216101,1,0
1549227676,1,0
1549240135,1,0
1549242124,0,1
1549255478,0,1
1549296569,0,1
1549302504,0,1
1549314537,0,1
1549324344,0,1
1549374497,1,0
1549397088,1,0
1549402816,1,0
1549404754,1,0
1549446036,1,0
1549461705,0,1
1549469537,1,0
1549484184,0,1
1549488038,0,1
1549489947,0,1
1549507533,1,0
1549511543,1,0
1549530738,1,0
1549532688,0,1
1549555960,0,1
1549573483,1,0
1549581183,1,0
1549593170,0,1
1549595141,1,0
1549599151,0,1
1549614754,1,0
1549618586,0,1
1549624350,1,0
1549641877,1,0
1549659147,0,1
1549666901,1,1
1549682203,1,1
1549701379,0,1
1549710981,0,1
1549712909,1,0
1549728574,0,1
1549752293,1,1
1549767889,0,1
1549775540,1,0
1549783242,1,0
1549800778,1,1
1549802671,1,0
1549804657,1,0
1549823780,1,0
1549839151,0,1
1549846913,1,0
1549862693,1,1
1549868685,0,1
1549886520,1,1
1549888350,1,0
1549890277,0,1
1549892226,0,1
1549909500,0,1
1549925326,1,0
1549933012,0,1
1549950768,0,1
1549970214,1,0
1549972130,0,1
1549981725,1,0
1549983764,1,0
1549986809,1,0
1550008097,1,0
1550011947,0,1
1550017700,1,0
1550025401,1,0
1550031151,1,0
1550035007,1,0
1550040784,1,0
1550044612,1,0
1550057092,0,1
1550060936,0,1
1550070522,0,1
1550072435,0,2
1550095730,1,1
1550104103,0,1
1550111791,0,1
1550113737,1,0
1550117550,0,1
1550121380,0,1
1550127157,0,1
1550130994,0,1
1550183058,1,1
1550185023,1,0
1550198660,0,1
1550212126,1,0
1550217905,1,0
1550270440,0,1
1550272372,0,1
1550297566,1,1
1550305138,0,1
1550312901,1,0
1550328504,1,0
1550360451,1,0
1550383524,0,1
1550385410,1,0
1550398846,0,1
