DateTime,AddedIPs,RemovedIPs
1549430201,7,3
1549432136,8,12
1549434028,9,14
1549435939,6,9
1549437883,8,7
1549439802,8,3
1549441947,7,13
1549444127,11,7
1549446037,8,10
1549447950,7,6
1549449868,13,4
1549451800,5,12
1549453712,5,8
1549455647,6,8
1549457576,4,9
1549459470,9,8
1549461709,7,16
1549463566,3,9
1549465475,11,3
1549467641,5,7
1549469538,7,8
1549471715,11,5
1549473673,14,8
1549475789,8,7
1549478112,5,13
1549480116,28,14
1549482215,3,6
1549484185,10,4
1549486109,7,10
1549488039,6,9
1549489948,8,8
1549491857,5,14
1549493805,11,6
1549495698,10,11
1549497756,8,3
1549499845,7,11
1549501718,3,12
1549503620,6,10
1549505543,8,19
1549507534,5,13
1549509398,4,13
1549511545,9,19
1549513467,4,20
1549515407,6,11
1549517304,4,8
1549519329,5,8
1549521178,8,9
1549523094,14,6
1549524985,6,8
1549526935,13,8
1549528826,9,6
1549530739,8,11
1549532702,9,11
1549534584,10,7
1549536754,6,11
1549538675,5,7
1549540606,6,3
1549542527,5,8
1549544522,8,8
1549546367,6,4
1549548299,2,4
1549550203,3,4
1549552139,4,10
1549554028,7,7
1549555961,4,8
1549557890,13,8
1549560071,4,16
1549561966,5,7
1549563879,10,5
1549565802,2,31
1549567713,2,4
1549569703,9,6
1549571570,9,14
1549573486,9,9
1549575391,1,7
1549577337,8,7
1549579251,8,4
1549581184,4,10
1549583089,6,5
1549585243,6,5
1549587149,2,6
1549589062,7,5
1549591316,6,8
1549593171,6,9
1549595142,5,2
1549596979,3,8
1549599152,2,6
1549601067,3,7
1549602993,5,2
1549604928,9,5
1549606848,5,8
1549608770,14,9
1549610934,9,11
1549612935,7,14
1549614755,12,10
1549616703,16,9
1549618587,15,7
1549620504,14,12
1549622439,16,4
1549624351,15,7
1549626261,12,5
1549628479,17,8
1549630363,8,7
1549632276,14,6
1549634186,10,3
1549636122,9,4
1549638100,13,4
1549639981,9,9
1549641879,6,4
1549643787,13,9
1549645722,12,6
1549647627,9,6
1549649547,13,7
1549651483,5,4
1549653394,4,6
1549655310,3,5
1549657251,7,8
1549659148,5,13
1549661068,6,6
1549662993,6,4
1549664910,14,4
1549666916,6,4
1549668754,3,5
1549670692,5,9
1549672595,7,2
1549674506,5,0
1549676427,2,11
1549678347,5,3
1549680263,5,8
1549682204,7,5
1549684110,13,1
1549686030,7,1
1549687936,4,7
1549689856,5,5
1549691781,5,5
1549693724,5,5
1549695751,11,17
1549697574,6,6
1549699487,11,7
1549701380,17,15
1549703310,11,15
1549705254,14,19
1549707164,12,10
1549709069,15,10
1549710984,20,11
1549712910,13,11
1549714854,10,13
1549716759,12,9
1549718682,10,10
1549720588,19,11
1549722780,10,6
1549724666,6,10
1549726581,5,9
1549728575,6,6
1549730428,8,13
1549732376,5,13
1549734264,10,15
1549736178,7,8
1549738118,7,7
1549740020,4,3
1549741977,15,1
1549743865,16,8
1549745808,13,8
1549747701,7,3
1549749703,10,8
1549752294,15,15
1549754231,9,5
1549756103,12,3
1549758036,8,10
1549759939,5,3
1549761895,12,3
1549763807,5,1
1549765961,7,10
1549767891,11,4
1549769801,6,9
1549771728,7,11
1549773647,7,5
1549775541,8,4
1549777470,5,5
1549779401,8,2
1549781309,8,11
1549783243,9,7
1549785180,4,9
1549787076,9,15
1549789002,9,9
1549790922,9,15
1549792909,10,15
1549794749,6,13
1549796687,6,21
1549798853,13,15
1549800779,6,15
1549802672,7,8
1549804658,7,15
1549806516,7,20
1549808449,7,11
1549810352,9,7
1549812266,11,7
1549814201,17,8
1549816115,9,9
1549818118,14,6
1549819948,5,11
1549821898,5,9
1549823781,12,4
1549825716,9,8
1549827658,11,11
1549829548,10,13
1549831472,7,15
1549833418,6,9
1549835326,5,11
1549837228,11,11
1549839153,13,11
1549841091,12,13
1549842987,5,12
1549844903,4,6
1549846915,6,5
1549848775,9,8
1549850692,5,2
1549852599,11,8
1549854784,11,14
1549856673,5,4
1549858850,7,9
1549860764,1,6
1549862694,14,6
1549864580,5,4
1549866751,8,14
1549868686,7,6
1549870583,9,5
1549872511,7,11
1549874454,7,9
1549876364,9,9
1549878264,16,11
1549880212,13,8
1549882105,14,3
1549884220,7,5
1549886522,43,8
1549888351,9,5
1549890279,21,7
1549892228,10,7
1549894121,15,11
1549896099,10,5
1549897991,12,13
1549899887,18,14
1549901790,14,14
1549903722,14,12
1549905650,4,2
1549907551,11,7
1549909507,12,5
1549911388,11,8
1549913566,5,10
1549915737,14,9
1549917635,9,4
1549919566,12,10
1549921471,12,6
1549923405,14,9
1549925327,7,10
1549927294,7,11
1549929151,9,7
1549931068,9,5
1549933013,9,5
1549934904,6,7
1549936935,7,9
1549938778,8,11
1549940746,8,9
1549942836,3,8
1549944764,5,6
1549946689,8,3
1549948589,13,12
1549950770,11,11
1549952679,6,7
1549954718,5,6
1549956757,7,10
1549958699,6,6
1549960602,9,9
1549962514,1,7
1549964481,7,13
1549966374,11,11
1549968269,11,14
1549970217,4,8
1549972131,6,10
1549974055,3,36
1549975974,4,19
1549977868,8,8
1549979818,5,10
1549981726,12,12
1549983765,14,8
1549986810,27,25
1549988914,13,13
1549990919,13,10
1549992757,12,6
1549994692,11,12
1549996606,13,14
1549998550,113,7
1550000421,79,3
1550002352,56,14
1550004283,66,17
1550006193,54,11
1550008113,30,16
1550010021,32,13
1550011948,34,10
1550013871,49,9
1550015804,29,9
1550017702,23,10
1550019722,35,6
1550021557,81,5
1550023490,30,6
1550025403,32,8
1550027307,32,8
1550029234,33,3
1550031152,18,5
1550033061,26,6
1550035008,25,8
1550036909,18,10
1550038822,23,7
1550040786,14,9
1550042677,21,5
1550044614,29,6
1550046522,38,8
1550048465,34,5
1550050367,26,6
1550052301,23,7
1550054174,27,6
1550056364,27,5
1550058253,22,3
1550060204,34,6
1550062099,24,5
1550064055,24,8
1550065939,25,5
1550067899,19,8
1550069777,32,19
1550071700,31,19
1550073648,23,13
1550075560,28,9
1550077511,20,10
1550079395,25,12
1550081294,30,9
1550083220,21,7
1550085138,31,41
1550087078,29,51
1550088985,21,29
1550090891,22,44
1550092815,14,33
1550094743,29,21
1550096658,20,18
1550098616,23,23
1550100530,22,28
1550102461,18,22
1550104360,15,15
1550106283,15,27
1550108181,15,68
1550110121,23,26
1550112028,14,28
1550113948,24,30
1550115881,19,24
1550118044,13,14
1550119956,19,27
1550121872,11,26
1550123797,12,16
1550125696,21,16
1550127666,22,17
1550129659,18,22
1550131498,16,28
1550133394,18,39
1550135325,19,29
1550137216,15,26
1550139172,33,29
1550141063,19,22
1550142980,17,19
1550144916,22,20
1550146847,25,31
1550148756,24,20
1550150663,19,26
1550152595,33,24
1550154496,24,28
1550156487,26,28
1550158485,26,31
1550160555,34,27
1550162412,29,22
1550164342,33,25
1550166291,26,24
1550168176,22,30
1550170100,22,25
1550172046,11,24
1550173947,11,8
1550175864,12,5
1550177799,6,8
1550179703,2,9
1550181682,22,7
1550184078,5,11
1550185966,1,4
1550187865,4,6
1550189785,13,9
1550191695,5,3
1550193618,7,199
1550195553,9,19
1550197482,11,22
1550199370,5,18
1550201335,11,25
1550203265,11,24
1550205140,6,9
1550207103,6,26
1550208973,11,13
1550210894,3,18
1550212841,5,20
1550214752,5,28
1550216658,8,12
1550218580,5,4
1550220518,3,10
1550222432,1,7
1550224359,9,8
1550226257,5,5
1550228175,9,4
1550230135,7,4
1550232034,6,12
1550233948,4,3
1550235896,9,13
1550237773,7,305
1550239704,9,40
1550241642,21,33
1550243573,7,35
1550245462,5,39
1550247406,6,48
1550249315,6,41
1550251269,14,43
1550253139,4,39
1550255300,10,37
1550257283,15,68
1550259165,3,14
1550261086,6,12
1550263007,9,6
1550264926,80,5
1550266815,4,2
1550268746,3,20
1550270659,1,4
1550272838,771,1
1550274747,1702,5
1550276683,1587,12
1550278572,3015,2
1550280625,695,9
1550283404,12,12
1550285327,6,3
1550287218,7,5
1550289145,3,14
1550291086,3,8
1550292991,6,5
1550294889,8,8
1550296913,9,5
1550298763,7,4
1550300662,7,5
1550302589,6,10
1550304495,33,4
1550306418,7,5
1550308341,12,2
1550310285,9,6
1550312176,7,6
1550314099,6,8
1550316042,1,6
1550317971,9,6
1550319856,4,3
1550321785,3,9
1550323700,8,6
1550325648,4,6
1550327537,9,16
1550329487,8,8
1550331371,4,5
1550333215,11,6
1550335240,11,2
1550337507,11,7
1550339861,8,8
1550341953,11,7
1550343883,10,10
1550346070,9,5
1550347955,5,8
1550349858,4,10
1550351819,13,82
1550353696,5,3
1550355617,8,2
1550358343,10,4
1550360452,4,1949
1550362375,9,1380
1550364294,5,2558
1550366205,12,1884
1550368101,11,7
1550370051,6,10
1550371952,3,7
1550373864,2,6
1550375810,7,6
1550377723,5,4
1550379749,6,5
1550381574,9,11
1550383549,1,8
1550385412,9,7
1550387329,2,3
1550389232,6,6
1550391164,5,38
1550393067,5,5
1550394998,12,12
1550396906,4,9
1550398848,3,7
1550400746,12,7
1550402676,2,7
