DateTime,AddedIPs,RemovedIPs
1549432148,67,30
1549434030,36,25
1549435942,60,40
1549437885,49,42
1549439804,49,42
1549441949,41,36
1549444130,50,49
1549446040,40,47
1549447953,45,25
1549449871,41,29
1549451802,45,25
1549453714,42,23
1549455650,57,27
1549457584,58,35
1549459472,43,28
1549461716,56,56
1549463568,40,30
1549465477,40,39
1549467643,61,49
1549469541,53,28
1549471718,72,34
1549473676,40,37
1549475792,85,50
1549478115,67,46
1549480132,63,33
1549482218,69,31
1549484188,62,35
1549486112,51,53
1549488052,55,45
1549489958,38,44
1549491860,30,57
1549493808,50,70
1549495701,47,58
1549497763,59,52
1549499848,27,65
1549501723,47,46
1549503623,31,52
1549505559,44,62
1549507537,40,45
1549509413,19,60
1549511548,49,69
1549513469,34,67
1549515410,54,54
1549517306,38,42
1549519335,64,62
1549521181,37,51
1549523098,56,64
1549524987,166,41
1549526937,258,43
1549528828,58,46
1549530742,118,44
1549532706,116,49
1549534587,170,43
1549536757,47,46
1549538679,34,61
1549540609,38,51
1549542530,39,56
1549544527,47,62
1549546370,22,41
1549548303,30,42
1549550206,22,38
1549552145,23,40
1549554031,35,42
1549555964,39,50
1549557893,29,60
1549560074,43,44
1549561981,40,79
1549563882,37,55
1549565805,37,48
1549567716,42,71
1549569714,31,52
1549571573,21,52
1549573497,19,70
1549575394,23,42
1549577340,19,35
1549579254,56,41
1549581188,22,45
1549583092,32,55
1549585246,27,32
1549587151,28,43
1549589066,17,39
1549591322,25,43
1549593174,24,32
1549595145,21,32
1549596985,31,36
1549599155,59,42
1549601070,28,34
1549602997,21,22
1549604931,21,89
1549606851,24,58
1549608773,30,32
1549610937,22,161
1549612953,15,270
1549614757,25,65
1549616707,19,127
1549618590,38,60
1549620507,34,272
1549622442,17,43
1549624354,38,27
1549626264,20,50
1549628482,39,44
1549630366,21,44
1549632280,19,37
1549634189,24,30
1549636124,37,20
1549638107,33,24
1549639984,31,32
1549641881,31,38
1549643789,24,39
1549645724,34,30
1549647630,26,46
1549649549,30,35
1549651485,32,33
1549653397,32,38
1549655313,25,37
1549657254,40,28
1549659151,36,26
1549661071,28,22
1549662995,41,22
1549664912,39,43
1549666939,42,34
1549668757,36,26
1549670696,36,30
1549672597,57,23
1549674508,54,17
1549676430,54,24
1549678350,40,28
1549680266,41,26
1549682207,28,24
1549684113,28,41
1549686032,35,46
1549687939,45,25
1549689858,67,18
1549691785,33,24
1549693728,20,27
1549695754,32,28
1549697577,42,17
1549699491,30,18
1549701383,33,24
1549703314,52,16
1549705257,40,45
1549707167,39,23
1549709071,43,16
1549710993,44,32
1549712914,35,17
1549714856,44,37
1549716763,31,19
1549718687,55,21
1549720591,34,25
1549722783,38,42
1549724668,48,32
1549726584,52,26
1549728580,46,25
1549730431,43,24
1549732379,21,25
1549734267,42,23
1549736181,35,25
1549738121,32,27
1549740023,34,28
1549741980,46,22
1549743868,23,41
1549745813,40,32
1549747704,34,29
1549749708,35,36
1549752296,52,53
1549754233,31,33
1549756108,27,33
1549758039,24,51
1549759942,30,40
1549761897,16,62
1549763810,34,56
1549765967,41,37
1549767893,23,29
1549769805,33,27
1549771731,35,36
1549773649,40,45
1549775544,38,44
1549777473,37,54
1549779404,35,31
1549781311,31,21
1549783246,32,45
1549785182,37,40
1549787078,18,29
1549789005,40,50
1549790925,25,47
1549792911,25,40
1549794752,43,35
1549796690,33,48
1549798856,33,48
1549800782,34,33
1549802675,39,39
1549804661,47,59
1549806521,41,46
1549808452,33,29
1549810354,33,38
1549812270,30,49
1549814204,58,51
1549816117,43,45
1549818122,26,21
1549819954,25,35
1549821901,23,32
1549823784,22,28
1549825718,24,37
1549827661,22,34
1549829551,15,36
1549831475,38,28
1549833421,33,39
1549835329,28,29
1549837244,28,34
1549839156,25,38
1549841094,25,28
1549842990,17,20
1549844906,32,28
1549846918,32,28
1549848778,23,23
1549850709,30,37
1549852602,26,33
1549854802,18,32
1549856676,30,39
1549858853,29,36
1549860767,17,37
1549862697,29,35
1549864583,15,33
1549866754,34,34
1549868690,18,31
1549870586,20,35
1549872514,16,23
1549874457,17,34
1549876367,16,24
1549878267,24,28
1549880216,30,32
1549882108,33,46
1549884223,37,44
1549886530,35,36
1549888354,26,32
1549890282,23,48
1549892231,32,42
1549894124,26,30
1549896106,42,44
1549897994,28,25
1549899890,25,38
1549901793,36,64
1549903725,34,29
1549905652,24,27
1549907554,40,22
1549909510,46,27
1549911391,34,23
1549913569,44,36
1549915740,914,11
1549917638,33,30
1549919568,27,38
1549921474,41,24
1549923408,25,26
1549925330,25,28
1549927297,28,24
1549929154,26,23
1549931072,26,32
1549933019,41,31
1549934907,34,27
1549936938,22,32
1549938784,28,27
1549940751,33,23
1549942839,40,26
1549944766,28,27
1549946692,31,20
1549948592,38,34
1549950772,42,21
1549952682,34,27
1549954734,40,22
1549956760,25,24
1549958702,36,13
1549960605,31,20
1549962516,21,14
1549964483,14,24
1549966380,6,21
1549968273,37,21
1549970220,49,39
1549972134,23,23
1549974058,46,30
1549975978,30,23
1549977872,35,26
1549979821,22,26
1549981729,32,33
1549983768,24,34
1549986813,55,32
1549988917,30,30
1549990922,32,33
1549992766,32,30
1549994695,26,39
1549996615,35,39
1549998553,24,33
1550000425,33,935
1550002354,27,35
1550004286,33,30
1550006196,17,25
1550008115,33,38
1550010023,42,21
1550011950,38,23
1550013874,28,31
1550015807,55,29
1550017704,42,33
1550019724,35,42
1550021559,33,31
1550023493,28,18
1550025405,38,28
1550027320,26,31
1550029236,43,34
1550031154,39,23
1550033063,38,31
1550035013,27,42
1550036912,43,41
1550038825,39,30
1550040788,39,46
1550042680,58,27
1550044616,42,29
1550046525,36,42
1550048508,47,20
1550050372,30,14
1550052305,24,10
1550054187,51,32
1550056366,45,48
1550058256,70,27
1550060209,30,47
1550062105,51,31
1550064057,47,40
1550065942,37,18
1550067904,41,29
1550069779,69,25
1550071703,66,37
1550073684,27,28
1550075563,26,27
1550077514,26,29
1550079400,33,35
1550081296,413,21
1550083226,45,24
1550085161,30,21
1550087080,27,18
1550088994,35,17
1550090901,27,21
1550092818,29,12
1550094753,29,26
1550096664,32,26
1550098619,38,30
1550100533,21,15
1550102468,22,32
1550104363,23,23
1550106288,23,20
1550108184,19,17
1550110127,25,15
1550112030,29,11
1550113951,23,15
1550115884,17,24
1550118051,27,20
1550119959,37,12
1550121875,17,17
1550123804,23,18
1550125699,12,22
1550127683,16,22
1550129665,16,53
1550131502,22,15
1550133398,28,21
1550135331,20,25
1550137219,33,15
1550139175,26,5
1550141066,27,40
1550142987,20,17
1550144919,16,34
1550146850,23,17
1550148762,50,38
1550150683,29,24
1550152597,37,24
1550154499,35,26
1550156492,44,79
1550158487,38,20
1550160558,31,12
1550162419,31,14
1550164359,39,11
1550166297,37,96
1550168180,25,847
1550170103,44,45
1550172049,39,34
1550173949,37,28
1550175867,38,37
1550177802,38,27
1550179706,32,88
1550181689,33,28
1550184094,45,50
1550185968,28,31
1550187868,30,28
1550189791,34,21
1550191700,32,33
1550193621,47,30
1550195558,43,21
1550197488,44,28
1550199374,39,33
1550201338,42,27
1550203309,22,39
1550205142,24,31
1550207106,28,25
1550208977,28,31
1550210898,20,21
1550212844,27,17
1550214755,20,22
1550216661,24,17
1550218583,17,28
