DateTime,AddedIPs,RemovedIPs
1548269573,0,2
1548271474,0,3
1548273416,0,1
1548275567,15,2
1548277524,0,1
1548279652,0,1
1548283479,0,3
1548285431,0,1
1548289511,0,2
1548291395,0,4
1548293564,0,7
1548295517,0,6
1548297419,0,2
1548299358,0,1
1548301300,1,0
1548303196,1,0
1548305342,0,2
1548307502,0,1
1548309405,1,2
1548315160,0,2
1548317120,0,1
1548319230,1,0
1548323094,2,1
1548327168,0,1
1548331012,0,1
1548336998,0,1
1548339162,1,0
1548343253,1,0
1548349303,0,1
1548355228,1,1
1548362929,0,15
1548374571,1,0
1548376624,1,0
1548388586,0,10
1548400385,0,1
1548406377,0,1
1548408279,1,1
1548410225,1,1
1548412366,0,1
1548423873,0,1
1548427968,1,0
1548429877,0,1
1548447879,1,0
1548451953,0,1
1548457730,1,0
1548461565,0,1
1548463470,2,1
1548465657,2,0
1548467562,2,0
1548471400,1,0
1548473340,2,0
1548475302,2,0
1548479085,1,0
1548490602,1,0
1548494464,7,0
1548496384,1,0
1548500197,1,0
1548508117,1,0
1548512201,1,0
1548514141,0,1
1548521813,2,0
1548523703,1,0
1548525756,1,0
1548535710,1,0
1548537628,1,0
1548541467,0,1
1548547253,0,1
1548551110,0,2
1548553025,1,1
1548554942,1,0
1548556837,0,1
1548560949,2,2
1548562864,0,2
1548564766,5,1
1548572534,1,0
1548574481,1,0
1548578203,1,1
1548580111,1,8
1548582064,0,1
1548583958,0,1
1548587825,1,0
1548591895,1,0
1548593798,1,1
1548595992,0,1
1548597907,0,1
1548603632,1,1
1548605551,0,1
1548609428,1,2
1548611316,2,1
1548613237,2,0
1548615198,1,0
1548619022,1,1
1548620919,1,0
1548622927,14,0
1548624761,0,2
1548631067,1,0
1548636073,0,1
1548639896,0,1
1548645899,3,0
1548647790,2,2
1548649639,2,5
1548651815,1,0
1548653689,0,1
1548655491,2,0
1548657434,1,0
1548659348,0,2
1548661255,2,0
1548663174,2,0
1548665126,0,2
1548669175,4,0
1548673355,4,0
1548675157,4,1
1548677336,1,0
1548679241,1,1
1548681144,1,1
1548683096,1,0
1548687189,1,0
1548689073,0,1
1548691112,1,0
1548692916,1,0
1548694927,0,1
1548696747,2,1
1548698703,1,0
1548700611,1,2
1548702512,1,1
1548704422,0,1
1548706353,1,0
1548710200,0,14
1548712131,0,1
1548714071,1,0
1548716225,0,1
1548718375,1,0
1548720307,1,1
1548722191,0,1
1548724377,2,0
1548726266,1,0
1548732042,0,3
1548733976,1,0
1548735869,1,1
1548737798,1,1
1548749562,1,1
1548751487,1,0
1548755329,1,0
1548759165,1,4
1548761095,0,2
1548762990,0,3
1548764910,0,1
1548766936,0,1
1548768781,0,1
1548770859,1,0
1548772839,1,0
1548780774,2,0
1548782672,0,2
1548784612,0,1
1548786786,0,1
1548791110,1,0
1548793240,2,1
1548800909,1,0
1548802963,1,0
1548805536,0,2
1548807527,1,0
1548809567,1,3
1548811456,0,1
1548813387,0,1
1548825167,2,2
1548827065,1,1
1548834981,1,1
1548839114,0,2
1548841246,0,1
1548843163,0,1
1548845066,0,1
1548851126,1,1
1548852999,1,1
1548857094,0,1
1548858975,0,1
1548865262,2,1
1548867168,0,2
1548869087,1,1
1548870982,1,1
1548872903,0,2
1548875102,0,1
1548877011,1,0
1548878940,1,3
1548880835,1,1
1548882790,1,0
1548884709,0,1
1548886840,1,1
1548888784,0,1
1548894996,0,1
1548906978,1,0
1548909164,2,0
1548911129,0,3
1548913261,0,1
1548915144,0,1
1548919275,2,0
1548921157,0,1
1548925006,2,1
1548934605,7,0
1548936522,0,1
1548940359,0,1
1548946123,1,0
1548951896,0,1
1548954137,0,1
1548958160,0,1
1548961955,0,1
1548963872,0,1
1548965791,1,1
1548967724,0,2
1548969645,1,0
1548973487,0,1
1548977570,1,0
1548981391,0,1
1548983575,3,0
1548989563,2,0
1548993404,0,1
1548995307,1,1
1548997256,1,0
1549001110,2,0
1549007091,1,1
1549011151,0,1
1549013094,0,1
1549015003,2,0
1549016938,2,0
1549020782,0,7
1549022693,1,0
1549024606,0,1
1549026518,1,0
1549028424,0,1
1549030348,1,0
1549032295,0,1
1549034205,1,0
1549041896,1,0
1549045710,1,0
1549049588,1,0
1549055551,1,1
1549063488,0,1
1549071388,1,3
1549075489,0,1
1549077414,1,1
1549079598,1,0
1549083757,0,2
1549087501,0,2
1549089425,2,0
1549093228,1,0
1549097065,1,0
1549099241,0,1
1549101164,0,2
1549103097,0,2
1549109125,0,1
1549113176,0,1
1549116995,0,1
1549128766,0,1
1549133036,0,2
1549135016,0,1
1549140786,2,0
1549142666,0,1
1549160521,1,0
1549164316,0,2
1549166183,0,1
1549175797,0,1
1549177987,1,0
1549179866,0,2
1549181810,2,0
1549193575,2,0
1549195513,1,0
1549201273,1,0
1549203425,1,0
1549209412,1,0
1549211308,1,0
1549213324,1,0
1549226691,0,1
1549242130,1,0
1549245904,0,2
1549261277,1,0
1549266984,0,2
1549268932,0,1
1549278268,1,0
1549280178,0,2
1549282095,0,1
1549284046,1,0
1549287884,1,1
1549295533,0,1
1549297868,0,1
1549299875,0,2
1549308561,1,0
1549310473,1,0
1549314543,1,0
1549349544,1,0
1549351478,1,0
1549359176,1,0
1549361112,1,0
1549363021,0,1
1549364901,0,1
1549366830,1,0
1549370681,0,2
1549374502,1,0
1549381473,0,1
1549395174,0,1
1549397112,0,1
1549401037,1,0
1549414917,1,0
1549418690,1,0
1549435944,1,2
1549437887,1,1
1549446041,0,1
1549447954,0,1
1549453716,0,2
1549455651,1,0
1549471719,0,1
1549482219,1,1
1549484190,1,0
1549489960,0,1
1549491861,1,0
1549493810,1,0
1549497765,0,1
1549499849,1,0
1549501725,0,1
1549505560,0,1
1549507539,1,0
1549509414,4,0
1549511550,1,0
1549513471,1,0
1549521183,0,1
1549524989,1,0
1549526939,0,1
1549530743,1,0
1549534588,1,0
1549544529,1,0
1549557895,2,0
1549560075,1,0
1549569717,0,1
1549571575,1,1
1549573499,0,1
1549583093,0,1
1549593176,0,1
1549596987,0,1
1549601071,1,0
1549604932,1,0
1549608774,1,0
1549610938,0,1
1549616709,1,0
1549618591,0,2
1549622443,0,1
1549624355,0,1
1549634190,0,1
1549641883,1,1
1549643791,0,1
1549651487,1,0
1549657256,0,1
1549666944,0,1
1549672599,1,0
1549684114,0,1
1549687940,0,1
1549691787,2,1
1549695755,0,1
1549701385,0,1
1549703316,0,1
1549707168,1,0
1549714858,1,0
1549722784,1,1
1549728581,1,0
1549730432,1,0
1549734268,1,0
1549738122,1,1
1549747705,1,0
1549749710,1,0
1549759944,0,1
1549771733,0,1
1549777475,1,2
1549785184,1,0
1549794753,0,1
1549796692,0,1
1549806525,1,0
1549812271,0,1
1549814205,1,1
1549818124,0,1
1549825720,0,1
1549827663,0,1
1549829553,1,0
1549846921,1,0
1549850711,0,1
1549852604,0,1
1549856678,1,0
1549864584,0,1
1549870587,1,0
1549874459,1,0
1549884225,1,0
1549892233,0,1
1549899892,0,1
1549913571,1,0
