DateTime,AddedIPs,RemovedIPs
1548762991,1,0
1548764911,2,0
1548766937,1,1
1548768781,3,1
1548770860,1,0
1548772839,2,0
1548774788,2,1
1548778520,1,2
1548780775,0,1
1548782673,1,0
1548786787,2,0
1548788692,1,0
1548793240,1,0
1548800909,0,1
1548805537,0,1
1548819412,0,1
1548825168,0,1
1548827066,0,1
1548829240,0,1
1548831171,0,1
1548837183,0,1
1548839114,1,0
1548843163,0,1
1548845067,1,0
1548847023,1,0
1548849164,1,1
1548851126,0,2
1548853000,0,1
1548855153,0,3
1548857095,1,1
1548858976,1,2
1548861190,0,2
1548863058,1,0
1548865275,3,1
1548869088,2,1
1548870982,1,0
1548872903,0,2
1548875103,0,1
1548878942,2,1
1548886841,1,0
1548890926,1,0
1548897185,1,0
1548925006,0,1
1548930772,0,1
1548932716,1,0
1548934606,1,1
1548936523,1,1
1548938449,1,0
1548940359,1,0
1548942274,0,1
1548944219,1,1
1548948034,2,0
1548949951,1,1
1548951897,0,3
1548954138,1,0
1548955978,0,2
1548958161,0,1
1548963872,0,1
1548965791,1,1
1548967725,1,0
1548969645,1,0
1548973487,0,1
1548975675,1,0
1548977571,0,1
1548983576,1,1
1548991518,1,0
1548997257,1,0
1549001111,1,0
1549003288,1,0
1549009262,1,0
1549016939,1,0
1549018974,0,1
1549020783,0,1
1549022694,0,1
1549024606,0,1
1549026519,0,1
1549032295,0,1
1549034205,0,2
1549036137,0,1
1549039995,0,1
1549041896,1,0
1549045711,1,0
1549049588,2,0
1549051516,0,1
1549053661,0,1
1549055551,0,1
1549057503,1,0
1549061578,0,1
1549069510,0,1
1549077414,0,1
1549079598,1,0
1549083758,0,1
1549087502,0,1
1549089425,0,1
1549095185,0,1
1549103098,1,1
1549107150,1,0
1549109126,1,0
1549110993,4,0
1549113177,1,0
1549120851,1,0
1549128767,0,1
1549133036,2,1
1549136899,0,2
1549138823,2,0
1549144905,0,1
1549148729,1,0
1549154676,1,0
1549166183,0,1
1549177988,1,0
1549179866,1,0
1549185648,1,0
1549187550,1,0
1549189539,0,1
1549191407,1,0
1549193575,0,1
1549195514,0,1
1549197415,0,4
1549199332,0,1
1549203434,1,0
1549205601,1,1
1549217091,1,0
1549218978,1,2
1549222827,1,0
1549224750,0,1
1549226691,1,1
1549234361,0,1
1549240141,0,1
1549247812,1,0
1549261278,1,0
1549263167,0,1
1549266985,1,1
1549270903,2,0
1549273142,0,2
1549276360,4,0
1549278270,1,1
1549280178,1,0
1549282096,1,0
1549287884,1,0
1549289796,2,1
1549291727,0,1
1549293633,1,0
1549295533,1,0
1549303943,1,1
1549305856,1,1
1549308562,0,1
1549312373,1,1
1549324351,1,0
1549332118,1,0
1549333980,0,1
1549336053,1,0
1549343787,1,0
1549345721,1,0
1549347653,1,1
1549349545,1,0
1549351479,4,0
1549353385,0,1
1549357307,2,2
1549361113,0,2
1549363021,0,3
1549366830,1,2
1549372602,1,0
1549374502,1,1
1549377684,3,2
1549379590,0,1
1549381473,0,1
1549383382,2,0
1549391302,1,1
1549393295,0,1
1549395174,1,0
1549398987,2,1
1549407154,1,0
1549410998,0,1
1549416782,1,0
1549418691,0,1
1549420591,0,1
1549428288,1,0
1549430205,1,1
1549432151,0,1
1549434032,0,1
1549435944,0,1
1549437887,1,4
1549444131,0,2
1549449873,2,0
1549451806,2,0
1549453716,1,1
1549457588,1,0
1549459474,0,1
1549461720,0,2
1549463570,0,2
1549467645,2,0
1549469543,0,1
1549471720,1,1
1549475794,1,0
1549478117,0,1
1549480135,2,1
1549482220,1,0
1549484190,1,0
1549486114,0,2
1549489960,1,0
1549491862,1,0
1549493810,0,1
1549495705,1,0
1549499850,1,0
1549501725,1,1
1549511550,1,0
1549513471,1,1
1549515412,2,0
1549517308,1,1
1549519339,1,0
1549523100,1,0
1549524989,0,1
1549530744,1,0
1549536759,1,2
1549538681,0,2
1549540611,0,1
1549544542,1,1
1549552148,0,1
1549554033,0,1
1549557895,0,1
1549560076,1,0
1549561983,1,1
1549565807,0,2
