DateTime,AddedIPs,RemovedIPs
1546464765,1,0
1546470757,1,0
1546497178,1,0
1546499108,0,1
1546506742,0,1
1546524558,0,1
1546526437,0,1
1546528384,2,0
1546546365,0,2
1546548289,0,1
1546557883,1,1
1546564371,0,1
1546574106,0,1
1546584252,0,1
1546603967,1,0
1546609960,1,0
1546613846,1,0
1546615944,1,1
1546618173,1,0
1546620270,2,0
1546622181,1,0
1546626022,1,0
1546636144,1,0
1546643799,0,1
1546679569,0,1
1546691310,2,0
1546697082,0,1
1546703093,0,1
1546710773,1,0
1546712675,1,0
1546714602,1,0
1546716511,1,0
1546724463,0,1
1546726367,1,1
1546728286,1,0
1546735977,0,1
1546741979,2,0
1546749867,1,0
1546777984,2,1
1546783968,1,0
1546791929,1,0
1546797721,0,1
1546813319,0,2
1546827210,1,1
1546829115,0,1
1546831023,4,0
1546840965,1,0
1546842793,0,1
1546864386,0,2
1546878305,0,1
1546893915,1,0
1546899642,1,0
1546903505,1,0
1546911396,1,0
1546913585,0,1
1546917448,0,1
1546923186,1,0
1546926999,0,1
1546937069,1,0
1546950934,0,1
1546953190,0,1
1546963009,1,0
1546972631,0,1
1546974778,2,4
1546976926,2,1
1546978858,1,0
1546980768,1,1
1546984609,0,1
1546990614,0,1
1546998289,0,1
1547004271,0,2
1547010318,0,1
1547012217,0,1
1547014142,1,0
1547023987,0,1
1547049702,0,1
1547056115,1,0
1547082564,1,0
1547086384,1,0
1547090220,0,1
1547100333,0,1
1547138851,1,0
1547143368,0,1
1547157178,1,0
1547166997,1,0
1547168939,0,1
1547172774,0,1
1547226543,0,1
1547239026,1,0
1547243099,0,1
1547253671,0,1
1547313908,1,0
1547329493,0,1
1547335466,1,0
1547337398,2,0
1547339574,6,0
1547341486,8,0
1547343408,2,0
1547395513,1,0
1547399863,0,1
1547409439,0,1
1547415395,1,0
1547417580,1,0
1547421414,0,1
1547425258,0,5
1547427159,0,8
1547429090,0,5
1547431322,1,0
1547436996,0,1
1547471114,1,0
1547474979,0,1
1547492548,0,1
1547498228,0,1
1547502285,0,1
1547506612,1,0
1547509184,3,0
1547511161,1,0
1547519117,1,0
1547526752,1,1
1547552705,0,1
1547558667,0,1
1547564548,1,0
1547566623,1,0
1547568822,0,1
1547584622,1,0
1547604115,1,0
1547605964,1,0
1547611985,0,1
1547628818,0,1
1547652511,1,0
1547666909,1,0
1547670774,0,1
1547681067,1,0
1547693089,2,0
1547697188,1,1
1547699088,4,0
1547738909,0,1
1547752863,0,1
1547754790,0,1
1547768213,0,1
1547778035,0,2
1547783786,2,1
1547785956,0,4
1547797710,1,0
1547803839,0,1
1547809535,1,0
1547813568,1,0
1547815485,1,0
1547819577,1,0
1547821496,1,0
1547827534,1,0
1547832077,1,0
1547833960,3,0
1547843843,0,1
1547869495,0,2
1547871661,1,0
1547881318,1,0
1547889168,1,0
1547897065,0,1
1547899008,1,0
1547904781,0,1
1547910771,1,0
1547912688,0,1
1547914691,1,0
1547918825,0,4
1547920893,1,1
1547928780,1,0
1547946517,1,0
1547958058,0,1
1547973410,0,1
1547975332,0,1
1547983011,0,1
1547985175,0,1
1547997180,0,1
1548001007,0,1
1548006773,0,1
1548014728,0,2
1548016839,1,0
1548026700,1,0
1548033451,1,1
1548041122,1,0
1548054759,0,1
1548086500,2,0
1548088375,0,1
1548104008,0,1
1548113784,0,1
1548121735,2,1
1548127739,0,1
1548149087,1,0
1548154930,1,0
1548168268,0,1
1548170479,0,6
1548174265,0,2
1548183898,1,0
1548187959,1,0
1548189868,1,0
1548191790,3,0
1548193706,2,0
1548195626,2,0
1548197612,1,0
1548209811,0,1
1548235497,0,1
1548241507,0,1
1548247478,2,0
1548253548,1,1
1548271476,1,0
1548277528,1,0
1548279654,0,1
1548281559,0,1
1548283480,0,3
1548287587,0,1
1548291397,0,1
1548297421,0,1
1548305344,1,0
1548332925,1,1
1548334936,1,0
1548337000,4,1
1548339164,3,0
1548345181,1,0
1548351419,1,0
1548360994,1,0
1548368668,1,0
1548374573,1,0
1548384756,1,0
1548390794,0,1
1548398467,1,0
1548402269,1,0
1548404220,1,0
1548420044,0,1
1548421969,0,1
1548423875,0,4
1548425799,0,2
1548431818,0,1
1548437789,1,1
1548439986,1,0
1548441867,1,0
1548447881,0,1
1548451954,1,0
1548455824,0,1
1548459628,0,2
1548461567,0,1
1548484869,0,1
1548488681,1,1
1548510043,0,1
1548514143,1,0
1548523704,0,1
1548533823,1,0
1548539587,0,1
1548559035,1,0
1548560951,1,0
1548564768,5,0
1548570559,1,0
1548576310,0,1
1548599828,0,1
1548603634,1,0
1548615201,0,1
1548620921,0,1
1548628606,1,0
1548633805,1,0
1548639898,1,0
1548643947,0,1
1548647792,0,1
1548651816,1,5
1548657436,0,1
1548691114,0,1
1548698705,2,0
1548710202,1,0
1548714073,0,1
1548720310,0,1
1548726268,0,1
1548737800,0,1
1548757250,1,0
1548780776,2,0
1548784627,0,2
1548788693,0,2
1548797090,0,1
1548800911,1,0
1548802965,1,0
1548807529,1,0
1548827067,3,0
1548829242,1,0
1548837185,1,0
1548843165,2,1
1548849166,2,1
1548851127,0,1
1548865277,0,2
1548867170,1,0
1548872904,1,0
1548886842,0,1
1548890928,1,0
1548906979,0,1
1548909166,0,2
1548919279,2,1
1548923065,0,1
1548940361,1,0
1548954139,0,1
1548958162,0,1
1548960058,1,0
1548975680,1,0
1548977572,0,1
1548993406,1,0
1549005191,0,2
1549020784,1,0
1549026520,0,1
1549047730,0,1
1549049590,2,0
1549053662,1,0
1549059401,1,0
1549061579,1,0
1549067556,1,0
1549079600,0,1
1549085588,1,0
1549089427,0,1
1549091339,0,1
1549095187,1,0
1549099243,1,0
1549103099,0,1
1549107151,1,1
1549138824,0,1
1549144908,0,1
1549146772,1,1
1549152761,0,1
1549154677,1,0
1549164318,1,0
1549171964,1,1
1549193577,0,1
1549201274,0,1
1549203436,1,0
1549234363,0,1
1549236280,1,0
1549238197,1,0
1549240142,0,1
1549245906,1,1
1549249735,1,0
1549251636,0,1
1549259341,0,1
1549290763,0,1
1549312374,1,0
1549314545,2,0
1549316424,1,0
1549318385,0,1
1549322468,1,1
1549324352,2,0
1549326279,0,1
1549330131,2,0
1549333981,0,1
1549336054,0,1
1549341863,1,0
1549345722,1,0
1549361114,1,0
1549364903,1,0
1549377686,1,0
1549385318,0,2
1549387490,1,6
1549409078,0,1
1549411000,0,2
1549414920,1,0
1549416784,1,1
1549428289,0,1
1549432161,0,1
1549435946,2,0
1549439808,1,0
1549447956,0,1
1549449874,0,1
1549469544,1,0
1549471722,1,0
1549473681,0,1
1549495707,1,0
1549501726,0,2
1549521185,1,0
1549523102,2,2
1549524990,1,1
1549555967,0,1
1549557897,0,1
1549565808,1,0
1549569719,1,0
1549571576,1,0
1549579257,1,0
1549581191,0,1
1549591329,1,0
1549595149,1,0
1549608776,0,3
1549610940,0,1
1549626267,2,0
1549630368,1,0
1549639988,1,0
1549643792,1,0
1549651488,0,1
1549655316,0,1
1549657257,0,1
1549664915,0,1
1549666953,2,0
1549670702,1,0
1549676432,0,1
1549680269,0,1
1549693732,0,1
1549695757,1,0
1549707170,1,0
1549712917,0,1
1549716766,0,2
1549728583,1,0
1549747707,1,0
1549752313,0,2
1549754237,1,0
1549756120,0,1
1549781315,0,1
1549790929,1,0
1549792916,0,1
1549808455,1,0
1549814207,0,1
1549823788,1,0
1549833425,2,1
1549841097,0,1
1549842993,1,0
1549844919,2,0
1549868693,2,0
1549878271,0,1
1549882112,1,0
1549886545,0,1
1549899908,1,0
1549909513,0,1
1549915745,0,1
1549919572,0,1
1549921477,0,2
1549923411,1,0
1549929157,0,1
1549931076,0,2
1549946695,1,0
1549952685,1,0
1549954737,0,2
1549966383,1,0
1549968276,1,1
1549981732,1,0
1549990925,1,0
1550002357,1,1
1550004289,1,0
1550006200,2,0
1550008129,1,1
1550010026,2,1
1550013877,1,0
1550015810,1,0
1550033067,0,1
1550038828,1,0
1550042683,0,2
1550046529,0,2
1550054190,0,1
1550075566,1,0
1550079403,0,1
1550083231,1,0
1550087084,1,1
1550090904,0,1
1550092821,1,0
1550094756,0,1
1550098623,1,0
1550102471,0,1
1550110132,1,0
1550121878,1,1
1550127736,4,0
1550129670,2,0
1550144922,1,0
1550148766,1,0
1550158491,1,0
1550162423,0,1
1550170106,0,2
1550172052,1,0
1550179709,0,1
1550184097,0,1
1550187871,1,0
1550197491,0,1
1550199378,1,0
1550208980,0,1
1550210907,1,0
1550214758,0,6
1550220527,4,0
1550230148,0,1
1550235911,0,1
1550243579,0,1
1550245468,1,0
1550255320,1,1
1550259194,0,1
1550270664,0,1
1550274754,1,1
1550284361,0,1
1550286345,1,0
1550301641,0,1
1550303580,1,0
1550305479,0,4
1550311293,1,0
1550323250,1,0
1550332922,0,1
1550336686,1,0
1550346521,1,0
1550348430,1,0
1550362381,0,1
1550371958,1,0
1550373870,0,1
1550385418,1,0
1550391170,0,1
1550396912,0,1
1550398854,1,0
