DateTime,AddedIPs,RemovedIPs
1549432162,86,14
1549434034,91,14
1549435947,124,9
1549437890,140,7
1549439809,11,17
1549441967,16,7
1549444134,11,12
1549446044,11,17
1549447957,11,14
1549449875,9,11
1549451808,20,21
1549453719,11,15
1549455654,11,9
1549457590,13,7
1549459476,9,13
1549461723,13,22
1549463573,6,8
1549465482,17,11
1549467648,18,22
1549469548,15,14
1549471723,20,20
1549473682,20,14
1549475797,15,10
1549478119,16,21
1549480138,17,12
1549482222,13,15
1549484192,9,14
1549486117,8,22
1549488056,14,128
1549489963,21,129
1549491864,19,132
1549493813,18,127
1549495708,21,134
1549497768,17,89
1549499852,25,99
1549501727,17,155
1549503628,22,140
1549505563,19,119
1549507541,14,44
1549509417,8,150
1549511552,20,147
1549513474,10,80
1549515414,19,79
1549517310,14,160
1549519342,14,160
1549521186,19,114
1549523103,11,54
1549524991,14,149
1549526941,13,16
1549528832,30,14
1549530746,16,8
1549532710,21,7
1549534591,13,11
1549536761,10,17
1549538683,24,17
1549540613,14,11
1549542534,20,13
1549544548,17,14
1549546374,20,5
1549548318,16,9
1549550210,8,10
1549552151,12,16
1549554035,16,15
1549555968,19,20
1549557898,10,16
1549560078,26,18
1549561986,10,15
1549563886,14,14
1549565809,9,15
1549567720,21,15
1549569720,22,12
1549571577,15,10
1549573502,14,12
1549575398,8,14
1549577345,7,18
1549579258,11,16
1549581192,12,24
1549583096,15,18
1549585251,17,26
1549587156,9,22
1549589081,15,21
1549591330,17,21
1549593178,20,13
1549595150,14,14
1549596990,15,15
1549599160,18,13
1549601074,23,11
1549603007,20,20
1549604935,20,13
1549606855,14,15
1549608777,14,11
1549610941,12,19
1549612957,16,14
1549614775,17,23
1549616713,13,18
1549618594,30,15
1549620511,9,16
1549622446,15,13
1549624358,10,19
1549626268,18,14
1549628486,14,14
1549630369,11,19
1549632287,4,22
1549634193,10,16
1549636128,9,11
1549638114,18,14
1549639989,21,14
1549641885,13,17
1549643793,6,11
1549645728,11,11
1549647634,10,23
1549649553,18,16
1549651489,19,7
1549653401,11,15
1549655317,10,20
1549657258,11,19
1549659168,12,11
1549661075,15,10
1549663013,14,7
1549664916,29,6
1549666954,28,13
1549668761,9,15
1549670704,17,16
1549672601,23,13
1549674525,27,7
1549676433,37,22
1549678354,16,12
1549680270,12,20
1549682210,13,14
1549684122,10,15
1549686050,15,13
1549687942,21,24
1549689862,13,15
1549691789,7,25
1549693733,14,16
1549695758,10,15
1549697581,15,10
1549699497,17,18
1549701387,28,15
1549703319,10,15
1549705262,13,26
1549707184,17,12
1549709076,11,12
1549710997,14,14
1549712918,14,16
1549714860,19,14
1549716767,16,12
1549718691,21,4
1549720595,21,10
1549722788,16,12
1549724674,14,16
1549726588,11,19
1549728584,12,13
1549730435,14,8
1549732383,12,11
1549734271,9,9
1549736185,15,21
1549738125,10,14
1549740027,13,11
1549741984,8,11
1549743872,16,14
1549745817,14,15
1549747708,18,13
1549749712,8,22
1549752314,26,28
1549754238,12,25
1549756121,16,10
1549758043,8,19
1549759947,10,18
1549761902,9,38
1549763814,13,23
1549765971,14,17
1549767898,6,19
1549769809,9,11
1549771735,15,10
1549773653,21,17
