DateTime,AddedIPs,RemovedIPs
1549432164,44,52
1549434036,28,49
1549435948,42,47
1549437891,41,70
1549439810,41,56
1549441969,44,81
1549444135,64,65
1549446046,59,58
1549447959,46,86
1549449877,24,92
1549451810,48,44
1549453720,74,666
1549455669,35,91
1549457592,45,75
1549459478,47,74
1549461725,49,69
1549463574,35,66
1549465483,48,98
1549467649,64,64
1549469549,291,58
1549471724,53,61
1549473683,45,61
1549475799,40,48
1549478120,59,65
1549480138,58,44
1549482224,416,56
1549484194,256,46
1549486120,196,52
1549488057,123,47
1549489964,142,54
1549491866,85,50
1549493814,78,45
1549495709,47,50
1549497770,43,46
1549499853,52,53
1549501729,38,49
1549503629,41,42
1549505564,167,45
1549507543,59,50
1549509419,46,35
1549511554,48,49
1549513475,431,45
1549515416,38,53
1549517312,31,50
1549519344,41,61
1549521187,46,30
1549523104,37,45
1549524993,28,51
1549526943,39,42
1549528834,198,55
1549530748,46,63
1549532712,43,62
1549534593,43,54
1549536762,41,50
1549538684,52,51
1549540615,49,71
1549542535,50,51
1549544550,53,58
1549546376,44,46
1549548320,43,46
1549550212,64,40
1549552152,59,58
1549554037,56,46
1549555970,54,544
1549557899,52,1445
1549560079,46,42
1549561988,65,34
1549563888,56,56
1549565811,46,47
1549567722,39,57
1549569722,96,62
1549571579,167,131
1549573504,166,47
1549575401,123,48
1549577347,102,52
1549579260,100,52
1549581193,77,55
1549583097,75,32
1549585253,74,39
1549587157,69,53
1549589082,68,42
1549591332,56,202
1549593180,46,58
1549595153,310,48
1549596992,1108,39
1549599161,65,51
1549601076,65,36
1549603008,48,48
1549604936,62,40
1549606857,52,45
1549608779,45,51
1549610943,48,53
1549612959,38,48
1549614776,41,140
1549616715,50,120
1549618596,54,57
1549620513,396,61
1549622448,76,48
1549624359,91,58
1549626269,84,69
1549628488,69,75
1549630371,35,64
1549632288,43,57
1549634194,33,49
1549636130,42,44
1549638115,46,52
1549639991,41,67
1549641887,36,70
1549643795,47,57
1549645729,35,61
1549647635,47,53
1549649554,55,63
1549651491,41,53
1549653403,45,59
1549655318,67,49
1549657260,74,58
1549659170,65,46
1549661076,51,56
1549663015,46,57
1549664918,30,55
1549666956,34,57
1549668763,40,66
1549670705,46,52
1549672603,46,67
1549674527,43,65
1549676435,46,75
1549678356,52,58
1549680272,38,48
1549682212,45,1326
1549684124,36,99
1549686052,35,58
1549687957,30,75
1549689863,44,55
1549691790,27,52
1549693735,36,58
1549695760,49,58
1549697582,39,49
1549699499,50,52
1549701389,38,40
1549703321,51,51
1549705263,30,74
1549707186,30,484
1549709078,42,94
1549711006,30,97
1549712920,57,93
1549714862,41,67
1549716769,42,50
1549718692,45,57
1549720596,41,33
1549722789,43,64
1549724675,46,41
1549726590,54,49
1549728586,37,56
1549730437,39,52
1549732384,25,47
1549734273,49,60
1549736186,38,48
1549738127,44,43
1549740029,38,52
1549741985,79,45
1549743874,54,59
1549745818,56,58
1549747709,55,49
1549749714,197,54
1549752316,1165,50
1549754239,51,43
1549756122,37,39
1549758044,47,45
1549759949,45,42
1549761903,30,40
1549763815,47,43
1549765973,66,58
1549767899,35,38
1549769811,45,53
1549771737,30,41
1549773655,59,29
1549775550,52,55
1549777479,39,46
1549779409,42,41
1549781317,35,32
1549783252,43,35
1549785188,39,42
1549787084,44,46
1549789011,44,47
1549790931,62,38
1549792919,71,48
1549794757,60,38
1549796698,61,41
1549798862,121,58
1549800788,80,48
1549802680,427,40
1549804667,72,54
1549806542,71,34
1549808458,49,39
1549810360,30,51
1549812276,46,47
1549814210,55,44
1549816135,63,25
1549818130,1518,30
1549819960,41,51
1549821908,34,48
1549823790,52,36
1549825724,37,43
1549827668,55,51
1549829557,123,41
1549831482,63,28
1549833427,49,59
1549835335,55,50
1549837251,54,661
1549839162,33,535
1549841100,131,58
1549842996,38,51
1549844922,54,50
1549846925,36,39
1549848785,43,33
1549850717,43,45
1549852610,44,48
1549854809,45,54
1549856682,50,44
1549858860,52,45
1549860773,35,37
1549862705,37,55
1549864589,47,35
1549866760,47,44
1549868696,54,49
1549870592,30,60
1549872520,52,42
1549874464,49,46
1549876373,34,46
1549878274,29,52
1549880223,1161,56
1549882114,3082,45
1549884229,2958,57
1549886549,1220,75
1549888361,36,480
1549890298,63,54
1549892238,71,69
1549894138,80,60
1549896112,68,50
1549897999,82,59
1549899920,68,61
1549901807,108,50
1549903739,133,1418
1549905658,119,159
1549907560,96,40
1549909516,80,50
1549911397,58,50
1549913584,74,79
1549915748,75,129
1549917644,50,80
1549919574,118,58
1549921480,59,57
1549923414,51,73
1549925336,57,61
