DateTime,Entries,UniqueIPs
1549432165,8276,8276
1549434038,8269,8269
1549435950,8258,8258
1549437893,8251,8251
1549439812,8231,8231
1549441971,8220,8220
1549444137,8219,8219
1549446047,8218,8218
1549447961,8211,8211
1549449879,8197,8197
1549451811,8191,8191
1549453722,8178,8178
1549455671,8132,8132
1549457593,8079,8079
1549459480,8047,8047
1549461728,8005,8005
1549463589,7957,7957
1549465487,7926,7926
1549467651,7886,7886
1549469551,7876,7876
1549471726,7851,7851
1549473685,7824,7824
1549475800,7795,7795
1549478122,7745,7745
1549480140,7723,7723
1549482226,7855,7855
1549484196,7937,7937
1549486122,8030,8030
1549488059,8076,8076
1549489966,8148,8148
1549491867,8183,8183
1549493816,8237,8237
1549495711,8270,8270
1549497775,8285,8285
1549499855,8300,8300
1549501732,8305,8305
1549503631,8301,8301
1549505566,8292,8292
1549507545,8283,8283
1549509421,8268,8268
1549511556,8279,8279
1549513477,8285,8285
1549515418,8304,8304
1549517313,8278,8278
1549519346,8261,8261
1549521189,8254,8254
1549523106,8233,8233
1549524995,8216,8216
1549526944,8216,8216
1549528836,8211,8211
1549530750,8192,8192
1549532715,8176,8176
1549534594,8166,8166
1549536764,8159,8159
1549538686,8159,8159
1549540617,8130,8130
1549542537,8114,8114
1549544552,8104,8104
1549546378,8101,8101
1549548322,8085,8085
1549550226,8091,8091
1549552154,8076,8076
1549554038,8075,8075
1549555971,7539,7539
1549557901,6105,6105
1549560081,6119,6119
1549561991,6120,6120
1549563889,6105,6105
1549565812,6086,6086
1549567724,6051,6051
1549569726,6038,6038
1549571580,6005,6005
1549573506,6056,6056
1549575402,6118,6118
1549577348,6162,6162
1549579261,6178,6178
1549581195,6207,6207
1549583099,6231,6231
1549585255,6278,6278
1549587159,6278,6278
1549589084,6302,6302
1549591334,6306,6306
1549593182,6319,6319
1549595155,6348,6348
1549596993,6357,6357
1549599163,6364,6364
1549601077,6362,6362
1549603010,6367,6367
1549604938,6392,6392
1549606858,6380,6380
1549608780,6369,6369
1549610945,6360,6360
1549612960,6358,6358
1549614778,6330,6330
1549616717,6313,6313
1549618611,6291,6291
1549620515,6822,6822
1549622449,6844,6844
1549624361,6871,6871
1549626271,6864,6864
1549628490,6834,6834
1549630373,6818,6818
1549632293,6818,6818
1549634196,6790,6790
1549636131,6759,6759
1549638117,6737,6737
1549639992,6718,6718
1549641888,6687,6687
1549643797,6676,6676
1549645745,6657,6657
1549647637,6644,6644
1549649560,6649,6649
1549651492,6668,6668
1549653405,6674,6674
1549655320,6705,6705
1549657261,6757,6757
1549659171,6740,6740
1549661078,6711,6711
1549663017,6732,6732
1549664919,6717,6717
1549666959,6726,6726
1549668764,6717,6717
1549670709,6700,6700
1549672604,6710,6710
1549674529,6702,6702
1549676436,6681,6681
1549678358,6659,6659
1549680273,6651,6651
1549682213,6625,6625
1549684125,6619,6619
1549686053,6579,6579
1549687958,6551,6551
1549689865,6526,6526
1549691792,6495,6495
1549693736,6463,6463
1549695761,6435,6435
1549697584,6410,6410
1549699501,6415,6415
1549701390,6421,6421
1549703331,6404,6404
1549705265,6391,6391
1549707188,5786,5786
1549709079,5729,5729
1549711008,5680,5680
1549712921,5669,5669
1549714864,5661,5661
1549716770,5640,5640
1549718694,5619,5619
1549720598,5623,5623
1549722791,5617,5617
1549724676,5620,5620
1549726591,5607,5607
1549728587,5592,5592
1549730439,5580,5580
1549732385,5569,5569
1549734274,5551,5551
1549736187,5549,5549
1549738128,5541,5541
1549740030,5543,5543
1549741987,5572,5572
1549743875,5606,5606
1549745819,5626,5626
1549747711,5650,5650
1549749715,5688,5688
1549752318,5715,5715
1549754241,5741,5741
1549756124,5774,5774
1549758046,5805,5805
1549759951,5811,5811
1549761905,5826,5826
1549763817,5851,5851
1549765975,5868,5868
1549767901,5878,5878
1549769812,5897,5897
1549771739,5902,5902
1549773657,5933,5933
1549775551,5943,5943
1549777481,5943,5943
1549779411,5953,5953
1549781319,5969,5969
1549783254,5970,5970
1549785190,5968,5968
1549787086,5983,5983
1549789012,5987,5987
1549790933,5996,5996
1549792920,6012,6012
1549794759,6019,6019
1549796699,6039,6039
1549798863,6097,6097
1549800790,6129,6129
1549802695,6703,6703
1549804669,6758,6758
1549806554,6778,6778
1549808460,6798,6798
1549810362,6799,6799
1549812278,6825,6825
1549814224,6823,6823
1549816137,6850,6850
1549818133,8380,8380
1549819962,8384,8384
1549821910,8375,8375
1549823792,8364,8364
1549825726,8361,8361
1549827669,8368,8368
1549829559,8359,8359
1549831483,8367,8367
1549833429,8371,8371
1549835337,8383,8383
1549837253,8394,8394
1549839164,8411,8411
1549841102,8416,8416
1549842997,8408,8408
1549844932,8408,8408
1549846927,8399,8399
1549848787,8401,8401
1549850719,8388,8388
1549852611,8388,8388
1549854811,8380,8380
1549856684,8378,8378
1549858862,8377,8377
1549860775,8376,8376
1549862707,8380,8380
1549864591,8374,8374
1549866762,8367,8367
1549868698,8356,8356
1549870593,8328,8328
1549872522,8328,8328
1549874466,8314,8314
1549876375,8312,8312
1549878275,8290,8290
1549880224,8299,8299
1549882116,8291,8291
1549884231,8285,8285
1549886551,8266,8266
1549888362,7732,7732
1549890300,7715,7715
1549892254,7714,7714
1549894141,7719,7719
1549896114,7728,7728
1549898001,7733,7733
1549899923,7748,7748
1549901809,7761,7761
1549903741,6337,6337
1549905660,6242,6242
1549907562,6267,6267
1549909517,6282,6282
1549911408,6315,6315
1549913586,6321,6321
1549915750,6341,6341
1549917645,6318,6318
1549919576,6332,6332
1549921482,6329,6329
1549923416,6323,6323
1549925338,6310,6310
1549927304,6312,6312
1549929162,6310,6310
1549931080,6310,6310
1549933030,6314,6314
1549934923,6304,6304
1549936947,6318,6318
1549938795,6320,6320
1549940762,6321,6321
1549942857,6309,6309
1549944782,6312,6312
1549946700,6298,6298
1549948600,6286,6286
1549950788,6283,6283
1549952690,6283,6283
1549954742,6287,6287
1549956777,6286,6286
1549958713,6275,6275
1549960612,6265,6265
1549962523,6266,6266
1549964491,6245,6245
1549966395,6237,6237
1549968281,6223,6223
1549970228,6212,6212
1549972156,6190,6190
1549974067,6185,6185
1549975986,6168,6168
1549977879,6147,6147
1549979828,6135,6135
1549981746,6135,6135
1549983777,6128,6128
1549986822,6134,6134
1549988937,6141,6141
1549990930,6127,6127
1549992796,6122,6122
1549994705,6105,6105
1549996631,6107,6107
1549998561,6101,6101
1550000439,6087,6087
1550002361,6083,6083
1550004301,6098,6098
1550006214,6117,6117
1550008141,6106,6106
1550010031,6117,6117
1550011965,6117,6117
1550013882,6113,6113
1550015823,6117,6117
1550017712,6111,6111
1550019734,6102,6102
1550021567,6097,6097
1550023513,6095,6095
1550025414,6089,6089
1550027326,6077,6077
1550029244,6074,6074
1550031161,6066,6066
1550033082,6049,6049
1550035029,6054,6054
1550036930,6040,6040
1550038834,6039,6039
1550040803,6032,6032
1550042696,6018,6018
1550044626,6012,6012
1550046534,6009,6009
1550048529,6011,6011
1550050388,6010,6010
1550052316,6013,6013
1550054195,6007,6007
1550056396,6000,6000
1550058263,5998,5998
1550060217,5990,5990
1550062113,5995,5995
1550064079,6002,6002
1550065949,6009,6009
1550067916,5993,5993
1550069787,5999,5999
1550071711,5998,5998
1550073732,5975,5975
1550075570,5954,5954
1550077524,5953,5953
1550079407,5961,5961
1550081308,5969,5969
1550083236,5972,5972
1550085168,5984,5984
1550087088,5988,5988
1550089001,5991,5991
1550090909,5991,5991
1550092825,6012,6012
1550094769,6023,6023
1550096674,6022,6022
1550098630,6008,6008
1550100541,5992,5992
1550102476,5981,5981
1550104370,5966,5966
1550106300,5959,5959
1550108192,5969,5969
1550110137,5959,5959
1550112038,5958,5958
1550113958,5965,5965
1550115891,5947,5947
1550118061,5936,5936
1550119967,5915,5915
1550121883,5902,5902
1550123814,5904,5904
1550125706,5898,5898
1550127743,5892,5892
1550129676,5893,5893
1550131511,5885,5885
1550133406,5879,5879
1550135339,5870,5870
1550137226,5875,5875
1550139182,5870,5870
1550141073,5879,5879
1550143010,5870,5870
1550144926,5849,5849
1550146857,5850,5850
1550148770,5844,5844
1550150692,5843,5843
1550152608,5829,5829
1550154506,5828,5828
1550156501,5821,5821
1550158495,5822,5822
1550160567,5811,5811
1550162429,5805,5805
1550164366,5799,5799
1550166304,5794,5794
1550168192,5783,5783
1550170110,5759,5759
1550172070,5749,5749
1550173957,5732,5732
1550175874,5758,5758
1550177809,5792,5792
1550179713,5815,5815
1550181697,5825,5825
1550184101,5866,5866
1550185975,5896,5896
1550187876,5895,5895
1550189798,5917,5917
1550191707,5916,5916
1550193628,5930,5930
1550195566,6040,6040
1550197495,6155,6155
1550199382,6209,6209
1550201354,6268,6268
1550203322,6301,6301
1550205149,6318,6318
1550207114,6335,6335
1550208984,6353,6353
1550210911,6380,6380
1550212851,6395,6395
1550214762,6394,6394
1550216668,6410,6410
1550218591,6412,6412
1550220531,6405,6405
1550222456,6418,6418
1550224369,6402,6402
1550226267,6408,6408
1550228185,6402,6402
1550230160,6406,6406
1550232096,6397,6397
1550233961,6389,6389
1550235916,6393,6393
1550237785,6396,6396
1550239714,6385,6385
1550241654,6370,6370
1550243583,6368,6368
1550245473,6360,6360
1550247419,6353,6353
1550249326,6345,6345
1550251281,6341,6341
1550253155,6343,6343
1550255324,6320,6320
1550257329,6307,6307
1550259199,6304,6304
1550261104,6301,6301
1550263019,6293,6293
1550264952,6907,6907
1550266837,8278,8278
1550268767,9658,9658
1550270669,11196,11196
1550272849,12859,12859
1550274759,14364,14364
1550276694,15857,15857
1550278582,16146,16146
1550280642,16122,16122
1550282526,15986,15986
1550284366,15890,15890
1550286351,15831,15831
1550288210,15796,15796
1550290118,15763,15763
1550292023,15749,15749
1550293952,15723,15723
1550295863,15688,15688
1550297810,15657,15657
1550299712,15638,15638
1550301646,15623,15623
1550303587,15606,15606
1550305484,15608,15608
1550307407,15602,15602
1550309319,15591,15591
1550311299,15582,15582
1550313172,15570,15570
1550315340,15577,15577
1550317491,15580,15580
1550319418,15591,15591
1550321324,15585,15585
1550323255,15572,15572
1550325182,15568,15568
1550327068,15569,15569
1550328979,15566,15566
1550330944,15562,15562
1550332934,15560,15560
1550334765,15554,15554
1550336691,15565,15565
1550338911,15565,15565
1550340813,15555,15555
1550342675,15550,15550
1550344593,15545,15545
1550346526,15556,15556
1550348435,15546,15546
1550350391,15353,15353
1550352279,14232,14232
1550354188,12730,12730
1550356126,11217,11217
1550358355,9526,9526
1550360463,7791,7791
1550362385,6311,6311
1550364309,5428,5428
1550366215,5435,5435
1550368111,5443,5443
1550370063,5453,5453
1550371962,5457,5457
1550373874,5451,5451
1550375820,5460,5460
1550377746,5471,5471
1550379759,5472,5472
1550381595,5481,5481
1550383561,5488,5488
1550385422,5498,5498
1550387340,5500,5500
1550389241,5503,5503
1550391174,5502,5502
1550393078,5532,5532
1550395009,5537,5537
1550396916,5545,5545
1550398859,5548,5548
1550400757,5567,5567
1550402686,5558,5558
