DateTime,AddedIPs,RemovedIPs
1539377079,15,10
1539399147,40,7
1539421005,8,11
1539442898,10,14
1539464922,11,22
1539487051,8,12
1539509054,9,11
1539530910,11,13
1539552991,83,12
1539575060,4,5
1539596907,803,13
1539618765,3,62
1539640888,26,13
1539662937,21,8
1539684992,30,8
1539707320,19,6
1539729644,19,19
1539751719,21,15
1539773568,11,8
1539795921,13,13
1539818199,12,15
1539840271,15,12
1539862367,18,9
1539884660,16,19
1539906786,21,18
1539928881,11,14
1539950930,27,10
1539972996,15,11
1539995065,26,18
1540017211,23,34
1540039220,12,5
1540061322,8,4
1540083204,12,6
1540105341,7,9
1540127393,10,8
1540149393,5,14
1540171468,17,79
1540193560,15,800
1540215412,11,8
1540237490,12,13
1540259536,8,15
1540281531,7,11
1540303464,7,16
1540325556,1343,98
1540347434,11,14
1540369723,16,12
1540391795,23,18
1540413657,27,8
1540435975,102,12
1540458087,9,16
1540480107,18,13
1540501974,11,14
1540524042,6,9
1540545887,7,14
1540567948,8,14
1540590053,14,13
1540612113,9,11
1540634190,5,13
1540656107,9,4
1540678144,7,7
1540700200,7,14
1540722285,10,108
1540744363,100,9
1540766443,7,13
1540788524,5,10
1540810366,7,12
1540832214,2,14
1540854100,7,13
1540876121,15,9
1540897970,14,8
1540920285,12,14
1540942609,9,5
1540964658,6,4
1540986532,5,13
1541008908,6760,1031
1541030934,6,10
1541053025,7,7
1541075082,5,12
1541097405,11,4
1541119261,11,9
1541141115,13,5
1541163059,5,14
1541184997,6,11
1541207081,10,7
1541229406,8,117
1541251485,14,5
1541273911,5,4
1541295883,3,10
1541318198,7,11
1541340084,7,7
1541362111,127,6
1541384207,20,2
1541406268,11,5
1541428362,7,7
1541450205,14,5
1541472046,13,3
1541494380,9,9
1541516497,9,4
1541538530,16,6
1541560828,9,6
1541582681,13,27
1541604744,1,6
1541626604,9,7086
1541648687,6,6
1541670751,4911,5
1541692596,871,8
1541714492,9,4
1541736777,1,7
1541758826,8,5
1541780674,7,9
1541802746,9,6
1541824832,4,2
1541846912,7,12
1541868762,5,4
1541891101,6,4
1541913156,9,3
1541935506,9,3
1541957821,9,3
1541979858,15,4
1542001715,6,7
1542023795,4,11
1542045871,5,3
1542067743,81,7
1542089836,13,8
1542111887,5,6
1542134001,4,8
1542156272,10,5
1542178358,2,4
1542200483,8,8
1542222504,1186,8
1542244592,6,7
1542266684,3,6
1542288526,8,5602
1542310865,23,4
1542332908,13,5
1542355288,6,4
1542377572,7,7
1542399874,4,28
1542421964,4,5
1542444024,2,5
1542466111,1857,5
1542487968,9,166
1542510103,8,9
1542532106,4,10
1542554189,35,9
1542576254,82,14
1542598117,8,7
1542620179,7,9
1542642094,8,7
1542664114,177,4
1542686199,3,83
1542708109,31,9
1542730190,20,2
1542752193,19,9
1542774283,14,6
1542796362,7,4
1542818426,12,5
1542840520,6,9
1542862369,7,5
1542884228,8,4
1542906263,9,1336
1542928115,8,13
1542950432,5,7
1542972749,12,4
1542994827,6,7
1543016689,7,3
1543038745,10,1
1543060922,4,3
1543082891,4,1859
1543104987,14,9
1543126832,10,6
1543149156,63,3
1543171240,16,110
1543193303,8,4
1543215176,5003,4
1543237304,5,6
1543259317,5,4
1543281256,9,3
1543303490,12,2
1543325565,9,8
1543347410,4,7
1543369472,6,9
1543391327,3,3
1543413189,24,12
1543435491,14,8
1543457550,5,5
1543479405,5,5
1543501480,6,6
1543523716,14,6
1543545645,12,5
1543567961,27,4
1543590308,16,7
1543612383,18,1
1543634679,6,5
1543656779,3,6
1543679068,19,3
1543701168,16,2
1543723311,6,5
1543745338,7,3
1543767404,11,8
1543789468,10,12
1543811310,5,5
1543833414,3,7
1543855458,7,3
1543877323,3,4
1543899764,8,6
1543921981,6,10
1543944287,1308,134
1543966389,12,3
1543988456,4681,3
1544010775,7,4734
1544033088,3,6
1544055390,11,3
1544077247,8,5
1544099343,8,54
1544121407,13,7
1544143476,16,3
1544165803,9,8
1544187745,6,25
1544209721,9,7
1544231575,7,6
1544253881,6,6
1544275963,9,5
1544298020,10,12
1544319889,6,7
1544341957,5,10
1544364121,11,4
1544386137,10,10
1544408208,8,8
1544430520,8,6
1544452855,4,9
1544474919,14,7
1544496769,7,7
1544518931,5,4
1544541175,85,6
1544563237,8,5
1544585088,10,1491
1544607418,8,3495
1544629481,12,8
1544651558,6,1333
1544673955,9,14
1544695938,13,5
1544718056,6,11
1544740366,9,10
