DateTime,AddedIPs,RemovedIPs
1549432166,51,11
1549434039,50,23
1549435951,49,13
1549437894,55,24
1549439813,46,14
1549441972,49,19
1549444138,45,21
1549446048,38,23
1549447963,49,20
1549449880,42,10
1549451813,28,9
1549453724,29,119
1549455673,29,254
1549457594,38,212
1549459493,77,214
1549461732,65,218
1549463590,66,202
1549465489,69,176
1549467652,108,206
1549469552,102,148
1549471727,130,200
1549473687,124,163
1549475802,117,174
1549478123,131,172
1549480141,112,133
1549482228,117,157
1549484209,117,145
1549486123,156,126
1549488060,158,115
1549489967,133,102
1549491868,135,113
1549493817,139,114
1549495713,154,89
1549497782,117,91
1549499856,149,83
1549501734,116,72
1549503632,141,79
1549505567,121,76
1549507546,117,92
1549509422,100,59
1549511557,107,64
1549513478,113,48
1549515419,106,53
1549517315,104,48
1549519347,102,53
1549521190,82,48
1549523109,81,60
1549524996,92,43
1549526946,81,44
1549528837,101,49
1549530751,76,31
1549532716,86,38
1549534595,89,45
1549536765,94,39
1549538687,74,30
1549540618,73,41
1549542539,74,34
1549544553,71,63
1549546379,68,84
1549548323,71,61
1549550228,71,72
1549552155,65,80
1549554039,76,105
1549555973,69,110
1549557902,76,114
1549560082,85,139
1549561993,92,115
1549563890,69,106
1549565813,86,116
1549567725,83,106
1549569729,90,110
1549571581,71,122
1549573507,84,179
1549575403,92,118
1549577349,128,146
1549579262,140,143
1549581196,116,135
1549583100,137,130
1549585256,179,139
1549587160,105,125
1549589085,122,133
1549591335,116,160
1549593183,113,119
1549595156,117,103
1549596994,100,95
1549599164,125,120
1549601078,124,95
1549603011,94,111
1549604939,112,102
1549606859,120,80
1549608781,119,82
1549610946,111,93
1549612961,109,92
1549614779,103,87
1549616718,97,90
1549618612,101,74
1549620517,95,84
1549622450,96,84
1549624362,104,76
1549626272,94,72
1549628491,99,84
1549630374,102,66
1549632295,72,81
1549634197,83,68
1549636132,93,61
1549638118,75,72
1549639993,71,71
1549641889,83,75
1549643798,82,74
