DateTime,Entries,UniqueIPs
1539348760,272,272
1539370908,272,272
1539392910,273,273
1539414762,271,271
1539436854,264,264
1539459162,262,262
1539481254,260,260
1539503304,260,260
1539525707,263,263
1539547723,263,263
1539569790,265,265
1539592116,266,266
1539614198,268,268
1539636310,267,267
1539658336,267,267
1539680491,263,263
1539702396,273,273
1539724615,281,281
1539746653,275,275
1539768773,275,275
1539791073,284,284
1539813162,284,284
1539835328,287,287
1539857554,282,282
1539879654,280,280
1539901975,279,279
1539924050,278,278
1539946105,278,278
1539968177,286,286
1539990030,292,292
1540011887,299,299
1540033960,306,306
1540056039,317,317
1540078114,327,327
1540100207,331,331
1540122252,332,332
1540144127,337,337
1540166190,332,332
1540188288,334,334
1540210135,332,332
1540232217,332,332
1540254544,331,331
1540276617,331,331
1540298927,320,320
1540321281,316,316
1540343337,308,308
1540365642,301,301
1540387974,295,295
1540410300,295,295
1540432341,288,288
1540454207,282,282
1540476101,279,279
1540498128,276,276
1540520210,287,287
1540542530,288,288
1540564847,281,281
1540586909,271,271
1540608762,259,259
1540630895,254,254
1540653188,251,251
1540675257,237,237
1540697300,229,229
1540719163,218,218
1540741022,209,209
1540763325,204,204
1540785392,199,199
1540807498,195,195
1540829600,192,192
1540851657,192,192
1540873696,195,195
1540895556,196,196
1540917655,199,199
1540939707,196,196
1540961802,194,194
1540983669,194,194
1541005969,192,192
1541028024,187,187
1541049869,184,184
1541072208,182,182
1541094257,182,182
1541116340,165,165
1541138203,162,162
1541160295,154,154
1541182622,158,158
1541204675,158,158
1541226754,158,158
1541248604,157,157
1541270445,157,157
1541292516,156,156
1541314587,156,156
1541336502,159,159
1541358502,166,166
1541380608,172,172
1541402935,179,179
1541425389,182,182
1541447314,187,187
1541469171,188,188
1541491290,190,190
1541513566,192,192
1541535520,203,203
1541557481,210,210
1541579543,215,215
1541601636,220,220
1541623500,225,225
1541645530,232,232
1541667401,238,238
1541689274,240,240
1541711122,243,243
1541733394,241,241
1541755479,248,248
1541777577,248,248
1541799611,249,249
1541821720,249,249
1541843804,249,249
1541865867,250,250
1541887717,251,251
1541910056,249,249
1541932341,255,255
1541954419,257,257
1541976541,256,256
1541998908,263,263
1542020904,255,255
1542042998,253,253
1542064872,251,251
1542086922,257,257
1542109011,262,262
1542131076,262,262
1542152920,251,251
1542174984,252,252
1542196904,250,250
1542218921,249,249
1542240762,249,249
1542262814,247,247
1542284685,241,241
1542306764,235,235
1542328854,231,231
1542351213,226,226
1542373295,221,221
1542395290,219,219
1542417142,210,210
1542438985,215,215
1542460839,211,211
1542483156,216,216
1542505243,218,218
1542527313,219,219
1542549390,220,220
1542571278,219,219
1542593321,216,216
1542615393,220,220
1542637251,221,221
1542659310,210,210
1542681398,205,205
1542703293,188,188
1542725293,184,184
1542747151,190,190
1542780542,197,197
1542802609,199,199
1542824677,202,202
1542846519,183,183
1542868837,173,173
1542890898,167,167
1542912762,165,165
1542934844,159,159
1542956688,160,160
1542978750,162,162
1543000832,160,160
1543022683,168,168
1543044879,165,165
1543066834,162,162
1543089145,158,158
1543110994,158,158
1543132899,156,156
1543154934,155,155
1543177241,151,151
1543199588,150,150
1543221879,146,146
1543243740,146,146
1543265778,149,149
