DateTime,AddedIPs,RemovedIPs
1540805578,0,2
1540825347,0,1
1540827183,1,0
1540855507,0,2
1540857412,0,1
1540859582,0,1
1540867253,1,0
1540911159,1,0
1540913094,0,1
1540944528,1,0
1540952214,1,0
1540954116,0,1
1540993000,1,0
1540998785,0,1
1541000746,1,0
1541018708,1,0
1541022772,1,0
1541024677,2,0
1541026636,788,0
1541028538,1101,0
1541030496,1670,1
1541038165,0,1
1541059745,1,0
1541077724,1,0
1541079643,1,1
1541105091,0,1
1541109422,0,1
1541111557,0,84
1541113515,0,933
1541115392,0,1243
1541117348,0,1301
1541119264,0,1
1541146862,1,1
1541164872,0,2
1541168693,1,0
1541176857,1,0
1541184753,1,0
1541231822,0,1
1541254832,0,1
1541264513,0,1
1541272361,1,1
1541289897,1,0
1541299717,1,0
1541324912,1,0
1541334516,1,0
1541359470,0,1
1541363340,1,0
1541375082,0,1
1541385169,0,1
1541420457,0,1
1541443966,1,0
1541449732,0,1
1541476913,0,1
1541527959,0,1
1541554611,1,0
1541560361,1,0
1541562260,2,0
1541568263,3,0
1541577872,1,0
1541587463,339,0
1541589392,1124,0
1541591302,1699,0
1541593239,395,0
1541595147,1,0
1541641949,0,1
1541645794,1,0
1541647697,0,1
1541649690,0,1
1541653493,0,1
1541673917,0,367
1541676052,0,1263
1541677974,1,1811
1541679907,2,120
1541682103,0,1
1541685936,1,0
1541701477,1,0
1541709153,1,0
1541732520,0,1
1541763888,0,1
1541766042,0,2
1541773712,0,1
1541787403,0,1
1541792205,0,1
1541887297,1,0
1541892991,1,0
1541899218,1,0
1541950119,1,0
1541959729,1,0
1541973378,1,0
1541975300,0,1
1541979155,0,1
1542021894,0,1
1542029564,76,0
1542037238,0,1
1542039176,1,0
1542046833,0,1
1542060794,0,1
1542096095,1,0
1542117408,0,76
1542127253,0,1
1542160344,76,0
1542181712,0,1
1542243652,0,76
1542269555,1,0
1542287091,1,0
1542356416,0,1
1542372261,0,1
1542435873,1,0
1542437800,1,0
1542439719,1,0
1542505701,1,0
1542507635,1,0
1542523016,0,1
1542524955,0,2
1542536440,1,0
1542555645,1,0
1542592896,1,1
1542594763,0,1
1542623548,0,1
1542639161,1,0
1542641080,0,1
1542679961,0,1
1542724369,0,1
1542817009,1,0
1542832594,1,0
1542867615,1,0
1542898894,1,0
1542904610,1,1
1542918516,0,1
1542922378,1,0
1542932073,1,0
1542953791,0,1
1542961478,1,0
1542986714,0,1
1542990520,0,1
1543008750,0,1
1543018586,0,1
1543032296,1,0
1543047631,0,1
1543069250,1,0
1543098279,1,0
1543118199,0,1
1543155405,1,1
1543184430,0,1
1543203396,1,0
1543205335,1,0
1543242260,0,1
1543260949,1,0
1543266764,1,0
1543290040,0,1
1543291962,0,1
1543303492,1,0
1543330371,1,0
1543346484,0,1
1543352742,0,1
1543390343,0,1
1543414124,0,1
1543462573,1,0
1543464768,1,0
1543480342,1,0
1543486363,1,0
1543499775,1,0
1543509623,1,0
1543517297,1,0
1543525005,1,0
1543549238,0,1
1543551179,0,1
1543566505,0,1
1543572352,0,1
1543595546,0,1
1543601339,1,0
1543603225,1,1
1543605163,1,0
1543611300,0,1
1543635673,1,0
1543664446,0,1
1543680115,1,0
1543687747,0,1
1543689647,0,1
1543691619,0,1
1543720381,1,1
1543766979,0,1
1543774619,1,0
1543808186,0,1
1543859560,76,0
1543861494,0,1
1543868258,1,0
1543886687,1,0
1543934206,1,0
1543946225,0,76
1543954144,0,1
1543960369,1,0
1543968355,1,0
1543972368,0,1
1544006695,1,0
1544020632,0,1
1544032613,1,0
1544046266,0,1
1544056106,0,1
1544068366,1,0
1544072215,1,0
1544076323,1,0
1544090197,1,0
1544092130,0,1
1544109418,1,0
1544118994,0,1
1544126701,76,0
1544152394,1,0
1544154403,0,1
1544158130,0,1
1544164370,0,1
1544172301,69,0
1544174222,851,0
1544176133,1406,0
1544178073,1258,0
1544195588,0,1
1544213339,0,57
1544215249,1,0
1544230941,1,0
1544244512,1,0
1544250313,1,0
1544260156,1,702
1544262054,0,1185
1544263958,0,1693
1544266115,0,25
1544285817,1,0
1544297555,1,0
1544301664,0,1
1544317514,0,1
1544331176,0,1
1544336910,0,1
1544346760,0,1
1544354446,1,0
1544371840,0,1
1544383467,0,1
1544389311,1,0
1544456464,1,0
1544481861,0,1
1544487456,1,0
1544499422,77,0
1544515341,0,1
1544543324,0,1
1544573244,0,1
1544583155,0,77
1544615875,1,0
1544634529,1,0
1544703900,0,1
1544717610,0,1
1544728858,1,0
1544814277,0,1
1544825774,1,0
1544853138,1,0
1544909084,1,0
1544912896,0,1
1544940270,0,1
1544978933,1,0
1544996431,0,1
1545027661,1,0
1545064597,0,1
1545111661,0,1
1545146683,1,0
1545231407,0,1
1545266902,1,0
1545352842,0,1
1545426988,77,0
1545501889,1,0
1545527096,1,0
1545528997,0,77
1545588144,0,1
1545601873,1,0
1545612516,0,1
1545662918,1,0
1545688398,0,1
1545747160,0,1
1545798525,1,0
1545825881,1,0
1545885376,0,1
1545900984,1,0
1545912982,0,1
1545985460,0,1
1546144824,1,0
1546229787,0,1
1546320286,1,0
1546322181,1,0
1546365406,1,0
1546392323,1,0
1546407637,0,1
1546409802,0,1
1546452525,0,1
1546456623,78,0
1546464772,1,0
1546477356,0,1
1546542326,0,1
1546544225,1,77
1546555979,0,1
1546608029,1,0
1546630159,0,1
1546679575,1,0
1546693318,0,1
1546764038,0,1
1546809875,1,0
1546837028,1,0
1546874200,1,0
1546897760,0,1
1546961112,0,1
1546978866,0,1
1546987452,1,0
1546995419,1,0
1547075075,0,1
1547080863,0,1
1547382992,1,0
1547469294,1,0
1547471126,0,1
1547480949,1,0
1547554874,1,1
1547560611,3,0
1547562539,2,0
1547566630,1,1
1547576708,1,0
1547607971,1,0
1547641500,0,1
1547647508,0,3
1547649662,0,2
1547653470,0,1
1547661380,0,1
1547693096,0,1
1547730282,1,0
1547734108,1,0
1547741791,1,0
1547745639,1,0
1547751865,1,0
1547753783,1,0
1547755985,1,0
1547759802,1,0
1547763864,1,0
1547765778,3,0
1547767710,2,0
1547796979,1,0
1547807091,1,0
1547810902,1,0
1547813163,1,0
1547817166,0,1
1547820999,0,1
1547827290,0,1
1547831149,0,1
1547839230,0,1
1547841140,0,1
1547843096,0,1
1547847148,0,1
1547849072,0,1
1547850991,0,2
1547853189,0,3
1547884847,0,1
1547892777,0,1
1547898502,0,1
1547901398,1,1
1547958772,1,0
1547964768,1,0
1547983964,1,0
1547987784,0,1
1548003384,1,0
1548025521,1,0
1548044949,0,1
1548046954,1,0
1548050774,0,1
1548070622,0,1
1548090339,0,1
1548098220,1,0
1548111965,0,1
1548125787,1,0
1548133530,0,1
1548141179,1,0
1548151010,1,0
1548154937,1,0
1548183908,0,1
1548195633,1,0
1548211738,0,1
1548217475,1,0
1548227569,0,1
1548237335,0,1
1548239687,0,1
1548281566,0,1
1548301308,1,0
1548307513,0,1
1548334955,1,0
1548337009,1,0
1548355236,1,0
1548386702,1,1
1548390801,1,0
1548421976,0,2
1548439995,0,1
1548451961,1,0
1548453941,1,0
1548467574,1,0
1548473355,0,1
1548477161,0,1
1548516066,1,0
1548537637,0,1
1548541489,0,1
1548553032,0,1
1548601744,0,1
1548623792,1,0
1548647799,1,0
1548649648,2,0
1548655500,1,0
1548665135,1,0
1548669184,1,0
1548671088,1,0
1548679250,1,0
1548710208,0,1
1548714080,1,0
1548716234,1,0
1548726274,1,0
1548735890,0,3
1548741733,1,1
1548751495,0,1
1548755337,0,1
1548757257,0,1
1548764918,0,1
1548800917,0,1
1548802971,0,1
1548809576,1,0
1548811477,0,1
1548821366,1,0
1548829248,0,1
1548845075,1,0
1548877020,78,0
1548897193,0,1
1548909172,0,1
1548930780,0,1
1548936531,1,0
1548967733,1,0
1548985476,1,0
1548987691,1,0
1549024630,0,1
1549028446,0,78
1549055559,0,1
1549071396,0,1
1549073576,0,1
1549196696,1,0
1549202934,1,0
1549244000,1,0
1549284776,0,1
1549288906,0,1
1549328197,0,1
1549352676,1,0
1549437896,0,1
1549500269,1,0
1549546380,1,0
1549552157,1,0
1549587161,0,1
1549604941,1,0
1549616720,1,0
1549639995,0,1
1549649563,0,1
1549661081,1,0
1549691794,0,1
1549703347,0,1
1549705268,1,0
1549747713,0,1
1549756127,1,0
1549771741,1,0
1549775554,1,0
1549783258,1,0
1549790935,0,1
1549829561,1,0
1549843000,0,1
1549856687,1,0
1549858864,0,1
1549860777,1,0
1549862709,0,1
1549870596,0,1
1549915752,0,1
1549942862,0,1
1549946702,0,1
1550022260,1,0
1550040512,1,0
1550056399,1,0
1550081311,1,0
1550110140,0,1
1550125718,1,0
1550127745,0,1
1550143012,0,1
1550152623,1,0
1550166308,0,1
1550189801,1,0
1550214765,1,0
1550226269,0,1
1550239716,0,1
1550272853,395,0
1550274762,1140,0
1550276697,1611,1
1550278585,530,0
1550299715,1,0
1550352281,1,0
1550358357,0,5
1550360465,0,1036
1550362388,0,1371
1550364312,0,1264
1550366218,0,1
