DateTime,Entries,UniqueIPs
1549725948,9446,9446
1549726950,9435,9435
1549728414,9430,9430
1549729853,9423,9423
1549730992,9427,9427
1549732248,9434,9434
1549733327,9444,9444
1549734656,9441,9441
1549735845,9446,9446
1549736923,9456,9456
1549738602,9466,9466
1549739755,9469,9469
1549741251,9468,9468
1549743268,9481,9481
1549744955,9473,9473
1549745793,9485,9485
1549746885,9484,9484
1549748272,9477,9477
1549749397,9473,9473
1549750470,9471,9471
1549752172,9480,9480
1549753847,9495,9495
1549754920,9510,9510
1549756591,9518,9518
1549757760,9535,9535
1549759841,9541,9541
1549761046,9539,9539
1549763879,9531,9531
1549764870,9528,9528
1549766167,9531,9531
1549768492,9529,9529
1549769760,9537,9537
1549771014,9537,9537
1549772101,9521,9521
1549773756,9520,9520
1549774592,9530,9530
1549775671,9532,9532
1549776532,9530,9530
1549777824,9524,9524
1549778999,9515,9515
1549780963,9519,9519
1549781789,9527,9527
1549782891,9529,9529
1549783722,9542,9542
1549784566,9532,9532
1549786489,9529,9529
1549788096,9530,9530
1549789007,9530,9530
1549790077,9530,9530
1549791342,9521,9521
1549793149,9521,9521
1549794511,9536,9536
1549795368,9532,9532
1549796647,9527,9527
1549798407,9530,9530
1549799825,9535,9535
1549800937,9536,9536
1549802237,9531,9531
1549803390,9527,9527
1549804468,9513,9513
1549806046,9521,9521
1549806992,9533,9533
1549808090,9506,9506
1549809764,9461,9461
1549811024,9454,9454
1549812346,9471,9471
1549813525,9447,9447
1549815279,9438,9438
1549816111,9436,9436
1549816957,9439,9439
1549818869,9446,9446
1549819728,9452,9452
1549820552,9442,9442
1549821390,9437,9437
1549822545,9429,9429
1549824160,9432,9432
1549824990,9435,9435
1549826144,9425,9425
1549827692,9414,9414
1549829679,9423,9423
1549830518,9425,9425
1549831356,9403,9403
1549832199,9395,9395
1549833294,9393,9393
1549834142,9393,9393
1549835826,9392,9392
1549836869,9395,9395
1549837729,9396,9396
1549838549,9382,9382
1549839402,9383,9383
1549840551,9387,9387
1549842336,9397,9397
1549843567,9392,9392
1549844798,9392,9392
1549847679,9364,9364
1549849364,9358,9358
1549850212,9362,9362
1549851353,9354,9354
1549852108,9354,9354
1549853029,9340,9340
1549854650,9346,9346
1549855878,9329,9329
1549857036,9340,9340
1549858259,9331,9331
1549860197,9317,9317
1549862145,9313,9313
1549863801,9308,9308
1549864611,9316,9316
1549865765,9313,9313
1549867364,9317,9317
1549869271,9300,9300
1549870602,9292,9292
1549871750,9303,9303
1549872949,9298,9298
1549874626,9289,9289
1549876009,9285,9285
1549877277,9293,9293
1549879012,9281,9281
1549880164,9277,9277
1549880933,9280,9280
1549881751,9265,9265
1549883456,9259,9259
1549883767,9261,9261
1549884536,9267,9267
1549886203,9259,9259
1549887356,9258,9258
1549888856,9258,9258
1549890654,9251,9251
1549891883,9246,9246
1549893403,9263,9263
1549894500,9258,9258
1549895920,9261,9261
1549897382,9268,9268
1549899065,9283,9283
1549899765,9282,9282
1549900608,9286,9286
1549901756,9272,9272
1549902527,9272,9272
1549904199,9281,9281
1549905281,9259,9259
1549906134,9268,9268
1549906978,9247,9247
1549907811,9240,9240
1549908872,9229,9229
1549909709,9237,9237
1549910573,9214,9214
1549912471,9341,9341
1549914165,9392,9392
1549915017,9392,9392
1549916152,9385,9385
1549917764,9389,9389
1549919326,9386,9386
1549920677,9397,9397
1549922189,9387,9387
1549923351,9385,9385
1549924490,9378,9378
1549925656,9378,9378
1549926885,9366,9366
1549927711,9367,9367
1549928557,9345,9345
1549929959,9335,9335
1549931328,9346,9346
1549932153,9338,9338
1549934079,9326,9326
1549935700,9319,9319
1549937448,9322,9322
1549938671,9319,9319
1549940168,9330,9330
1549942226,9306,9306
1549942973,9309,9309
1549944362,9277,9277
1549945537,9288,9288
1549946762,9285,9285
1549948560,9270,9270
1549949879,9277,9277
1549951565,9262,9262
1549952927,9259,9259
1549953762,9241,9241
1549955674,9236,9236
1549957248,9238,9238
1549959268,9226,9226
1549960108,9230,9230
1549960965,9221,9221
1549962286,9223,9223
1549963719,9247,9247
1549966471,9264,9264
1549967993,9266,9266
1549970072,9248,9248
1549971313,9242,9242
1549972546,9240,9240
1549973754,9240,9240
1549974510,9245,9245
1549975373,9234,9234
1549976210,9248,9248
1549977293,9232,9232
1549978470,9218,9218
1549979630,9219,9219
1549980893,9215,9215
1549982554,9199,9199
1549984494,9186,9186
1549987003,9182,9182
1549988151,9178,9178
1549989342,9171,9171
1549991699,9179,9179
1549992908,9179,9179
1549994125,9182,9182
1549995255,9178,9178
1549996511,9206,9206
1549997666,9238,9238
1549998891,9248,9248
1549999711,9241,9241
1550001002,9245,9245
1550002495,9244,9244
1550004164,9255,9255
1550005838,9256,9256
1550007779,9279,9279
1550009668,9276,9276
1550010900,9311,9311
1550013271,9319,9319
1550014976,9323,9323
1550016324,9318,9318
1550017728,9313,9313
1550020472,9305,9305
1550021330,9314,9314
1550022933,9322,9322
1550024158,9316,9316
1550024909,9324,9324
1550027673,9308,9308
1550028537,9322,9322
1550029354,9327,9327
1550030193,9332,9332
1550031352,9349,9349
1550032589,9357,9357
1550033800,9387,9387
1550034881,9403,9403
1550035722,9419,9419
1550037335,9426,9426
1550038492,9422,9422
1550040100,9422,9422
1550042089,9418,9418
1550043794,9423,9423
1550045167,9422,9422
1550046312,9428,9428
1550046519,9431,9431
1550047841,9424,9424
1550049056,9431,9431
1550050111,9441,9441
1550051733,9432,9432
1550052948,9431,9431
1550054157,9423,9423
1550055962,9434,9434
1550057465,9423,9423
1550058164,9422,9422
1550060096,9419,9419
1550061759,9422,9422
1550062975,9432,9432
1550065096,9423,9423
1550066193,9447,9447
1550067403,9445,9445
1550068114,9448,9448
1550069244,9443,9443
1550070891,9442,9442
1550072550,9437,9437
1550074486,9424,9424
1550076100,9417,9417
1550077000,9420,9420
1550078146,9420,9420
1550078920,9423,9423
1550080464,9414,9414
1550081685,9362,9362
1550082509,9368,9368
1550084212,9245,9245
1550085284,9239,9239
1550086554,9226,9226
1550088953,9222,9222
1550089727,9215,9215
1550092471,9208,9208
1550094096,9207,9207
1550096077,9204,9204
1550096928,9208,9208
1550098070,9207,9207
1550099694,9206,9206
1550101373,9207,9207
1550102205,9209,9209
1550103362,9214,9214
1550104965,9204,9204
1550105798,9213,9213
1550106945,9208,9208
1550108501,9194,9194
1550109392,9188,9188
1550110471,9188,9188
1550112099,9183,9183
1550113855,9186,9186
1550115769,9180,9180
1550117184,9164,9164
1550118523,9171,9171
1550119727,9160,9160
1550121047,9165,9165
1550123155,9171,9171
1550124442,9170,9170
1550125909,9178,9178
1550126551,9179,9179
1550127718,9171,9171
1550128871,9168,9168
1550130036,9168,9168
1550131582,9173,9173
1550132913,9189,9189
1550134040,9181,9181
1550135693,9185,9185
1550137368,9183,9183
1550138789,9172,9172
1550140138,9185,9185
1550140969,9189,9189
1550142876,9186,9186
1550143720,9180,9180
1550144837,9182,9182
1550145961,9187,9187
1550147238,9205,9205
1550148154,9203,9203
1550150102,9209,9209
1550151779,9212,9212
1550153460,9212,9212
1550154675,9214,9214
1550155858,9214,9214
1550157296,9217,9217
1550158993,9208,9208
1550159791,9206,9206
1550160871,9192,9192
1550162563,9196,9196
1550165323,9182,9182
1550167018,9166,9166
1550168147,9148,9148
1550168939,9150,9150
1550170590,9154,9154
1550171672,9166,9166
1550173245,9172,9172
1550175269,9188,9188
1550176139,9192,9192
1550177430,9180,9180
1550178641,9171,9171
1550179867,9144,9144
1550181028,9151,9151
1550182243,9160,9160
1550184148,9174,9174
1550185004,9209,9209
1550186143,9204,9204
1550187752,9208,9208
1550188606,9213,9213
1550189670,9211,9211
1550191352,9214,9214
1550193290,9224,9224
1550194981,9219,9219
1550196895,9209,9209
1550197728,9209,9209
1550198549,9200,9200
1550200251,9206,9206
1550201331,9210,9210
1550202993,9196,9196
1550204082,9190,9190
1550205753,9188,9188
1550206617,9192,9192
1550207742,9178,9178
1550209361,9175,9175
1550210199,9179,9179
1550211294,9179,9179
1550212110,9178,9178
1550213799,9177,9177
1550214955,9174,9174
1550215729,9175,9175
1550217407,9177,9177
1550218478,9180,9180
1550220093,9156,9156
1550221007,9159,9159
1550222072,9159,9159
1550222920,9161,9161
1550224064,9156,9156
1550225324,9154,9154
1550226502,9158,9158
1550227834,9159,9159
1550229296,9156,9156
1550230118,9159,9159
1550230960,9142,9142
1550232885,9135,9135
1550234140,9131,9131
1550235428,9132,9132
1550236479,9131,9131
1550238044,9132,9132
1550239558,9122,9122
1550241086,9108,9108
1550242603,9120,9120
1550243673,9104,9104
1550244960,9105,9105
1550246212,9104,9104
1550247287,9098,9098
1550248126,9098,9098
1550249436,9093,9093
1550250884,9085,9085
1550252086,9082,9082
1550253320,9078,9078
1550254542,9073,9073
1550255804,9067,9067
1550256937,9066,9066
1550258911,9068,9068
1550260590,9069,9069
1550262041,9072,9072
1550263547,9051,9051
1550265277,9052,9052
1550266966,9058,9058
1550267799,9052,9052
1550268889,9046,9046
1550270155,9031,9031
1550272485,9028,9028
1550276070,9044,9044
1550277698,9045,9045
1550279317,9057,9057
1550281367,9054,9054
1550282762,9062,9062
1550284129,9064,9064
1550285750,9055,9055
1550287720,9064,9064
1550288569,9062,9062
1550290485,9078,9078
1550292116,9063,9063
1550294084,9058,9058
1550294936,9061,9061
1550295766,9051,9051
1550297678,9068,9068
1550298936,9064,9064
1550300197,9059,9059
1550301351,9062,9062
1550302964,9050,9050
1550304353,9034,9034
1550305711,9033,9033
1550306549,9025,9025
1550308468,9017,9017
1550310149,9015,9015
1550310996,9020,9020
1550312083,9025,9025
1550312916,9027,9027
1550314234,9006,9006
1550315440,8992,8992
1550317361,8971,8971
1550318765,8969,8969
1550320128,8972,8972
1550321376,8954,8954
1550322645,8949,8949
1550323720,8952,8952
1550325787,8937,8937
1550326492,8937,8937
1550328348,8931,8931
1550329732,8933,8933
1550330922,8935,8935
1550332611,8936,8936
1550333747,8932,8932
1550335370,8944,8944
1550336211,8944,8944
1550337352,8946,8946
1550338961,8943,8943
1550340359,8935,8935
1550341532,8938,8938
1550342891,8923,8923
1550344244,8907,8907
1550346165,8902,8902
1550346989,8906,8906
1550348089,8909,8909
1550349285,8899,8899
1550350610,8907,8907
1550351750,8894,8894
1550353367,8891,8891
1550354193,8890,8890
1550355270,8849,8849
1550358941,8865,8865
1550360551,8867,8867
1550361407,8868,8868
1550362495,8866,8866
1550364165,8867,8867
1550366082,8877,8877
1550367774,8870,8870
1550369693,8875,8875
1550371389,8874,8874
