DateTime,AddedIPs,RemovedIPs
1549723354,24,120
1549724601,17,61
1549725954,28,7
1549726956,25,96
1549728426,36,54
1549729866,31,58
1549730997,28,0
1549732253,16,54
1549733332,11,6
1549734663,57,88
1549735851,9,20
1549736929,35,3
1549738608,51,95
1549739760,12,36
1549741257,31,48
1549743274,30,74
1549744962,39,64
1549745800,5,6
1549746892,23,39
1549748278,18,58
1549749403,52,25
1549750477,19,88
1549752178,28,92
1549753854,30,42
1549754926,11,2
1549756597,25,74
1549757766,78,41
1549759848,38,79
1549761053,13,86
1549763885,66,106
1549764877,21,34
1549766175,27,59
1549768500,68,68
1549769766,34,96
1549771021,30,4
1549772109,16,81
1549773763,33,38
1549774598,11,2
1549775679,18,57
1549776539,26,0
1549777837,12,97
1549779005,20,64
1549780969,23,125
1549781796,18,1
1549782897,9,37
1549783727,7,0
1549784571,7,57
1549786500,48,85
1549788103,53,61
1549789013,29,2
1549790084,9,28
1549791348,13,69
1549793155,30,65
1549794517,14,2
1549795374,18,35
1549796653,35,29
1549798417,47,33
1549799831,43,18
1549800943,21,17
1549802250,10,21
1549803396,22,21
1549804475,32,24
1549806052,29,50
1549806998,11,4
1549808095,7,76
1549809771,20,75
1549811033,14,32
1549812356,29,3
1549813544,32,52
1549815286,34,27
1549816118,34,1
1549816963,25,39
1549818876,63,46
1549819734,14,1
1549820559,8,44
1549821398,12,2
1549822552,34,25
1549824165,44,42
1549824997,29,3
1549826153,24,24
1549827698,32,67
1549829685,48,15
1549830522,13,1
1549831362,17,14
1549832206,39,2
1549833300,14,30
1549834198,9,49
1549835832,61,14
1549836875,15,23
1549837735,17,1
1549838555,14,36
1549839408,8,1
1549840557,8,58
1549842355,29,84
1549843580,12,50
1549844804,34,2
1549847686,98,70
1549849371,17,26
1549850219,30,1
1549851360,17,45
1549852115,24,2
1549853038,8,50
1549854657,40,29
1549855884,25,22
1549857044,19,3
1549858265,40,13
1549860203,48,50
1549862152,39,21
1549863808,31,57
1549864618,7,5
1549865770,9,9
1549867370,15,48
1549869278,44,28
1549870608,11,48
1549871759,18,1
1549872956,26,36
1549874631,60,55
1549876017,13,50
1549877284,29,2
1549879019,32,75
1549880182,40,25
1549880939,18,0
1549881758,15,17
1549883616,25,33
1549884542,77,2
1549886209,37,88
1549887369,34,20
1549888862,44,43
1549890660,78,41
1549891892,30,40
1549893410,45,4
1549894508,19,16
1549895937,23,48
1549897397,45,40
1549899071,25,37
1549899771,7,12
1549900614,23,2
1549901764,9,27
1549902533,17,2
1549904206,38,38
1549905289,42,23
1549906141,8,4
1549906984,15,39
1549907817,12,3
1549908880,12,56
1549909716,45,5
1549910579,50,64
1549912478,57,54
1549914171,36,61
1549915023,23,0
1549916158,18,7
1549917770,29,31
1549919332,37,53
1549920683,20,26
1549922195,48,8
1549923357,44,22
1549924496,21,13
1549925669,18,9
1549926893,12,26
1549927718,12,2
1549928563,7,93
1549929965,7,31
1549931334,20,2
1549932159,27,58
1549934086,22,13
1549935707,43,56
1549937455,38,29
1549938678,8,78
1549940174,24,3
1549942232,31,53
1549942979,5,2
1549944368,9,46
1549945544,27,3
1549946768,20,54
1549948568,42,23
1549949884,19,23
1549951571,56,34
1549952933,13,1
1549953767,17,14
1549955681,52,29
1549957254,28,47
1549959276,25,41
1549960115,7,2
1549960971,5,28
1549962292,7,17
1549963725,36,1
1549966477,49,55
1549968001,89,39
1549970079,41,78
1549971319,14,21
1549972555,11,5
1549973761,11,23
1549974516,11,5
1549975380,6,60
1549976216,51,3
1549977300,35,12
1549978482,60,14
1549979643,75,4
1549980899,19,27
1549982561,17,53
1549984501,51,32
1549987009,47,67
1549988159,26,31
1549989355,29,44
1549991705,37,29
1549992914,23,53
1549994130,16,21
1549995266,7,51
1549996524,15,41
1549997678,22,16
1549998899,32,36
1549999717,4,2
1550001013,26,32
1550002502,30,41
1550004170,67,23
1550005844,30,69
1550007784,42,39
1550009675,38,21
1550010906,22,19
1550013279,32,19
1550014982,29,33
1550016333,9,40
1550017734,72,5
1550020479,92,82
1550021337,9,4
1550022939,34,42
1550024164,4,28
1550024914,16,1
1550027679,29,59
