DateTime,Entries,UniqueIPs
1549723354,5015,5015
1549724601,4971,4971
1549725954,4992,4992
1549726956,4921,4921
1549728426,4903,4903
1549729866,4876,4876
1549730997,4904,4904
1549732253,4866,4866
1549733332,4871,4871
1549734663,4840,4840
1549735851,4829,4829
1549736929,4861,4861
1549738608,4817,4817
1549739760,4793,4793
1549741257,4776,4776
1549743274,4732,4732
1549744962,4707,4707
1549745800,4706,4706
1549746892,4690,4690
1549748278,4650,4650
1549749403,4677,4677
1549750477,4608,4608
1549752178,4544,4544
1549753854,4532,4532
1549754926,4541,4541
1549756597,4492,4492
1549757766,4529,4529
1549759848,4488,4488
1549761053,4415,4415
1549763885,4375,4375
1549764877,4362,4362
1549766175,4330,4330
1549768500,4330,4330
1549769766,4268,4268
1549771021,4294,4294
1549772109,4229,4229
1549773763,4224,4224
1549774598,4233,4233
1549775679,4194,4194
1549776539,4220,4220
1549777837,4135,4135
1549779005,4091,4091
1549780969,3989,3989
1549781796,4006,4006
1549782897,3978,3978
1549783727,3985,3985
1549784571,3935,3935
1549786500,3898,3898
1549788103,3890,3890
1549789013,3917,3917
1549790084,3898,3898
1549791348,3842,3842
1549793155,3807,3807
1549794517,3819,3819
1549795374,3802,3802
1549796653,3808,3808
1549798417,3822,3822
1549799831,3847,3847
1549800943,3851,3851
1549802250,3840,3840
1549803396,3841,3841
1549804475,3849,3849
1549806052,3828,3828
1549806998,3835,3835
1549808095,3766,3766
1549809771,3711,3711
1549811033,3693,3693
1549812356,3719,3719
1549813544,3699,3699
1549815286,3706,3706
1549816118,3739,3739
1549816963,3725,3725
1549818876,3742,3742
1549819734,3755,3755
1549820559,3719,3719
1549821398,3729,3729
1549822552,3738,3738
1549824165,3740,3740
1549824997,3766,3766
1549826153,3766,3766
1549827698,3731,3731
1549829685,3764,3764
1549830522,3776,3776
1549831362,3779,3779
1549832206,3816,3816
1549833300,3800,3800
1549834198,3760,3760
1549835832,3807,3807
1549836875,3799,3799
1549837735,3815,3815
1549838555,3793,3793
1549839408,3800,3800
1549840557,3750,3750
1549842355,3695,3695
1549843580,3657,3657
1549844804,3689,3689
1549847686,3717,3717
1549849371,3708,3708
1549850219,3737,3737
1549851360,3709,3709
1549852115,3731,3731
1549853038,3689,3689
1549854657,3700,3700
1549855884,3703,3703
1549857044,3719,3719
1549858265,3746,3746
1549860203,3744,3744
1549862152,3762,3762
1549863808,3736,3736
1549864618,3738,3738
1549865770,3738,3738
1549867370,3705,3705
1549869278,3721,3721
1549870608,3684,3684
1549871759,3701,3701
1549872956,3691,3691
1549874631,3696,3696
1549876017,3659,3659
1549877284,3686,3686
1549879019,3643,3643
1549880182,3658,3658
1549880939,3676,3676
1549881758,3674,3674
1549883616,3666,3666
1549884542,3741,3741
1549886209,3690,3690
1549887369,3704,3704
1549888862,3705,3705
1549890660,3742,3742
1549891892,3732,3732
1549893410,3773,3773
1549894508,3776,3776
1549895937,3751,3751
1549897397,3756,3756
1549899071,3744,3744
1549899771,3739,3739
1549900614,3760,3760
1549901764,3742,3742
1549902533,3757,3757
1549904206,3757,3757
1549905289,3776,3776
1549906141,3780,3780
1549906984,3756,3756
1549907817,3765,3765
1549908880,3721,3721
1549909716,3761,3761
1549910579,3747,3747
1549912478,3750,3750
