DateTime,AddedIPs,RemovedIPs
1549726947,42,138
1549728392,51,67
1549729848,48,83
1549730990,46,0
1549732245,29,88
1549733324,25,0
1549734648,65,125
1549735842,27,43
1549736920,46,0
1549738600,69,132
1549739752,25,58
1549741248,55,75
1549743266,64,95
1549744953,60,87
1549745789,23,0
1549746882,41,47
1549748269,42,62
1549749388,67,29
1549750467,27,102
1549752165,57,119
1549753844,48,55
1549754917,25,0
1549756588,45,93
1549757757,89,54
1549759839,57,90
1549761043,33,105
1549763876,97,120
1549764867,35,41
1549766164,43,74
1549768489,108,82
1549769756,48,107
1549771012,45,0
1549772097,35,99
1549773752,51,57
1549774589,25,2
1549775668,32,84
1549776529,38,1
1549777820,28,118
1549778996,29,74
1549780960,46,157
1549781786,30,1
1549782881,15,50
1549783719,19,0
1549784558,15,71
1549786486,71,106
1549788092,62,83
1549788999,38,1
1549790074,22,49
1549791337,26,87
1549793146,45,93
1549794508,43,0
1549795365,27,58
1549796644,46,59
1549798400,69,62
1549799822,66,25
1549800931,34,34
1549802233,39,47
1549803388,27,27
1549804466,40,38
1549806043,54,72
1549806989,16,1
1549808081,17,99
1549809761,44,116
1549811013,25,51
1549812339,48,0
1549813517,44,94
1549815276,60,35
1549816108,43,0
1549816954,32,65
1549818866,85,75
1549819725,22,2
1549820549,15,84
1549821388,23,0
1549822537,43,35
1549824157,77,72
1549824987,40,1
1549826138,34,44
1549827680,59,114
1549829674,72,32
1549830515,23,0
1549831354,28,44
1549832197,49,0
1549833284,28,53
1549834140,17,0
1549835824,86,88
1549836867,28,44
1549837722,26,0
1549838547,25,63
1549839399,15,0
1549840548,14,70
1549842328,50,106
1549843557,25,70
1549844761,48,0
1549847676,127,120
1549849361,28,44
1549850204,48,0
1549851351,36,62
1549852106,30,0
1549853016,21,69
1549854647,50,44
1549855875,37,38
1549857033,36,0
1549858256,55,34
1549860194,60,95
1549862139,63,39
1549863797,53,108
1549864607,10,0
1549865755,19,25
1549866934,31,59
1549867359,9,30
1549869268,74,53
1549870599,28,78
1549871743,28,0
1549872944,41,70
1549874623,79,95
1549875993,41,74
1549877274,51,2
1549879009,55,110
1549880158,59,51
1549880925,42,1
1549881748,39,41
1549883453,54,70
1549883761,13,1
1549884534,164,2
1549886200,174,94
1549887353,56,36
1549888853,69,78
1549890651,112,75
1549891874,51,76
1549893400,68,12
1549894490,35,40
1549895912,53,79
1549897379,85,71
1549899062,52,64
1549899762,18,23
1549900600,34,0
1549901747,28,42
1549902525,19,0
1549904197,71,75
1549905277,54,40
1549906126,19,0
1549906970,34,75
1549907802,27,0
1549908869,23,98
1549909707,41,0
1549910565,36,97
1549912468,93,62
1549914162,55,90
1549915015,32,1
1549916150,32,20
1549917761,40,55
1549919324,54,79
1549920674,24,52
1549922186,69,12
1549923346,59,33
1549924487,31,42
1549925644,29,16
1549926876,29,44
1549927709,25,0
1549928548,41,109
1549929956,64,54
1549931319,40,1
1549932150,42,88
1549934076,40,26
1549935698,59,103
1549937445,63,49
1549938666,18,99
1549940165,60,0
1549942222,94,103
1549942970,9,0
1549944353,26,71
1549945533,42,0
1549946755,33,83
1549948552,58,43
1549949876,42,39
1549951562,70,56
1549952924,23,2
1549953759,23,29
1549955670,74,53
1549957245,51,54
1549959265,46,59
1549960106,14,0
1549960963,10,54
1549962283,32,29
1549963717,60,1
1549966468,96,111
1549967990,144,62
1549970069,105,103
1549971309,35,59
1549972539,35,15
1549973752,26,41
1549974507,15,1
1549975365,18,95
1549976201,60,0
1549977290,59,28
1549978466,75,32
1549979625,92,0
1549980890,36,51
1549982552,26,97
1549984491,84,69
1549987000,118,110
1549988143,64,46
1549989339,54,70
1549991696,89,59
1549992905,47,79
1549994122,38,37
1549995250,37,68
1549996496,81,76
1549997661,48,26
1549998882,50,63
1549999708,18,1
1550000997,54,57
1550002492,49,62
1550004162,81,42
