DateTime,Entries,UniqueIPs
1549726947,20432,20432
1549728392,20416,20416
1549729848,20381,20381
1549730990,20427,20427
1549732245,20368,20368
1549733324,20393,20393
1549734648,20333,20333
1549735842,20317,20317
1549736920,20363,20363
1549738600,20300,20300
1549739752,20267,20267
1549741248,20247,20247
1549743266,20216,20216
1549744953,20189,20189
1549745789,20212,20212
1549746882,20206,20206
1549748269,20186,20186
1549749388,20224,20224
1549750467,20149,20149
1549752165,20087,20087
1549753844,20080,20080
1549754917,20105,20105
1549756588,20057,20057
1549757757,20092,20092
1549759839,20059,20059
1549761043,19987,19987
1549763876,19964,19964
1549764867,19958,19958
1549766164,19927,19927
1549768489,19953,19953
1549769756,19894,19894
1549771012,19939,19939
1549772097,19875,19875
1549773752,19869,19869
1549774589,19892,19892
1549775668,19840,19840
1549776529,19877,19877
1549777820,19787,19787
1549778996,19742,19742
1549780960,19631,19631
1549781786,19660,19660
1549782881,19625,19625
1549783719,19644,19644
1549784558,19588,19588
1549786486,19553,19553
1549788092,19532,19532
1549788999,19569,19569
1549790074,19542,19542
1549791337,19481,19481
1549793146,19433,19433
1549794508,19476,19476
1549795365,19445,19445
1549796644,19432,19432
1549798400,19439,19439
1549799822,19480,19480
1549800931,19480,19480
1549802233,19472,19472
1549803388,19472,19472
1549804466,19474,19474
1549806043,19456,19456
1549806989,19471,19471
1549808081,19389,19389
1549809761,19317,19317
1549811013,19291,19291
1549812339,19339,19339
1549813517,19289,19289
1549815276,19314,19314
1549816108,19357,19357
1549816954,19324,19324
1549818866,19334,19334
1549819725,19354,19354
1549820549,19285,19285
1549821388,19308,19308
1549822537,19316,19316
1549824157,19321,19321
1549824987,19360,19360
1549826138,19350,19350
1549827680,19295,19295
1549829674,19335,19335
1549830515,19358,19358
1549831354,19342,19342
1549832197,19391,19391
1549833284,19366,19366
1549834140,19383,19383
1549835824,19381,19381
1549836867,19365,19365
1549837722,19391,19391
1549838547,19353,19353
1549839399,19368,19368
1549840548,19312,19312
1549842328,19256,19256
1549843557,19211,19211
1549844761,19259,19259
1549847676,19266,19266
1549849361,19250,19250
1549850204,19298,19298
1549851351,19272,19272
1549852106,19302,19302
1549853016,19254,19254
1549854647,19260,19260
1549855875,19259,19259
1549857033,19295,19295
1549858256,19316,19316
1549860194,19281,19281
1549862139,19305,19305
1549863797,19250,19250
1549864607,19260,19260
1549865755,19254,19254
1549866934,19226,19226
1549867359,19205,19205
1549869268,19226,19226
1549870599,19176,19176
1549871743,19204,19204
1549872944,19175,19175
1549874623,19159,19159
1549875993,19126,19126
1549877274,19175,19175
1549879009,19120,19120
1549880158,19128,19128
1549880925,19169,19169
1549881748,19167,19167
1549883453,19151,19151
1549883761,19163,19163
1549884534,19325,19325
1549886200,19405,19405
1549887353,19425,19425
1549888853,19416,19416
1549890651,19453,19453
1549891874,19428,19428
1549893400,19484,19484
1549894490,19479,19479
1549895912,19453,19453
1549897379,19467,19467
1549899062,19455,19455
1549899762,19450,19450
1549900600,19484,19484
1549901747,19470,19470
1549902525,19489,19489
1549904197,19485,19485
1549905277,19499,19499
1549906126,19518,19518
1549906970,19477,19477
1549907802,19504,19504
1549908869,19429,19429
1549909707,19470,19470
1549910565,19409,19409
1549912468,19440,19440
1549914162,19405,19405
1549915015,19436,19436
1549916150,19448,19448
1549917761,19433,19433
1549919324,19408,19408
1549920674,19380,19380
1549922186,19437,19437
1549923346,19463,19463
1549924487,19452,19452
1549925644,19465,19465
1549926876,19450,19450
1549927709,19475,19475
1549928548,19407,19407
1549929956,19417,19417
1549931319,19456,19456
1549932150,19410,19410
1549934076,19424,19424
1549935698,19380,19380
1549937445,19394,19394
1549938666,19313,19313
1549940165,19373,19373
1549942222,19364,19364
1549942970,19373,19373
1549944353,19328,19328
1549945533,19370,19370
1549946755,19320,19320
1549948552,19335,19335
1549949876,19338,19338
1549951562,19352,19352
1549952924,19373,19373
1549953759,19367,19367
1549955670,19388,19388
1549957245,19385,19385
1549959265,19372,19372
1549960106,19386,19386
1549960963,19342,19342
1549962283,19345,19345
1549963717,19404,19404
1549966468,19389,19389
1549967990,19471,19471
1549970069,19473,19473
1549971309,19449,19449
1549972539,19469,19469
1549973752,19454,19454
1549974507,19468,19468
1549975365,19391,19391
1549976201,19451,19451
1549977290,19482,19482
1549978466,19525,19525
1549979625,19617,19617
1549980890,19602,19602
1549982552,19531,19531
1549984491,19546,19546
1549987000,19554,19554
1549988143,19572,19572
1549989339,19556,19556
1549991696,19586,19586
1549992905,19554,19554
1549994122,19555,19555
1549995250,19524,19524
1549996496,19529,19529
1549997661,19551,19551
1549998882,19538,19538
1549999708,19555,19555
1550000997,19552,19552
1550002492,19539,19539
1550004162,19578,19578
1550005835,19544,19544
1550007771,19585,19585
1550009666,19632,19632
1550010891,19632,19632
1550013268,19657,19657
1550014967,19652,19652
1550016321,19623,19623
1550017725,19700,19700
1550020469,19702,19702
1550021321,19718,19718
1550022930,19693,19693
1550024153,19669,19669
1550024906,19688,19688
1550027669,19662,19662
