DateTime,AddedIPs,RemovedIPs
1549287760,0,1
1549289165,0,1
1549290336,1,1
1549291484,0,2
1549293285,2,0
1549295796,2,1
1549297730,1,1
1549300244,2,0
1549302155,0,1
1549305314,1,0
1549310133,1,0
1549312912,1,0
1549316564,0,1
1549317409,1,0
1549319776,1,5
1549322929,2,0
1549325688,0,2
1549327893,0,1
1549329274,0,1
1549330976,0,2
1549332367,0,1
1549338163,0,1
1549345736,2,0
1549347057,0,1
1549348126,1,0
1549352066,1,0
1549353418,1,1
1549355331,1,0
1549357069,1,1
1549358457,0,1
1549359698,0,1
1549361194,1,0
1549363546,1,0
1549369843,1,0
1549371362,0,1
1549373333,2,0
1549374160,1,0
1549379449,0,1
1549382219,54,1
1549383365,15,17
1549384904,590,11
1549385817,115,129
1549386957,35,78
1549388108,5,74
1549390477,2,125
1549391339,0,29
1549392157,1,34
1549394091,0,61
1549395355,0,33
1549397051,2,33
1549399372,0,46
1549400205,0,7
1549401374,0,18
1549402703,0,10
1549404401,0,13
1549405734,2,11
1549406554,0,10
1549407750,1,15
1549408857,1,4
1549410167,0,6
1549411006,0,1
1549412085,0,6
1549413374,1,5
1549414735,1,2
1549415701,0,3
1549416519,1,1
1549417378,0,3
1549418711,1,0
1549420118,1,3
1549421332,0,1
1549422892,0,3
1549424562,1,1
1549426000,1,3
1549428159,1,1
1549428999,1,1
1549431779,1,2
1549433184,0,3
1549434608,0,1
1549435722,1,1
1549437290,0,1
1549438543,0,4
1549440954,0,1
1549443396,2,1
1549446109,1,2
1549448099,0,1
1549449779,2,0
1549450622,1,0
1549451773,1,0
1549455377,1,2
1549457395,0,1
1549458515,0,1
1549460581,1,3
1549462480,0,2
1549463657,0,1
1549465009,1,0
1549466094,4,2
1549467350,0,1
1549471297,1,2
1549474858,0,1
1549480079,1,0
1549482305,0,2
1549485256,0,1
1549487755,0,1
1549489356,0,1
1549490204,2,0
1549491293,3,0
1549492431,1,1
1549494882,0,2
1549496752,0,1
1549497950,1,1
1549498476,1,0
1549499680,2,0
1549502087,1,0
1549503777,1,0
1549505775,1,0
1549508209,1,1
1549509381,1,0
1549510126,0,1
1549511820,1,0
1549515407,1,0
1549516555,0,1
1549521758,0,2
1549525084,0,1
1549527286,1,1
1549529354,1,0
1549530889,1,1
1549532559,0,2
1549541761,3,0
1549542536,1,0
1549543375,1,1
1549545294,1,0
1549549719,1,0
1549551401,1,0
1549555004,0,10
1549556927,1,3
1549557774,1,1
1549558604,1,0
1549560949,1,0
1549562199,1,0
1549567728,1,1
1549568571,0,1
1549569408,0,1
1549572098,1,0
1549573850,0,1
1549575758,0,1
1549581300,1,0
1549584971,0,1
1549585715,2,0
1549586560,1,2
1549588496,0,1
1549589649,0,3
1549590954,1,1
1549592099,0,1
1549592917,1,0
1549595462,1,1
1549597842,1,2
1549599062,0,1
1549600972,1,0
1549602660,0,2
1549603856,2,0
1549605043,0,1
1549611662,0,1
1549613162,0,1
1549615841,1,1
1549618982,0,1
1549620878,0,1
1549622171,0,1
1549624575,2,1
1549629712,0,1
1549630617,1,0
1549633117,0,1
1549634568,1,3
1549635867,1,0
1549636967,1,0
1549638986,1,0
1549640155,1,0
1549640575,0,1
1549643336,0,1
1549645468,0,1
1549647756,0,1
1549650534,3,0
1549651358,0,1
1549653940,1,0
1549654964,0,1
1549659103,1,0
1549662176,0,3
