DateTime,AddedIPs,RemovedIPs
1549733312,13,0
1549734632,15,49
1549735836,26,18
1549736909,31,1
1549738589,83,52
1549739739,16,28
1549741232,24,42
1549743260,102,51
1549744947,94,71
1549745782,29,12
1549746866,59,45
1549748262,67,48
1549749382,60,23
1549750461,42,38
1549752150,55,51
1549753831,58,47
1549754905,28,16
1549756582,38,60
1549757747,37,37
1549759827,50,51
1549761031,33,59
1549763869,73,61
1549764861,25,32
1549766157,33,41
1549768474,53,45
1549769743,33,59
1549770998,32,4
1549772084,27,73
1549773745,38,57
1549774582,22,8
1549775661,20,44
1549776506,24,0
1549777813,27,55
1549778990,29,33
1549780949,36,75
1549781780,18,12
1549782864,23,37
1549783703,16,11
1549784544,13,64
1549786468,69,54
1549788036,52,69
1549788983,35,17
1549790063,32,62
1549791330,56,61
1549793132,67,83
1549794501,46,17
1549795359,32,62
1549796638,43,90
1549798388,121,82
1549799736,79,33
1549799816,2,0
1549800922,45,50
1549802221,46,35
1549803381,33,20
1549804460,32,44
1549806036,44,73
1549806982,22,11
1549808063,36,56
1549809749,49,60
1549810997,57,38
1549812331,22,17
1549813509,53,70
1549815263,40,39
1549816102,21,3
1549816943,15,52
1549818859,55,71
1549819713,24,13
1549820544,18,75
1549821381,24,1
1549822525,26,37
1549824151,48,79
1549824981,18,9
1549826127,28,30
1549827621,40,66
1549829663,63,63
1549830508,48,14
1549831348,42,65
1549832184,32,3
1549833268,30,30
1549834123,25,7
1549835818,37,102
1549836860,24,47
1549837708,25,7
1549838541,28,86
1549839383,36,7
1549840528,24,43
1549842321,41,58
1549843545,31,39
1549844723,42,13
1549847664,75,96
1549849345,39,50
1549850185,17,9
1549851338,30,41
1549852099,19,6
1549853005,25,38
1549854629,28,58
1549855861,41,40
1549857026,35,18
1549858248,28,36
1549860187,40,35
1549862126,43,37
1549863777,41,43
1549864589,20,10
1549865738,32,16
1549866922,22,45
1549867343,11,21
1549869262,57,25
1549870576,20,43
1549871733,23,15
1549872934,34,50
1549874615,41,50
1549875976,39,32
1549877269,36,19
1549879003,45,33
1549880145,22,45
1549880909,28,4
1549881742,25,47
1549883446,43,55
1549883755,8,3
1549884521,26,14
1549886187,37,57
1549887339,30,31
1549888828,37,48
1549890633,67,37
1549891856,40,40
1549893386,53,25
1549894471,58,21
1549895894,60,49
1549897371,49,56
1549899054,64,64
1549899756,26,14
1549900584,43,7
1549901732,38,40
1549902513,26,3
1549904185,125,65
1549905264,62,30
1549906109,52,14
1549906952,42,82
1549907785,27,3
1549908862,50,113
1549909700,38,6
1549910550,46,71
1549912461,72,41
1549914150,62,68
1549915002,29,7
1549916138,46,26
1549917748,45,59
1549919311,47,59
1549920651,30,69
1549922180,60,24
1549923335,43,36
1549924480,47,47
1549925637,53,21
1549926860,46,32
1549927703,25,9
1549928542,30,38
1549929933,45,48
1549931303,40,18
1549932143,35,55
1549934063,69,45
1549935691,36,52
1549937432,53,35
1549938656,31,50
1549940158,49,26
1549941319,46,49
1549942157,20,5
1549942963,12,47
1549944342,38,48
1549945525,33,15
1549946741,41,46
1549948534,43,40
1549949869,34,49
1549951544,52,41
1549952908,41,5
1549953744,17,34
1549955663,43,35
1549957232,40,38
1549959259,61,53
1549960100,24,8
1549960945,32,55
1549962276,39,31
1549963710,46,15
1549966461,54,104
1549967983,38,45
1549970062,52,83
1549971303,35,51
1549972524,36,28
1549973739,26,39
1549974501,21,8
1549975350,22,58
1549976184,19,19
1549977276,35,30
1549978449,42,44
1549979618,38,12
1549980876,32,65
1549982546,43,63
1549984478,63,53
1549986985,101,63
1549988126,60,26
1549989326,49,52
1549990690,45,11
1549991677,24,42
1549992892,44,52
1549994115,32,22
1549995237,26,31
1549996502,36,44
1549997650,30,23
1549998864,25,27
1549999702,24,3
1550000984,31,65
1550002469,45,45
1550004150,104,42
1550005824,98,45
1550007755,63,82
1550009660,55,41
1550010880,28,56
1550013262,60,60
1550014953,40,67
1550016309,35,48
1550017712,40,6
1550020462,60,83
1550021305,19,13
1550022922,31,71
1550024132,34,23
1550024899,28,8
1550026768,48,77
1550027661,18,9
1550028511,22,12
1550029344,16,41
1550030183,36,11
1550031329,35,40
1550032578,43,30
1550033785,29,25
1550034864,35,54
1550035706,26,13
1550037324,64,65
1550038466,37,32
1550040085,47,75
1550042073,50,42
1550043786,41,59
1550045151,36,50
1550046303,33,8
1550046504,3,3
1550047826,31,53
1550049031,21,49
1550050101,26,5
1550051723,44,62
1550052926,30,44
1550054145,34,39
1550055952,39,44
1550057453,44,47
1550058154,14,14
1550060071,56,42
1550061748,37,53
1550062953,18,47
1550065079,59,46
1550066183,41,24
1550067379,27,54
1550068103,26,5
1550069224,32,55
1550070882,43,75
1550072542,55,60
1550074461,44,43
1550076024,62,52
1550078124,89,60
1550078905,34,4
1550080447,47,66
1550081664,36,61
1550082500,27,17
1550084194,48,99
1550085264,30,44
1550086540,45,27
1550088935,88,47
1550089709,31,2
1550092461,95,89
1550094030,47,44
1550095572,40,61
1550096063,15,6
1550096910,36,7
1550098061,46,61
1550099677,58,44
1550101358,46,55
1550102185,23,4
1550103347,33,73
1550104948,40,52
1550105784,35,17
1550106926,31,24
1550108485,42,67
1550109382,26,2
1550110462,25,39
1550112089,40,59
1550113839,43,42
1550115753,32,42
1550117161,38,43
1550118505,27,10
1550119703,31,56
1550121037,28,51
1550123127,55,60
1550124420,24,33
1550125886,39,53
1550126542,16,8
1550127705,24,44
1550128854,38,9
1550130025,24,77
1550131554,33,61
1550132904,23,7
1550134025,31,65
1550135676,35,42
1550137352,40,43
1550138749,38,45
1550140111,32,15
1550140945,20,54
1550142865,49,66
1550143705,26,5
1550144816,152,62
1550145935,206,38
1550147228,267,17
1550148144,190,77
1550150086,377,56
1550151758,294,45
1550153439,286,62
1550154665,231,57
1550155835,192,16
1550157271,227,53
1550158985,274,52
1550159781,189,8
1550160861,183,53
1550162549,331,70
1550164530,296,42
1550165304,212,3
1550166995,339,48
1550168132,215,27
1550168907,40,0
1550170580,48,41
1550171662,36,37
1550173224,31,68
1550175260,130,48
1550176116,67,8
1550177421,80,44
1550178625,87,50
1550179846,64,37
1550181020,57,18
1550182228,54,36
1550184140,80,44
1550184989,28,3
1550186127,33,34
1550187741,56,50
1550188591,33,8
1550189661,42,45
1550191342,45,58
1550193279,69,34
1550194971,47,69
1550196868,63,40
1550197704,20,6
1550198541,20,34
1550200236,47,49
1550201317,33,4
1550202982,47,55
1550204064,28,41
1550205744,41,48
1550206592,30,4
1550207727,35,54
1550209352,34,63
1550210184,19,11
1550211268,21,36
1550212101,15,3
1550213785,42,38
1550214928,28,49
1550215704,17,5
1550217384,42,48
1550218462,29,55
1550220029,42,36
1550220989,23,23
1550222062,25,36
1550222906,24,8
1550224040,26,57
1550225314,25,38
1550226492,25,9
1550227823,47,48
1550229281,35,51
1550230103,17,7
1550230945,24,65
1550232864,54,32
1550234129,41,39
1550235405,41,19
1550236463,25,32
1550238034,40,44
1550239533,40,52
1550241071,36,47
1550242585,24,23
1550243662,24,34
1550244951,42,61
1550246189,25,25
1550247268,23,23
