DateTime,Entries,UniqueIPs
1549733312,10893,10893
1549734632,10859,10859
1549735836,10867,10867
1549736909,10897,10897
1549738589,10928,10928
1549739739,10916,10916
1549741232,10898,10898
1549743260,10949,10949
1549744947,10972,10972
1549745782,10989,10989
1549746866,11003,11003
1549748262,11022,11022
1549749382,11059,11059
1549750461,11063,11063
1549752150,11067,11067
1549753831,11078,11078
1549754905,11090,11090
1549756582,11068,11068
1549757747,11068,11068
1549759827,11067,11067
1549761031,11041,11041
1549763869,11053,11053
1549764861,11046,11046
1549766157,11038,11038
1549768474,11046,11046
1549769743,11020,11020
1549770998,11048,11048
1549772084,11002,11002
1549773745,10983,10983
1549774582,10997,10997
1549775661,10973,10973
1549776506,10997,10997
1549777813,10969,10969
1549778990,10965,10965
1549780949,10926,10926
1549781780,10932,10932
1549782864,10918,10918
1549783703,10923,10923
1549784544,10872,10872
1549786468,10887,10887
1549788036,10870,10870
1549788983,10888,10888
1549790063,10858,10858
1549791330,10853,10853
1549793132,10837,10837
1549794501,10866,10866
1549795359,10836,10836
1549796638,10789,10789
1549798388,10828,10828
1549799736,10874,10874
1549799816,10876,10876
1549800922,10871,10871
1549802221,10882,10882
1549803381,10895,10895
1549804460,10883,10883
1549806036,10854,10854
1549806982,10865,10865
1549808063,10845,10845
1549809749,10834,10834
1549810997,10853,10853
1549812331,10858,10858
1549813509,10841,10841
1549815263,10842,10842
1549816102,10860,10860
1549816943,10823,10823
1549818859,10807,10807
1549819713,10818,10818
1549820544,10761,10761
1549821381,10784,10784
1549822525,10773,10773
1549824151,10742,10742
1549824981,10751,10751
1549826127,10749,10749
1549827621,10723,10723
1549829663,10723,10723
1549830508,10757,10757
1549831348,10734,10734
1549832184,10763,10763
1549833268,10763,10763
1549834123,10781,10781
1549835818,10716,10716
1549836860,10693,10693
1549837708,10711,10711
1549838541,10653,10653
1549839383,10682,10682
1549840528,10663,10663
1549842321,10646,10646
1549843545,10638,10638
1549844723,10667,10667
1549847664,10646,10646
1549849345,10635,10635
1549850185,10643,10643
1549851338,10632,10632
1549852099,10645,10645
1549853005,10632,10632
1549854629,10602,10602
1549855861,10603,10603
1549857026,10620,10620
1549858248,10612,10612
1549860187,10617,10617
1549862126,10623,10623
1549863777,10621,10621
1549864589,10631,10631
1549865738,10647,10647
1549866922,10624,10624
1549867343,10614,10614
1549869262,10646,10646
1549870576,10623,10623
1549871733,10631,10631
1549872934,10615,10615
1549874615,10606,10606
1549875976,10613,10613
1549877269,10630,10630
1549879003,10642,10642
1549880145,10619,10619
1549880909,10643,10643
1549881742,10621,10621
1549883446,10609,10609
1549883755,10614,10614
1549884521,10626,10626
1549886187,10606,10606
1549887339,10605,10605
1549888828,10594,10594
1549890633,10624,10624
1549891856,10624,10624
1549893386,10652,10652
1549894471,10689,10689
1549895894,10700,10700
1549897371,10693,10693
1549899054,10693,10693
1549899756,10705,10705
1549900584,10741,10741
1549901732,10739,10739
1549902513,10762,10762
1549904185,10822,10822
1549905264,10854,10854
1549906109,10892,10892
1549906952,10852,10852
1549907785,10876,10876
1549908862,10813,10813
1549909700,10845,10845
1549910550,10820,10820
1549912461,10851,10851
1549914150,10845,10845
1549915002,10867,10867
1549916138,10887,10887
1549917748,10873,10873
1549919311,10861,10861
1549920651,10822,10822
1549922180,10858,10858
1549923335,10865,10865
1549924480,10865,10865
1549925637,10897,10897
1549926860,10911,10911
1549927703,10927,10927
1549928542,10919,10919
1549929933,10916,10916
1549931303,10938,10938
1549932143,10918,10918
1549934063,10942,10942
1549935691,10926,10926
1549937432,10944,10944
1549938656,10925,10925
1549940158,10948,10948
1549941319,10945,10945
1549942157,10960,10960
1549942963,10925,10925
1549944342,10915,10915
1549945525,10933,10933
