DateTime,AddedIPs,RemovedIPs
1547220681,1,0
1547221800,1,0
1547224963,1,0
1547226890,2,0
1547236557,1,0
1547239296,0,1
1547286175,0,2
1547288943,2,0
1547309008,0,1
1547325776,0,1
1547332743,2,0
1547348218,1,0
1547352941,0,1
1547356513,1,0
1547364534,0,2
1547370896,0,1
1547372533,0,1
1547376182,1,1
1547377023,1,0
1547385301,1,0
1547386541,2,0
1547388896,0,10
1547391401,0,1
1547392491,0,6
1547397763,1,1
1547401357,1,0
1547404146,1,0
1547421284,1,0
1547438788,1,1
1547446486,1,0
1547452568,0,1
1547458752,1,1
1547464480,1,0
1547480571,1,0
1547482478,0,1
1547489754,1,1
1547492146,1,0
1547500258,0,1
1547510773,0,1
1547513809,1,2
1547542625,1,0
1547546168,1,1
1547547378,1,0
1547548898,0,1
1547550460,0,1
1547553407,1,0
1547557023,2,2
1547561697,0,1
1547566979,1,1
1547570557,0,1
1547578607,1,0
1547586260,1,0
1547600629,2,0
1547610646,0,1
1547613774,1,0
1547614606,1,0
1547619304,0,2
1547629811,0,1
1547635308,0,1
1547637284,3,0
1547642564,1,0
1547644590,1,0
1547648093,1,0
1547649764,1,0
1547662480,0,2
1547687698,1,0
1547696288,2,0
1547702163,1,0
1547725384,1,0
1547737083,0,1
1547738469,1,0
1547770503,0,1
1547775657,1,0
1547777697,0,1
1547783805,0,2
1547788494,2,0
1547790109,1,0
1547795503,1,0
1547807328,1,1
1547811332,0,1
1547815406,0,2
1547817302,0,1
1547819019,1,0
1547826942,2,0
1547835288,1,0
1547836960,0,1
1547856685,0,1
1547859413,1,0
1547864085,1,0
1547865388,0,1
1547896477,0,1
1547904518,1,0
1547906208,1,0
1547908902,0,2
1547911718,1,0
1547914496,0,1
1547942220,2,0
1547944978,1,0
1547957696,0,2
1547964364,1,0
1547970160,0,1
1547977552,0,1
1547981749,4,0
1547987332,1,0
1547991392,1,0
1547993761,1,0
1547996587,0,1
1548000118,0,1
1548013291,0,1
1548014197,1,0
1548019725,1,0
1548023328,1,0
1548025042,0,1
1548026163,0,1
1548029687,0,1
1548033290,0,1
1548040562,1,0
1548043155,0,1
1548063824,1,0
1548065466,1,1
1548102782,1,0
1548112558,0,2
1548130574,0,1
1548131329,1,0
1548132183,0,1
1548151570,0,1
1548155764,0,1
1548156540,2,0
1548157379,0,1
1548162655,0,1
1548171764,2,1
1548184481,0,1
1548185331,1,0
1548186157,0,1
1548193361,2,0
1548194199,1,0
1548196522,4,0
1548220588,1,0
1548236580,1,0
1548249284,1,0
1548273342,0,1
1548278097,0,1
1548282520,1,0
1548296082,1,0
1548303355,0,1
1548304935,0,1
1548319362,1,0
1548333782,0,1
1548336650,0,1
1548338160,1,0
1548339358,1,0
1548349860,0,1
1548356859,0,1
1548360894,1,0
1548362148,2,1
1548365749,0,6
1548368077,0,1
1548384124,0,1
1548391383,0,1
1548398567,0,1
1548400505,1,0
1548412977,28,0
1548418504,0,1
1548428204,1,0
1548447314,7,0
1548448126,1,0
1548450955,2,0
1548454477,1,0
1548460617,0,1
1548467631,0,1
1548490482,1,0
1548502504,0,1
1548510468,1,0
1548512084,1,0
1548517359,2,0
1548519350,0,1
1548520541,1,0
1548524558,1,0
1548556974,1,0
1548572199,0,1
1548573294,0,1
1548582600,0,29
1548583743,0,1
1548587690,0,1
1548600960,1,0
1548607306,1,0
1548616251,0,1
1548617537,0,4
1548620091,1,0
1548623762,1,1
1548630891,0,1
1548631732,1,0
1548638080,1,0
