DateTime,AddedIPs,RemovedIPs
1549995094,12,7
1549995814,17,12
1549996536,12,15
1549997254,18,15
1549998454,17,18
1549999174,15,10
1549999895,13,12
1550000616,9,13
1550001337,9,11
1550002055,8,9
1550002775,10,15
1550003494,5,11
1550004214,12,10
1550005655,32,64
1550006374,7,9
1550007576,16,18
1550008294,9,9
1550008897,12,8
1550009503,4,12
1550010216,11,8
1550010934,14,5
1550011654,12,12
1550012856,18,14
1550013575,13,21
1550014294,3,14
1550015014,10,5
1550015735,9,14
1550017128,14,22
1550017897,7,15
1550019094,20,25
1550019815,16,11
1550020536,14,7
1550021254,13,8
1550021976,10,7
1550022694,18,5
1550023415,10,11
1550024143,13,10
1550024854,7,6
1550025575,6,12
1550026294,6,7
1550027015,5,8
1550028215,18,14
1550028935,14,9
1550029654,10,42
1550030855,50,13
1550032056,16,11
1550032798,7,8
1550033495,6,5
1550034215,95,1
1550034938,15,8
1550035668,11,12
1550036375,14,10
1550037095,9,14
1550037814,7,8
1550038533,9,4
1550039256,11,13
1550039974,7,6
1550040694,11,10
1550041415,10,15
1550042134,9,24
1550043095,13,11
1550043815,8,11
1550044533,5,12
1550045262,12,13
1550045975,15,15
1550046695,309,23
1550047415,12,37
1550048135,19,42
1550048855,21,54
1550049575,18,26
1550050296,18,35
1550052458,545,137
1550053175,21,28
1550053894,17,77
1550054614,14,24
1550055339,27,26
1550056294,29,30
1550057016,29,18
1550057736,16,14
1550058455,25,7
1550059416,35,22
1550060136,29,10
1550060854,20,11
1550061575,23,19
1550062295,19,12
1550063015,14,21
1550063974,14,17
1550064696,19,30
1550065415,17,8
1550066135,13,15
1550066854,21,14
1550067815,25,16
1550068535,13,18
1550069254,10,16
1550070455,44,21
1550071175,17,14
1550071895,23,11
1550072615,13,61
1550073336,17,6
1550074056,10,15
1550074776,11,10
1550075495,13,10
1550076215,9,13
1550076936,9,18
1550077895,15,13
1550078616,11,11
1550079334,12,8
1550080055,11,15
1550080775,17,8
1550081495,10,12
1550082215,12,21
1550082934,10,10
1550083655,10,16
1550084854,21,16
1550085574,30,12
1550086295,13,16
1550087015,16,10
1550089175,46,26
1550089894,19,6
1550090615,15,9
1550091336,13,12
1550092295,22,21
1550093016,8,8
1550093742,15,9
1550094456,8,14
1550096140,27,27
1550096854,19,8
1550099014,27,29
1550099735,8,17
1550100454,8,4
1550101177,9,8
1550101895,8,12
1550102616,10,9
1550103576,17,8
1550104295,4,8
1550105014,17,14
1550105735,8,10
1550106455,7,17
1550107176,18,13
1550107894,9,7
1550108614,8,12
1550109336,13,21
1550110054,14,7
1550110774,6,12
1550111495,12,6
1550112215,17,6
1550112935,28,4
1550113654,6,7
1550114374,15,17
1550115095,7,9
1550115815,4,7
1550116537,5,16
1550117261,9,28
1550118934,17,31
1550119655,5,9
1550120080,1,0
1550120816,1,72
1550121576,10,39
1550122296,12,13
1550123016,12,16
1550123734,6,4
1550124454,9,6
1550125175,13,13
1550125894,11,7
1550126615,9,14
1550127335,7,7
1550128054,10,6
1550129016,17,15
1550129735,9,14
1550130454,7,7
1550131896,16,19
1550132615,12,18
1550133334,10,9
1550134056,8,18
1550135256,19,39
1550135974,6,19
1550136694,18,19
1550137415,6,11
1550138135,11,21
1550139094,18,23
1550139815,15,28
1550140537,15,18
1550141254,15,14
1550142455,26,36
1550143176,13,22
1550143896,19,25
1550144614,10,21
1550145338,14,20
1550146056,20,21
1550147254,19,47
1550147975,8,20
1550148695,20,17
1550149414,9,18
1550150374,16,14
1550151095,14,19
1550151815,22,19
1550152535,13,13
1550153255,15,20
1550153977,10,21
1550154695,12,14
1550155414,10,10
1550156134,8,26
1550156855,11,14
1550157574,11,20
1550158295,19,21
1550159014,15,15
1550159736,18,14
1550160456,19,10
1550161174,17,8
1550161894,19,13
1550162614,14,10
1550163336,14,13
1550164054,11,11
1550164774,7,10
1550165493,14,13
1550166215,17,12
1550166935,12,14
1550167654,19,21
1550168375,13,8
1550169095,12,13
1550169814,16,10
1550170535,13,7
1550171254,76,21
1550171975,23,29
1550172694,13,17
1550173415,16,22
1550174134,12,20
1550174855,16,19
1550175575,18,16
1550176294,15,23
1550177014,17,14
1550177734,13,14
1550178694,20,20
1550179414,18,8
1550180135,17,17
1550180853,20,8
1550182775,33,36
1550184935,27,40
1550185895,13,11
1550186615,10,7
1550187334,10,6
1550188056,12,9
1550189240,14,14
1550189976,8,15
1550190694,12,4
1550191415,10,10
1550192433,0,30790
1550193334,30784,0
1550194056,14,17
1550194777,11,9
1550195495,10,9
1550196697,21,17
1550197414,8,7
1550198374,14,12
1550199094,6,22
1550199816,6,22
1550200536,6,12
1550201255,14,14
1550201975,4,10
1550202693,13,4
1550203414,12,10
1550204136,12,10
1550204880,6,7
1550205579,15,5
1550206294,14,5
1550207014,16,1
1550207682,2,7
1550208456,75,14
1550209116,11,12
1550209896,14,12
1550210614,4,8
1550211335,8,15
1550212055,49,12
1550212775,9,11
1550213495,7,7
1550214215,14,10
1550214934,12,4
1550216137,26,24
1550216854,15,7
1550217574,10,7
1550218294,9,6
1550219014,9,11
1550219734,8,12
1550220456,7,9
1550221655,53,21
1550222374,12,7
1550223574,18,20
1550224294,11,11
1550225016,13,14
1550225738,9,21
1550226454,15,3
1550227174,13,18
1550227896,16,12
1550228615,9,20
1550229334,15,12
1550230055,10,13
1550231494,18,21
1550232214,9,12
1550232934,4,13
1550233655,10,10
1550234374,8,7
1550235095,13,19
1550235814,10,7
1550236535,10,10
1550237255,14,11
1550237975,16,13
1550238694,11,10
1550239414,12,14
1550240135,8,11
1550240854,10,6
1550241575,11,12
1550242295,13,10
1550243495,93,17
1550244215,4,12
1550244935,121,10
1550245655,7,16
1550247815,35,40
1550248536,7,11
1550249255,10,18
1550250455,23,18
1550251174,11,4
1550251895,13,9
1550252615,8,15
1550253334,15,14
1550254055,14,20
1550254774,10,12
1550255735,17,19
1550256455,12,11
1550258133,22,92
1550259577,15,26
1550260294,12,15
1550261015,10,12
1550261735,18,20
1550262935,22,20
1550263654,12,16
1550264854,19,25
1550265574,8,12
1550266296,12,16
1550267014,5,16
1550267736,13,16
1550268454,8,11
1550269175,9,10
1550270374,15,9
1550271574,14,14
1550272294,14,13
1550273016,13,11
1550273742,9,14
1550274455,9,12
1550275655,133,23
1550276376,15,8
1550277574,24,20
1550278294,14,7
1550279014,25,10
1550279734,53,9
1550280454,52,11
1550281895,66,21
1550282616,9,12
1550283814,24,22
1550284534,17,11
1550285255,14,6
1550286694,24,11
1550287414,11,9
1550288134,9,10
1550288854,12,11
1550289575,15,9
1550290297,10,14
1550290978,2,7
1550292151,18,16
1550292939,4,15
1550293657,12,10
1550294377,7,4
1550295574,16,79
1550296294,7,12
1550297015,13,8
1550297736,7,10
1550298695,20,53
1550299415,16,10
1550300136,46,9
1550300855,56,17
1550301575,9,19
1550302294,19,11
1550303495,22,24
1550304217,12,5
1550304935,7,9
1550305895,13,12
1550306614,12,6
1550307334,6,11
1550308055,15,10
1550308774,8,13
1550309495,15,8
1550310215,10,15
1550310934,14,9
1550311655,7,14
1550312375,19,8
1550313094,13,18
1550313816,16,15
1550314535,11,8
1550315975,19,28
1550316694,8,11
1550318855,36,25
1550320056,23,14
1550321255,13,18
1550321974,11,13
1550323174,84,18
1550323894,19,16
1550325095,32,20
1550325814,33,11
1550326535,27,6
1550327255,13,8
1550327974,10,10
1550328694,9,13
1550329415,21,85
1550330134,11,7
1550330854,7,5
1550331574,15,106
1550332293,11,12
1550333015,15,6
1550333735,16,13
1550334454,12,13
1550335175,13,10
1550335895,16,6
1550336614,14,14
1550340696,72,71
1550341415,8,11
1550342137,33,11
1550342854,12,10
1550343574,17,9
1550344295,13,17
1550345014,11,5
1550345975,8,13
1550346695,15,11
1550347416,7,11
1550348135,15,19
1550348855,5,15
1550349575,13,15
1550350294,11,13
1550351014,12,9
1550351673,7,14
1550352457,12,10
1550353175,15,8
1550353895,14,9
1550355095,27,19
1550355815,8,9
1550356534,16,12
1550359204,41,37
1550359895,9,20
1550360615,11,9
1550361339,14,119
1550362775,19,29
1550363496,12,14
1550364215,8,12
1550364933,10,9
1550365655,17,17
1550366375,7,28
1550367095,8,30
1550367816,8,24
1550368537,10,18
1550369255,10,12
1550369975,12,14
1550370699,74,18
1550371414,10,15
1550372137,9,16
1550372854,16,11
1550373574,9,15
1550374295,9,10
1550375015,12,13
1550375736,6,10
1550376455,9,15
1550377535,17,12
1550378434,10,14
1550379096,2,5
1550380013,9,13
1550380779,11,7
1550381511,3,12
1550382215,9,11
1550382935,14,9
1550383894,16,11
1550384614,14,12
1550385335,9,11
1550386055,14,12
1550387255,14,99
1550387974,9,11
1550388695,22,15
1550389415,16,14
1550390616,23,18
1550391334,74,5
1550392055,7,16
1550392774,18,6
1550394454,26,30
1550395175,11,7
1550395896,17,20
1550396615,15,12
1550397335,21,16
1550398054,9,8
1550398774,16,21
1550399497,14,13
1550400220,4,17
1550400757,13,10
1550401655,1,11
1550402375,12,16
