DateTime,AddedIPs,RemovedIPs
1547694243,116,140
1547701924,175,206
1547707922,147,146
1547713924,77,48
1547717762,80,66
1547719923,77,70
1547725923,147,100
1547731683,87,71
1547737443,150,128
1547741763,76,81
1547747762,150,131
1547753762,111,64
1547759763,165,162
1547763842,99,93
1547767683,78,106
1547772482,71,128
1547776563,177,178
1547784724,124,174
1547790723,151,174
1547797683,92,73
1547801523,135,92
1547808481,140,101
1547814481,74,80
1547819523,120,90
1547827444,140,106
1547833444,69,102
1547837283,94,87
1547839205,107,85
1547843042,88,93
1547847124,98,84
1547853126,134,144
1547859122,126,209
1547867043,123,161
1547874963,148,196
1547882645,155,163
1547886722,66,48
1547892723,155,90
1547900417,146,98
1547906163,89,76
1547910254,148,120
1547916723,142,133
1547925604,171,133
1547929443,72,105
1547933282,99,85
1547939763,117,155
1547945522,130,182
1547954642,92,90
1547956563,137,167
1547963282,93,132
1547967122,81,95
1547969043,143,112
1547978883,150,94
1547987043,141,97
1547991123,86,88
1547995203,107,75
1547997123,87,75
1548002882,143,153
1548012723,203,119
1548016802,93,114
1548020643,145,172
1548029766,66,125
1548031682,124,197
1548040563,104,159
1548044403,70,99
1548050164,164,192
1548055203,95,52
1548059043,73,75
1548064323,78,61
1548070326,144,126
1548074403,90,62
1548076324,80,66
1548084242,133,123
1548091442,175,122
1548095283,95,91
1548100082,194,141
1548109683,170,177
1548113762,67,116
1548119763,141,216
1548127683,130,163
1548132482,83,101
1548136322,172,198
1548145205,140,129
1548149043,70,61
1548152882,97,68
1548157682,86,77
1548161522,98,65
1548165363,142,128
1548174243,126,114
1548178082,82,84
1548184802,158,131
1548190563,106,90
1548192483,91,88
1548197522,124,190
1548204482,151,197
1548210243,89,102
1548216244,113,160
1548222484,180,199
1548231363,154,110
1548237843,147,110
1548242407,81,51
1548250323,127,122
1548254404,89,60
1548260643,139,144
1548264004,104,72
1548269765,174,140
1548276005,93,105
1548280083,109,108
1548283923,92,90
1548288962,104,213
1548292803,103,104
1548296643,128,153
1548303605,76,111
1548307923,104,110
1548311762,74,93
1548315602,100,61
1548319442,68,69
1548321603,77,69
1548327363,73,69
1548331443,164,94
1548337443,154,125
1548346805,125,132
1548350883,77,79
1548353763,98,68
1548361442,152,129
1548365284,91,99
1548370085,141,172
1548378723,141,200
1548384722,77,93
1548388563,130,159
1548396483,151,189
1548404163,149,144
1548408247,71,66
1548414242,154,102
1548421923,139,91
1548425762,85,83
1548429842,94,83
1548433923,75,67
1548437762,85,83
1548439923,88,112
1548445923,170,136
1548451923,93,88
1548455763,76,97
1548459604,72,106
1548463442,142,185
1548471362,132,172
1548480006,168,193
1548485763,149,145
1548494403,144,95
1548498243,84,73
1548502323,88,69
1548506163,77,72
1548508083,100,69
1548514082,150,125
1548519842,143,119
1548528722,73,69
1548530643,105,94
1548534964,80,97
1548538803,88,93
1548542643,74,94
1548548403,114,184
1548552242,84,83
1548558963,112,151
1548564722,151,201
1548573364,132,125
1548577204,57,44
1548582963,146,77
1548589924,86,67
1548593764,159,122
1548599763,154,139
1548607443,91,79
1548613204,179,141
1548618963,167,156
1548625922,160,161
1548634323,108,207
1548642243,156,169
1548647283,109,168
1548655444,171,188
1548661203,154,135
1548667205,96,66
1548671043,82,64
1548674163,84,68
1548680163,134,98
1548685205,85,81
1548690963,110,114
1548695763,79,82
1548703923,176,122
1548709924,176,143
1548716163,135,192
1548722165,68,129
1548726243,148,170
1548733922,118,160
