DateTime,Entries,UniqueIPs
1547694243,6246,6246
1547701924,6215,6215
1547707922,6216,6216
1547713924,6245,6245
1547717762,6259,6259
1547719923,6266,6266
1547725923,6313,6313
1547731683,6329,6329
1547737443,6351,6351
1547741763,6346,6346
1547747762,6365,6365
1547753762,6412,6412
1547759763,6415,6415
1547763842,6421,6421
1547767683,6393,6393
1547772482,6336,6336
1547776563,6335,6335
1547784724,6285,6285
1547790723,6262,6262
1547797683,6281,6281
1547801523,6324,6324
1547808481,6363,6363
1547814481,6357,6357
1547819523,6387,6387
1547827444,6421,6421
1547833444,6388,6388
1547837283,6395,6395
1547839205,6417,6417
1547843042,6412,6412
1547847124,6426,6426
1547853126,6416,6416
1547859122,6333,6333
1547867043,6295,6295
1547874963,6247,6247
1547882645,6239,6239
1547886722,6257,6257
1547892723,6322,6322
1547900417,6370,6370
1547906163,6383,6383
1547910254,6411,6411
1547916723,6420,6420
1547925604,6458,6458
1547929443,6425,6425
1547933282,6439,6439
1547939763,6401,6401
1547945522,6349,6349
1547954642,6351,6351
1547956563,6321,6321
1547963282,6282,6282
1547967122,6268,6268
1547969043,6299,6299
1547978883,6355,6355
1547987043,6399,6399
1547991123,6397,6397
1547995203,6429,6429
1547997123,6441,6441
1548002882,6431,6431
1548012723,6515,6515
1548016802,6494,6494
1548020643,6467,6467
1548029766,6408,6408
1548031682,6335,6335
1548040563,6280,6280
1548044403,6251,6251
1548050164,6223,6223
1548055203,6266,6266
1548059043,6264,6264
1548064323,6281,6281
1548070326,6299,6299
1548074403,6327,6327
1548076324,6341,6341
1548084242,6351,6351
1548091442,6404,6404
1548095283,6408,6408
1548100082,6461,6461
1548109683,6454,6454
1548113762,6405,6405
1548119763,6330,6330
1548127683,6297,6297
1548132482,6279,6279
1548136322,6253,6253
1548145205,6264,6264
1548149043,6273,6273
1548152882,6302,6302
1548157682,6311,6311
1548161522,6344,6344
1548165363,6358,6358
1548174243,6370,6370
1548178082,6368,6368
1548184802,6395,6395
1548190563,6411,6411
1548192483,6414,6414
1548197522,6348,6348
1548204482,6302,6302
1548210243,6289,6289
1548216244,6242,6242
1548222484,6223,6223
1548231363,6267,6267
1548237843,6304,6304
1548242407,6334,6334
1548250323,6339,6339
1548254404,6368,6368
1548260643,6363,6363
1548264004,6395,6395
1548269765,6429,6429
1548276005,6417,6417
1548280083,6418,6418
1548283923,6420,6420
1548288962,6311,6311
1548292803,6310,6310
1548296643,6285,6285
1548303605,6250,6250
1548307923,6244,6244
1548311762,6225,6225
1548315602,6264,6264
1548319442,6263,6263
1548321603,6271,6271
1548327363,6275,6275
1548331443,6345,6345
1548337443,6374,6374
1548346805,6367,6367
1548350883,6365,6365
1548353763,6395,6395
1548361442,6418,6418
1548365284,6410,6410
1548370085,6379,6379
1548378723,6320,6320
1548384722,6304,6304
1548388563,6275,6275
1548396483,6237,6237
1548404163,6242,6242
1548408247,6247,6247
1548414242,6299,6299
1548421923,6347,6347
1548425762,6349,6349
1548429842,6360,6360
1548433923,6368,6368
1548437762,6370,6370
1548439923,6346,6346
1548445923,6380,6380
1548451923,6385,6385
1548455763,6364,6364
1548459604,6330,6330
1548463442,6287,6287
1548471362,6247,6247
1548480006,6222,6222
1548485763,6226,6226
1548494403,6275,6275
1548498243,6286,6286
1548502323,6305,6305
1548506163,6310,6310
1548508083,6341,6341
1548514082,6366,6366
1548519842,6390,6390
1548528722,6394,6394
1548530643,6405,6405
1548534964,6388,6388
1548538803,6383,6383
1548542643,6363,6363
1548548403,6293,6293
1548552242,6294,6294
1548558963,6255,6255
1548564722,6205,6205
1548573364,6212,6212
1548577204,6225,6225
1548582963,6294,6294
1548589924,6313,6313
1548593764,6350,6350
1548599763,6365,6365
1548607443,6377,6377
1548613204,6415,6415
1548618963,6426,6426
1548625922,6425,6425
1548634323,6326,6326
1548642243,6313,6313
1548647283,6254,6254
1548655444,6237,6237
1548661203,6256,6256
1548667205,6286,6286
1548671043,6304,6304
1548674163,6320,6320
1548680163,6356,6356
1548685205,6360,6360
1548690963,6356,6356
1548695763,6353,6353
1548703923,6407,6407
1548709924,6440,6440
1548716163,6383,6383
1548722165,6322,6322
1548726243,6300,6300
1548733922,6258,6258
1548739683,6250,6250
1548747362,6254,6254
1548749523,6280,6280
1548755282,6301,6301
1548761043,6304,6304
1548767762,6324,6324
1548771843,6362,6362
1548775923,6372,6372
1548779764,6380,6380
1548785523,6390,6390
1548791523,6412,6412
1548800163,6412,6412
1548807362,6302,6302
1548813123,6282,6282
1548821043,6238,6238
1548827042,6217,6217
1548833068,6234,6234
1548837123,6262,6262
1548843123,6291,6291
1548849122,6345,6345
1548857044,6341,6341
1548863282,6337,6337
1548867122,6338,6338
1548869043,6344,6344
1548875043,6364,6364
1548876962,6379,6379
1548882722,6403,6403
1548890883,6352,6352
1548895683,6282,6282
1548903363,6281,6281
1548905523,6263,6263
1548911523,6203,6203
1548915363,6205,6205
1548919203,6233,6233
1548923043,6254,6254
1548929763,6239,6239
1548931923,6277,6277
1548933843,6302,6302
1548944642,6347,6347
1548948964,6335,6335
1548952803,6350,6350
1548957123,6374,6374
1548964820,6396,6396
1548970562,6386,6386
1548978964,6304,6304
1548985922,6359,6359
1548990963,6343,6343
1548998643,6326,6326
1549005605,6322,6322
1549007522,6370,6370
1549013524,6379,6379
1549017363,6406,6406
1549023123,6447,6447
1549026962,6470,6470
1549031042,6483,6483
1549036082,6523,6523
1549043763,6521,6521
1549049524,6487,6487
1549053603,6512,6512
1549061522,6522,6522
1549063442,6487,6487
1549066562,6435,6435
1549072322,6444,6444
1549077363,6417,6417
1549084563,6374,6374
1549088883,6369,6369
1549093682,6403,6403
1549103524,6430,6430
1549109523,6450,6450
1549115522,6513,6513
1549121283,6504,6504
1549124163,6513,6513
1549128242,6526,6526
1549132324,6538,6538
1549136163,6553,6553
1549140003,6553,6553
1549143843,6529,6529
1549152243,6428,6428
1549159923,6429,6429
1549163763,6402,6402
1549169522,6374,6374
1549171443,6318,6318
1549177444,6356,6356
1549185362,6372,6372
1549191122,6439,6439
1549199762,6490,6490
1549206963,6524,6524
1549210803,6536,6536
1549218482,6540,6540
1549221363,6568,6568
1549227123,6574,6574
1549229042,6575,6575
1549235044,6496,6496
1549241522,6442,6442
1549247283,6438,6438
1549252082,6429,6429
1549254004,6400,6400
1549257843,6365,6365
1549261682,6346,6346
1549264563,6399,6399
1549271763,6412,6412
1549275603,6444,6444
1549279443,6449,6449
1549283763,6466,6466
1549289762,6478,6478
1549295523,6483,6483
1549301523,6484,6484
1549307282,6522,6522
1549311604,6540,6540
1549317363,6548,6548
1549323603,6494,6494
1549325524,6468,6468
1549329362,6443,6443
1549333203,6458,6458
1549340162,6394,6394
1549344004,6368,6368
1549347843,6370,6370
1549355523,6405,6405
1549359603,6413,6413
1549363443,6459,6459
1549367283,6463,6463
1549374962,6498,6498
1549381924,6483,6483
1549389843,6504,6504
1549397525,6529,6529
1549405442,6525,6525
1549409283,6474,6474
1549412404,6423,6423
1549416243,6440,6440
1549420083,6427,6427
1549423923,6404,6404
1549425843,6389,6389
1549433522,6358,6358
1549441443,6383,6383
1549448162,6391,6391
1549452003,6410,6410
1549458964,6432,6432
1549464723,6431,6431
1549466644,6453,6453
1549473362,6465,6465
1549478405,6464,6464
1549482485,6510,6510
1549488242,6510,6510
1549494962,6479,6479
1549496883,6435,6435
1549504563,6444,6444
1549511522,6373,6373
1549517283,6358,6358
1549522083,6372,6372
1549531683,6402,6402
1549536725,6381,6381
1549542482,6449,6449
1549549204,6453,6453
1549554963,6484,6484
1549559283,6481,6481
1549566963,6507,6507
1549574643,6497,6497
