DateTime,AddedIPs,RemovedIPs
1549364172,17,5
1549366338,22,10
1549368255,20,5
1549370192,17,6
1549372115,21,7
1549374032,33,2
1549375937,24,4
1549382656,18,19
1549384569,14,11
1549386521,10,18
1549388412,21,10
1549390359,22,5
1549392262,33,19
1549394195,26,4
1549396095,21,15
1549398040,18,4
1549399928,8,13
1549401875,20,6
1549404020,25,8
1549405949,5,14
1549407855,13,14
1549409772,9,5
1549411974,16,1
1549413852,10,1
1549415794,15,3
1549417692,10,9
1549419611,18,8
1549421559,17,6
1549423452,23,2
1549425391,16,3
1549427290,18,10
1549429249,9,16
1549431137,21,20
1549433055,11,0
1549434991,21,6
1549436896,20,10
1549438820,22,10
1549440755,13,9
1549442652,13,9
1549444572,10,6
1549446495,18,20
1549448422,15,0
1549450351,13,0
1549452253,13,0
1549454189,12,8
1549456112,13,0
1549458030,16,7
1549459934,14,7
1549462120,15,7
1549464013,18,6
1549465960,22,4
1549467848,15,15
1549469793,16,4
1549471700,6,24
1549473615,15,7
1549475774,8,7
1549480336,19,24
1549484438,19,39
1549486337,21,32
1549488249,23,16
1549490193,8,8
1549492093,13,20
1549494040,12,3
1549495960,5,11
1549498149,18,4
1549500256,17,9
1549502181,19,9
1549504116,22,12
1549506038,13,11
1549507936,17,15
1549509858,23,15
1549511787,14,15
1549513690,17,12
1549515618,18,3
1549517559,15,0
1549519453,17,9
1549521367,17,6
1549527132,12,45
1549529077,23,22
1549530972,8,5
1549532897,13,1
1549534831,8,6
1549536743,16,6
1549540594,20,11
1549542513,20,6
1549544430,10,17
1549548265,7,42
1549550192,17,18
1549552120,3,27
1549554014,10,10
1549555937,9,5
1549557877,18,19
1549560049,7,7
1549561951,23,11
1549563858,17,15
1549569612,11,44
1549571561,16,8
1549573453,10,15
1549575375,6,5
1549577315,9,7
1549579242,4,17
1549581139,9,12
1549583078,15,12
1549585230,21,14
1549587132,15,11
1549589052,20,12
1549591235,13,14
1549593162,8,10
1549595077,7,5
1549596971,10,12
1549599143,6,5
1549601058,14,18
1549602977,20,7
1549604914,17,12
1549606834,13,16
1549608754,12,10
1549610916,21,10
1549612840,7,16
1549614737,12,16
1549616676,8,18
1549618570,19,11
1549622431,17,16
1549624333,20,7
1549626250,17,14
1549628443,17,13
1549630354,10,6
1549632253,15,13
1549634171,11,12
1549636110,23,19
1549638023,11,22
1549639960,4,24
1549641854,5,29
1549643771,13,11
1549645714,17,6
1549648590,6,23
1549650485,28,7
1549652411,13,16
1549654355,19,10
1549656252,14,4
1549660361,18,41
1549662270,19,0
1549664174,6,34
1549666092,23,12
1549668023,30,17
1549669946,12,27
1549673768,14,18
1549675698,3,18
1549677633,11,16
1549679562,9,13
1549681475,9,15
1549683375,14,20
1549685291,18,0
1549687227,7,19
1549689133,9,10
1549691054,22,7
1549692991,17,13
1549697050,19,26
1549698992,7,10
1549700887,20,13
1549702820,10,20
1549704737,14,12
1549706679,11,14
1549708589,12,14
1549710519,12,13
1549712411,6,15
1549714348,13,15
1549716255,18,11
1549718199,11,25
1549720110,17,28
1549722039,19,0
1549723925,10,20
1549725851,9,17
1549727784,17,7
1549729690,11,16
1549731609,12,11
1549733541,10,18
1549735455,13,0
1549737373,18,0
1549739292,15,17
1549741234,8,28
1549743131,14,21
1549745073,27,21
1549746969,11,17
1549748898,23,23
1549750827,14,20
1549752755,16,26
1549754658,21,18
1549756573,15,20
1549758494,20,8
1549760436,11,17
1549764283,23,24
1549766190,14,18
1549768101,15,19
1549770009,14,24
1549771958,19,0
1549773849,20,12
1549775805,11,15
1549777690,13,19
1549779617,27,22
1549781549,18,19
1549783457,20,22
1549785367,19,22
1549787315,21,17
1549789217,13,0
1549791144,8,14
1549793077,15,17
1549794975,3,10
1549796893,13,13
1549798840,12,17
1549800757,19,11
1549802657,21,18
1549804633,24,13
1549806498,12,13
1549808432,6,9
1549810331,9,16
1549812248,19,5
1549814190,9,23
1549816086,14,14
1549818034,13,13
1549819936,24,19
1549821877,11,6
1549823770,11,19
1549825697,4,11
1549827631,11,11
1549829536,9,10
1549831459,17,10
1549833397,19,13
1549835313,23,12
1549837215,9,19
1549839132,12,11
1549841077,26,0
1549842965,18,6
1549844892,20,11
1549846834,13,15
1549848740,22,13
1549850677,16,8
1549852578,18,15
1549854760,20,14
1549856661,11,12
1549858836,12,0
1549860752,10,13
1549862675,19,29
1549864568,16,0
1549866740,13,30
1549868657,8,10
1549870568,2,0
1549872496,8,15
1549874431,15,15
1549876338,7,10
1549878252,16,9
1549880190,5,11
1549882091,14,0
1549886433,10,43
1549888336,16,24
1549890256,12,24
1549892194,6,25
1549894107,11,6
1549896968,4,23
1549898895,23,0
1549900821,5,8
1549902736,5,4
1549904657,10,28
1549906571,3,15
1549908510,7,18
1549912352,6,14
1549914253,19,10
1549916175,8,21
1549918338,9,30
1549920293,14,11
1549922171,9,22
1549924337,6,0
1549926254,17,13
1549928168,13,8
1549930112,10,19
1549932013,8,18
1549933933,8,16
1549935869,14,0
1549937772,6,11
1549939933,12,46
1549943788,16,19
1549945700,15,16
1549947619,5,18
1549949557,17,14
1549951451,5,16
1549953366,12,12
1549955558,26,23
1549957449,21,21
1549959390,22,34
1549961289,23,0
1549963211,7,22
1549965148,13,40
1549967050,28,0
1549968968,15,11
1549970908,20,17
1549972817,4,18
1549974731,22,17
1549976650,7,19
1549978567,16,15
1549980493,7,26
1549982674,17,23
1549984577,9,0
1549987270,2,0
1549989401,9,37
1549991321,6,8
1549993211,10,0
1549995152,10,20
1549997051,26,21
1549998971,6,25
1550000888,19,27
1550002839,16,22
1550004739,8,28
1550006650,19,0
1550008587,5,22
1550010488,12,17
1550012433,6,5
1550014358,9,10
1550016267,6,7
1550018166,5,14
1550020094,7,10
1550023936,10,35
1550025850,18,16
1550027799,11,20
1550029713,23,21
1550031642,9,18
1550033571,7,20
1550035451,4,10
1550037367,6,21
1550039314,13,12
1550041222,12,17
1550044093,15,40
1550046032,6,15
