DateTime,AddedIPs,RemovedIPs
1549364172,40,14
1549366338,42,35
1549368255,44,43
1549370192,44,40
1549372115,48,46
1549374032,52,48
1549375937,43,50
1549382656,33,44
1549384569,38,31
1549386521,25,36
1549388412,52,28
1549390359,46,52
1549392262,55,48
1549394195,51,57
1549396095,62,48
1549398040,51,59
1549399928,31,53
1549401875,57,34
1549404020,57,56
1549405949,24,59
1549407855,40,22
1549409772,21,43
1549411974,46,22
1549413852,50,44
1549415794,36,49
1549417692,38,35
1549419611,58,37
1549421559,48,56
1549423452,57,53
1549425391,50,56
1549427290,60,50
1549429249,35,57
1549431137,54,37
1549433055,43,53
1549434991,50,46
1549436896,60,50
1549438820,49,57
1549440755,43,48
1549442652,51,47
1549444572,29,50
1549446495,51,33
1549448422,24,47
1549450351,45,25
1549452253,44,45
1549454189,40,44
1549456112,52,41
1549458030,54,51
1549459934,45,49
1549462120,32,46
1549464013,37,32
1549465960,47,38
1549467848,47,54
1549469793,48,45
1549471700,30,48
1549473615,46,32
1549475774,25,40
1549480336,47,27
1549484438,39,45
1549486337,42,42
1549488249,48,42
1549490193,29,50
1549492093,46,26
1549494040,25,47
1549495960,25,25
1549498149,52,21
1549500256,41,52
1549502181,52,41
1549504116,59,57
1549506038,37,58
1549507936,46,32
1549509858,53,47
1549511787,52,55
1549513690,59,52
1549515618,46,59
1549517559,47,44
1549519453,58,46
1549521367,64,59
1549527132,36,67
1549529077,48,37
1549530972,27,48
1549532897,41,26
1549534831,18,44
1549536743,49,17
1549540594,47,44
1549542513,44,54
1549544430,35,42
1549548265,25,31
1549550192,32,27
1549552120,10,36
1549554014,27,10
1549555937,29,23
1549557877,40,31
1549560049,18,42
1549561951,45,14
1549563858,51,45
1549569612,42,52
1549571561,49,38
1549573453,17,52
1549575375,27,18
1549577315,21,24
1549579242,15,21
1549581139,26,16
1549583078,45,25
1549585230,41,44
1549587132,31,47
1549589052,45,33
1549591235,43,42
1549593162,27,38
1549595077,19,27
1549596971,27,21
1549599143,15,26
1549601058,53,17
1549602977,51,51
1549604914,39,47
1549606834,35,45
1549608754,39,35
1549610916,58,40
1549612840,28,56
1549614737,30,27
1549616676,18,29
1549618570,50,18
1549622431,31,52
1549624333,47,33
1549626250,40,49
1549628443,43,40
1549630354,33,41
1549632253,39,33
1549634171,39,39
1549636110,52,38
1549638023,32,52
1549639960,23,30
1549641854,23,24
1549643771,40,22
1549645714,41,39
1549648590,20,42
1549650485,62,19
1549652411,27,66
1549654355,53,27
1549656252,37,46
1549660361,45,37
1549662270,54,46
1549664174,24,53
1549666092,47,27
1549668023,63,50
1549669946,53,65
1549673768,45,49
1549675698,24,48
1549677633,64,26
1549679562,38,58
1549681475,36,38
1549683375,50,37
1549685291,44,48
