DateTime,AddedIPs,RemovedIPs
1544926146,13,1
1544937011,15,1
1544947914,11,0
1544958941,21,0
1544969890,14,4
1544980768,23,1
1544991846,24,2
1545002717,18,1
1545013675,13,3
1545024292,12,2
1545035241,19,1
1545046228,16,1
1545057028,14,4
1545067927,17,0
1545078864,12,2
1545089978,24,7
1545100835,9,0
1545112082,12,1
1545122985,18,3
1545134165,18,2
1545145156,22,3
1545156243,19,4
1545167296,10,0
1545178298,21,5
1545189389,21,2
1545200133,18,2
1545211439,17,2
1545222434,16,2
1545233378,14,0
1545244194,9,2
1545255242,11,2
1545265719,11,3
1545276496,14,2
1545287639,8,3
1545298448,10,3
1545309542,18,1
1545320646,15,3
1545331606,14,3
1545342704,13,1
1545353710,29,1
1545365047,34,1
1545376152,32,2
1545387141,26,3
1545397937,14,1
1545409070,22,3
1545419946,19,0
1545431060,12,1
1545442068,10,2
1545453119,18,4
1545463978,14,2
1545475218,12,2
1545485812,5,1
1545496743,21,2
1545507840,38,2
1545518885,29,2
1545529780,30,3
1545540727,28,3
1545551977,27,2
1545563032,39,1
1545574110,30,2
1545585126,47,1
1545596163,24,1
1545607450,25,3
1545618379,38,3
1545629193,22,3
1545640238,20,2
1545651365,27,1
1545662235,20,0
1545673162,25,4
1545684135,27,0
1545695177,14,2
1545706259,24,1
1545717481,19,1
1545728083,12,2
1545738804,11,0
1545749879,14,5
1545761025,7,2
1545772075,22,1
1545783367,18,3
1545794258,25,2
1545805133,20,2
1545816065,14,1
1545827038,13,1
1545837961,12,1
1545848629,11,2
1545859570,12,1
1545870405,14,3
1545881526,8,1
1545892603,10,2
1545903489,7,3
1545914457,5,1
1545925171,9,3
1545936140,13,1
1545947194,27,3
1545958228,20,4
1545969606,27,1
1545980785,24,1
1545991701,14,3
1546002744,14,3
1546013516,12,5
1546024558,14,3
1546035606,19,3
1546046647,25,0
1546057910,18,2
1546069091,23,3
1546079996,15,0
1546090865,8,2
1546101819,10,3
1546113096,10,2
1546124146,32,3
1546135187,33,2
1546146080,20,2
1546157276,23,1
1546168357,31,4
1546179349,25,6
1546190369,16,4
1546201413,24,3
1546212696,12,0
1546223827,15,3
1546235017,11,3
1546246007,13,1
1546257122,10,3
1546268403,12,4
1546279449,16,4
1546290448,24,5
1546301795,21,2
1546312777,18,1
1546323720,22,4
1546334369,13,4
1546345444,13,2
1546356508,19,2
1546367372,17,3
1546378269,15,8
1546389352,23,1
1546400637,24,3
1546411865,27,0
1546422969,32,2
1546434028,24,0
1546444988,15,2
1546456058,10,0
1546467004,20,1
1546478343,9,4
1546489421,16,3
1546500713,10,1
1546511767,9,3
1546522796,7,2
1546533832,13,2
1546545114,9,3
1546555647,2,2
1546566190,2,1
1546577278,6,4
1546588284,2,2
1546599562,3,1
1546610652,9,3
1546620837,5,2
1546631770,5,2
1546642731,4,1
1546653686,7,0
1546664448,1,1
1546675685,3,4
1546686550,6,2
1546696541,4,4
1546707163,3,2
1546717925,5,2
1546728796,4,3
1546739645,5,3
1546750715,6,3
1546761943,3,2
1546772629,5,2
1546783640,5,4
1546794678,5,2
1546805759,10,10
1546816799,9,3
1546827721,17,4
1546838920,11,4
1546849949,16,0
1546861071,15,10
1546872122,12,4
1546883022,10,9
1546894188,10,9
1546905063,10,10
1546916135,6,9
1546927142,12,9
1546938232,8,9
1546949192,8,10
1546960301,4,15
1546971597,6,3
1546982525,14,11
1546993304,6,15
1547004148,3,5
1547014940,5,4
1547025990,9,4
1547037063,2,4
1547048197,8,5
1547059145,6,33
1547070022,5,35
1547081391,15,32
1547092215,7,11
1547103058,10,23
1547114271,9,16
1547125448,9,25
1547136158,6,19
1547147520,4,25
1547158537,6,23
1547169528,6,17
1547180564,8,17
1547191210,3,24
1547202203,3,8
1547213152,10,9
1547223831,5,10
1547235130,7,14
1547245960,3,12
1547256537,5,9
1547267442,7,16
1547278402,8,14
1547289592,4,10
1547299936,4,8
1547311183,6,9
1547322203,12,9
1547333482,9,23
1547344559,9,13
1547355603,8,15
1547366674,6,20
1547377359,11,12
1547388377,5,18
1547399235,4,6
1547410315,4,18
1547421390,6,17
1547432328,7,15
1547442860,3,12
1547453316,2,16
1547464248,4,6
1547475352,5,9
1547486296,4,8
1547497442,9,13
1547508504,7,7
1547519493,8,12
1547530793,3,15
1547541810,3,5
1547553120,5,14
1547564102,4,16
1547574898,4,12
1547585855,8,17
