DateTime,Entries,UniqueIPs
1544926146,1049,1049
1544937011,1063,1063
1544947914,1074,1074
1544958941,1095,1095
1544969890,1105,1105
1544980768,1127,1127
1544991846,1149,1149
1545002717,1166,1166
1545013675,1176,1176
1545024292,1186,1186
1545035241,1204,1204
1545046228,1219,1219
1545057028,1229,1229
1545067927,1246,1246
1545078864,1256,1256
1545089978,1273,1273
1545100835,1282,1282
1545112082,1293,1293
1545122985,1308,1308
1545134165,1324,1324
1545145156,1343,1343
1545156243,1358,1358
1545167296,1368,1368
1545178298,1384,1384
1545189389,1403,1403
1545200133,1419,1419
1545211439,1434,1434
1545222434,1448,1448
1545233378,1462,1462
1545244194,1469,1469
1545255242,1478,1478
1545265719,1486,1486
1545276496,1498,1498
1545287639,1503,1503
1545298448,1510,1510
1545309542,1527,1527
1545320646,1539,1539
1545331606,1550,1550
1545342704,1562,1562
1545353710,1590,1590
1545365047,1623,1623
1545376152,1653,1653
1545387141,1676,1676
1545397937,1689,1689
1545409070,1708,1708
1545419946,1727,1727
1545431060,1738,1738
1545442068,1746,1746
1545453119,1760,1760
1545463978,1772,1772
1545475218,1782,1782
1545485812,1786,1786
1545496743,1805,1805
1545507840,1841,1841
1545518885,1868,1868
1545529780,1895,1895
1545540727,1920,1920
1545551977,1945,1945
1545563032,1983,1983
1545574110,2011,2011
1545585126,2057,2057
1545596163,2080,2080
1545607450,2102,2102
1545618379,2137,2137
1545629193,2156,2156
1545640238,2174,2174
1545651365,2200,2200
1545662235,2220,2220
1545673162,2241,2241
1545684135,2268,2268
1545695177,2280,2280
1545706259,2303,2303
1545717481,2321,2321
1545728083,2331,2331
1545738804,2342,2342
1545749879,2351,2351
1545761025,2356,2356
1545772075,2377,2377
1545783367,2392,2392
1545794258,2415,2415
1545805133,2433,2433
1545816065,2446,2446
1545827038,2458,2458
1545837961,2469,2469
1545848629,2478,2478
1545859570,2489,2489
1545870405,2500,2500
1545881526,2507,2507
1545892603,2515,2515
1545903489,2519,2519
1545914457,2523,2523
1545925171,2529,2529
1545936140,2541,2541
1545947194,2565,2565
1545958228,2581,2581
1545969606,2607,2607
1545980785,2630,2630
1545991701,2641,2641
1546002744,2652,2652
1546013516,2659,2659
1546024558,2670,2670
1546035606,2686,2686
1546046647,2711,2711
1546057910,2727,2727
1546069091,2747,2747
1546079996,2762,2762
1546090865,2768,2768
1546101819,2775,2775
1546113096,2783,2783
1546124146,2812,2812
1546135187,2843,2843
1546146080,2861,2861
1546157276,2883,2883
1546168357,2910,2910
1546179349,2929,2929
1546190369,2941,2941
1546201413,2962,2962
1546212696,2974,2974
1546223827,2986,2986
1546235017,2994,2994
1546246007,3006,3006
1546257122,3013,3013
1546268403,3021,3021
1546279449,3033,3033
1546290448,3052,3052
1546301795,3071,3071
1546312777,3088,3088
1546323720,3106,3106
1546334369,3115,3115
1546345444,3126,3126
1546356508,3143,3143
1546367372,3157,3157
1546378269,3164,3164
1546389352,3186,3186
1546400637,3207,3207
1546411865,3234,3234
1546422969,3264,3264
1546434028,3288,3288
1546444988,3301,3301
1546456058,3311,3311
1546467004,3330,3330
1546478343,3335,3335
1546489421,3348,3348
1546500713,3357,3357
1546511767,3363,3363
1546522796,3368,3368
1546533832,3379,3379
1546545114,3385,3385
1546555647,3385,3385
1546566190,3386,3386
1546577278,3388,3388
1546588284,3388,3388
1546599562,3390,3390
1546610652,3396,3396
1546620837,3399,3399
1546631770,3402,3402
1546642731,3405,3405
1546653686,3412,3412
1546664448,3412,3412
1546675685,3411,3411
1546686550,3415,3415
1546696541,3415,3415
1546707163,3416,3416
1546717925,3419,3419
1546728796,3420,3420
1546739645,3422,3422
1546750715,3425,3425
1546761943,3426,3426
1546772629,3429,3429
1546783640,3430,3430
1546794678,3433,3433
1546805759,3433,3433
1546816799,3439,3439
1546827721,3452,3452
1546838920,3459,3459
1546849949,3475,3475
1546861071,3480,3480
1546872122,3488,3488
1546883022,3489,3489
1546894188,3490,3490
1546905063,3490,3490
1546916135,3487,3487
1546927142,3490,3490
1546938232,3489,3489
1546949192,3487,3487
1546960301,3476,3476
1546971597,3479,3479
1546982525,3482,3482
1546993304,3473,3473
1547004148,3471,3471
1547014940,3472,3472
1547025990,3477,3477
1547037063,3475,3475
1547048197,3478,3478
1547059145,3451,3451
1547070022,3421,3421
1547081391,3404,3404
1547092215,3400,3400
1547103058,3387,3387
1547114271,3380,3380
1547125448,3364,3364
1547136158,3351,3351
1547147520,3330,3330
1547158537,3313,3313
1547169528,3302,3302
1547180564,3293,3293
1547191210,3272,3272
1547202203,3267,3267
1547213152,3268,3268
1547223831,3263,3263
1547235130,3256,3256
1547245960,3247,3247
1547256537,3243,3243
1547267442,3234,3234
1547278402,3228,3228
1547289592,3222,3222
1547299936,3218,3218
1547311183,3215,3215
1547322203,3218,3218
1547333482,3204,3204
1547344559,3200,3200
1547355603,3193,3193
1547366674,3179,3179
1547377359,3178,3178
1547388377,3165,3165
1547399235,3163,3163
1547410315,3149,3149
1547421390,3138,3138
1547432328,3130,3130
1547442860,3121,3121
1547453316,3107,3107
1547464248,3105,3105
1547475352,3101,3101
1547486296,3097,3097
1547497442,3093,3093
1547508504,3093,3093
1547519493,3089,3089
1547530793,3077,3077
1547541810,3075,3075
1547553120,3066,3066
1547564102,3054,3054
1547574898,3046,3046
1547585855,3037,3037
1547596871,3025,3025
1547607639,3024,3024
1547618430,3018,3018
1547629109,3014,3014
1547639863,3005,3005
1547651011,3000,3000
1547662078,2988,2988
1547673156,2979,2979
1547684348,2970,2970
1547695300,2957,2957
1547705495,2953,2953
1547716410,2943,2943
1547727612,2928,2928
1547738376,2914,2914
1547749385,2902,2902
1547760216,2897,2897
1547770519,2895,2895
1547780806,2883,2883
1547791680,2876,2876
1547802684,2863,2863
1547813896,2858,2858
1547824778,2850,2850
1547835568,2841,2841
1547846620,2833,2833
1547857552,2825,2825
1547868461,2821,2821
1547879238,2821,2821
1547890124,2823,2823
1547901087,2816,2816
1547911917,2809,2809
1547922984,2798,2798
1547933926,2781,2781
1547944353,2752,2752
1547955331,2730,2730
1547965959,2703,2703
1547976870,2685,2685
1547987984,2663,2663
1547999025,2659,2659
1548010004,2643,2643
1548021132,2634,2634
1548031660,2625,2625
1548042392,2617,2617
1548052943,2609,2609
1548063765,2599,2599
1548074403,2588,2588
1548085257,2583,2583
1548096159,2567,2567
1548106349,2536,2536
1548116808,2517,2517
1548128101,2488,2488
1548139049,2467,2467
1548149726,2428,2428
1548160286,2398,2398
1548171241,2358,2358
1548181901,2329,2329
1548192701,2308,2308
1548203462,2280,2280
1548214274,2256,2256
1548225614,2232,2232
1548236752,2214,2214
1548247853,2187,2187
1548258937,2170,2170
1548269975,2152,2152
1548280951,2131,2131
1548291710,2113,2113
1548302288,2090,2090
1548312875,2084,2084
1548323712,2072,2072
1548334350,2061,2061
1548345118,2050,2050
1548356189,2029,2029
1548366888,1994,1994
1548377997,1976,1976
1548388718,1945,1945
1548399759,1924,1924
1548411026,1915,1915
1548422248,1895,1895
1548433205,1878,1878
1548444251,1866,1866
1548454899,1851,1851
1548465745,1844,1844
1548476838,1836,1836
1548487722,1834,1834
1548498684,1822,1822
1548509211,1819,1819
1548520126,1816,1816
1548531054,1801,1801
1548542329,1753,1753
1548553390,1717,1717
1548564723,1699,1699
1548575082,1672,1672
1548585960,1653,1653
1548596603,1635,1635
1548607893,1613,1613
1548618979,1601,1601
1548629540,1578,1578
1548640422,1549,1549
1548651176,1523,1523
1548662099,1496,1496
1548673009,1477,1477
1548683784,1457,1457
1548694803,1439,1439
1548705833,1423,1423
1548716629,1394,1394
1548727865,1357,1357
1548738604,1313,1313
1548749352,1297,1297
1548760124,1264,1264
1548771353,1226,1226
1548782301,1208,1208
1548793430,1194,1194
1548804410,1176,1176
1548814951,1162,1162
1548825887,1145,1145
1548836803,1136,1136
1548847553,1130,1130
1548858482,1111,1111
1548869383,1079,1079
1548880311,1050,1050
1548891079,1023,1023
1548901910,991,991
1548912976,960,960
1548923559,946,946
1548934335,922,922
1548945259,898,898
1548956290,889,889
1548967290,879,879
1548994760,813,813
1549005490,783,783
1549016306,756,756
1549027084,733,733
1549037800,725,725
1549048061,715,715
1549059231,707,707
1549069628,699,699
1549080606,688,688
1549090919,680,680
1549101049,674,674
1549111945,669,669
1549122621,663,663
1549132865,657,657
1549143793,655,655
1549154819,659,659
1549165414,661,661
1549176397,659,659
1549187051,658,658
1549197652,657,657
1549208603,655,655
1549219663,650,650
1549230557,652,652
1549241354,655,655
1549252297,651,651
1549263043,643,643
1549274143,640,640
1549284668,638,638
1549295539,643,643
1549306451,643,643
1549317258,642,642
1549328091,639,639
1549338442,637,637
1549348759,636,636
1549359718,637,637
1549370562,633,633
1549381446,630,630
1549392662,627,627
1549404014,628,628
1549415061,621,621
1549426309,614,614
1549437466,614,614
1549447923,613,613
1549458941,610,610
1549469923,606,606
1549481014,606,606
1549492025,604,604
1549502387,604,604
1549513370,605,605
1549524485,604,604
1549535440,610,610
1549546054,608,608
1549557387,610,610
1549567512,610,610
1549578377,612,612
1549588206,609,609
1549599072,606,606
1549610181,608,608
1549620723,605,605
1549631181,603,603
1549642044,603,603
1549651694,601,601
1549662397,599,599
1549673222,592,592
1549684287,588,588
1549695584,586,586
1549706592,590,590
1549717614,585,585
1549728853,587,587
1549739598,587,587
1549750320,584,584
1549760770,582,582
1549771875,583,583
1549782466,586,586
1549793365,587,587
1549815284,566,566
1549826247,569,569
1549837069,571,571
1549847845,572,572
1549858771,576,576
1549869640,578,578
1549880165,577,577
1549891053,580,580
1549901727,584,584
1549911902,581,581
1549922668,578,578
1549933418,578,578
1549944366,578,578
1549954801,577,577
1549965858,574,574
1549976308,571,571
1549987123,572,572
1549997279,571,571
1550008077,569,569
1550018815,570,570
1550029755,575,575
1550040712,576,576
1550051405,577,577
1550062093,580,580
1550073072,580,580
1550084051,577,577
1550095166,579,579
1550106237,582,582
1550117134,581,581
1550128063,579,579
1550138884,580,580
1550149851,582,582
1550160784,583,583
1550171266,590,590
1550182273,596,596
1550193253,594,594
1550204065,594,594
1550214686,595,595
1550225765,597,597
1550236339,599,599
1550246893,598,598
1550257765,595,595
1550268594,597,597
1550279457,594,594
1550290415,599,599
1550300227,602,602
1550311202,604,604
1550322018,605,605
1550333161,607,607
1550344076,606,606
1550353984,605,605
1550364971,601,601
1550376244,599,599
1550387293,599,599
1550398324,599,599
