DateTime,AddedIPs,RemovedIPs
1547261561,59,0
1547262745,21,67
1547265151,49,0
1547267068,29,0
1547268517,23,67
1547273059,59,58
1547274970,30,0
1547276664,29,0
1547280180,49,81
1547281946,32,76
1547283853,22,0
1547286247,42,43
1547287940,45,76
1547289643,25,0
1547291080,32,40
1547292735,27,0
1547295158,32,11
1547296113,6,16
1547297074,16,17
1547298761,21,39
1547300659,29,20
1547302343,26,13
1547304515,16,56
1547305485,8,0
1547307140,21,30
1547308812,22,17
1547310738,18,38
1547311715,11,0
1547313169,33,12
1547314339,21,8
1547316736,42,32
1547318682,28,30
1547320846,22,37
1547322521,19,11
1547323475,11,14
1547324421,11,0
1547327326,34,39
1547328984,22,26
1547330672,21,37
1547333569,37,56
1547336679,41,57
1547337628,6,0
1547339562,35,121
1547341934,51,0
1547343607,43,75
1547345078,26,0
1547346744,40,59
1547349142,40,21
1547350818,26,49
1547352290,27,29
1547354446,32,23
1547356353,24,59
1547358495,31,0
1547360439,21,30
1547362342,31,29
1547365945,50,49
1547368841,40,54
1547370529,25,42
1547371717,19,0
1547373386,33,45
1547376510,42,57
1547378180,27,27
1547379847,29,32
1547382156,32,6
1547383956,29,37
1547385386,30,29
1547388046,43,26
1547389945,20,16
1547390894,12,0
1547392368,21,29
1547395495,26,40
1547397886,16,11
1547398818,9,33
1547400485,14,21
1547401947,8,42
1547404358,19,28
1547406760,29,22
1547407965,23,19
1547409401,11,11
1547411080,12,45
1547413487,31,0
1547414920,15,22
1547416593,11,21
1547418255,20,37
1547420432,23,41
1547423798,33,6
1547426671,26,86
1547429073,16,43
1547431723,32,66
1547433612,23,40
1547435571,22,26
1547437468,26,27
1547440116,54,32
1547442019,18,24
1547443008,7,31
1547444908,22,21
1547446583,27,0
1547448035,18,31
1547449966,32,50
1547452094,23,0
1547453796,38,40
1547454862,14,0
1547456661,24,25
1547458353,28,52
1547460761,39,42
1547462416,18,0
1547464368,43,27
1547465291,20,29
1547466255,7,32
1547467218,14,0
1547494365,351,299
1547498917,59,54
1547509967,179,102
1547513068,110,26
1547517872,238,48
1547520969,92,45
1547527257,130,98
1547530370,58,29
1547534452,64,77
1547551964,279,254
1547566093,147,365
1547571622,60,0
1547575246,28,0
1547578347,46,0
1547582204,37,59
1547584596,21,0
1547587935,35,179
1547591537,53,0
1547593936,26,0
1547597800,56,110
1547602352,67,238
1547606206,54,92
1547609780,48,130
1547613135,57,0
1547616519,72,58
1547620371,70,64
1547622968,54,279
1547627796,92,0
1547631882,94,0
1547634037,52,0
1547645056,179,147
1547653709,135,60
1547658047,54,28
1547662361,64,46
1547666438,31,37
1547670763,41,21
1547678185,133,114
1547681566,49,56
1547686593,71,67
1547692364,79,54
1547697174,66,105
1547702672,72,72
1547706749,25,70
1547712278,61,146
1547715161,38,94
1547718736,60,52
1547723565,64,179
1547725454,24,0
1547729060,45,0
1547733679,65,135
1547803225,500,844
1547805637,39,64
1547809483,77,0
1547812118,49,69
1547815229,44,0
1547820042,73,65
1547823874,51,500
1547828649,50,0
1547843088,178,0
1547850031,75,0
1547871642,479,0
1547913866,500,383
1547928761,227,178
1547942210,156,554
1547969291,435,500
1547980593,134,0
1547991649,102,0
1547994257,24,0
1548001490,69,227
1548015648,124,156
1548032682,120,435
1548060249,297,134
1548063158,41,0
1548066276,44,0
1548084292,245,195
1548085957,17,0
1548089292,38,124
1548092675,41,0
1548095560,24,0
1548098685,18,0
1548102019,45,0
1548105393,39,120
1548108515,37,0
1548111411,44,0
1548114271,20,0
1548117143,38,0
1548119768,38,297
1548122919,44,0
1548126274,43,0
1548128208,27,0
1548131561,35,0
1548133962,31,0
1548137316,52,0
1548139718,27,0
1548142593,45,0
1548145931,47,0
1548148330,39,41
1548150270,27,44
1548152887,33,245
1548155530,35,0
1548157926,27,0
1548159869,27,0
1548162034,26,0
1548164190,14,0
1548166365,24,0
1548168757,22,0
1548171874,26,17
1548174007,24,38
1548178599,70,41
1548180996,24,24
1548183877,53,18
1548186031,27,45
1548189136,27,39
1548192031,43,37
1548194198,24,0
1548196592,42,44
1548199246,32,20
1548222041,286,308
1548222994,12,0
1548224670,31,27
1548225643,24,0
1548226573,12,45
1548227542,12,0
1548228513,25,0
1548229482,21,47
1548230433,11,0
1548231385,13,0
1548232363,20,39
1548234027,36,0
1548236453,41,27
