DateTime,AddedIPs,RemovedIPs
1547261561,59,59
1547262745,21,21
1547265151,49,49
1547267068,29,29
1547268517,23,23
1547273059,59,59
1547274970,30,30
1547276664,29,29
1547280180,49,49
1547281946,32,32
1547283853,22,22
1547286247,42,42
1547287940,45,45
1547289643,25,25
1547291080,32,32
1547292735,27,27
1547295158,32,32
1547296113,6,6
1547297074,16,16
1547298761,21,21
1547300659,29,29
1547302343,26,26
1547304515,16,16
1547305485,8,8
1547307140,21,21
1547308812,22,22
1547310738,18,18
1547311715,11,11
1547313169,33,33
1547314339,21,21
1547316736,42,42
1547318682,28,28
1547320846,22,22
1547322521,19,19
1547323475,11,11
1547324421,11,11
1547327326,34,34
1547328984,22,22
1547330672,21,21
1547333569,37,37
1547336679,41,41
1547337628,6,6
1547339562,35,35
1547341934,51,51
1547343607,43,43
1547345078,26,26
1547346744,40,40
1547349142,40,40
1547350818,26,26
1547352290,27,27
1547354446,32,32
1547356353,24,24
1547358495,31,31
1547360439,21,21
1547362342,31,31
1547365945,50,50
1547368841,40,40
1547370529,25,25
1547371717,19,19
1547373386,33,33
1547376510,42,42
1547378180,27,27
1547379847,29,29
1547382156,32,32
1547383956,29,29
1547385386,30,30
1547388046,43,43
1547389945,20,20
1547390894,12,12
1547392368,21,21
1547395495,26,26
1547397886,16,16
1547398818,9,9
1547400485,14,14
1547401947,8,8
1547404358,19,19
1547406760,29,29
1547407965,23,23
1547409401,11,11
1547411080,12,12
1547413487,31,31
1547414920,15,15
1547416593,11,11
1547418255,20,20
1547420432,23,23
1547423798,33,33
1547426671,26,26
1547429073,16,16
1547431723,32,32
1547433612,23,23
1547435571,22,22
1547437468,26,26
1547440116,54,54
1547442019,18,18
1547443008,7,7
1547444908,22,22
1547446583,27,27
1547448035,18,18
1547449966,32,32
1547452094,23,23
1547453796,38,38
1547454862,14,14
1547456661,24,24
1547458353,28,28
1547460761,39,39
1547462416,18,18
1547464368,43,43
1547465291,20,20
1547466255,7,7
1547467218,14,14
1547494365,351,351
1547498917,59,59
1547509967,179,179
1547513068,110,110
1547517872,238,238
1547520969,92,92
1547527257,130,130
1547530370,58,58
1547534452,64,64
1547551964,279,279
1547566093,147,147
1547571622,60,60
1547575246,28,28
1547578347,46,46
1547582204,37,37
1547584596,21,21
1547587935,35,35
1547591537,53,53
1547593936,26,26
1547597800,56,56
1547602352,67,67
1547606206,54,54
1547609780,48,48
1547613135,57,57
1547616519,72,72
1547620371,70,70
1547622968,54,54
1547627796,92,92
1547631882,94,94
1547634037,52,52
1547645056,179,179
1547653709,135,135
1547658047,54,54
1547662361,64,64
1547666438,31,31
1547670763,41,41
1547678185,133,133
1547681566,49,49
1547686593,71,71
1547692364,79,79
1547697174,66,66
1547702672,72,72
1547706749,25,25
1547712278,61,61
1547715161,38,38
1547718736,60,60
1547723565,64,64
1547725454,24,24
1547729060,45,45
1547733679,65,65
1547803225,500,500
1547805637,39,39
1547809483,77,77
1547812118,49,49
1547815229,44,44
1547820042,73,73
1547823874,51,51
1547828649,50,50
1547843088,178,178
1547850031,75,75
1547871642,479,479
1547913866,500,500
1547928761,227,227
1547942210,156,156
1547969291,435,435
1547980593,134,134
1547991649,102,102
1547994257,24,24
1548001490,69,69
1548015648,124,124
1548032682,120,120
1548060249,297,297
1548063158,41,41
1548066276,44,44
1548084292,245,245
1548085957,17,17
1548089292,38,38
1548092675,41,41
1548095560,24,24
1548098685,18,18
1548102019,45,45
1548105393,39,39
1548108515,37,37
1548111411,44,44
1548114271,20,20
1548117143,38,38
1548119768,38,38
1548122919,44,44
1548126274,43,43
1548128208,27,27
1548131561,35,35
1548133962,31,31
1548137316,52,52
1548139718,27,27
1548142593,45,45
1548145931,47,47
1548148330,39,39
1548150270,27,27
1548152887,33,33
1548155530,35,35
1548157926,27,27
1548159869,27,27
1548162034,26,26
1548164190,14,14
1548166365,24,24
1548168757,22,22
1548171874,26,26
1548174007,24,24
1548178599,70,70
1548180996,24,24
1548183877,53,53
1548186031,27,27
1548189136,27,27
1548192031,43,43
1548194198,24,24
1548196592,42,42
1548199246,32,32
1548222041,286,286
1548222994,12,12
1548224670,31,31
1548225643,24,24
1548226573,12,12
1548227542,12,12
1548228513,25,25
1548229482,21,21
1548230433,11,11
1548231385,13,13
1548232363,20,20
1548234027,36,36
1548236453,41,41
1548238573,30,30
1548239646,14,14
1548241472,19,19
1548243378,16,16
1548245567,33,33
1548247454,30,30
1548249853,22,22
1548252256,43,43
1548253944,26,26
1548256119,33,33
1548258282,17,17
1548260908,37,37
1548263528,32,32
1548265952,25,25
1548267871,17,17
1548270273,27,27
1548272673,30,30
1548275097,19,19
1548276994,18,18
1548279624,21,21
1548281088,20,20
1548283697,39,39
1548285896,19,19
1548288079,40,40
1548290418,48,48
1548293797,68,68
1548295965,44,44
1548298841,46,46
1548301947,57,57
1548304851,48,48
1548307015,35,35
1548309872,46,46
1548312751,51,51
1548315644,37,37
1548317798,29,29
1548321142,59,59
1548324757,65,65
1548327375,40,40
1548330277,47,47
1548333393,32,32
1548335557,30,30
1548338167,40,40
1548341538,46,46
1548344648,40,40
1548348523,53,53
1548352356,52,52
1548353810,33,33
1548355935,33,33
1548359313,45,45
1548362189,42,42
1548365807,58,58
1548368204,44,44
1548371805,61,61
1548375886,78,78
1548379718,90,90
1548383577,83,83
1548387399,61,61
1548390757,46,46
1548407536,288,288
1548411184,53,53
1548415251,42,42
1548418361,47,47
1548422454,42,42
1548426974,46,46
1548430362,45,45
1548433947,45,45
1548436372,23,23
1548446177,91,91
1548450018,52,52
1548457962,88,88
1548461545,46,46
1548465168,50,50
1548471637,103,103
1548475458,58,58
1548485769,140,140
1548488272,32,32
1548495506,80,80
1548498768,41,41
1548502350,58,58
1548507373,67,67
1548512184,101,101
1548519851,81,81
1548526367,72,72
1548529246,34,34
1548533791,46,46
1548539559,72,72
1548543652,68,68
1548548675,59,59
1548554443,87,87
1548558034,49,49
1548564268,70,70
1548568829,54,54
1548576274,98,98
1548581559,58,58
1548594972,215,215
1548598579,34,34
1548603391,60,60
1548606509,42,42
1548617767,126,126
1548635562,153,153
1548649609,152,152
1548663378,143,143
1548664482,30,30
1548699631,358,358
1548700587,9,9
1548714055,104,104
1548748577,353,353
1548750755,38,38
1548754589,101,101
1548765860,143,143
1548776654,85,85
1548790331,97,97
1548801871,95,95
1548811934,104,104
1548816994,51,51
