DateTime,AddedIPs,RemovedIPs
1548111646,2,0
1548118846,0,3
1548122448,0,1
1548126053,3,0
1548129659,0,1
1548133238,1,1
1548144038,4,0
1548147640,0,3
1548151239,0,1
1548154839,0,1
1548158436,0,2
1548162036,1,1
1548165634,1,0
1548169238,1,0
1548172836,0,1
1548176437,0,1
1548180037,1,0
1548183640,0,1
1548187242,27,2
1548190844,1,0
1548194447,2,1
1548198045,1,1
1548205256,1,3
1548216036,1,0
1548219639,1,0
1548226836,0,2
1548230440,1,1
1548234041,1,0
1548241243,0,1
1548248439,1,1
1548255635,1,0
1548259238,0,1
1548262835,1,1
1548270037,1,3
1548273646,1,0
1548280837,2,1
1548291634,0,6
1548295244,1,1
1548298837,1,1
1548302446,3,3
1548306042,1,0
1548309643,3,1
1548313246,2,1
1548316848,2,0
1548320448,0,1
1548324048,2,2
1548334846,1,0
1548338443,1,0
1548342048,1,0
1548349253,1,0
1548352846,2,0
1548356442,1,1
1548360043,0,1
1548367246,0,1
1548370847,1,0
1548374445,3,0
1548381646,1,0
1548385239,0,1
1548388843,0,1
1548396041,0,1
1548406846,6,1
1548410443,6,0
1548414043,3,3
1548417652,5,1
1548421243,9,1
1548424843,8,1
1548428447,2,1
1548432039,2,0
1548439248,1,0
1548442841,0,2
1548446445,25,1
1548453652,3,2
1548457255,0,3
1548460853,3,0
1548464445,2,0
1548471652,1,0
1548482451,1,1
1548489654,1,0
1548496848,1,1
1548500449,1,0
1548504049,0,2
1548529253,0,11
1548532847,0,15
1548536449,0,1
1548540049,2,0
1548543651,1,2
1548550847,0,6
1548554455,1,4
1548558052,1,1
1548561652,5,0
1548565251,3,2
1548568850,1,1
1548572454,1,3
1548576049,1,2
1548579648,0,1
1548583246,0,1
1548590453,2,1
1548594047,1,1
1548604847,0,1
1548608443,1,1
1548612047,5,2
1548615642,2,1
1548619246,1,0
1548622841,1,1
1548626457,0,3
1548630043,2,3
1548633646,1,1
1548637247,0,2
1548640849,1,1
1548644453,3,0
1548651644,0,1
1548655242,0,3
1548658850,0,1
1548666048,1,0
1548669644,0,1
1548676843,1,1
1548680447,1,2
1548684043,0,1
1548687653,1,1
1548691249,0,1
1548694847,1,4
1548702048,1,0
1548705647,1,2
1548709237,1,1
1548716444,1,2
1548720044,21,0
1548727249,1,0
1548730843,1,3
1548734454,0,1
1548738044,0,2
1548748853,0,1
1548756047,0,3
1548759650,1,0
1548763245,8,0
1548766847,4,0
1548770450,5,0
1548774049,3,1
1548777646,2,1
1548781254,2,1
1548784847,1,2
1548788448,0,1
1548792045,3,20
1548795640,0,1
1548799244,1,2
1548802850,0,1
1548810054,1,0
1548813645,1,0
1548817249,0,1
1548820842,2,1
1548828039,1,2
1548835245,1,1
1548838841,1,0
1548846062,1,0
1548849653,1,1
1548860460,0,1
1548871243,1,0
1548878452,1,2
1548882041,2,0
1548889240,1,2
1548896447,1,1
1548900050,1,0
1548903645,3,0
1548907253,3,0
1548910851,2,0
1548914452,2,0
1548918052,2,0
1548921660,0,1
1548925245,4,0
1548928849,2,0
1548932449,1,0
1548939659,0,3
1548943250,1,1
1548946852,0,2
1548950454,1,0
1548954055,4,2
1548957648,5,5
1548961248,1,2
1548968448,0,3
1548972051,0,2
1548975651,2,3
1548979251,2,0
1548982853,28,0
1548986445,1,0
1548990053,3,1
1548993645,1,0
1548997252,1,0
1549011646,2,3
1549015248,2,2
1549018847,0,4
1549022453,2,2
1549026045,3,8
1549029647,2,4
