DateTime,AddedIPs,RemovedIPs
1547499632,2,0
1547503244,3,0
1547514045,1,0
1547517636,1,1
1547524850,1,0
1547528440,1,1
1547535649,1,2
1547546443,2,0
1547550035,1,0
1547553638,0,1
1547560841,3,2
1547568032,1,2
1547575232,1,1
1547578846,1,1
1547582442,2,0
1547586062,0,1
1547589658,2,2
1547593253,0,1
1547600432,2,0
1547611233,0,2
1547614845,0,1
1547618431,0,2
1547622041,1,0
1547625641,2,0
1547629239,0,1
1547632836,0,1
1547643632,0,1
1547654438,0,1
1547658042,0,1
1547665242,2,1
1547672436,0,5
1547676046,0,3
1547679636,0,2
1547686837,1,0
1547694042,0,1
1547697639,1,1
1547704842,0,1
1547708443,0,1
1547748040,0,1
1547751637,0,1
1547755237,0,1
1547762439,0,1
1547766039,0,1
1547773238,0,1
1547780436,1,0
1547784031,0,1
1547787638,1,0
1547798442,1,1
1547802039,1,1
1547805634,1,1
1547812835,0,1
1547820036,0,1
1547823638,0,1
1547827233,0,1
1547834436,0,1
1547838038,1,0
1547841642,1,0
1547848839,3,2
1547852440,1,0
1547856034,0,1
1547859637,1,1
1547866837,2,0
1547870435,9,0
1547874032,1,0
1547884843,4,2
1547888430,1,1
1547892032,0,1
1547899234,0,2
1547902832,1,0
1547910034,0,3
1547913639,0,1
1547917239,0,1
1547924440,12,1
1547928042,17,1
1547931641,0,1
1547938841,0,2
1547942433,1,2
1547946041,1,2
1547960433,2,1
1547971235,1,0
1547974833,1,0
1548003645,0,1
1548007235,0,1
1548010842,0,2
1548014434,1,0
1548021642,0,1
1548028838,1,0
1548032435,1,1
1548039638,1,0
1548054033,3,0
1548061231,2,1
1548064834,2,2
1548068441,0,4
1548072034,1,2
1548075639,1,10
1548079232,2,14
1548082835,1,0
1548086447,2,0
1548097237,0,1
1548100850,2,0
1548104442,1,1
1548111644,1,0
1548118838,0,3
1548122445,0,1
1548129659,0,1
1548133237,1,1
1548144032,4,0
1548151233,0,1
1548154834,0,1
1548158431,0,1
1548162032,1,1
1548169238,1,0
1548172833,0,1
1548180035,1,0
1548183636,0,1
1548187238,27,2
1548190838,1,0
1548194447,2,1
1548198042,0,1
1548205252,0,3
1548226832,0,1
1548230439,0,1
1548234041,1,0
1548248435,1,0
1548255633,1,0
1548259234,0,1
1548262835,0,1
1548270037,1,3
1548273639,1,0
1548280832,1,1
1548291633,0,6
1548295244,1,0
1548298834,0,1
1548302436,0,3
1548309636,1,1
1548313241,0,1
1548320439,0,1
1548324048,0,2
1548342043,1,0
1548352842,1,0
1548356442,1,0
1548360055,0,1
1548367241,0,1
1548370845,1,0
1548374443,3,0
1548381646,1,0
1548385239,0,1
1548388835,0,1
1548396047,0,1
1548406841,6,1
1548410438,6,0
1548414038,3,3
1548417651,5,0
1548421237,8,0
1548424838,8,1
1548428443,2,0
1548432037,2,0
1548439242,1,0
1548442841,0,1
1548446445,25,1
1548453648,3,2
1548457244,0,2
1548460849,3,0
1548464443,2,0
1548482448,1,1
1548489651,1,0
1548496842,1,1
1548500440,1,0
1548504041,0,1
1548529248,0,11
1548532843,0,15
1548536446,0,1
1548540043,2,0
1548543645,1,2
1548550843,0,6
1548554454,1,4
1548558049,0,1
1548561645,3,0
1548565250,0,1
1548572447,0,2
1548576043,0,1
1548579641,0,1
1548612040,4,0
1548615639,1,0
1548619240,1,0
1548622840,1,0
1548630043,2,0
1548633641,1,1
1548637241,0,1
1548640839,1,0
1548644440,2,0
1548666044,1,0
1548669642,0,1
1548676844,0,1
1548680443,1,2
1548684039,0,1
1548687646,1,1
1548691242,0,1
1548694844,0,3
1548702048,1,0
1548705641,1,2
1548709231,1,1
1548716438,1,2
1548720038,21,0
1548727245,1,0
1548730838,1,0
1548734453,0,1
1548748844,0,2
1548756045,0,3
1548759646,1,0
1548770444,1,0
1548774050,0,1
1548777641,1,1
1548784846,1,2
1548788443,0,1
1548792039,2,20
1548795633,0,1
1548799240,1,2
1548810048,1,0
1548813639,1,0
1548820833,2,0
1548828035,1,2
1548835243,1,0
1548838835,1,0
1548849653,0,2
1548860456,0,1
1548878446,1,2
1548882036,1,0
1548889233,1,1
1548900043,1,0
1548928841,1,0
1548943242,1,0
1548954045,2,0
