DateTime,AddedIPs,RemovedIPs
1542600202,0,1
1542621840,1,0
1542636237,1,0
1542639817,2,1
1542643427,1,0
1542654223,1,0
1542672223,1,0
1542675836,0,1
1542679421,3,0
1542690191,1,0
1542697395,0,1
1542708190,0,2
1542711802,1,0
1542726193,0,1
1542737028,2,0
1542751447,0,2
1542801791,2,0
1542809041,1,0
1542812654,0,1
1542830597,0,1
1542834228,2,0
1542845037,1,0
1542848645,0,2
1542859434,1,0
1542866646,1,0
1542877420,1,0
1542881040,0,1
1542895408,1,0
1542902621,0,1
1542906222,0,1
1542931427,1,0
1542956645,1,0
1542963846,0,1
1542967431,0,1
1543010640,0,1
1543014239,0,1
1543017856,0,1
1543021434,1,0
1543025023,1,1
1543028626,1,0
1543032214,0,1
1543046630,1,0
1543068221,0,1
1543071835,0,1
1543089849,0,1
1543111422,1,0
1543129449,1,0
1543147440,1,1
1543169049,0,1
1543172599,0,2
1543183415,1,0
1543187041,1,1
1543190666,2,2
1543197849,1,0
1543201454,2,0
1543212218,1,1
1543219425,2,0
1543230243,0,1
1543233816,0,1
1543241074,3,0
1543248242,0,1
1543251835,1,0
1543259037,0,1
1543262664,0,1
1543266249,2,0
1543273441,1,1
1543280632,1,3
1543316626,0,1
1543320219,0,1
1543334630,1,1
1543338219,0,2
1543341840,0,1
1543345422,0,1
1543352629,0,3
1543377827,0,1
1543403048,0,1
1543406648,1,1
1543421029,1,0
1543439041,0,1
1543449829,1,1
1543453435,1,0
1543457028,1,0
1543467824,0,1
1543482208,0,1
1543485826,0,1
1543493055,0,3
1543496637,0,1
1543500247,0,1
1543503851,0,2
1543511033,0,1
1543521847,1,0
1543529040,0,1
1543532625,2,2
1543536228,2,0
1543565044,1,0
1543579439,1,0
1543583059,1,0
1543611827,1,0
1543619054,2,1
1543626192,0,1
1543629816,0,1
1543651459,0,1
1543669445,1,0
1543680229,1,0
1543683840,1,0
1543701851,0,1
1543716242,1,0
1543734232,1,0
1543748634,0,1
1543755834,1,0
1543763028,0,1
1543770263,2,0
1543781062,1,0
1543784634,1,0
1543795436,1,0
1543806246,2,0
1543813404,1,0
1543842246,0,1
1543856625,0,1
1543871043,0,1
1543874653,0,2
1543878198,0,1
1543885420,0,1
1543892622,0,1
1543899812,1,0
1543907044,0,1
1543910630,0,1
1543939462,0,1
1543943046,1,0
1543953829,0,1
1543964664,1,0
1544025796,1,0
1544058236,0,2
1544076215,1,0
1544079824,0,1
1544115786,0,1
1544126637,1,0
1544133799,1,0
1544137402,0,1
1544148190,0,1
1544158997,2,0
1544176986,0,1
1544191396,0,2
1544198590,0,1
1544202207,0,1
1544216589,0,1
1544220185,1,0
1544292196,1,0
1544317424,1,0
1544349835,0,1
1544378616,0,2
1544396641,0,1
1544418240,0,1
1544429026,2,0
1544436226,1,2
1544443415,2,1
1544447040,1,0
1544450615,1,0
1544461404,1,1
1544465017,0,1
1544468632,0,1
1544475834,1,0
1544533415,0,1
1544547814,0,2
1544551419,0,2
1544554998,0,1
1544565826,1,0
1544573000,0,1
1544576635,2,0
1544583840,0,1
1544591001,0,1
1544598243,1,0
1544609007,0,1
1544616213,1,0
1544630604,0,3
1544634224,0,1
1544645024,0,1
1544673802,1,0
1544680998,1,0
1544717062,2,0
1544731433,1,1
1544738575,0,1
1544752973,1,0
1544763789,2,0
1544785411,0,1
1544814213,1,0
1544817831,1,0
1544825051,0,1
1544893387,1,0
1544900665,1,0
1544918639,0,1
1544933010,0,1
1544976223,1,0
1544990614,1,0
1545001386,0,1
1545030211,0,1
1545051827,0,1
1545062576,0,1
1545066221,0,1
1545069835,1,0
1545102211,0,1
1545127400,0,1
1545134621,0,1
1545188626,1,0
1545192195,0,1
1545224630,0,1
1545239059,0,1
1545264232,2,2
1545267809,0,1
1545278617,0,2
1545282179,0,1
1545328982,0,1
1545350625,0,1
1545357820,1,0
1545372248,0,2
1545393850,1,0
1545397447,1,0
1545404610,1,1
1545419013,1,0
1545422632,0,1
1545429822,1,1
1545433430,0,1
1545480228,1,1
1545508993,0,2
1545527039,1,0
1545584596,1,0
1545613421,1,0
1545699838,1,0
1545710604,1,0
1545732215,1,0
1545746635,1,0
1545753816,1,0
1545789816,0,1
1545811410,0,1
1545869025,1,1
1545876221,1,0
1545879841,0,2
1545887015,1,0
1545962623,0,1
1546005827,0,1
1546009444,0,1
1546059776,1,0
1546063411,1,0
1546085008,1,0
1546106614,2,0
1546121018,1,0
1546153421,1,0
1546175051,1,0
1546221839,0,1
1546283015,1,0
1546301035,0,1
1546308217,0,1
1546315421,2,0
1546326189,2,0
1546351419,0,1
1546358630,0,1
1546394587,1,0
1546401823,0,1
1546434211,0,1
1546481014,1,0
1546491833,0,2
1546499034,1,0
1546502641,0,1
1546520606,0,1
1546527866,0,1
1546560252,0,1
1546578253,0,1
1546614255,1,0
1546639428,1,0
1546643004,2,0
1546646620,1,0
1546682596,0,1
1546697031,1,0
1546722236,1,0
1546725822,0,1
1546736647,1,0
1546747396,1,0
1546765401,0,1
1546779826,0,1
1546801377,1,0
1546815817,1,0
1546819397,1,0
1546887859,0,1
1546891453,1,0
1546895056,1,1
1546905784,2,0
1546941799,1,1
1546945446,0,3
1546963423,1,0
1546981453,0,1
1546985022,0,1
1546988650,0,2
1546995794,1,0
1547082260,0,1
1547197468,0,1
1547204672,0,1
1547222627,1,0
1547240613,0,1
1547244221,0,1
1547247790,1,1
1547255035,0,1
1547265801,0,1
1547276650,0,1
1547323379,1,0
1547327034,0,1
1547330597,1,0
1547352230,0,1
1547406201,1,1
1547427764,0,2
1547489008,1,0
1547499830,1,0
1547503432,1,0
1547546624,0,1
1547550229,0,1
1547557437,0,1
1547582645,0,1
1547615050,1,0
1547622254,0,1
1547651037,1,1
1547654637,1,0
1547661834,0,1
1547672640,0,2
1547676226,0,1
1547679842,2,1
1547694263,1,0
1547697836,1,0
1547701458,1,0
1547708655,1,0
1547726637,0,1
1547769845,0,1
1547802250,0,1
1547816647,1,0
1547838222,1,1
1547841829,0,1
1547856230,2,0
1547859840,1,0
1547863428,1,0
1547866995,2,0
1547870643,0,1
1547874226,1,0
1547906653,1,0
1547953383,1,0
1547982214,1,0
1547985833,1,0
1548014610,2,0
1548029062,0,1
1548032658,0,1
1548036258,1,1
1548072240,0,1
1548079417,1,0
1548090275,1,0
1548097446,1,0
1548108258,1,1
1548115435,0,1
1548126271,2,0
1548129856,1,0
1548176633,1,1
1548180221,0,1
1548183834,3,0
1548198236,1,0
1548216186,0,1
1548234244,1,0
1548263033,0,1
1548284662,1,0
1548288253,0,2
1548291841,1,0
1548327809,0,1
1548338579,2,0
1548353008,1,0
1548356605,2,0
1548363836,1,0
1548367394,2,0
1548381809,1,0
1548385402,1,0
1548439448,2,0
1548443067,0,1
1548457434,1,0
1548468216,1,0
1548500665,0,1
1548507876,0,1
1548511473,1,1
1548515083,0,1
1548518660,1,0
1548522269,1,0
1548547446,1,0
1548583421,1,0
1548590659,0,1
1548601439,1,0
1548615819,0,1
1548619436,0,1
1548666235,0,1
1548705819,0,2
1548770679,2,0
1548774258,1,0
1548777852,0,2
1548788635,0,1
1548806623,1,0
1548813852,1,0
1548849836,1,0
1548857013,0,1
1548885830,0,1
1548896650,0,1
1548914671,1,0
1548921856,1,0
1548929057,1,0
1548939883,1,0
1548943457,0,1
1548961451,1,0
1548972245,0,1
1548990258,0,1
1549026200,0,1
1549040592,0,1
1549076649,0,1
1549105446,1,0
1549123457,0,2
1549127053,0,1
1549144997,1,0
1549152223,1,1
1549159424,1,0
1549173818,1,0
1549199040,1,0
1549206250,1,1
1549209803,1,1
1549231429,1,0
1549242275,0,1
1549263850,0,1
1549271009,0,1
1549285440,0,1
1549289010,1,1
1549292621,0,1
1549299834,1,1
1549335830,1,0
1549343045,2,0
1549346642,1,0
1549382671,0,5
1549386263,0,1
1549389809,0,1
1549397044,2,0
1549418643,0,1
1549451016,1,0
1549454615,0,1
1549494246,0,1
1549497850,1,0
1549523084,2,0
1549530255,1,0
1549548264,0,1
1549569834,1,0
1549595054,2,0
1549598654,2,0
1549602257,2,0
1549609453,0,1
1549641861,0,1
1549652642,2,0
1549663464,1,0
1549677813,1,0
1549710230,1,0
1549721022,0,1
1549731868,2,0
1549735447,0,2
1549739059,1,0
1549775037,0,2
1549807432,0,1
1549818241,0,1
1549829033,0,1
1549843446,0,1
1549847052,1,0
1549850634,0,1
1549890234,0,1
1549893862,1,2
1549904616,0,1
1549908219,0,1
1549940632,0,1
1549962227,0,4
1549991048,0,1
1550001867,0,1
1550005443,0,1
1550009041,1,0
1550019826,2,0
1550059437,1,0
1550070225,0,1
1550081031,0,1
1550084619,0,1
1550091812,1,0
1550099023,1,0
1550102620,0,1
1550106229,2,1
1550113420,1,0
1550120619,1,0
1550131431,0,1
1550156612,1,0
1550214232,1,0
1550217855,0,1
1550246695,0,1
1550271818,1,0
1550311446,2,0
1550329423,1,0
1550343841,0,1
1550358207,0,1
1550372648,1,0
1550390647,0,1
