DateTime,Entries,UniqueIPs
1542600202,58,58
1542621840,59,59
1542636237,60,60
1542639817,61,61
1542643427,62,62
1542654223,63,63
1542672223,64,64
1542675836,63,63
1542679421,66,66
1542690191,67,67
1542697395,66,66
1542708190,64,64
1542711802,65,65
1542726193,64,64
1542737028,66,66
1542751447,64,64
1542801791,66,66
1542809041,67,67
1542812654,66,66
1542830597,65,65
1542834228,67,67
1542845037,68,68
1542848645,66,66
1542859434,67,67
1542866646,68,68
1542877420,69,69
1542881040,68,68
1542895408,69,69
1542902621,68,68
1542906222,67,67
1542931427,68,68
1542956645,69,69
1542963846,68,68
1542967431,67,67
1543010640,66,66
1543014239,65,65
1543017856,64,64
1543021434,65,65
1543025023,65,65
1543028626,66,66
1543032214,65,65
1543046630,66,66
1543068221,65,65
1543071835,64,64
1543089849,63,63
1543111422,64,64
1543129449,65,65
1543147440,65,65
1543169049,64,64
1543172599,62,62
1543183415,63,63
1543187041,63,63
1543190666,63,63
1543197849,64,64
1543201454,66,66
1543212218,66,66
1543219425,68,68
1543230243,67,67
1543233816,66,66
1543241074,69,69
1543248242,68,68
1543251835,69,69
1543259037,68,68
1543262664,67,67
1543266249,69,69
1543273441,69,69
1543280632,67,67
1543316626,66,66
1543320219,65,65
1543334630,65,65
1543338219,63,63
1543341840,62,62
1543345422,61,61
1543352629,58,58
1543377827,57,57
1543403048,56,56
1543406648,56,56
1543421029,57,57
1543439041,56,56
1543449829,56,56
1543453435,57,57
1543457028,58,58
1543467824,57,57
1543482208,56,56
1543485826,55,55
1543493055,52,52
1543496637,51,51
1543500247,50,50
1543503851,48,48
1543511033,47,47
1543521847,48,48
1543529040,47,47
1543532625,47,47
1543536228,49,49
1543565044,50,50
1543579439,51,51
1543583059,52,52
1543611827,53,53
1543619054,54,54
1543626192,53,53
1543629816,52,52
1543651459,51,51
1543669445,52,52
1543680229,53,53
1543683840,54,54
1543701851,53,53
1543716242,54,54
1543734232,55,55
1543748634,54,54
1543755834,55,55
1543763028,54,54
1543770263,56,56
1543781062,57,57
1543784634,58,58
1543795436,59,59
1543806246,61,61
1543813404,62,62
1543842246,61,61
1543856625,60,60
1543871043,59,59
1543874653,57,57
1543878198,56,56
1543885420,55,55
1543892622,54,54
1543899812,55,55
1543907044,54,54
1543910630,53,53
1543939462,52,52
1543943046,53,53
1543953829,52,52
1543964664,53,53
1544025796,54,54
1544058236,52,52
1544076215,53,53
1544079824,52,52
1544115786,51,51
1544126637,52,52
1544133799,53,53
1544137402,52,52
1544148190,51,51
1544158997,53,53
1544176986,52,52
1544191396,50,50
1544198590,49,49
1544202207,48,48
1544216589,47,47
1544220185,48,48
1544292196,49,49
1544317424,50,50
1544349835,49,49
1544378616,47,47
1544396641,46,46
1544418240,45,45
1544429026,47,47
1544436226,46,46
1544443415,47,47
1544447040,48,48
1544450615,49,49
1544461404,49,49
1544465017,48,48
1544468632,47,47
1544475834,48,48
1544533415,47,47
1544547814,45,45
1544551419,43,43
1544554998,42,42
1544565826,43,43
1544573000,42,42
1544576635,44,44
1544583840,43,43
1544591001,42,42
1544598243,43,43
1544609007,42,42
1544616213,43,43
1544630604,40,40
1544634224,39,39
1544645024,38,38
1544673802,39,39
1544680998,40,40
1544717062,42,42
1544731433,42,42
1544738575,41,41
1544752973,42,42
1544763789,44,44
1544785411,43,43
1544814213,44,44
1544817831,45,45
1544825051,44,44
1544893387,45,45
1544900665,46,46
1544918639,45,45
1544933010,44,44
1544976223,45,45
1544990614,46,46
1545001386,45,45
1545030211,44,44
1545051827,43,43
1545062576,42,42
1545066221,41,41
1545069835,42,42
1545102211,41,41
1545127400,40,40
1545134621,39,39
1545188626,40,40
1545192195,39,39
1545224630,38,38
1545239059,37,37
1545264232,37,37
1545267809,36,36
1545278617,34,34
1545282179,33,33
1545328982,32,32
1545350625,31,31
1545357820,32,32
1545372248,30,30
1545393850,31,31
1545397447,32,32
1545404610,32,32
1545419013,33,33
1545422632,32,32
1545429822,32,32
1545433430,31,31
1545480228,31,31
1545508993,29,29
