DateTime,AddedIPs,RemovedIPs
1548165851,2,1
1548169478,1,3
1548173058,1,0
1548176652,2,0
1548180238,3,2
1548183852,1,0
1548191029,0,1
1548194630,1,3
1548198254,2,1
1548201869,3,1
1548205470,1,2
1548212638,2,1
1548216204,1,2
1548219854,1,1
1548223450,0,1
1548227046,4,1
1548234265,2,0
1548241482,0,1
1548245070,2,1
1548248643,0,2
1548252268,2,1
1548255797,1,0
1548259441,3,4
1548263051,2,1
1548266659,3,2
1548270305,2,1
1548273901,2,2
1548277457,1,1
1548281016,1,0
1548288271,0,2
1548295487,2,0
1548299087,1,3
1548302674,0,1
1548306259,0,1
1548309860,2,1
1548324234,0,1
1548327828,1,1
1548331488,1,7
1548338598,4,0
1548342233,5,1
1548345841,4,1
1548349426,7,0
1548353028,2,1
1548356623,3,0
1548360208,3,5
1548363857,5,0
1548367415,1,2
1548371038,4,2
1548374621,1,1
1548378247,2,2
1548381830,1,3
1548385419,2,2
1548392649,4,3
1548396268,0,1
1548407091,0,2
1548417870,1,0
1548421478,1,1
1548425073,1,3
1548428685,3,1
1548432228,1,1
1548435865,2,1
1548439470,6,2
1548446673,3,0
1548450158,0,1
1548453828,2,0
1548457454,2,0
1548464674,1,1
1548468237,2,0
1548475429,1,1
1548482663,0,1
1548486262,4,2
1548489872,0,2
1548497046,0,5
1548500689,0,1
1548507896,1,2
1548511493,1,0
1548518680,3,0
1548525858,0,2
1548529459,4,2
1548533053,1,1
1548536676,2,2
1548540273,1,1
1548543874,1,3
1548547466,0,2
1548551074,0,1
1548554671,2,1
1548558288,0,1
1548561892,1,1
1548565479,0,1
1548576278,1,0
1548579874,1,0
1548583439,1,1
1548587068,1,1
1548590682,0,1
1548594264,0,1
1548597845,1,2
1548601458,0,1
1548605034,0,1
1548608634,3,2
1548619456,1,2
1548623036,0,1
1548626641,1,2
1548630268,2,2
1548633855,3,1
1548637467,0,3
1548644667,0,1
1548648291,1,3
1548651841,1,1
1548659055,1,4
1548673450,1,0
1548677067,1,0
1548684306,2,2
1548687873,0,1
1548691448,0,2
1548702235,0,1
1548705839,0,2
1548709398,2,0
1548713034,2,2
1548716628,0,3
1548720225,1,3
1548723857,3,2
1548727439,0,1
1548731035,2,1
1548734638,1,0
1548741833,2,2
1548752689,1,1
1548756248,1,0
1548759806,0,1
1548767052,1,1
1548770697,1,0
1548774275,1,0
1548781472,2,0
1548785066,1,2
