DateTime,AddedIPs,RemovedIPs
1544353433,0,1
1544357045,0,1
1544378616,0,1
1544382234,0,1
1544385841,1,0
1544389426,0,1
1544396641,2,0
1544411032,0,1
1544425426,0,1
1544454198,1,0
1544461404,1,1
1544468632,2,0
1544479444,1,0
1544504622,0,1
1544508246,1,1
1544511837,0,1
1544540603,1,0
1544551417,2,0
1544565825,1,1
1544576635,1,0
1544580234,1,0
1544583840,1,0
1544591001,1,0
1544612627,1,0
1544623420,1,0
1544645025,1,0
1544655865,0,1
1544659422,0,1
1544684595,1,0
1544702619,2,0
1544706227,2,1
1544713419,1,1
1544727845,1,1
1544738575,0,1
1544749370,0,1
1544760155,1,0
1544770999,1,0
1544810626,1,0
1544821465,0,1
1544825051,0,2
1544828621,1,0
1544846655,1,0
1544871799,0,1
1544922224,1,0
1544940262,0,1
1544958229,1,0
1544972617,1,0
1544976223,1,0
1544990614,1,0
1545015828,1,1
1545044591,0,1
1545048256,1,0
1545055438,0,1
1545059019,1,1
1545066221,0,1
1545069835,1,0
1545073414,1,2
1545076994,1,0
1545080593,0,1
1545084196,1,1
1545094980,1,0
1545156198,0,1
1545167016,1,0
1545181426,0,2
1545185025,1,1
1545188625,0,1
1545195805,0,1
1545221019,0,1
1545228231,0,1
1545239059,1,0
1545242625,1,0
1545264232,0,1
1545285805,0,1
1545311002,0,2
1545318225,0,1
1545325403,1,0
1545332625,1,1
1545336206,0,1
1545343392,1,0
1545347026,2,0
1545350627,1,1
1545357821,1,0
1545361433,1,0
1545365049,2,1
1545368665,4,1
1545375818,0,1
1545451416,0,1
1545462251,0,1
1545465829,1,0
1545469412,1,0
1545476594,2,0
1545483845,1,0
1545491030,1,0
1545527040,0,1
1545545003,1,0
1545548635,1,0
1545552212,1,0
1545566590,1,0
1545577421,1,0
1545591812,1,0
1545602589,0,1
1545606204,1,1
1545620607,0,1
1545649430,1,0
1545656636,1,0
1545663807,0,1
1545674638,1,2
1545689025,0,1
1545707021,0,1
1545725008,4,0
1545739394,1,1
1545743016,1,0
1545746636,1,0
1545761021,1,0
1545771801,0,1
1545782632,0,1
1545789816,0,1
1545807809,0,1
1545829404,1,0
1545840253,2,0
1545843824,0,1
1545847415,0,2
1545869026,1,0
1545879843,0,1
1545883383,0,1
1545887016,1,0
1545908590,1,0
1545923008,1,0
1545933843,1,0
1545948202,0,1
1545951845,0,2
1545966254,0,1
1545973438,0,4
1545994978,1,0
1546005829,1,0
1546009446,1,0
1546070566,0,1
1546074221,0,2
1546081397,0,2
1546088588,0,1
1546095790,0,1
1546099432,2,0
1546103013,1,0
1546106615,2,1
1546110201,1,0
1546124630,1,0
1546149838,1,1
1546153422,1,1
1546156993,1,1
1546164198,1,0
1546171385,1,1
1546175051,1,1
1546178634,1,0
1546182243,0,1
1546189421,1,1
1546196633,0,1
1546229028,1,0
1546232623,2,0
1546236225,1,1
1546254187,1,0
1546261412,0,1
1546264995,1,0
1546272213,0,1
1546275780,1,0
1546279399,1,1
1546308218,1,0
1546311828,0,1
1546329819,0,3
1546340629,0,1
1546344230,0,2
1546351420,0,1
1546369400,0,1
1546376608,1,1
1546391005,0,1
1546394588,1,0
1546416206,0,1
1546427002,1,0
1546430593,1,0
1546434211,0,1
1546437815,1,0
1546445017,1,2
1546448602,0,1
1546463055,1,0
1546470248,0,2
1546473848,0,1
1546506225,1,0
1546531447,0,1
1546538608,1,0
1546553020,0,1
1546563870,1,0
1546585419,0,1
1546592617,1,0
1546603444,0,1
1546607036,0,1
1546632231,1,0
1546643005,1,0
1546704226,0,2
1546707820,0,1
1546711421,0,1
1546714999,0,1
1546729434,0,1
1546743811,0,1
1546758205,0,1
1546761813,2,1
1546765401,1,0
1546769026,1,1
1546783432,0,1
1546790605,0,1
1546833816,1,0
1546837436,0,1
1546859060,3,1
1546869846,1,0
1546873442,1,1
1546880604,2,0
1546884227,0,1
1546887860,1,0
1546891453,0,1
1546913003,1,1
1546927464,1,0
1546985022,0,2
1546992234,1,0
1547025292,1,0
1547031776,0,1
1547053417,0,1
1547060633,1,0
1547075035,0,1
1547082260,1,0
1547096653,1,1
1547107453,0,1
1547129032,0,1
1547136211,1,0
1547139858,2,0
1547143465,2,1
1547147031,1,0
1547197468,0,1
1547226171,1,0
1547237024,1,1
1547247790,0,2
1547255037,1,0
1547273042,0,1
1547280232,1,0
1547283839,1,0
1547363026,1,0
1547366611,1,1
1547373829,0,2
1547377416,0,1
1547413407,1,0
1547445834,0,1
1547463791,0,3
1547467418,0,1
1547474631,0,1
1547478230,0,1
1547485445,0,1
1547492589,0,1
1547503434,1,0
1547521404,1,0
1547532264,0,1
1547564606,1,0
1547571862,1,0
1547575442,1,0
1547582646,2,0
1547586248,1,0
1547589823,1,0
1547597060,0,1
1547618638,0,1
1547629462,0,1
1547633038,0,1
1547661835,1,0
1547665465,0,1
1547669053,1,0
1547676227,1,0
1547687058,1,0
1547690634,1,0
1547712245,3,0
1547715852,0,1
1547719426,1,0
1547726637,1,0
1547741032,0,1
1547748242,0,2
1547751864,0,1
1547755440,1,0
1547863428,1,1
1547881428,1,0
1547888625,1,1
1547949842,1,0
1547971398,0,1
1547974993,0,1
1548000214,1,0
1548003847,1,0
1548018235,0,1
1548036260,0,1
1548039858,1,0
1548047061,1,0
1548057825,0,1
1548068643,1,0
1548075847,1,0
1548097450,1,0
1548101076,1,0
1548104646,1,1
1548108258,0,1
1548129856,0,1
1548147815,1,0
1548169461,0,1
1548173041,1,0
1548176634,2,0
1548180220,0,1
1548187428,0,1
1548201851,0,1
1548212619,1,1
1548219835,1,0
1548273886,1,0
1548280997,0,1
1548291841,0,1
1548317026,0,2
1548331472,0,1
1548367394,1,0
1548392628,0,1
1548396246,1,0
1548428666,0,1
1548446653,0,1
1548457435,0,1
1548468216,1,0
1548471829,0,1
1548486245,1,0
1548489852,0,1
1548493450,1,0
1548504248,1,0
1548507876,1,0
