DateTime,AddedIPs,RemovedIPs
1548602129,40,47
1548605744,88,49
1548609346,73,32
1548612935,48,57
1548616544,54,45
1548620137,51,49
1548623752,87,39
1548627365,201,52
1548630954,121,41
1548634567,72,55
1548638147,67,56
1548641746,47,46
1548645349,48,51
1548648950,33,69
1548652555,29,41
1548656158,40,56
1548659740,38,65
1548663331,27,57
1548666957,35,63
1548670551,31,57
1548674155,35,45
1548677738,43,61
1548681335,38,54
1548684937,38,44
1548688552,103,67
1548692156,125,46
1548695767,85,70
1548699372,59,49
1548702971,50,49
1548706564,89,49
1548710160,71,55
1548713771,62,49
1548717385,53,38
1548720966,29,40
1548724562,46,54
1548728172,41,38
1548731766,44,36
1548735375,34,45
1548738976,35,43
1548742559,40,60
1548746164,40,43
1548749755,47,40
1548753359,41,52
1548756957,41,52
1548760554,40,39
1548764155,35,50
1548767748,43,99
1548771340,44,52
1548774935,43,76
1548778545,35,35
1548782142,51,43
1548785741,34,50
1548789345,37,42
1548792939,32,35
1548796522,38,42
1548800131,90,44
1548803742,130,59
1548807352,106,58
1548810940,67,52
1548814542,55,35
1548818147,55,45
1548821752,31,50
1548825340,37,44
1548828948,43,62
1548832560,42,53
1548836150,26,59
1548839757,32,38
1548843352,53,43
1548846959,67,54
1548850568,52,48
1548854154,39,47
1548857769,39,34
1548861342,22,41
1548864953,118,52
1548868561,119,63
1548872176,94,45
1548875790,88,44
1548879365,53,110
1548882969,49,49
1548886566,51,37
1548890173,35,40
1548893771,39,48
1548897359,32,54
1548900953,44,44
1548904558,34,33
1548908150,22,49
1548911753,35,49
1548915348,34,99
1548918944,27,44
1548922547,41,54
1548926143,36,51
1548929743,36,49
1548933338,36,60
1548936926,38,35
1548940545,32,50
1548944131,23,49
1548947718,20,56
1548951333,61,53
1548954934,63,52
1548958542,60,46
1548962134,43,35
1548965720,66,40
1548969340,93,37
1548972941,71,44
1548976537,55,45
1548980140,52,35
1548983731,41,35
1548987340,42,43
1548990942,42,47
1548994545,38,49
1548998146,34,43
1549001744,44,52
1549005349,40,55
1549008957,40,43
1549012556,48,50
1549016170,41,43
1549019773,29,39
1549023372,58,32
1549026982,69,29
1549030589,67,45
1549034182,54,48
1549037770,55,50
1549041372,104,43
1549044983,94,38
1549048592,155,35
1549052190,56,53
1549055802,42,46
1549059394,62,40
1549063000,35,40
1549066587,26,25
1549070189,42,44
1549073780,34,32
1549077372,55,31
1549080969,49,42
1549084581,54,36
1549088169,54,55
1549091761,43,33
1549095376,38,34
1549098976,26,32
1549102575,30,44
1549106166,30,47
1549109775,49,39
1549113376,64,43
1549116960,101,55
1549120567,75,44
1549124171,56,39
1549127741,55,42
1549131363,68,42
1549134974,62,36
1549138588,62,39
1549142213,47,40
1549145806,58,32
1549149405,42,31
1549153009,34,30
1549156595,36,45
1549160199,29,38
1549163812,37,35
1549167403,33,36
1549170997,30,35
1549174605,38,36
1549178216,31,35
1549181809,30,42
1549185402,45,47
1549188976,28,40
1549192571,38,42
1549196181,37,33
1549199781,47,40
1549203371,30,50
1549206973,28,47
1549210571,27,50
1549214165,37,63
1549217769,72,40
1549221363,79,50
1549224966,55,42
1549228573,90,48
1549232166,129,52
1549235779,79,42
1549239372,54,54
1549242973,49,52
1549246579,49,43
1549250167,31,53
1549253771,32,40
1549257382,30,44
1549260982,30,59
1549264575,26,56
1549268187,42,43
1549271790,48,54
1549275378,36,50
1549278973,30,43
1549282588,41,58
1549286179,37,62
1549289783,80,53
1549293381,75,61
1549297004,60,56
1549300601,232,53
1549304208,129,41
1549307801,120,56
1549311409,84,62
1549315007,86,44
1549318605,87,39
1549322206,62,55
1549325811,61,34
1549329413,66,40
1549332998,73,52
1549336607,59,49
1549340201,62,51
1549343809,66,43
1549347414,73,47
1549351001,61,39
1549354605,44,58
1549358206,60,59
1549361808,57,53
1549365394,56,46
1549368982,49,59
1549372589,35,45
1549376196,40,52
1549379786,57,50
1549383397,40,58
1549386992,28,60
1549390597,38,39
1549394214,43,59
1549397807,43,44
1549401419,30,47
1549405003,53,51
1549408611,34,37
1549412202,45,61
1549415806,52,49
1549419416,41,56
1549423017,34,57
1549426618,34,43
1549430212,43,59
1549433815,40,53
1549437412,55,49
1549441029,30,47
1549444608,44,59
1549448204,43,39
1549451807,42,54
1549455391,34,53
1549458990,49,43
1549462602,50,52
1549466195,42,46
1549469802,37,44
1549473402,36,60
1549476998,35,41
1549480589,42,39
1549484198,32,48
1549487787,40,48
1549491388,34,46
1549494976,30,31
1549498583,40,44
1549502173,30,43
1549505771,30,42
1549509367,31,42
1549512981,43,37
1549516570,32,43
1549520174,32,37
1549523782,31,35
1549527375,33,44
1549530980,40,40
1549534579,48,43
1549538178,33,42
1549541773,47,48
1549545369,39,47
1549548975,43,60
1549552577,74,38
1549556172,75,39
1549559780,51,60
1549563373,25,54
1549566983,30,44
1549570585,34,39
1549574191,43,34
1549577786,27,46
1549581379,35,40
1549584980,40,50
1549588572,46,39
1549592179,38,51
1549595787,38,41
1549599383,39,38
1549602979,51,46
1549606594,27,53
1549610196,38,46
1549613790,31,61
1549617405,40,52
1549621005,40,51
1549624579,56,40
1549628190,53,36
1549631793,48,58
1549635392,39,47
1549638988,30,45
1549642584,38,57
1549646195,37,69
1549649787,51,59
1549653376,35,134
1549656979,35,49
1549660577,24,50
1549664175,40,61
1549667771,24,53
1549671384,29,36
1549674973,29,46
1549678553,31,47
1549682173,37,55
1549685761,41,56
1549689365,24,50
1549692962,37,77
1549696561,34,51
1549700148,39,54
1549703773,35,31
1549707363,33,36
1549710964,40,41
1549714565,40,54
1549718163,41,46
1549721771,33,51
1549725364,48,48
1549728961,41,45
1549732568,38,40
1549736177,37,42
1549739783,33,47
1549743415,323,52
1549747028,444,52
1549750641,244,44
1549754243,158,49
1549757849,83,40
1549761447,48,48
1549765043,45,42
1549768637,51,41
1549772236,45,39
1549775837,44,35
1549779450,42,42
1549783071,40,43
1549786657,57,32
1549790246,59,48
1549793852,62,34
1549797457,73,37
1549801059,144,44
1549804656,86,60
1549808259,51,37
1549811846,54,32
1549815465,81,41
1549819037,40,54
1549822642,49,58
1549826251,39,44
1549829849,52,58
1549833459,72,53
1549837048,44,41
1549840649,47,39
1549844253,34,49
1549847847,52,52
1549851454,46,52
1549855044,42,49
1549858635,38,44
1549862237,48,39
1549865845,52,41
1549869453,56,60
1549873045,51,60
1549876663,56,73
1549880257,67,53
1549883858,60,55
1549887451,44,56
1549891050,59,46
1549894644,99,49
1549898251,111,66
1549901820,70,51
1549905430,140,62
1549909066,120,51
1549912669,72,59
1549916270,119,60
1549919855,56,52
1549923476,65,52
1549927056,79,63
1549930670,61,72
1549934272,65,63
1549937865,39,74
1549941468,48,62
1549945067,31,65
1549948654,49,81
1549952251,52,86
1549955834,48,104
1549959434,44,116
1549963034,50,160
1549966631,57,230
1549970218,38,298
