DateTime,Entries,UniqueIPs
1548602129,14663,14663
1548605744,14702,14702
1548609346,14743,14743
1548612935,14734,14734
1548616544,14743,14743
1548620137,14745,14745
1548623752,14793,14793
1548627365,14942,14942
1548630954,15022,15022
1548634567,15039,15039
1548638147,15050,15050
1548641746,15051,15051
1548645349,15048,15048
1548648950,15012,15012
1548652555,15000,15000
1548656158,14984,14984
1548659740,14957,14957
1548663331,14927,14927
1548666957,14899,14899
1548670551,14873,14873
1548674155,14863,14863
1548677738,14845,14845
1548681335,14829,14829
1548684937,14823,14823
1548688552,14859,14859
1548692156,14938,14938
1548695767,14953,14953
1548699372,14963,14963
1548702971,14964,14964
1548706564,15004,15004
1548710160,15020,15020
1548713771,15033,15033
1548717385,15048,15048
1548720966,15037,15037
1548724562,15029,15029
1548728172,15032,15032
1548731766,15040,15040
1548735375,15029,15029
1548738976,15021,15021
1548742559,15001,15001
1548746164,14998,14998
1548749755,15005,15005
1548753359,14994,14994
1548756957,14983,14983
1548760554,14984,14984
1548764155,14969,14969
1548767748,14913,14913
1548771340,14905,14905
1548774935,14872,14872
1548778545,14872,14872
1548782142,14880,14880
1548785741,14864,14864
1548789345,14859,14859
1548792939,14856,14856
1548796522,14852,14852
1548800131,14898,14898
1548803742,14969,14969
1548807352,15017,15017
1548810940,15032,15032
1548814542,15052,15052
1548818147,15062,15062
1548821752,15043,15043
1548825340,15036,15036
1548828948,15017,15017
1548832560,15006,15006
1548836150,14973,14973
1548839757,14967,14967
1548843352,14977,14977
1548846959,14990,14990
1548850568,14994,14994
1548854154,14986,14986
1548857769,14991,14991
1548861342,14972,14972
1548864953,15038,15038
1548868561,15094,15094
1548872176,15143,15143
1548875790,15187,15187
1548879365,15130,15130
1548882969,15130,15130
1548886566,15144,15144
1548890173,15139,15139
1548893771,15130,15130
1548897359,15108,15108
1548900953,15108,15108
1548904558,15109,15109
1548908150,15082,15082
1548911753,15068,15068
1548915348,15003,15003
1548918944,14986,14986
1548922547,14973,14973
1548926143,14958,14958
1548929743,14945,14945
1548933338,14921,14921
1548936926,14924,14924
1548940545,14906,14906
1548944131,14880,14880
1548947718,14844,14844
1548951333,14852,14852
1548954934,14863,14863
1548958542,14877,14877
1548962134,14885,14885
1548965720,14911,14911
1548969340,14967,14967
1548972941,14994,14994
1548976537,15004,15004
1548980140,15021,15021
1548983731,15027,15027
1548987340,15026,15026
1548990942,15021,15021
1548994545,15010,15010
1548998146,15001,15001
1549001744,14993,14993
1549005349,14978,14978
1549008957,14975,14975
1549012556,14973,14973
1549016170,14971,14971
1549019773,14961,14961
1549023372,14987,14987
1549026982,15027,15027
1549030589,15049,15049
1549034182,15055,15055
1549037770,15060,15060
1549041372,15121,15121
1549044983,15177,15177
1549048592,15297,15297
1549052190,15300,15300
1549055802,15296,15296
1549059394,15318,15318
1549063000,15313,15313
1549066587,15314,15314
1549070189,15312,15312
1549073780,15314,15314
1549077372,15338,15338
1549080969,15345,15345
1549084581,15363,15363
1549088169,15362,15362
1549091761,15372,15372
1549095376,15376,15376
1549098976,15370,15370
1549102575,15356,15356
1549106166,15339,15339
1549109775,15349,15349
1549113376,15370,15370
1549116960,15416,15416
1549120567,15447,15447
1549124171,15464,15464
1549127741,15477,15477
1549131363,15503,15503
1549134974,15529,15529
1549138588,15552,15552
1549142213,15559,15559
1549145806,15585,15585
1549149405,15596,15596
1549153009,15600,15600
1549156595,15591,15591
1549160199,15582,15582
1549163812,15584,15584
1549167403,15581,15581
1549170997,15576,15576
1549174605,15578,15578
1549178216,15574,15574
1549181809,15562,15562
1549185402,15560,15560
1549188976,15548,15548
1549192571,15544,15544
1549196181,15548,15548
1549199781,15555,15555
1549203371,15535,15535
1549206973,15516,15516
1549210571,15493,15493
1549214165,15467,15467
1549217769,15499,15499
1549221363,15528,15528
1549224966,15541,15541
1549228573,15583,15583
1549232166,15660,15660
1549235779,15697,15697
1549239372,15697,15697
1549242973,15694,15694
1549246579,15700,15700
1549250167,15678,15678
1549253771,15670,15670
1549257382,15656,15656
1549260982,15627,15627
1549264575,15597,15597
1549268187,15596,15596
1549271790,15590,15590
1549275378,15576,15576
1549278973,15563,15563
1549282588,15546,15546
1549286179,15521,15521
1549289783,15548,15548
1549293381,15562,15562
1549297004,15566,15566
1549300601,15745,15745
1549304208,15833,15833
1549307801,15897,15897
1549311409,15919,15919
1549315007,15961,15961
1549318605,16009,16009
1549322206,16016,16016
1549325811,16043,16043
1549329413,16069,16069
1549332998,16090,16090
1549336607,16100,16100
1549340201,16111,16111
1549343809,16134,16134
1549347414,16160,16160
1549351001,16182,16182
1549354605,16168,16168
1549358206,16169,16169
1549361808,16173,16173
1549365394,16183,16183
1549368982,16173,16173
1549372589,16163,16163
1549376196,16151,16151
1549379786,16158,16158
1549383397,16140,16140
1549386992,16108,16108
1549390597,16107,16107
