DateTime,AddedIPs,RemovedIPs
1548602256,28,34
1548605862,75,36
1548609478,60,24
1548613072,36,41
1548616686,44,39
1548620280,38,37
1548623902,67,32
1548627503,181,36
1548631097,106,33
1548634708,67,42
1548638299,57,41
1548641881,39,44
1548645481,41,37
1548649098,33,60
1548652692,27,30
1548656295,28,46
1548659854,29,54
1548663457,25,46
1548667091,33,45
1548670686,27,47
1548674276,23,33
1548677857,36,47
1548681454,29,43
1548685080,35,39
1548688690,82,61
1548692278,109,35
1548695946,77,51
1548699563,55,39
1548703150,50,29
1548706797,72,38
1548710357,68,48
1548713947,50,43
1548717564,49,33
1548721137,23,38
1548724743,33,39
1548728331,32,33
1548731914,37,28
1548735561,31,34
1548739145,25,36
1548742701,27,50
1548746305,33,32
1548749890,31,31
1548753488,37,34
1548757094,35,43
1548760679,31,36
1548764285,30,42
1548767876,34,82
1548771470,33,44
1548775047,30,60
1548778648,29,23
1548782271,45,28
1548785874,27,35
1548789458,24,30
1548793032,21,31
1548796626,35,35
1548800247,77,33
1548803857,115,49
1548807457,96,51
1548811056,61,35
1548814662,52,30
1548818257,43,43
1548821872,31,42
1548825466,38,29
1548829067,39,47
1548832690,36,48
1548836260,16,43
1548839880,23,31
1548843490,41,37
1548847092,50,46
1548850717,45,38
1548854282,37,41
1548857893,24,21
1548861465,19,30
1548865099,97,41
1548868722,104,46
1548872328,83,34
1548875949,79,37
1548879524,53,92
1548883124,43,42
1548886725,37,29
1548890322,28,36
1548893900,30,36
1548897489,30,43
1548901086,37,36
1548904678,29,26
1548908284,17,42
1548911868,29,41
1548915476,31,88
1548919063,27,37
1548922662,33,43
1548926279,30,44
1548929859,31,35
1548933456,22,43
1548937024,35,27
1548940653,26,41
1548944244,22,34
1548947838,13,42
1548951445,51,43
1548955057,59,40
1548958666,44,33
1548962256,36,32
1548965854,60,32
1548969471,82,31
1548973061,65,38
1548976661,50,34
1548980273,34,26
1548983857,33,29
1548987459,37,28
1548991073,29,34
1548994676,36,39
1548998278,23,30
1549001856,29,47
1549005489,30,46
1549009101,32,32
1549012705,32,41
1549016343,34,34
1549019973,19,28
1549023582,47,31
1549027214,54,20
1549030811,51,32
1549034385,40,34
1549038056,44,46
1549041578,94,29
1549045144,83,33
1549048799,61,29
1549052361,47,40
1549055956,33,38
1549059578,49,27
1549063174,29,26
1549066752,21,21
1549070344,30,36
1549073936,31,25
1549077506,42,27
1549081107,39,34
1549084714,44,28
1549088308,50,38
1549091893,32,23
1549095510,29,24
1549099100,20,26
1549102703,25,32
1549106305,23,37
1549109907,38,34
1549113510,51,38
1549117086,87,42
1549120687,66,37
1549124298,48,27
1549127847,44,37
1549131460,51,31
1549135099,56,30
1549138749,43,31
1549142406,39,32
1549146020,40,24
1549149592,33,19
1549153190,33,23
1549156764,22,35
1549160397,19,38
1549163980,28,30
1549167583,27,29
1549171205,25,28
1549174811,30,29
1549178396,24,27
1549181977,20,35
1549185555,34,36
1549189119,19,31
1549192722,28,33
1549196317,36,28
1549199912,39,35
1549203501,19,39
1549207095,20,37
1549210682,17,42
1549214288,29,48
1549217888,60,33
1549221480,70,37
1549225080,48,35
1549228680,74,31
1549232292,123,45
1549235886,57,33
1549239479,56,44
1549243088,42,40
1549246693,39,37
1549250273,25,44
1549253889,26,31
1549257496,28,40
1549261104,20,47
1549264699,25,49
1549268325,34,39
1549271928,41,47
1549275524,28,44
1549279117,26,30
1549282732,34,48
1549286321,25,49
1549289929,68,47
1549293531,57,51
1549297123,47,49
1549300743,123,42
1549304342,67,38
1549307929,69,49
1549311545,50,43
1549315135,57,41
1549318738,62,34
1549322343,50,46
1549325928,49,24
1549329525,45,36
1549333116,59,42
1549336730,43,41
1549340316,48,45
1549343913,53,34
1549347526,64,37
1549351107,49,37
1549354711,31,42
1549358311,51,48
1549361913,43,43
1549365493,38,41
1549369081,43,42
1549372692,25,31
1549376300,31,41
1549379880,40,37
1549383504,31,44
1549387105,23,58
1549390700,31,27
1549394352,30,43
1549397967,30,34
1549401536,24,41
1549405128,44,43
1549408727,27,28
1549412319,31,51
1549415953,38,40
1549419547,34,43
1549423146,24,41
1549426751,25,38
1549430347,34,51
1549433955,26,44
1549437556,42,42
1549441259,26,36
1549444734,39,43
1549448319,32,32
1549451933,36,43
1549455517,21,48
1549459121,37,36
1549462726,40,40
1549466313,33,36
1549469909,31,37
1549473521,29,40
1549477115,24,33
1549480703,30,32
1549484297,21,39
1549487895,32,40
1549491497,30,33
1549495085,23,27
1549498672,26,35
1549502266,20,35
1549505862,22,37
1549509454,26,37
1549513078,34,28
1549516676,22,38
1549520272,25,33
1549523880,26,36
1549527477,23,34
1549531080,32,35
1549534674,35,38
1549538297,29,36
1549541879,31,38
1549545468,30,41
1549549069,30,48
1549552688,65,25
1549556263,70,28
1549559883,35,54
1549563484,22,45
1549567082,21,37
1549570696,21,35
1549574300,35,29
1549577898,20,35
1549581482,23,36
1549585077,27,37
1549588685,34,31
1549592284,31,44
1549595887,23,35
1549599485,34,30
1549603114,36,35
1549606699,24,42
1549610320,28,36
1549613902,23,44
1549617523,35,39
1549621168,29,42
1549624708,45,37
1549628342,48,28
1549631923,39,49
1549635513,27,41
1549639119,24,40
1549642695,24,44
1549646323,26,51
1549649897,39,49
1549653489,28,42
1549657089,26,41
1549660686,20,43
1549664295,31,50
1549667889,22,47
1549671502,25,32
1549675084,27,42
1549678669,26,45
1549682268,28,41
1549685877,30,43
1549689482,22,44
1549693092,23,68
1549696681,22,48
1549700261,34,42
1549703895,30,22
1549707480,25,31
1549711079,31,31
1549714679,32,40
1549718273,32,39
1549721885,27,44
1549725469,35,43
1549729073,30,37
1549732695,28,37
1549736303,26,32
1549739916,26,35
1549743580,290,30
1549747193,411,44
1549750835,249,36
1549754437,160,35
1549758010,76,34
1549761610,40,38
1549765195,44,26
1549768811,48,31
1549772370,39,35
1549775995,38,29
1549779598,31,35
1549783335,33,33
1549786825,46,25
1549790401,46,41
1549794009,49,25
1549797662,64,28
1549801215,121,40
1549804827,79,52
1549808404,47,27
1549811998,39,26
1549815595,72,34
1549819160,34,40
1549822769,34,50
1549826389,27,36
1549830000,49,47
1549833587,63,42
1549837180,34,36
1549840778,31,31
1549844393,28,42
1549847990,31,37
1549851587,45,43
1549855164,33,38
1549858768,26,37
1549862364,30,37
1549866016,39,35
1549869615,44,58
1549873200,37,51
1549876826,48,67
1549880428,49,44
1549884031,53,45
1549887630,34,50
1549891233,44,37
1549894792,72,43
1549898384,91,54
1549901925,62,41
1549905564,116,46
1549909212,112,32
1549912814,71,42
1549916414,100,45
1549919998,48,40
1549923616,54,44
1549927228,67,62
1549930819,45,50
1549934428,39,46
1549938019,31,64
1549941611,34,51
1549945227,26,55
1549948777,40,71
1549952364,43,86
1549955940,36,93
1549959561,32,108
1549963151,46,151
1549966758,46,205
1549970363,28,256
1549973957,34,64
1549977532,35,25
1549981137,31,25
1549984722,51,33
1549988335,75,22
1549991940,70,22
1549995533,53,34
1549999155,42,29
1550002738,38,39
1550006359,108,20
1550009946,78,38
1550013548,55,26
1550017138,30,38
1550020755,37,38
1550024337,31,38
1550027917,40,35
1550031530,34,24
1550035134,60,34
1550042388,114,71
1550046045,29,28
1550049810,32,43
1550053420,34,34
1550056965,50,44
1550060399,46,29
1550064010,32,45
1550067616,32,55
1550071210,35,34
1550074803,26,30
1550078414,57,30
1550082028,68,28
1550085684,49,36
1550089339,47,27
1550093042,66,34
1550096746,45,38
1550100276,35,23
1550103917,36,27
1550107522,42,28
1550110980,49,23
1550114472,44,31
1550118038,34,33
1550121716,33,22
1550125297,25,31
1550128864,31,35
1550132471,30,26
1550136159,34,38
1550139704,46,41
1550143356,38,40
1550146827,33,49
1550150499,35,46
1550154058,31,34
1550157571,21,48
1550161125,48,52
1550164760,48,34
1550168370,40,17
1550171968,50,29
1550175564,85,31
1550179191,142,31
1550182805,111,23
1550186422,88,29
1550190004,67,28
1550193612,65,32
1550197204,53,37
1550200793,36,22
1550204376,37,39
1550207995,41,36
1550211590,42,31
1550215184,50,33
1550218791,44,28
1550222404,30,33
1550225995,37,34
1550229604,47,49
1550233186,36,37
1550236775,40,57
1550240378,29,26
1550243976,41,28
1550247582,33,23
1550251185,43,26
1550254780,30,40
1550258387,35,28
1550261995,27,26
1550265593,38,16
1550269205,34,25
1550272802,23,25
1550276398,31,24
1550280001,29,30
1550283609,38,27
1550287207,31,32
1550290782,27,22
1550294400,33,23
1550297993,35,25
1550301590,31,21
1550305208,33,35
1550308813,33,28
1550312402,27,18
1550316078,35,27
1550319631,37,32
1550323261,39,32
1550326834,47,22
1550330446,29,37
1550334036,28,31
1550337645,36,30
1550341247,29,22
1550344865,31,22
1550348434,38,26
1550352089,37,37
1550355681,81,46
1550359285,52,18
1550362867,37,35
1550366465,32,29
1550370040,40,33
1550373627,41,30
1550377231,43,38
1550380891,32,33
1550384408,36,35
1550387984,25,29
1550391600,48,35
1550395195,40,37
1550398791,41,30
1550402376,36,37
