DateTime,AddedIPs,RemovedIPs
1548540326,2,3
1548543934,2,2
1548547533,6,0
1548551131,1,2
1548554736,2,0
1548558323,1,2
1548561932,0,1
1548569140,1,4
1548572762,2,0
1548576330,2,3
1548579933,4,3
1548583541,3,3
1548587147,1,2
1548590746,2,2
1548594334,1,2
1548597950,0,1
1548601535,0,5
1548605140,1,2
1548608748,2,1
1548612342,0,1
1548615953,2,1
1548619546,1,1
1548623150,2,3
1548630344,0,2
1548633950,0,1
1548637560,1,1
1548641137,1,1
1548644737,3,1
1548648351,1,1
1548651940,1,1
1548655543,4,1
1548659129,1,1
1548662753,1,4
1548666350,3,2
1548669942,4,5
1548673538,2,1
1548677143,3,2
1548680730,0,2
1548684337,2,0
1548687943,3,0
1548691542,1,0
1548695158,2,2
1548698786,1,3
1548702379,2,0
1548705982,0,3
1548709580,0,4
1548713175,1,0
1548716759,14,0
1548720357,5,2
1548723951,1,3
1548727561,0,2
1548731148,2,4
1548734755,2,2
1548738356,1,0
1548745555,1,1
1548749142,3,0
1548756342,1,0
1548759938,1,3
1548763545,2,2
1548767143,4,0
1548770738,3,6
1548774333,1,3
1548777928,0,2
1548781537,4,2
1548785151,1,2
1548792328,3,3
1548795919,2,0
1548799530,1,0
1548803138,0,4
1548806735,0,1
1548810330,1,0
1548813940,0,4
1548817541,1,5
1548821151,1,4
1548824736,2,1
1548828341,0,2
1548831943,1,5
1548835534,1,2
1548839139,1,9
1548842738,35,1
1548846347,6,2
1548849953,13,5
1548853541,3,1
1548857146,1,2
1548860745,2,1
1548864342,3,1
1548867953,2,2
1548871563,0,1
1548875169,1,2
1548878751,1,1
1548882351,1,1
1548885952,0,2
1548889555,2,1
1548893140,0,1
1548896757,10,11
1548900336,1,1
1548907537,1,1
1548911133,3,0
1548914734,5,2
1548918347,2,1
1548925535,2,1
1548929131,1,4
1548932732,2,1
1548936320,1,1
1548939938,0,3
1548943529,1,1
1548947121,1,3
1548950736,2,6
1548954333,2,2
1548957933,2,7
1548961536,1,2
1548972331,0,2
1548975933,2,5
1548979547,0,2
1548983197,6,1
1548993937,1,1
1548997533,2,0
1549001126,1,4
1549004746,1,3
1549008344,2,4
1549011960,1,2
1549015556,2,2
1549019158,2,3
1549022759,1,1
1549026354,1,2
1549029962,0,2
1549033558,3,1
1549037203,2,0
1549040746,17,4
1549044351,13,3
1549047966,5,4
1549051558,6,4
1549055162,1,0
1549058763,4,4
1549062425,12,1
1549065966,0,4
1549069553,2,2
1549073155,0,1
1549080338,2,0
1549083954,0,1
1549087542,0,7
1549091134,1,5
1549094750,3,2
1549098343,1,2
1549101946,1,2
1549105537,0,2
1549109141,0,2
1549112756,5,4
1549116331,2,1
1549119934,2,3
1549123536,2,7
1549127122,7,6
1549130717,3,2
1549134338,3,2
1549137964,2,3
1549141563,0,2
1549145162,1,3
1549148755,1,2
1549152362,2,4
1549155964,1,3
1549159555,0,2
1549163149,0,2
1549166760,0,1
1549170354,1,0
1549173962,0,1
1549177560,0,3
1549181157,0,1
1549184755,1,2
1549188351,2,2
1549191944,1,1
1549195540,1,5
1549199147,1,2
1549202736,3,2
1549206335,2,0
1549213531,2,6
1549217128,6,1
1549220732,5,2
1549224390,0,1
1549227935,3,1
1549231535,2,1
1549238726,1,0
1549242332,1,0
1549245928,0,1
1549249524,1,3
1549253148,1,1
1549256730,1,3
1549260355,0,5
1549263936,1,2
1549267539,2,1
1549271151,2,2
1549274743,1,4
1549278353,1,2
1549281946,0,2
1549285541,2,4
1549289147,1,3
1549292755,2,1
1549296345,0,1
1549299951,3,1
1549303552,1,0
1549307145,2,4
1549310744,0,1
1549314353,1,1
1549317951,3,6
1549321545,0,11
1549325148,4,3
1549328746,2,3
1549332341,2,1
1549335941,0,1
1549339536,3,2
1549343137,0,3
1549346739,0,1
1549350335,2,1
1549353943,1,3
1549357534,1,0
1549361143,1,1
1549364734,19,2
1549368339,12,1
1549371938,15,2
1549375532,7,1
1549379126,6,1
1549382732,8,0
1549386333,9,2
1549389936,8,3
1549393541,5,2
