DateTime,AddedIPs,RemovedIPs
1548631891,58,118
1548633675,98,91
1548639072,79,99
1548642671,50,73
1548646303,70,106
1548649911,99,126
1548653495,89,79
1548657066,95,87
1548658874,78,67
1548662467,96,66
1548667901,82,64
1548671465,84,68
1548676877,79,61
1548678702,76,58
1548682267,85,81
1548685882,68,74
1548689497,64,62
1548693110,79,82
1548696672,85,67
1548700269,116,80
1548703872,120,88
1548705686,89,88
1548712875,95,103
1548714665,67,116
1548716561,68,129
1548721867,84,104
1548725497,81,83
1548729064,66,88
1548732666,74,94
1548738067,106,114
1548739887,81,92
1548743472,83,68
1548748868,85,59
1548750675,66,80
1548754271,96,61
1548756139,61,96
1548757915,143,105
1548761476,92,65
1548765081,60,67
1548768665,110,72
1548774128,130,112
1548781343,76,81
1548783152,95,80
1548786667,96,83
1548788502,92,83
1548795671,90,97
1548797467,98,91
1548801065,76,125
1548804665,66,127
1548808287,83,115
1548810112,115,83
1548813682,152,172
1548815493,50,81
1548819100,75,88
1548822674,98,119
1548826269,98,111
1548829899,98,68
1548833492,78,50
1548835273,76,76
1548840679,81,52
1548844310,88,54
1548847873,87,67
1548851466,72,76
1548855077,84,84
1548860475,77,81
1548862309,80,79
1548867678,165,139
1548874887,100,85
1548876698,117,82
1548882142,79,90
1548883905,83,106
1548887470,80,108
1548891064,75,134
1548894664,90,101
1548898270,96,97
1548903666,63,81
1548905474,72,100
1548909067,108,140
1548912680,87,85
1548916276,91,63
1548919886,87,66
1548925302,71,86
1548928873,105,67
1548932521,96,67
1548936152,139,124
1548941539,104,78
1548945065,83,95
1548946878,95,80
1548952286,81,78
1548957758,101,80
1548959468,96,97
1548964867,99,76
1548966681,116,98
1548970284,97,125
1548975730,124,206
1548981071,135,108
1548984667,135,107
1548988270,76,92
1548993686,88,103
1548995484,104,106
1548999073,99,103
1549002682,100,64
1549006278,88,76
1549009874,74,65
1549013485,101,74
1549017081,87,55
1549018878,83,74
1549026149,91,68
1549027881,105,92
1549031477,97,87
1549035104,107,77
1549038663,93,91
1549042305,86,90
1549044088,216,267
1549045868,291,274
1549047677,274,291
1549051267,312,295
1549053093,106,81
1549056670,107,97
1549062069,77,112
1549063874,77,129
1549069283,100,91
1549072876,92,86
1549074666,66,99
1549078283,75,97
1549081883,93,114
1549087271,83,88
1549089142,102,72
1549090873,72,102
1549094473,151,117
1549096308,83,63
1549099865,77,70
1549103475,87,63
1549107088,88,92
1549110703,114,74
1549114292,102,79
1549117985,80,89
1549119676,94,85
1549125068,90,77
1549126883,104,92
