DateTime,AddedIPs,RemovedIPs
1549770616,2,0
1549772415,13,0
1549773315,88,0
1549774216,3,0
1549778115,9,0
1549778715,3,0
1549779616,2,0
1549780816,19,0
1549784116,1,0
1549787715,3,0
1549788615,2,0
1549789516,180,0
1549790715,2,0
1549796417,31,0
1549796716,68,0
1549797615,1,0
1549797915,36,0
1549798219,10,0
1549798816,20,1
1549800316,19,0
1549801516,2,0
1549802416,9,0
1549803018,94,0
1549804816,2,0
1549807815,49,0
1549812315,2,0
1549813815,2,0
1549814416,43,0
1549814715,23,0
1549815615,26,0
1549816515,29,0
1549820115,4,0
1549821015,6,0
1549822216,3,0
1549822816,6,0
1549823417,6,0
1549824015,1,0
1549826716,6,0
1549827616,1,0
1549828215,3,0
1549829115,4,0
1549830015,52,0
1549831215,2,0
1549842017,45,0
1549843515,1,0
1549846216,9,0
1549847116,2,0
1549848016,55,0
1549850115,48,0
1549850716,8,0
1549851616,1,0
1549852515,2,0
1549853416,2,0
1549854017,10,0
1549854615,1,0
1549855515,5,0
1549861814,8,0
1549862116,10,0
1549862716,12,0
1549863316,13,0
1549864217,61,0
1549867815,2,0
1549869016,10,0
1549869614,1,0
1549870515,1,0
1549871415,22,1
1549872016,10,1
1549876816,10,0
1549878016,0,1
1549878914,0,1
1549879516,9,1
1549880717,59,0
1549881315,1,0
1549881615,0,3
1549883415,1,0
1549884315,0,1
1549885215,2,0
1549885816,4,0
1549887015,31,0
1549887916,3,0
1549888515,2,0
1549888816,0,1
1549891216,1,0
1549893315,4,0
1549894815,18,0
1549895715,17,0
1549896915,28,1
1549897815,2,0
1549898415,17,0
1549899315,4,0
1549900515,2,0
1549900816,25,0
1549901715,0,1
1549902316,28,0
1549902915,8,0
1549903516,0,1
1549903817,1,0
1549904716,0,1
1549905916,1,0
1549906515,3,0
1549907715,2,0
1549909515,36,1
1549910115,1,0
1549912816,1,0
1549914016,29,0
1549915216,5,0
1549915515,7,0
1549916414,6,0
1549917315,5,0
1549918216,3,0
1549918817,27,0
1549924515,2,0
1549925416,3,0
1549926016,1,0
1549926616,1,0
1549932617,88,0
1549933816,0,1
1549935315,3,0
1549938915,2,0
1549939815,52,2
1549940115,12,1
1549940715,3,0
1549942216,4,0
1549942816,2,0
1549943416,3,0
1549947315,49,0
