DateTime,AddedIPs,RemovedIPs
1545386137,2,0
1545386441,2,3
1545387037,7,0
1545387338,2,0
1545387638,1,0
1545388238,5,0
1545388539,2,0
1545388837,3,0
1545389437,6,0
1545389737,6,0
1545390039,2,0
1545390339,2,0
1545390638,3,0
1545390935,3,0
1545391234,3,0
1545391536,6,0
1545391834,2,0
1545392137,1,0
1545392431,1,0
1545392739,2,0
1545393034,2,0
1545393338,4,0
1545393637,1,0
1545393938,4,0
1545394239,2,0
1545394835,7,0
1545395134,2,0
1545395438,5,0
1545395733,2,0
1545396038,2,0
1545396638,5,0
1545396929,1,0
1545397238,2,0
1545397539,5,0
1545397835,2,0
1545398138,1,0
1545398438,4,0
1545398739,4,0
1545399036,1,0
1545399337,5,0
1545399638,2,0
1545400236,5,1
1545400839,8,0
1545401138,4,0
1545401437,5,0
1545401738,3,0
1545402036,3,0
1545402630,7,0
1545402939,4,0
1545403238,3,0
1545403839,3,0
1545404139,1,0
1545404436,3,0
1545404738,4,0
1545405038,3,0
1545405334,4,0
1545405635,6,0
1545405933,5,0
1545406234,3,0
1545406537,2,0
1545406834,2,0
1545407438,9,1
1545407733,3,0
1545408037,1,0
1545408634,8,0
1545408936,3,0
1545409539,7,0
1545410438,2,0
1545411038,4,0
1545411638,6,0
1545412238,8,0
1545412538,3,0
1545412838,4,0
1545413439,8,0
1545413735,2,0
1545414038,2,0
1545414637,5,0
1545414933,8,0
1545415239,3,0
1545415539,1,0
1545415838,1,0
1545416135,4,0
1545416438,1,0
1545416737,1,0
1545417036,6,0
1545417636,4,0
1545417934,1,0
1545418235,164,0
1545418536,3,0
1545418838,3,0
1545419136,1,0
1545419435,4,0
1545419736,3,0
1545420038,4,0
1545420638,9,0
1545420937,4,0
1545421238,3,0
1545421834,8,0
1545422136,3,0
1545422439,2,0
1545422738,5,0
1545423335,24,0
1545423638,6,0
1545424233,7,0
1545424535,1,0
1545424829,2,0
1545425133,2,0
1545425730,1,0
1545426029,2,0
1545426634,4,0
1545426931,2,0
1545427237,3,0
1545427532,5,0
1545427840,3,0
1545428133,3,0
1545428432,3,0
1545428736,3,0
1545429336,2,0
1545429633,1,0
1545429937,2,0
1545430536,4,0
1545430837,3,0
1545431137,2,0
1545431434,3,1
1545431737,2,0
1545432036,1,0
1545432638,5,0
1545432934,3,0
1545433235,4,0
1545433538,1,0
1545493238,211,0
1545495032,1,0
1545508238,0,1
1545509437,22,0
1545510636,1,0
1545512437,1,0
1545513036,2,0
1545513934,1,0
1545514233,1,0
1545514538,1,0
1545539736,0,1
1545558027,1,0
1545558631,1,0
1545587438,1,0
1545589838,1,0
1545590434,0,1
1545606338,0,1
1545665137,0,1
1545676233,1,0
1545684635,1,0
1545732937,0,1
1545766835,0,2
1545767437,0,1
1545782731,1,0
1545816337,2,0
1545816937,3,0
1545817238,2,0
1545817836,4,0
1545818438,4,0
1545819037,6,0
1545819636,1,0
1545819938,1,0
1545820236,2,0
1545820533,4,0
1545820836,1,0
1545821434,4,0
1545821735,3,0
1545822033,3,0
