DateTime,AddedIPs,RemovedIPs
1545367832,2,0
1545368434,1,0
1545368732,1,0
1545369631,1,0
1545370234,1,0
1545370831,1,0
1545371135,2,0
1545371439,1,0
1545371737,1,0
1545372039,1,0
1545372635,1,0
1545373536,1,0
1545374130,1,0
1545374433,2,0
1545374735,1,0
1545375638,1,0
1545376237,2,0
1545377140,2,0
1545377436,4,0
1545378639,1,0
1545379238,2,0
1545379837,12,0
1545380439,2,0
1545381037,2,0
1545381937,1,0
1545382233,1,0
1545382834,1,0
1545383136,1,0
1545383437,1,0
1545384638,1,0
1545384939,2,0
1545386137,1,0
1545386442,1,0
1545387038,2,0
1545387338,1,0
1545387638,2,0
1545388238,2,0
1545388539,1,0
1545389737,1,0
1545390039,1,0
1545390340,2,0
1545390638,3,0
1545390935,1,0
1545391234,1,0
1545392739,1,0
1545393034,1,0
1545393338,1,0
1545393637,1,0
1545393938,1,0
1545394239,2,0
1545394835,4,0
1545395438,2,0
1545396038,0,1
1545396638,4,0
1545396929,4,0
1545397238,1,0
1545397539,1,0
1545398138,1,0
1545398739,2,0
1545399036,1,0
1545400236,6,0
1545400840,1,0
1545401138,1,0
1545401738,2,0
1545402037,1,0
1545402630,3,0
1545403839,2,0
1545404139,1,0
1545405038,1,0
1545405335,2,0
1545405635,2,0
1545406537,2,0
1545407438,3,0
1545407733,2,0
1545408037,1,0
1545408634,18,0
1545408936,3,0
1545409539,3,0
1545410137,3,0
1545410438,1,0
1545411038,2,0
1545411638,2,0
1545412238,1,0
1545412538,1,0
1545413439,3,0
1545414038,1,0
1545414933,2,0
1545415239,1,0
1545415838,1,0
1545416438,2,0
1545416737,1,0
1545417036,1,0
1545417636,1,0
1545419136,1,0
1545419435,1,0
1545419736,2,0
1545420039,2,0
1545421834,2,0
1545422136,3,0
1545422738,1,0
1545423335,1,1
1545423638,3,0
1545424234,1,0
1545426029,2,0
1545426634,1,0
1545427532,2,0
1545427840,1,0
1545428133,1,0
1545428432,2,0
1545428736,1,0
1545429038,1,0
1545429633,1,0
1545429937,1,0
1545430536,4,0
1545430837,1,0
1545431137,1,0
1545431434,1,0
1545431737,1,0
1545432638,3,0
1545432934,1,0
1545495032,34,0
1545520232,1,0
1545523835,34,0
1545549030,2,0
1545552933,17,0
1545564336,2,0
1545581738,10,0
1545599431,0,1
1545610537,17,0
1545626438,1,0
1545639330,8,0
1545652832,2,0
1545667838,24,0
1545675034,2,0
1545696636,26,0
1545722137,4,0
1545725737,9,0
1545754234,14,0
1545776429,0,1
1545783329,26,0
1545812134,8,0
1545840633,40,0
1545860130,1,0
1545869431,18,0
1545898235,14,0
1545909632,0,2
1545927335,20,0
1545936628,1,0
1545955830,15,0
1545963633,1,0
1545973828,1,0
1545984628,8,0
1546006238,0,1
1546012839,1,0
1546013137,2,0
1546013738,13,0
1546017939,1,0
1546042534,11,0
1546057829,0,1
1546071028,9,0
1546099833,11,0
1546100436,2,0
1546109435,3,0
1546119033,0,1
1546120537,1,0
1546128637,4,0
1546129231,1,0
1546157734,9,0
1546165239,0,1
1546186237,9,0
1546375216,97,0
1546388115,34,0
1546416615,6,0
1546445415,9,0
1546448416,1,0
1546455315,1,0
1546474215,15,0
1546503016,14,0
1546532115,16,0
1546557016,1,0
1546560617,15,0
1546562416,1,0
1546589415,14,0
1546618515,22,0
1546625115,7,0
1546638316,6,0
1546643415,1,0
1546647015,11,0
1546676116,12,0
1546704915,6,0
1546714215,0,1
1546716915,1,0
1546733416,14,0
1546762515,14,0
1546791014,8,0
1546816215,1,0
1546819815,16,0
1546828216,83,0
1546848617,14,0
1546850716,0,1
1546851017,0,3
1546858816,0,1
1546871715,0,1
1546873516,0,2
1546873815,2,0
1546877416,13,0
1546906216,21,0
1546931416,1,0
1546935015,15,0
1546963816,16,0
1546992615,22,0
1546998016,1,0
1547021415,41,0
1547022015,1,0
1547036116,1,0
1547050515,7,0
1547059215,1,0
1547079315,12,0
1547104216,1,0
1547107815,12,0
1547115615,0,1
1547118615,5,0
1547132115,0,1
1547136916,9,0
1547140516,0,1
1547162716,0,1
1547164816,1,0
1547165415,16,0
1547192716,1,0
1547194215,24,0
1547211617,0,1
1547223616,22,0
1547236216,1,0
1547252115,25,0
1547280616,15,0
1547293817,0,1
1547294417,1,0
1547309716,16,0
1547310617,0,1
1547324715,1,0
1547338515,29,0
1547367315,8,0
1547374215,0,1
1547386217,3,0
1547386515,6,0
1547386816,3,0
1547396116,11,0
1547424615,17,0
1547453416,16,0
1547471416,7,0
1547471716,12,0
1547482216,21,0
1547500817,1,0
1547509816,1,0
1547511015,20,0
1547539817,12,0
1547546418,4,0
1547547616,1,0
1547548216,0,1
1547549118,1,0
1547549417,1,0
1547565316,2,0
1547568615,33,0
1547593815,1,0
1547597715,20,0
1547622617,1,0
1547625316,1,0
1547626516,14,0
1547647217,0,1
1547655317,10,0
1547680215,1,0
1547683816,20,0
1547712617,10,0
1547718915,0,1
1547719216,0,1
1547737815,3,0
1547741715,14,0
1547743815,2,0
1547744115,4,0
1547762417,1,0
1547766617,1,0
1547769617,1,0
1547770216,16,0
1547795416,1,0
1547799016,17,0
1547803816,0,1
1547809217,3,0
1547827817,15,0
1547853016,1,0
1547856615,22,0
1547885415,9,0
1547905217,1,0
1547905817,2,0
1547906115,2,0
1547914516,9,0
1547923816,1,0
1547939716,2,0
1547943015,22,0
1547971815,10,0
1547997015,1,0
1548000915,10,0
1548029716,15,0
1548055516,1,0
1548058215,11,0
1548066617,7,0
1548066915,1,0
1548087015,15,0
1548091516,2,0
1548091816,1,0
1548093315,1,0
1548095418,0,1
1548112216,4,0
1548115816,14,0
1548144615,16,0
1548163515,1,0
1548173416,15,0
1548198616,1,0
1548202515,14,0
1548220816,0,1
1548231316,14,0
1548256516,1,0
1548260116,10,0
1548288616,25,0
1548317416,10,0
1548343816,0,1
1548346217,17,0
1548371716,1,0
1548375316,15,0
1548404116,18,0
1548423317,0,1
1548432616,19,0
1548457818,2,0
1548461417,30,0
1548490515,11,0
1548512416,1,0
1548519017,11,0
1548544516,4,0
1548547816,13,0
1548576616,12,0
1548601816,1,0
1548605416,13,0
1548630920,2,0
1548634215,8,0
1548661217,1,0
1548663016,6,0
1548663617,0,1
1548688218,1,0
1548691815,14,0
1548711316,1,0
1548719418,1,0
1548720616,6,0
1548726616,1,0
1548749417,15,0
1548778519,22,0
1548782117,1,0
1548803416,1,0
1548807016,26,0
1548835817,12,0
1548850517,0,1
1548864615,42,0
1548889815,1,0
1548893715,26,0
1548922215,6,0
1548936316,2,0
1548936615,2,0
1548937217,4,0
1548937516,6,0
1548937816,1,0
1548938115,3,1
1548938716,0,2
1548940215,0,1
1548941115,0,1
1548946816,4,0
1548947416,6,0
1548951315,34,0
1548953416,0,1
1548954016,6,0
1548954315,0,1
1548954916,0,1
1548955217,1,1
1548974115,1,0
1548979815,28,0
1548998415,0,1
1549008616,10,0
1549037715,36,0
1549048516,1,0
1549066217,19,0
1549095015,16,0
1549111216,0,2
1549111816,8,0
1549120215,1,0
1549123818,12,0
1549126515,1,0
1549136115,0,1
1549152616,28,0
1549177816,1,0
1549181416,9,0
1549199716,0,1
1549209017,1,0
1549210516,13,0
1549239015,27,0
1549264515,2,0
1549267815,30,0
1549289716,4,0
1549290617,1,0
1549291216,1,0
1549291519,2,1
1549296916,13,0
1549300816,2,0
1549325416,10,0
1549330817,1,0
1549333215,1,0
1549354216,9,0
1549379415,2,0
1549383018,9,0
1549392617,1,0
1549403116,0,1
1549411218,1,0
1549411816,6,0
1549430716,0,1
1549431017,0,1
1549440616,12,0
1549458616,1,0
1549461017,1,0
1549469417,23,0
1549494617,1,0
1549498516,28,0
1549527016,13,0
1549539916,1,0
