DateTime,AddedIPs,RemovedIPs
1541453412,256,0
1541457902,0,256
1541464203,256,0
1541479504,0,256
1541510103,0,512
1541517351,512,0
1541518224,0,256
1541525421,0,256
1541529903,0,256
1541531703,0,256
1541539827,0,256
1541549970,0,256
1541602824,0,256
1541604546,0,256
1541607320,256,0
1541617224,256,0
1541619005,0,256
1541628903,256,0
1541634032,256,0
1541679323,512,0
1541698098,256,256
1541763906,0,768
1541768437,0,256
1541780128,512,0
1541785421,256,0
1541790902,0,256
1541809839,256,0
1541866527,256,512
1541892769,256,0
1541951102,0,768
1541957228,0,256
1541960126,768,0
1541991626,256,0
1542035718,768,0
1542046503,0,512
1542058162,256,0
1542068348,512,0
1542077104,0,256
1542121239,0,768
1542125722,256,0
1542144618,0,256
1542177903,0,256
1542204903,512,0
1542205817,256,0
1542211218,0,768
1542222022,512,0
1542223821,0,256
1542231020,256,0
1542238209,256,0
1542291103,0,512
1542298525,1024,0
1542303022,256,0
1542322831,0,256
1542381325,512,0
1542383103,0,1024
1542388503,0,256
1542391223,256,0
1542410103,0,256
1542466826,0,768
1542471319,1024,256
1542483903,0,256
1542490230,256,0
1542506086,256,0
1542556840,0,512
1542557717,256,0
1542576680,256,0
1542584011,256,512
1542587431,256,0
1542641769,256,0
1542644104,0,768
1542669303,0,256
1542672903,0,256
1542726903,0,512
1542730531,512,0
1542731652,256,0
1542742219,256,0
1542783652,256,0
1542816903,0,512
1542843028,256,0
1542846634,256,0
1542899703,0,768
1542907189,512,0
1542913242,256,0
1542922223,256,0
1542928503,0,256
1542956454,256,0
1542990310,256,0
1542993303,0,768
1542994056,256,0
1542998704,0,256
1543019725,256,256
1543073429,256,0
1543077004,0,512
1543086903,256,0
1543102711,256,0
1543105830,0,256
1543159836,0,256
1543163403,768,0
1543166687,256,0
1543171503,0,256
1543181225,0,256
1543187705,0,256
1543249306,0,1024
1543275483,256,0
1543282814,256,0
1543332777,0,256
1543336489,512,0
1543370134,0,256
1543415546,768,0
1543422616,0,512
1543431604,256,0
1543435223,256,0
1543447818,256,0
1543455024,256,0
1543502197,0,256
1543505418,0,256
1543506596,256,0
1543512639,256,512
1543516219,0,256
1543526102,0,256
1543582219,512,0
1543592703,0,256
1543606214,0,256
1543667454,0,768
1543685416,0,256
1543707021,256,0
1543769306,768,0
1543780829,256,0
1543786219,256,0
1543797017,256,0
1543840224,256,0
1543854625,0,512
1543862796,1280,0
1543871707,0,512
1543879609,0,512
1543906111,0,256
1543925704,0,256
1543942808,768,0
1543948218,0,1280
1544021513,256,0
1544023814,256,0
1544028310,0,512
1544045403,256,0
1544108404,768,512
1544109858,0,256
1544122804,256,0
1544139294,256,0
1544193016,0,512
1544195704,0,256
1544202904,0,256
1544203804,256,0
1544211011,256,0
1544245227,256,0
1544289359,0,768
1544293884,512,0
1544297414,0,256
1544304615,256,0
1544311821,256,0
1544319033,256,0
1544331634,0,256
1544379944,0,512
1544384917,768,0
1544392124,0,256
1544398211,0,256
1544405416,0,256
1544454003,512,0
1544470217,0,512
1544493621,256,0
1544539616,0,256
1544541302,0,256
1544549413,1024,0
1544560217,256,0
1544562903,0,256
1544578204,256,0
1544580020,0,256
1544626062,768,0
1544628605,256,0
1544634913,0,768
1544635811,512,0
1544711969,0,1280
1544714104,0,256
1544722248,0,512
1544726083,512,0
1544736635,0,256
1544742020,256,0
1544802511,512,0
1544805210,256,0
1544811304,0,512
1544817708,256,0
1544889088,0,768
1544896003,512,0
1544902229,0,256
1544904003,0,256
1544979052,512,0
1544980628,256,0
1544988343,256,0
1545006624,256,0
1545031803,256,0
1545064220,0,768
1545066902,0,256
1545067654,1024,0
1545073206,256,0
1545075003,0,256
1545092127,0,256
1545098417,256,0
1545151611,256,0
1545154212,0,1024
1545158822,0,256
1545168606,0,256
1545174903,0,256
1545237004,0,256
1545241596,512,0
1545254113,0,256
1545255029,256,0
1545265844,256,0
1545327904,0,512
1545328829,768,0
1545348618,0,256
1545352208,256,256
1545415204,0,768
1545419056,256,0
1545499803,768,0
1545507023,0,256
1545510626,0,256
1545521679,256,0
1545585304,0,512
1545591058,768,0
1545669995,512,0
1545672617,256,0
1545677567,0,1024
1545681632,256,0
1545694310,256,0
1545756724,1024,512
1545758103,0,256
1545763593,256,0
1545768024,0,256
1545773405,0,256
1545780631,0,256
1545841830,0,1024
1545845406,1280,0
1545847220,256,0
1545867005,256,0
1545922804,512,0
1545924614,256,0
1545931809,0,1280
1545939101,256,256
1545947277,256,0
1545953417,0,512
1546007500,0,512
1546010103,0,256
1546012807,1280,0
1546019274,256,0
1546024503,0,256
1546032616,0,256
1546038022,256,0
1546077603,256,0
1546098304,0,768
1546102803,0,256
1546103704,0,256
1546104609,768,0
1546124404,0,256
1546126215,256,256
1546162213,0,256
1546188478,256,0
1546190103,0,512
1546198230,256,0
1546271469,256,0
1546274110,0,512
1546290904,0,256
1546354863,768,0
1546356609,0,512
1546440402,0,768
1546524010,512,0
1546536628,256,0
1546538429,256,0
1546610423,0,512
1546613234,512,0
1546615814,256,0
1546622561,0,256
1546647728,256,0
1546651824,256,0
1546696812,256,0
1546697704,0,512
1546702214,0,256
1546722904,0,256
1546723861,256,0
1546731015,256,0
1546739103,0,256
1546740011,256,0
1546781455,256,0
1546782304,0,256
1546810212,0,256
1546862148,512,0
1546862412,0,768
1546866904,0,256
1546875030,256,0
1546882222,256,0
1546947904,0,256
1546961429,0,512
1546969504,0,256
1546970904,768,0
1546993858,256,0
1547049620,256,0
1547056806,0,512
1547070305,256,0
1547115523,512,0
1547120704,256,0
1547127017,256,0
1547136007,0,768
1547141418,256,0
1547155818,0,256
1547200833,0,256
1547205311,0,256
1547212075,768,0
1547235904,0,256
1547242234,0,256
1547301626,256,0
1547342105,0,768
1547388935,0,512
1547391621,512,0
1547407096,256,0
1547456429,256,0
1547463737,512,0
1547465417,256,0
1547478057,0,512
1547486135,256,0
1547493752,0,256
1547542696,0,256
1547548229,256,512
1547572933,0,256
1547597144,0,256
1547604004,512,0
1547634075,0,256
1547637741,512,0
1547651852,256,0
1547689504,0,256
1547723728,0,512
1547739003,0,256
1547742138,768,0
1547751626,0,256
1547767816,256,0
1547825404,256,0
1547832181,0,256
1547860859,0,256
1547907680,512,0
1547910918,0,256
1547925704,0,256
1547932831,256,0
1548011885,256,0
1548033428,256,0
1548076526,0,768
1548084619,256,0
1548105321,0,256
1548120067,0,256
1548166211,512,0
1548177525,0,256
1548199179,512,0
1548203109,256,0
1548250218,512,0
1548252019,0,256
1548253818,256,0
1548256600,0,256
1548285322,0,512
1548325811,512,0
1548335719,0,256
1548352824,0,256
1548372023,0,256
1548411326,0,256
1548415559,0,256
1548426213,768,0
1548458129,0,256
1548512132,0,768
1548523514,256,0
1548545228,256,0
1548609329,0,256
1548617403,768,0
1548630923,0,256
1548638538,0,256
1548675012,1024,0
1548702022,256,0
1548703409,0,512
1548710753,256,0
1548724527,0,256
1548760526,0,768
1548768603,768,0
1548773122,256,0
1548787521,0,256
1548847826,256,0
1548851413,256,0
1548855011,256,768
1548876604,256,0
1548882065,0,256
1548934214,0,256
1548936930,0,512
1548941407,0,256
1548970234,0,256
1548977404,768,0
1548980119,0,256
1548981011,256,0
1549009803,512,0
1549020609,256,0
1549034758,256,0
1549063808,0,512
1549067222,256,0
1549096268,0,512
1549099660,0,256
1549107185,0,256
1549117857,768,0
1549121410,0,256
1549143010,0,256
1549153827,256,0
1549157408,256,0
1549204037,0,768
1549207853,256,0
1549229424,256,0
1549240433,256,0
1549243806,256,0
1549280256,0,768
1549287674,768,0
1549292423,256,0
1549326624,0,256
1549330451,0,256
1549369998,512,0
1549373709,0,768
1549393222,0,256
1549413265,256,256
1549455326,0,512
1549459826,3840,0
1549463899,256,0
1549465222,256,0
1549479619,768,0
1549481692,256,0
1549500018,768,256
1549542928,512,0
1549546359,0,2048
1549550719,0,256
1549551623,512,0
1549553525,512,0
1549560780,512,0
1549562422,0,256
1549566023,0,512
1549575445,256,0
1549582224,512,0
1549584923,0,256
1549616038,0,256
1549629027,0,2560
1549629623,256,0
1549639866,0,768
1549647040,0,768
1549654686,0,256
1549668970,0,512
1549674927,0,256
1549716328,0,512
1549719148,768,0
1549720823,256,0
1549726471,256,0
1549738827,256,0
1549762227,0,256
1549805426,0,256
1549809927,0,256
1549813129,512,512
1549841424,256,0
1549845023,256,0
1549888718,768,0
1549899273,0,768
1549909820,256,0
1549926921,0,256
1549931664,256,0
1549973724,0,1024
1549975004,512,0
1550013322,0,256
1550014223,256,0
1550018049,0,256
1550061236,3328,512
1550066418,256,0
1550068218,256,0
1550079493,512,0
1550086796,256,0
1550093424,256,0
1550104654,256,0
1550146525,0,1024
1550158218,0,2048
1550164518,0,512
1550170827,0,256
1550172618,0,256
1550187387,0,256
1550190622,0,256
1550194403,0,256
1550238737,1280,0
1550241917,0,256
1550251819,256,256
1550273422,256,0
1550276121,0,256
1550277024,256,0
1550324724,0,1280
1550334822,1024,0
1550339119,512,0
1550345418,256,0
1550360006,0,256
1550363634,0,256
