DateTime,AddedIPs,RemovedIPs
1541393435,256,256
1541424656,512,512
1541431822,256,256
1541439023,512,512
1541444422,256,256
1541446228,256,256
1541453412,512,512
1541460729,256,256
1541464203,256,256
1541517351,512,512
1541518224,256,256
1541527223,256,256
1541530836,256,256
1541532602,256,256
1541607320,256,256
1541611870,256,256
1541617224,256,256
1541619005,256,256
1541628903,256,256
1541634032,256,256
1541637030,256,256
1541679323,1280,1280
1541683677,256,256
1541698098,256,256
1541705726,256,256
1541719833,256,256
1541780128,768,768
1541785421,256,256
1541792348,256,256
1541809839,256,256
1541813695,256,256
1541833248,256,256
1541866527,768,768
1541871908,256,256
1541892769,256,256
1541960126,1024,1024
1541964414,256,256
1541979088,256,256
1541989826,256,256
1541991626,256,256
1542035718,1024,1024
1542043817,512,512
1542058162,256,256
1542068348,512,512
1542071998,256,256
1542074433,256,256
1542092457,256,256
1542125722,768,768
1542130302,256,256
1542135625,256,256
1542137635,256,256
1542204903,512,512
1542205817,256,256
1542209413,256,256
1542222022,512,512
1542223821,256,256
1542231020,256,256
1542236428,256,256
1542238209,512,512
1542241030,256,256
1542248132,256,256
1542298525,1792,1792
1542303022,512,512
1542310204,256,256
1542317424,512,512
1542323947,512,512
1542329105,256,256
1542381325,1280,1280
1542382306,256,256
1542384020,256,256
1542387622,256,256
1542389476,256,256
1542391223,256,256
1542394821,256,256
1542396867,256,256
1542414624,256,256
1542471319,1024,1024
1542475826,256,256
1542481222,256,256
1542483903,256,256
1542490230,512,512
1542497433,512,512
1542506086,256,256
1542557717,768,768
1542569445,256,256
1542576680,256,256
1542584011,256,256
1542587431,256,256
1542641769,768,768
1542663031,256,256
1542730531,768,768
1542731652,256,256
1542733227,256,256
1542739653,256,256
1542742219,256,256
1542783652,256,256
1542814778,768,768
1542821468,256,256
1542826830,256,256
1542828791,256,256
1542843028,256,256
1542846634,256,256
1542907189,1024,1024
1542913242,256,256
1542922223,256,256
1542929410,256,256
1542933009,256,256
1542956454,256,256
1542990310,768,768
1542994056,256,256
1543019725,256,256
1543073429,512,512
1543080606,256,256
1543082419,256,256
1543083777,256,256
1543086903,256,256
1543087803,256,256
1543095005,256,256
1543102711,256,256
1543105830,256,256
1543116610,256,256
1543163403,1024,1024
1543166687,256,256
1543174203,256,256
1543181225,256,256
1543246204,256,256
1543275483,256,256
1543282814,256,256
1543284903,256,256
1543336489,512,512
1543348821,256,256
1543361418,256,256
1543370134,256,256
1543415546,1024,1024
1543419443,256,256
1543426220,512,512
1543431604,256,256
1543435223,256,256
1543440638,256,256
1543447818,256,256
1543455024,256,256
1543506596,768,768
1543512639,256,256
1543518016,256,256
1543519839,256,256
1543541423,256,256
1543543231,256,256
1543579236,256,256
1543581016,256,256
1543582219,1024,1024
1543599016,256,256
1543707021,256,256
1543769306,768,768
1543780829,256,256
1543783571,256,256
1543786219,512,512
1543793424,512,512
1543797017,256,256
1543819761,256,256
1543840224,256,256
1543862796,1280,1280
1543942808,768,768
1543944603,256,256
1543951634,256,256
1544021513,512,512
1544023814,256,256
1544045403,256,256
1544108404,1024,1024
1544109858,256,256
1544117404,256,256
1544122804,256,256
1544139294,256,256
1544203804,768,768
1544211011,256,256
1544245227,256,256
1544246183,0,1792
1544248071,1792,0
1544293884,512,512
1544304615,256,256
1544311821,256,256
1544319033,256,256
1544384917,768,768
1544454003,768,768
1544455829,256,256
1544477409,256,256
1544493621,256,256
1544549413,1024,1024
1544560217,256,256
1544571013,256,256
1544578204,256,256
1544598010,256,256
1544626062,1280,1280
1544628605,256,256
1544635811,512,512
1544650555,256,256
1544726083,512,512
1544742020,256,256
1544802511,768,768
1544805210,256,256
1544806830,256,256
1544814018,256,256
1544816705,256,256
1544817708,256,256
1544896003,512,512
1544902229,256,256
1544979052,1024,1024
1544980628,256,256
1544988343,512,512
1545006624,256,256
1545012019,256,256
1545031803,256,256
1545067654,1280,1280
