DateTime,AddedIPs,RemovedIPs
1549745073,16,0
1549746969,12,14
1549747802,99,0
1549748898,19,13
1549750827,14,5
1549752755,230,20
1549754658,15,24
1549755902,88,0
1549756573,14,9
1549758494,15,0
1549759502,94,4546
1549760436,50,89
1549763101,231,0
1549764283,42,70
1549766190,13,13
1549766702,171,0
1549768101,18,5
1549770009,12,13
1549770302,154,0
1549771958,17,9
1549773849,18,4
1549773901,180,0
1549775805,8,7
1549777690,154,15
1549779617,20,15
1549781102,138,0
1549781549,16,0
1549783457,19,15
1549784702,138,0
1549785378,612,3219
1549787315,22,26
1549788029,226,0
1549788302,181,0
1549789217,8,0
1549791144,5,17
1549791902,308,0
1549793077,15,0
1549794508,289,0
1549794975,6,9
1549795502,139,0
1549796893,10,6
1549798840,42,90
1549799323,391,0
1549800757,15,12
1549802657,22,18
1549802702,121,0
1549804633,18,12
1549806498,137,0
1549808432,9,13
1549810094,554,0
1549810331,7,22
1549812248,19,0
1549813502,141,0
1549814190,8,27
1549816086,16,0
1549817102,175,0
1549818034,14,11
1549819936,20,0
1549820702,189,0
1549821877,7,23
1549823770,8,0
1549824302,202,0
1549825697,4,20
1549827631,11,0
1549827902,186,0
1549829536,8,16
1549831459,16,0
1549831502,199,0
1549833397,19,28
1549835313,221,14
1549837215,11,0
1549838702,200,0
1549839132,13,14
1549841077,73,104
1549842302,194,0
1549842965,15,0
1549844892,68,15
1549845902,138,5485
1549846834,11,16
1549848740,46,12
1549849502,129,0
1549850677,19,0
1549852578,20,18
1549853102,146,0
1549854760,19,26
1549856661,12,10
1549856702,163,0
1549858836,16,15
1549860301,140,0
1549860752,10,17
1549862675,21,8
1549863902,137,0
1549864568,18,13
1549866740,15,20
1549867501,158,0
1549868657,8,10
1549870568,1,23
1549871102,191,0
1549872496,10,23
1549874431,12,16
1549874702,187,0
1549876338,7,5
1549878252,12,6
1549878302,183,0
1549880190,5,16
1549882091,269,5
1549883533,34,0
1549885502,280,0
1549886433,10,18
1549888336,14,14
1549889316,995,1036
1549890256,10,19
1549892194,6,19
1549892702,437,0
1549893642,282,0
1549894107,9,12
1549896302,325,0
1549896968,3,15
1549898895,17,18
1549899902,176,0
1549900821,4,6
1549901062,329,730
1549902736,7,14
1549903502,245,0
1549904657,9,14
1549905132,294,0
1549906571,5,16
1549907102,151,0
1549908510,2,8
1549908975,298,0
1549910702,178,0
1549912352,3,10
1549914253,18,9
1549914757,510,0
1549916175,8,9
1549917869,367,0
1549918338,136,16
1549920296,290,19
1549921502,128,0
1549922171,7,11
1549923871,341,0
1549924337,3,7
1549925102,121,0
1549926008,38,0
1549926254,18,12
1549928168,10,23
1549928702,106,0
1549929861,36,34
1549930112,7,14
1549932013,6,22
1549932302,213,4477
1549933933,4,7
1549935869,8,15
1549935902,237,0
1549937526,20,48
1549937772,5,16
1549939933,227,22
1549943102,221,0
1549943788,17,32
1549945700,12,12
1549946702,252,0
1549947619,3,11
1549949557,11,17
1549950302,219,0
1549951451,5,15
1549953366,9,12
1549953902,157,0
1549955558,16,8
1549957449,17,0
1549957502,208,0
1549959390,22,8
1549961289,355,5
1549963211,7,5
1549964702,195,0
1549965148,11,13
1549967050,30,4
1549968302,238,0
1549968968,10,10
1549970908,24,0
1549972093,237,76
1549972817,3,0
1549973565,635,0
1549974731,14,7
1549975501,233,0
1549976650,8,12
1549977376,270,190
1549978567,15,7
1549979102,212,0
1549980493,6,5
1549981713,244,243
1549982674,15,6
1549982702,283,0
1549984577,11,4
1549985560,231,0
1549987270,220,19
1549989401,8,5
1549990358,272,274
1549991321,171,8
1549993211,11,3
1549994402,205,0
1549995152,8,3
1549997051,15,0
1549998002,220,0
1549998971,7,3
1550000888,17,18
1550001602,164,0
1550002839,14,7
1550004739,6,6
1550005202,194,0
1550006650,18,0
1550008587,5,18
1550008802,193,0
1550010488,11,0
1550010971,35,36
1550012433,3,2
1550014358,195,16
1550016267,158,4485
1550018166,4,10
1550018652,31,74
1550019602,142,0
1550020094,4,5
1550022489,24,0
1550023202,215,0
1550023936,8,9
1550025850,19,4
1550026802,155,0
1550027799,12,12
1550029713,22,0
1550030402,129,0
1550031642,10,11
1550033571,7,12
1550034002,142,0
1550035451,4,5
1550037367,6,7
1550037602,149,0
1550039314,10,1
1550041222,13,8
1550044093,205,29
1550044802,241,0
1550046032,6,21
1550047940,10,15
1550048402,215,0
1550049855,22,5
1550052040,12,7
1550053956,270,23
1550055856,174,10
1550057049,43,0
1550057788,8,15
1550058966,667,2364
1550059202,173,0
1550059935,17,3
1550061852,14,17
1550062802,171,0
1550064042,3,7
1550065935,6,16
1550066402,160,0
1550066922,454,551
1550067879,17,8
1550069768,9,15
1550070002,159,0
1550070740,275,231
1550071695,18,8
1550073612,8,0
1550075555,149,1
1550077202,153,0
1550080802,164,0
1550083209,3,30
1550084402,156,0
1550085133,8,17
1550087074,24,9
1550088002,132,0
1550088971,8,14
1550090885,17,14
1550091602,126,0
1550092810,8,8
1550094729,9,14
1550095202,161,0
1550096652,7,5
1550098602,6,8
1550098802,231,0
1550099529,40,79
1550100518,10,3
1550102450,8,8
1550103612,302,5184
1550104353,6,9
1550106255,199,8
1550108168,8,6
1550109602,149,0
1550110115,9,0
1550111288,25,49
1550112008,5,5
1550113202,160,0
1550113933,4,17
1550115876,18,13
1550116802,163,0
1550118038,9,20
1550119950,7,8
1550120402,186,0
1550121858,7,10
1550123791,6,3
1550124002,220,0
1550125690,12,0
1550127632,10,23
1550130517,314,16
1550131202,342,0
1550132412,16,0
1550134335,18,5
1550134802,278,0
1550136251,15,13
1550138193,10,19
1550138402,269,0
1550140335,15,11
1550142018,35,36
1550142256,284,3
1550144168,5,7
1550145602,285,0
1550146112,5,8
1550148033,4,14
1550149202,210,0
1550149929,15,12
1550151872,21,4
1550152802,198,0
1550153775,14,4
1550155688,10,16
1550156402,143,0
1550157634,10,11
1550159530,7,19
1550160002,144,0
1550161447,23,6
1550162898,757,2441
1550163410,20,2
1550163602,158,0
1550165287,13,0
1550167233,8,0
1550169157,207,0
1550171057,235,5
1550172968,18,7
1550174402,246,0
1550174912,17,23
1550176815,7,8
1550178002,199,0
1550178759,15,17
1550180656,13,7
1550181602,213,0
1550182570,7,10
1550184525,50,10
1550185202,137,0
1550186423,7,5
1550188338,2,9
1550188802,157,4475
1550190253,23,9
1550192441,35,78
1550194338,160,15
1550196280,161,9
1550198435,9,17
1550199602,141,0
1550200336,7,4
1550202258,18,0
1550203202,133,0
1550206098,12,21
1550206802,136,0
1550208032,13,9
1550209954,8,6
1550210403,140,0
1550214033,4,19
1550216910,149,0
1550217602,144,0
1550220730,11,40
1550221202,300,0
1550222668,17,26
1550224585,13,0
1550224803,429,0
1550226513,4,9
1550228425,13,13
1550230580,388,18
1550231055,40,74
1550232002,446,0
1550232494,2,0
1550235602,275,0
1550236334,5,24
1550239202,240,0
1550240207,8,30
1550242088,4,16
1550242802,217,0
1550244010,14,0
1550245829,20,10
1550246402,171,0
1550247874,18,29
1550249773,1,0
1550250002,259,0
1550251687,11,12
1550253620,6,14
1550254334,937,751
1550255798,9,17
1550257202,138,0
1550257706,4,3
1550259631,3,13
1550260803,125,0
1550261533,6,16
1550264402,129,0
1550265371,5,18
1550267292,19,13
1550268002,112,0
1550269237,2,10
1550269448,43,36
1550271158,8,12
1550271602,134,0
1550273070,6,4
1550274964,1,3
1550275202,131,5123
1550277161,38,29
1550279081,228,0
1550280980,32,26
1550282402,144,0
1550282893,2,5
1550284815,10,0
1550286002,275,0
1550286759,1,20
1550289602,234,0
1550290573,6,11
1550292570,11,12
1550293202,240,0
1550294433,7,10
1550296351,7,0
1550296802,268,0
1550298250,15,9
1550300193,5,0
1550300402,249,0
1550302091,13,3
1550304027,8,14
1550305958,161,0
1550307858,182,10
1550309768,6,16
1550311202,191,0
1550311715,12,9
1550314802,215,0
1550315533,44,11
1550317475,8,4
1550318402,196,0
1550321308,9,2
1550322002,377,0
1550323237,7,3
1550325157,3,0
1550325602,169,0
1550327054,4,9
1550328964,12,4
1550329202,133,0
1550330910,15,18
1550332819,5,19
1550334736,120,16
1550336677,129,0
1550340290,212,18
1550342201,7,8
1550343602,192,0
1550344101,9,0
1550345540,794,769
1550346057,9,4
1550347202,100,0
1550347948,12,6
1550349852,18,0
1550350802,159,0
1550351804,8,4
1550353691,14,0
1550354403,148,0
1550355611,14,17
1550356099,530,0
1550358790,202,78
1550359956,420,0
1550360671,13,8
1550361602,323,4688
1550362841,56,44
1550364731,3,2
1550365202,203,0
1550366678,14,6
1550368589,13,8
1550368802,199,0
1550370493,27,40
1550372422,10,8
1550374359,231,2
1550376263,234,0
1550376733,650,0
1550377709,288,0
1550378204,6,5
1550380123,225,9
1550382013,5,3
1550383202,201,0
1550383969,451,2
1550385857,10,13
1550386802,185,0
1550387774,17,8
1550389691,12,14
1550390402,187,0
1550391616,12,9
1550393555,9,5
1550394002,234,0
1550395453,7,1
1550397395,7,6
1550397602,284,0
1550399289,5,9
1550401228,41,41
