DateTime,AddedIPs,RemovedIPs
1550021043,4,207
1550021523,69,0
1550022123,3,0
1550023400,1,5
1550025123,11,0
1550025723,46,7
1550026923,3,0
1550027002,0,5
1550027763,0,160
1550028123,10,0
1550028681,84,0
1550029322,1,0
1550030541,9,0
1550031723,5,0
1550032323,89,13
1550032922,3,0
1550033523,13,91
1550034123,4,0
1550035324,4,0
1550035871,77,14
1550036523,2,0
1550037362,0,187
1550037723,3,0
1550038923,2,0
1550039523,90,0
1550040122,1,0
1550041323,2,0
1550041401,0,3
1550042522,1,0
1550043723,2,0
1550045001,74,16
1550045523,1,0
1550046002,0,114
1550046122,4,0
1550046722,66,0
1550047923,3,0
1550048523,5,0
1550049843,0,63
1550050323,97,0
1550051523,22,0
1550052723,1,0
1550052963,0,58
1550053893,64,0
1550054523,6,0
1550055725,3,0
1550056323,0,2
1550056804,0,54
1550057469,81,0
1550058123,4,0
1550058723,4,0
1550059401,1,2
1550060522,4,0
1550061122,52,6
1550061724,1,0
1550062563,0,87
1550062924,1,0
1550063523,5,2
1550064723,82,0
1550065323,1,0
1550065923,1,0
1550066524,6,0
1550066542,0,1
1550067123,5,0
1550067722,1,0
1550068323,1,68
1550068922,90,0
1550070202,57,75
1550071323,1,0
1550071923,115,51
1550072523,2,0
1550073123,1,0
1550074084,1,132
1550074925,2,0
1550075764,83,0
1550076123,1,0
1550077323,6,0
1550077405,0,1
1550079123,84,23
1550079842,3,133
1550081002,2,3
1550082722,103,0
1550084606,0,3
1550085605,0,77
1550085724,3,0
1550087524,1,0
1550088123,99,0
1550088723,0,3
1550089443,4,83
1550091743,88,0
1550092923,3,0
1550093285,0,91
1550093522,80,0
1550094124,10,0
1550095323,2,0
1550096523,3,92
1550097072,67,16
1550098563,16,170
1550098942,2,2
1550100124,5,0
1550100668,71,0
1550101323,2,0
1550102543,1,0
1550103124,2,0
1550104323,88,17
1550104924,5,0
1550105522,3,188
1550106122,91,0
1550106143,0,3
1550107323,2,0
1550108523,59,18
1550109723,18,0
1550109802,0,2
1550111523,2,0
1550112123,49,14
1550113325,3,0
1550114162,14,97
1550114523,112,0
1550115123,69,12
1550116082,0,154
1550116323,1,0
1550116923,2,0
1550117002,0,1
1550117522,1,0
1550118123,6,0
1550118722,101,0
1550119323,3,0
1550120542,0,2
1550121123,15,0
1550121723,2,0
1550122323,74,9
1550122923,3,0
1550123762,0,182
1550124142,1,1
1550125323,6,1
1550125871,98,0
1550126523,1,0
1550127123,1,0
1550127802,1,2
1550128323,5,0
1550128923,1,0
1550130123,8,0
1550130483,74,67
1550130723,3,0
1550131342,14,57
1550132523,2,0
1550133123,89,0
1550133723,1,0
1550134322,1,0
1550135002,2,1
1550136123,1,0
1550136723,70,12
1550137322,20,0
1550138164,12,52
1550138545,5,0
1550139723,6,0
1550140322,69,15
1550142243,48,97
1550143323,1,0
1550143923,4,58
1550144524,1,0
1550145802,110,4
1550146323,1,0
1550146924,2,0
1550147522,4,0
1550148122,1,0
1550149323,2,0
1550149404,0,3
1550149923,2,80
1550151123,69,0
1550151723,4,1
1550152922,65,8
1550152947,0,2
1550153522,1,0
1550154123,4,0
1550155323,1,0
1550156522,3,0
1550157603,0,120
1550157724,4,0
1550158282,64,0
1550158923,1,0
1550160144,1,1
1550161443,5,73
1550162522,4,0
1550163122,3,0
1550163803,77,3
1550164923,12,0
1550165463,81,12
1550166122,3,0
1550166723,1,0
1550167323,3,0
1550167405,0,1
1550167924,1,0
1550168163,0,109
1550168523,4,0
1550169067,79,0
1550169723,1,0
1550170923,8,0
1550171523,1,0
1550172123,4,0
1550172724,88,20
1550173323,2,0
1550173922,0,104
1550174523,8,0
1550174543,0,1
1550175724,5,0
1550176324,79,0
1550177523,1,0
1550178204,1,0
1550179323,2,0
1550179682,0,91
1550179871,83,0
1550180523,2,0
1550181723,1,0
1550184484,74,84
1550184723,1,0
1550185408,1,0
1550186522,6,0
1550187080,0,85
1550187724,3,0
1550188323,86,0
1550188924,56,102
1550190122,1,0
1550190722,70,14
1550191323,1,0
1550191923,1,0
1550192422,0,165
1550192891,7,1
1550193124,4,0
1550194323,72,0
1550194922,4,0
1550196243,6,86
1550197324,3,0
1550197923,1,0
1550199804,48,0
1550200923,3,0
1550201523,72,10
1550202242,14,71
1550202724,2,0
1550203377,0,75
1550203403,1,0
1550203923,3,0
1550204164,74,0
1550204523,1,0
1550205123,9,0
1550205723,92,86
1550206323,1,0
1550206923,2,0
1550207005,1,3
1550208124,1,0
1550208723,60,8
1550209323,4,0
1550210603,3,1
1550211843,1,156
1550212274,97,0
1550212923,2,0
1550214124,68,9
1550214963,9,73
1550215323,1,0
1550216523,3,1
1550217745,2,1
1550218922,2,0
1550220123,2,0
1550220722,1,0
1550221324,70,14
1550222643,1,91
1550223123,73,0
1550224923,83,7
1550225004,0,2
1550226124,5,0
1550226723,2,0
1550227322,0,1
1550228543,14,2
1550229363,0,101
1550229723,2,0
1550230322,82,0
1550230923,1,0
1550232123,1,0
1550232205,0,2
1550233443,1,58
1550233923,74,1
1550234522,2,0
1550235804,4,3
1550236322,2,0
1550236923,1,0
1550237498,83,19
1550238123,0,3
1550239323,2,0
1550239345,0,1
1550240162,0,111
1550240523,4,0
1550241124,2,0
1550241722,4,0
1550242323,1,0
1550243004,74,0
1550244123,3,0
1550244679,63,12
1550245322,1,0
1550245923,15,69
1550246523,79,17
1550247123,1,0
1550247842,18,50
1550248923,2,0
1550250204,22,2
1550250723,6,0
1550251323,0,1
1550251682,0,65
1550252522,94,0
1550253723,88,18
1550253807,0,1
1550254805,18,68
1550254923,1,0
1550255523,2,0
1550256123,1,0
1550258644,2,78
1550259124,91,0
1550259723,1,0
1550261006,80,26
1550262483,25,91
1550263323,2,0
1550264544,3,0
1550265723,2,0
1550266273,68,19
1550266924,77,0
1550267522,3,0
1550268243,2,142
1550268723,0,1
1550269323,1,0
1550269923,77,0
1550271804,5,0
1550272322,3,0
1550273491,67,20
1550274004,20,94
1550274123,2,0
1550275324,6,0
1550276523,4,0
1550277124,76,25
1550277723,8,0
1550278949,12,0
1550279763,0,176
1550280123,3,0
1550280968,97,0
1550281323,3,0
1550282525,59,86
1550282545,0,2
1550283723,7,0
1550284923,5,0
1550285523,41,75
1550286144,2,72
1550286723,1,0
1550287322,1,1
1550288522,1,0
1550289744,61,0
1550290922,3,0
1550291523,102,89
1550292123,1,0
1550293404,4,2
1550294523,7,98
1550296322,68,0
1550297004,0,7
1550298123,4,0
1550298723,84,9
1550299443,11,59
1550300606,55,10
1550301724,7,0
1550302268,10,54
1550302923,8,0
1550303282,0,77
1550303523,2,0
1550304124,63,0
1550304144,0,2
1550304723,2,0
1550305444,2,49
1550305903,73,0
1550306522,2,0
1550307808,1,3
1550308923,5,0
1550309283,0,60
1550309467,87,0
1550310122,1,0
1550311323,4,0
1550312523,3,0
1550313122,4,0
1550313723,2,85
1550314083,142,0
1550314323,1,0
1550315004,1,89
1550315523,4,0
1550316124,3,0
1550316722,1,0
1550317324,3,0
1550317922,3,0
1550318523,76,0
1550318604,0,1
1550319842,0,60
1550322126,93,0
1550322723,4,3
1550323323,4,0
1550323682,0,68
1550323866,77,0
1550324523,3,0
1550325744,68,16
1550326924,4,0
1550328122,2,0
1550328483,0,137
1550329345,0,6
1550330523,3,0
1550331123,3,0
1550331723,1,0
1550332923,84,0
1550334124,8,0
1550334724,5,0
1550335323,2,0
1550335922,4,0
1550336605,93,18
1550337722,3,0
1550339284,69,92
1550340209,4,3
1550341323,3,0
1550341923,81,18
1550342522,2,0
1550343123,18,64
1550343745,4,1
1550344923,5,0
1550345523,57,22
1550346125,2,0
1550346722,2,0
1550347405,76,32
1550348523,5,0
1550348882,32,109
1550349722,3,0
1550350323,1,0
1550350983,65,23
1550352124,3,1
1550353323,2,0
1550353923,2,0
1550354643,3,142
1550355131,7,0
1550355723,2,0
1550356323,70,0
1550356922,1,0
1550358723,8,1
1550359322,1,0
1550359875,52,18
1550360642,1,161
1550361751,2,0
1550362322,1,0
1550362923,6,0
1550363490,77,0
1550365323,6,0
1550365405,0,3
1550365923,3,0
1550366525,2,0
1550367123,69,13
1550367723,4,0
1550368563,13,77
1550369005,40,11
1550369523,1,0
1550370122,8,0
1550370482,11,76
1550371322,4,0
1550372523,5,0
1550374278,56,6
1550374923,1,0
1550375283,0,159
1550375522,3,0
1550376211,10,2
1550377324,2,0
1550377923,85,0
1550378522,9,0
1550379122,2,0
1550379805,0,2
1550380923,14,0
1550381523,2,0
1550382123,72,9
1550382962,0,172
1550383345,1,1
1550383922,57,0
1550385122,86,0
1550385724,2,0
1550386923,1,0
1550386949,0,1
1550387762,0,69
1550388123,21,0
1550388723,74,0
1550389923,3,0
1550390610,0,3
1550391723,2,0
1550392275,74,10
1550392922,2,0
1550393523,10,48
1550394148,1,2
1550395443,3,35
1550395923,83,0
1550397807,2,3
1550398923,2,0
1550399522,77,16
1550400123,2,0
1550401323,6,0
1550402162,0,85
1550402522,5,0
